Protein, AT3G49250, AT3G49250, AT3G49250, AT3G49250, AT2G16390,AT2G16390,WT,WT
AT3G49250,1781,1904,265,216,342,356,34,36
AT5G52040,119,187,33,27,830,785,1069,891
AT3G44310,226,271,570,541,377,329,327,285
AT4G35630,102,112,203,229,242,274,284,306
AT3G08590,127,145,242,277,246,277,320,320
AT5G38420,48,52,90,80,59,54,70,68
AT1G67090,54,53,83,71,58,51,69,66
AT5G38430,43,46,75,63,49,44,59,57
AT4G38680,59,73,50,65,52,44,45,79
ATCG00490,116,139,172,188,123,117,122,137
AT5G02500,246,288,123,140,167,176,129,138
AT1G19480,67,72,124,121,111,116,116,126
AT3G22680,69,81,26,26,59,71,3,4
AT2G17630,67,67,103,109,129,125,131,150
AT5G62690,90,99,86,87,97,107,100,97
AT5G62700,90,99,86,87,97,107,100,97
AT2G29550,80,94,81,83,93,102,92,99
AT3G04120,59,67,64,61,68,78,65,67
AT5G23860,79,88,77,78,88,103,94,93
AT3G09440,170,187,97,98,113,123,100,91
AT1G13440,55,66,61,60,71,75,63,66
AT5G44340,71,81,75,79,77,96,78,84
AT1G29250,19,19,32,34,17,16,22,26
AT4G20890,70,81,68,74,74,90,76,80
AT1G09780,46,57,95,114,88,116,144,128
AT5G09810,63,75,63,72,63,58,61,66
AT2G40660,46,54,69,73,70,79,69,78
AT2G34160,18,18,28,35,16,16,20,25
AT3G09820,55,72,58,70,43,46,52,51
AT5G02490,129,143,86,86,108,111,83,78
AT5G12250,67,79,60,65,70,87,72,71
AT4G10320,101,103,216,245,241,253,196,192
AT1G04820,81,97,58,61,68,75,63,64
AT1G50010,81,97,58,61,68,75,63,64
AT4G14960,79,96,56,62,69,74,65,65
AT5G60390,83,78,69,75,67,70,63,63
AT1G07920,83,78,69,75,67,70,63,63
AT1G07940,83,78,69,75,67,70,63,63
AT1G07930,83,78,69,75,67,70,63,63
AT2G39730,85,95,65,71,64,63,69,73
AT1G20010,60,73,61,66,68,85,72,68
AT1G07890,40,44,43,42,32,32,36,37
AT1G57720,41,41,74,83,66,70,59,64
AT2G36880,66,68,57,56,50,47,52,54
AT1G26630,26,23,19,18,23,22,17,28
AT3G52930,42,41,68,67,46,40,53,51
AT5G19780,69,84,50,52,61,68,52,51
AT5G19770,69,84,50,52,61,68,52,51
AT3G18780,37,40,56,52,56,66,54,56
AT1G49240,37,40,56,52,56,66,54,56
AT3G44320,24,27,72,82,45,52,47,41
AT3G44300,28,24,70,69,43,48,52,47
AT1G75780,50,65,53,53,64,72,63,59
AT3G26650,53,65,46,53,46,55,51,54
AT2G27710,19,16,15,13,12,16,13,18
AT5G35200,42,45,83,77,94,84,79,77
AT2G47110,26,24,17,21,16,22,16,17
AT3G62250,26,24,17,21,16,22,16,17
AT1G30230,29,25,40,35,29,34,40,38
AT5G03300,51,58,39,54,31,35,38,42
AT3G17390,54,56,56,56,44,38,46,47
AT3G12110,50,52,42,47,44,43,42,46
AT3G12580,102,117,56,60,74,73,58,58
AT5G07090,24,25,30,31,30,31,32,34
AT2G17360,24,25,30,31,30,31,32,34
AT4G00100,0,10,18,22,21,17,16,20
AT3G60770,12,10,19,21,21,17,17,20
AT5G42020,82,89,75,76,65,67,70,67
AT5G20290,19,23,28,29,25,27,22,25
AT3G13920,53,56,36,41,43,51,40,42
AT1G12900,43,59,38,42,39,47,38,43
AT3G46520,39,53,44,43,36,33,36,46
