Protein,AT1G17770,AT1G17770,AT2G24740,AT2G24740,WT,WT
AT2G24740,0,0,133,63,0,0
AT3G13860,0,25,28,13,0,0
AT3G23990,6,18,26,18,0,1
AT1G15750,1,2,24,8,0,0
AT1G33960,0,0,10,0,0,5
AT5G22060,5,31,7,0,0,0
AT3G12580,8,27,7,0,0,2
AT5G27030,0,0,6,2,0,0
AT1G80490,0,1,5,0,0,0
AT5G55070,2,1,5,0,0,0
ATCG00480,4,7,5,0,0,0
AT4G16143,4,16,5,0,0,1
AT1G17770,109,266,4,3,0,0
AT2G29320,0,0,4,0,0,1
AT1G17290,1,4,4,0,0,1
AT3G18060,2,3,4,2,0,0
AT4G20850,4,10,4,3,0,2
AT5G48180,0,2,3,0,0,0
AT5G06600,0,22,3,0,0,0
AT2G38580,0,2,3,1,0,1
AT1G08520,0,7,3,0,0,2
AT3G55410,1,6,3,0,0,0
AT2G40660,2,5,3,0,0,0
AT3G11830,4,22,3,0,0,0
AT5G06060,0,2,2,0,0,0
AT3G57410,0,2,2,0,0,0
AT2G21170,0,2,2,0,0,0
AT3G03530,0,3,2,0,0,0
AT5G59880,0,5,2,0,0,0
AT3G03260,0,11,2,0,0,0
AT2G45220,0,0,2,0,0,1
AT3G59970,0,9,2,1,0,2
AT3G10850,1,1,2,0,0,0
AT3G58510,1,10,2,0,0,0
AT3G11910,1,11,2,0,0,0
AT5G67630,1,26,2,0,0,0
AT4G36130,1,0,2,0,0,1
AT2G40060,1,2,2,1,0,2
AT1G79550,2,2,2,0,0,0
AT3G03250,2,5,2,0,0,0
AT5G09660,2,3,2,2,0,1
AT1G47128,3,2,2,0,0,0
AT5G16070,4,23,2,0,0,0
AT2G20580,4,26,2,0,0,0
AT3G03960,4,28,2,1,0,0
AT3G11510,4,7,2,3,0,1
AT4G36740,0,2,1,0,0,0
AT4G20890,0,2,1,0,0,0
AT4G09000,0,2,1,0,0,0
AT2G39080,0,2,1,0,0,0
AT1G21670,0,2,1,0,0,0
AT1G18070,0,2,1,0,0,0
AT2G27860,0,2,1,2,0,0
AT2G19540,0,3,1,0,0,0
AT2G05920,0,3,1,1,0,0
AT5G07440,0,6,1,1,0,0
AT1G65300,0,7,1,0,0,0
AT1G24510,0,9,1,0,0,0
AT2G46280,0,10,1,2,0,0
AT5G26360,0,21,1,0,0,0
AT4G29350,0,0,1,0,0,1
AT2G17420,0,1,1,0,0,1
AT1G60710,0,1,1,0,0,1
AT5G15490,0,3,1,0,0,1
AT3G18190,0,14,1,0,0,1
AT4G34200,1,1,1,0,0,0
AT3G23810,1,1,1,0,0,0
AT1G48600,1,1,1,0,0,0
AT2G38540,1,1,1,2,0,0
AT4G27440,1,2,1,0,0,0
AT3G62290,1,2,1,0,0,0
AT1G69830,1,2,1,0,0,0
AT1G56190,1,2,1,0,0,0
AT1G53280,1,2,1,0,0,0
AT1G35160,1,2,1,1,0,0
ATCG00750,1,2,1,2,0,0
AT1G78300,1,3,1,0,0,0
AT1G57860,1,3,1,0,0,0
AT5G67360,1,6,1,0,0,0
AT5G60790,1,7,1,0,0,0
AT5G20000,1,7,1,0,0,0
AT1G18450,1,7,1,0,0,0
AT1G52360,1,8,1,0,0,0
AT4G37930,1,9,1,2,0,0
AT1G79930,1,12,1,0,0,0
AT3G12915,1,1,1,1,0,1
AT1G66580,1,1,1,1,0,1
AT2G44120,1,4,1,0,0,1
AT5G49360,1,1,1,2,0,3
AT2G36390,2,1,1,0,0,0
AT5G01410,2,3,1,0,0,0
AT5G35630,2,4,1,0,0,0
AT4G11010,2,4,1,0,0,0
AT3G44110,2,10,1,0,0,0
AT3G20050,2,21,1,1,0,0
AT1G61720,2,4,1,0,0,1
AT5G57655,3,0,1,0,0,0
AT1G73230,3,0,1,0,0,0
AT2G34810,3,2,1,0,0,0
AT3G09480,3,4,1,0,0,0
AT2G25170,3,14,1,0,0,0
AT4G26840,5,1,1,0,0,0
AT1G64880,13,6,1,0,0,0
ATMG00070,0,2,0,0,0,0
AT5G56500,0,2,0,0,0,0
AT5G50850,0,2,0,0,0,0
AT5G46430,0,2,0,0,0,0
AT5G37720,0,2,0,0,0,0
AT5G35590,0,2,0,0,0,0
AT5G28540,0,2,0,0,0,0
AT5G25270,0,2,0,0,0,0
AT5G25230,0,2,0,0,0,0
AT5G10920,0,2,0,0,0,0
AT5G09900,0,2,0,0,0,0
AT5G08450,0,2,0,0,0,0
AT5G07030,0,2,0,0,0,0
AT4G35100,0,2,0,0,0,0
AT4G24820,0,2,0,0,0,0
AT4G13430,0,2,0,0,0,0
AT3G55000,0,2,0,0,0,0
AT3G52990,0,2,0,0,0,0
AT3G46060,0,2,0,0,0,0
AT3G45970,0,2,0,0,0,0
AT3G26340,0,2,0,0,0,0
AT3G19170,0,2,0,0,0,0
AT3G13640,0,2,0,0,0,0
AT3G13460,0,2,0,0,0,0
AT3G07770,0,2,0,0,0,0
AT3G07270,0,2,0,0,0,0
