Protein	AT3G01460	AT3G01460	WT	AT3G01460	AT3G01460	WT
AT5G52040	352	211	352	81	52	79
AT3G44310	129	103	111	54	47	77
AT1G19480	92	63	85	32	19	32
AT3G08590	134	101	125	55	27	36
AT4G29270	26	15	20	20	28	35
AT4G38680	12	17	12	24	10	30
ATCG00490	72	45	61	44	27	38
AT4G35630	85	71	80	31	17	17
AT4G21280	5	8	3	20	30	17
AT5G38420	19	16	20	16	8	12
AT5G38410	19	16	20	16	8	12
AT1G67090	21	17	22	13	8	9
AT3G47070	5	5	3	9	6	5
AT2G21660	16	14	15	8	8	10
AT1G29250	20	15	15	6	4	3
AT2G17630	45	46	40	22	14	14
AT5G38430	12	13	16	10	6	9
AT3G52930	16	15	17	23	19	19
AT3G44300	21	17	25	15	14	21
AT4G39260	8	7	8	10	8	10
AT1G71080	28	21	33	15	10	15
AT4G37800	12	12	12	22	12	16
AT5G09650	8	12	10	25	11	16
AT3G15730	42	29	38	35	30	52
AT5G26000	28	23	25	30	19	28
AT3G44320	25	20	24	9	10	19
AT2G40660	33	33	26	10	9	12
AT5G58420	17	16	19	9	8	7
AT2G17360	17	16	19	9	8	7
AT5G07090	17	16	19	9	8	7
AT5G47210	17	17	14	13	12	11
AT3G26650	20	8	14	16	13	13
AT2G21060	5	4	4	12	3	10
AT3G16640	7	7	7	5	4	6
AT2G47110	11	5	9	7	3	3
AT3G62250	11	5	9	7	3	3
AT5G66190	10	10	12	15	10	11
AT1G74050	17	11	16	4	6	3
AT1G74060	17	11	16	4	6	3
AT1G18540	0	0	14	0	0	3
AT5G20290	14	13	15	6	3	4
AT1G42970	18	8	11	17	15	11
AT5G56740	6	2	5	25	11	22
AT1G20620	16	14	12	14	12	18
AT5G02500	41	39	48	13	7	10
AT1G12900	13	6	11	14	12	10
AT2G28000	30	24	28	12	12	11
AT4G16720	11	6	8	5	4	5
AT4G17390	11	6	8	5	4	5
AT3G13470	33	22	29	12	9	15
AT5G11710	25	21	23	13	11	10
AT2G32080	13	7	9	8	7	6
AT2G29560	22	13	24	8	8	13
AT5G62700	50	28	42	0	2	0
AT1G20010	30	18	23	7	2	6
AT5G23860	41	23	35	0	2	0
AT1G75780	25	16	20	0	2	0
AT5G62690	50	28	42	0	2	0
AT4G20890	31	23	25	0	2	0
AT5G44340	33	19	28	0	2	0
AT5G12250	28	18	25	0	2	0
AT2G29550	45	21	38	0	2	0
AT5G28540	32	29	26	16	10	10
AT5G42020	0	29	28	0	10	10
AT2G46280	20	13	22	5	3	6
AT5G19510	10	11	12	4	2	4
AT1G07930	24	9	22	17	2	10
AT1G07940	24	9	22	17	2	10
AT5G60390	24	9	22	17	2	10
AT1G07920	24	9	22	17	2	10
AT5G26710	42	21	36	15	8	14
AT3G26060	4	3	7	7	6	3
AT5G58290	23	16	20	7	4	7
ATCG00750	6	2	4	3	3	3
AT4G35090	11	6	10	15	9	15
AT2G18020	12	8	9	5	4	5
AT5G35360	21	17	24	8	10	11
AT1G70600	5	4	4	4	3	2
AT1G23290	5	4	4	4	3	2
AT1G09100	0	0	0	0	4	9
AT3G05530	23	16	21	5	4	9
AT2G47610	20	10	17	3	2	2
AT3G60820	7	5	10	2	5	5
AT3G04120	14	8	13	8	5	6
AT1G13440	14	8	13	8	5	6
AT1G04820	0	20	34	3	3	3
AT4G14960	33	20	34	3	3	3
AT1G50010	0	20	34	3	3	3
AT1G53750	23	21	27	4	3	5
AT3G03960	26	16	26	6	8	10
AT2G05840	7	7	9	0	3	0
AT5G35590	10	9	14	5	3	4
AT1G43170	21	12	21	6	4	5
AT3G23990	27	21	26	7	6	10
AT3G52580	0	5	5	0	0	2
AT2G36160	6	5	0	0	0	2
AT3G11510	6	5	6	3	2	2
AT4G10320	46	37	47	22	12	23
AT3G53020	7	4	6	3	3	2
AT2G36620	6	0	5	0	0	2
AT5G19990	31	16	25	4	2	4
AT5G20000	26	15	24	0	2	4
AT3G11830	17	12	15	10	9	10
AT2G04520	3	2	2	4	2	0
AT5G35680	3	2	2	4	2	4
AT1G64880	16	17	29	11	2	7
AT4G20850	35	24	36	23	24	28
