Protein,WT,AT5G59800,WT,AT3G46580,WT,AT3G46580,WT,AT3G46580,WT,AT5G59800
AT5G02490,0,30,44,76,29,63,54,0,21,23
AT5G59800,0,27,0,0,0,0,0,0,0,9
AT1G20870,0,13,0,0,0,0,0,0,0,8
AT1G02780,0,12,8,7,8,8,8,0,4,7
AT1G12900,0,11,25,31,19,28,59,0,0,8
AT3G62870,0,11,23,16,10,10,15,0,0,7
AT2G39730,0,10,46,48,34,39,71,4,12,9
AT3G18740,0,10,8,11,3,9,5,0,0,5
AT3G27850,0,10,7,3,6,7,11,0,0,0
AT3G27830,0,10,6,3,6,7,11,0,0,0
AT1G10390,0,10,0,0,0,0,0,0,0,7
AT1G43170,0,9,18,25,20,15,23,0,3,4
AT3G07110,0,9,0,15,7,6,10,0,0,7
AT1G66580,0,9,6,3,7,9,5,0,8,3
AT1G04820,0,8,29,34,36,49,126,0,2,3
AT1G50010,0,8,28,33,36,48,124,0,2,3
AT2G47610,0,8,5,7,13,11,12,0,0,7
AT3G24830,0,8,12,0,9,13,10,0,5,8
ATCG00120,0,7,11,10,11,14,21,0,0,0
AT4G10450,0,7,7,8,7,5,6,0,5,3
AT1G61580,0,7,7,8,8,5,6,0,0,2
AT5G09810,0,6,65,75,49,55,70,0,2,7
contaminant_GR78_HUMAN,0,6,13,12,8,10,16,0,0,2
AT4G17520,0,6,3,3,0,0,0,0,2,2
AT5G11520,0,6,0,0,0,0,0,0,0,5
AT4G38800,0,6,0,0,0,0,0,0,0,4
AT3G04790,0,6,0,0,0,0,4,0,0,0
AT3G09200,0,5,6,0,9,8,9,0,0,2
AT3G18780,0,4,61,73,47,53,55,0,2,7
AT1G72370,0,4,25,34,0,11,43,0,0,0
ATCG00480,0,4,16,13,5,4,12,0,4,8
AT1G74030,0,4,0,0,0,0,2,0,3,5
AT2G40060,0,4,0,0,0,0,0,0,0,0
AT4G14960,0,3,24,29,30,46,114,0,0,3
AT3G53750,0,3,30,26,23,28,32,0,0,0
AT3G49010,0,3,7,12,9,12,9,0,0,0
AT5G52640,0,3,6,11,10,12,15,0,0,9
AT5G23900,0,3,2,6,5,7,4,0,0,4
AT1G48830,0,3,5,5,6,3,5,0,5,5
AT2G09990,0,3,0,2,7,11,3,0,0,7
AT4G09650,0,3,2,0,0,0,3,0,5,7
AT3G04230,0,3,0,0,7,11,3,0,0,7
AT4G29840,0,3,0,0,0,0,0,0,2,6
AT3G20390,0,3,0,0,0,0,0,0,10,4
contaminant_GR78_SCHPO,0,3,0,0,2,0,2,0,7,3
AT3G15020,0,3,0,0,0,3,7,0,0,3
contaminant_GR78_YEAST,0,3,0,0,0,0,0,0,0,0
AT1G06680,0,3,0,0,0,0,0,0,0,0
AT2G21580,0,2,5,6,3,4,7,0,0,0
AT1G09690,0,2,0,4,2,0,2,0,0,4
AT1G09590,0,2,0,3,2,0,2,0,0,4
AT1G57660,0,2,0,2,2,0,2,0,0,4
AT1G57860,0,2,0,0,0,0,2,0,0,4
AT2G30520,0,2,0,0,0,0,0,0,0,2
AT5G52040,0,0,201,460,370,619,747,0,0,0
AT4G25500,0,0,185,371,229,449,514,0,0,0
AT3G44310,0,0,124,352,64,64,122,0,2,0
AT4G10320,0,0,199,206,60,76,102,0,0,0
AT3G08590,0,0,161,182,138,158,290,11,0,0
AT4G35630,0,0,116,176,145,187,338,0,0,2
AT2G46610,0,0,62,158,154,178,75,0,0,0
AT5G26710,0,0,108,107,29,36,46,0,0,0
AT2G17630,0,0,103,100,134,79,126,0,0,0
AT1G09780,0,0,85,99,26,38,81,0,0,0
AT1G19480,0,0,62,83,45,47,84,29,0,0
AT3G46580,0,0,0,82,0,51,0,0,0,0
AT5G35200,0,0,69,81,47,51,57,0,0,0
AT3G04120,0,0,64,72,35,60,112,0,0,4
AT1G13440,0,0,66,72,21,48,113,0,0,4
AT2G40660,0,0,51,67,19,26,25,0,0,0
AT2G29550,0,0,55,58,48,48,69,0,0,0
AT5G62700,0,0,50,55,46,43,70,0,0,0
AT5G62690,0,0,50,55,46,43,70,0,0,0
AT5G23860,0,0,47,50,43,43,62,0,0,0
AT1G57720,0,0,40,44,28,36,54,0,9,14
AT3G44320,0,0,21,43,8,14,43,0,0,0
AT1G56070,0,0,36,42,31,40,67,0,10,12
AT1G54270,0,0,28,40,37,23,49,0,7,0
AT1G72730,0,0,29,39,35,21,43,0,7,0
AT3G12110,0,0,34,34,32,37,33,0,0,0
AT5G19780,0,0,32,33,0,40,105,0,0,3
AT5G19770,0,0,32,33,26,40,105,0,0,3
AT1G18080,0,0,19,33,6,10,9,0,9,3
AT5G44340,0,0,30,32,24,22,49,0,0,0
AT5G12250,0,0,32,32,18,21,41,0,0,0
AT3G20820,0,0,19,31,7,11,20,0,0,2
