Protein,AT3G43920,WT
AT3G44310,224,70
AT5G52040,7,434
AT1G67090,16,86
AT4G35630,54,153
AT3G08590,89,171
ATCG00490,60,147
AT5G38420,14,66
AT5G38430,12,54
AT1G19480,57,64
AT2G17630,34,101
AT4G29270,44,27
AT1G13440,11,79
AT3G04120,11,78
AT4G38680,9,43
AT2G21660,19,21
AT1G29250,16,16
AT2G34160,14,13
AT1G07940,13,75
AT1G07930,13,75
AT1G07920,13,75
AT5G60390,13,75
AT3G09820,9,47
AT3G52930,11,50
AT5G62690,23,59
AT5G62700,23,59
AT3G44320,39,15
AT5G26000,28,56
AT5G09810,10,43
AT2G29550,20,54
AT5G02500,41,52
AT5G23860,19,54
AT2G40660,32,25
AT3G09440,40,49
AT5G43940,3,47
AT5G44340,15,50
AT4G20890,17,48
AT2G28790,3,24
AT5G35200,36,37
AT1G71080,30,15
AT1G49240,11,33
AT3G18780,11,33
AT1G30230,7,26
AT3G44300,27,11
AT3G26650,8,41
AT2G39730,19,44
AT5G19510,9,18
AT1G72730,0,25
AT1G54270,10,45
AT3G13920,12,48
AT5G19770,16,39
AT5G19780,16,39
AT3G12110,9,31
AT1G20010,17,41
AT5G58420,0,9
AT2G17360,17,18
AT5G07090,17,18
AT1G12900,9,35
AT1G50010,19,8
AT1G04820,19,8
AT4G14960,19,54
AT5G42980,4,9
AT2G24940,6,5
AT5G11710,20,38
AT5G25980,10,44
AT4G10320,63,69
AT1G72370,14,20
AT4G39260,7,11
AT3G62250,6,11
AT2G47110,6,11
AT5G42020,30,35
AT1G18080,9,31
AT5G20290,11,15
AT5G28540,30,36
AT2G28000,24,44
AT2G37620,9,29
AT3G53750,9,29
AT5G55190,7,5
AT5G20010,7,20
AT5G20020,7,5
AT3G46520,10,25
AT5G59370,10,25
AT3G15730,43,47
AT5G12250,14,37
AT1G24020,5,11
AT1G20620,10,41
AT1G15930,6,8
AT4G13940,7,45
AT1G55490,30,34
AT1G07890,3,19
AT4G21280,13,10
AT1G75780,12,35
AT3G16640,5,9
AT5G02490,27,32
AT1G56070,20,61
AT5G26710,34,32
AT4G23670,4,11
AT5G02870,16,27
AT3G11510,5,9
AT2G36160,5,9
AT3G22110,6,18
AT1G42970,10,31
AT1G57720,9,28
AT4G33680,10,34
AT3G12580,26,29
AT2G27710,3,9
AT1G13950,0,2
AT1G69410,0,4
AT1G26630,5,18
AT3G09630,14,26
AT2G36460,6,25
AT3G13470,25,31
AT1G23290,7,7
AT1G70600,7,7
AT3G27850,9,8
AT3G27830,9,8
AT4G17390,8,10
AT4G16720,8,10
AT5G24780,6,23
AT3G23600,8,11
AT3G04840,10,15
AT5G61170,4,10
AT5G56010,16,40
AT3G56490,3,7
AT5G21274,9,3
AT3G43810,9,3
AT3G56800,0,3
AT2G27030,0,3
AT4G27090,4,7
AT2G32060,3,10
AT3G01500,6,24
AT4G09320,2,14
AT1G64740,11,26
AT1G33120,7,9
AT1G33140,7,9
AT5G42190,0,8
AT1G75950,4,9
AT3G09840,18,45
AT1G09640,10,20
AT4G23920,8,19
AT2G18020,11,10
AT1G04410,7,18
AT4G37800,18,6
AT3G45030,5,6
AT3G47370,4,6
AT5G62300,5,6
AT2G47610,12,9
AT2G41840,13,9
AT3G03540,16,28
AT5G56030,15,38
AT2G36530,3,30
AT3G55280,7,5
AT2G39460,7,5
AT2G16600,2,8
AT1G53750,25,7
AT5G20000,17,0
AT5G19990,18,14
AT4G38630,16,12
AT3G04920,5,5
AT3G17390,3,26
AT5G09650,10,13
AT1G64520,8,13
AT3G12145,3,18
AT3G23990,22,18
AT3G56340,6,5
AT2G40590,6,3
AT2G40510,6,3
AT5G20890,15,26
AT1G52400,18,20
AT5G15200,6,8
AT5G15230,2,6
AT5G35630,3,29
AT2G01250,9,10
AT2G46280,7,20
AT3G47070,5,2
AT3G05530,14,17
AT4G39200,4,4
AT4G34555,4,4
AT2G16360,0,4
AT4G38970,9,18
AT2G37190,5,7
AT3G53430,5,7
AT4G34670,6,12
AT3G62530,3,11
AT3G10610,6,5
AT2G05220,6,5
AT5G04800,6,5
AT2G04390,6,5
AT2G33370,6,2
AT3G04400,6,2
AT1G04480,6,2
ATCG00120,10,22
AT1G43170,15,11
AT1G34030,5,6
AT1G22780,5,6
AT4G09800,5,6
AT1G12310,7,4
AT3G11630,3,15
AT3G04230,0,2
AT5G18380,5,7
AT2G27720,3,6
AT2G34480,5,8
AT2G36880,4,21
AT5G58290,13,14
AT4G38740,2,7
AT1G58684,10,7
AT1G58983,10,7
AT1G59359,10,7
AT1G58380,10,7
AT5G22580,2,4
AT3G11830,13,22
AT3G47650,3,6
AT5G65730,10,6
AT3G13490,3,34
AT2G44120,8,7
AT1G48120,42,36
AT5G38480,3,15
AT5G10360,5,11
AT4G09000,4,15
AT3G49010,4,10
AT5G59950,7,7
AT3G45140,6,53
AT3G03960,13,23
AT4G13850,2,7
AT5G28060,4,4
AT4G18100,4,4
AT5G35360,15,17
AT5G24420,3,7
AT3G53020,4,5
AT1G20630,2,24
AT1G01100,2,6
AT4G16143,11,16
AT4G24280,15,26
AT3G62290,2,2
AT1G10630,2,11
AT5G14670,2,2
AT1G70490,2,2
AT2G47170,2,11
AT1G23490,2,2
AT2G29560,18,10
AT3G20050,12,20
AT5G66190,7,12
AT2G21060,4,6
AT3G63095,5,7
AT2G20450,3,4
AT3G05560,3,3
AT1G78300,3,11
AT5G56500,14,21
AT4G20360,4,25
AT1G69830,16,34
AT1G64880,9,24
AT5G20720,6,9
AT1G18540,6,7
AT2G33210,15,14
AT1G48630,4,13
AT3G18130,4,13
AT5G26360,13,18
AT5G02530,6,7
AT4G30800,0,0
AT3G48930,4,6
AT5G39740,5,12
AT3G25520,6,13
AT1G17100,2,13
AT2G43030,7,8
AT1G27400,3,6
AT1G67430,3,6
AT1G09310,2,6
AT1G78900,7,21
AT2G04520,2,6
AT5G35680,2,6
AT5G23540,7,8
AT2G23390,12,12
AT4G15000,3,4
AT1G45000,11,12
AT5G43010,11,6
AT1G20200,15,12
AT3G57290,6,19
AT1G69620,3,4
AT1G26880,0,3
AT5G11200,2,20
AT5G11170,2,20
AT2G42740,3,7
AT3G58700,3,7
AT4G18730,3,7
AT5G45775,3,7
AT4G36130,7,5
AT5G19550,4,15
AT3G02520,3,12
ATCG00480,6,20
AT5G35530,5,8
AT3G16470,10,14
AT5G49910,14,21
AT5G17920,5,32
AT1G20020,8,9
AT3G44690,52,8
AT1G07320,7,9
AT2G05840,4,2
AT5G35590,7,9
AT1G52570,20,15
AT2G21330,4,14
AT5G06290,2,11
AT4G39330,2,14
AT3G28500,2,3
AT3G06050,2,7
AT4G27440,2,20
AT1G26910,0,2
AT1G14320,5,6
AT1G66580,0,2
AT3G26060,2,9
AT1G32990,4,8
AT1G04270,3,4
AT3G12780,6,14
AT1G47128,11,9
AT3G51260,4,7
AT5G27850,4,5
AT3G05590,0,5
AT2G39990,3,9
AT3G12490,2,9
AT3G09200,3,12
AT2G04030,7,27
AT4G25740,4,4
AT5G52650,0,4
AT2G01140,3,15
AT4G05180,5,6
AT2G42500,4,0
AT3G58500,4,9
AT1G05720,2,4
AT4G29040,0,12
