Protein,AT1G08060,AT1G08060,AT1G19100,WT,WT
AT5G52040,773,756,786,401,408
AT3G44310,774,111,644,889,174
ATCG00490,434,92,440,496,91
AT4G29270,215,11,215,157,77
AT5G38420,108,16,109,140,31
AT5G38410,0,16,0,0,0
AT1G67090,106,21,105,135,24
AT5G38430,103,11,100,130,26
AT3G08590,240,90,241,322,38
AT4G35630,140,47,123,227,12
AT3G44320,89,25,77,78,56
AT3G57560,134,4,136,134,7
AT1G19480,74,41,79,73,37
AT3G44300,46,27,45,45,44
AT3G47070,12,8,11,16,13
AT1G29250,28,14,22,17,8
AT4G21280,22,18,24,21,30
AT2G17630,84,24,80,157,10
AT4G38680,44,11,53,40,8
AT2G34160,28,10,19,14,9
AT2G17360,0,25,0,37,18
AT5G07090,39,25,34,37,18
AT4G37800,33,20,34,27,23
AT1G71080,15,42,18,13,22
AT3G52930,44,18,45,47,20
AT5G09650,32,19,33,53,13
AT2G24940,10,6,10,9,7
AT1G13440,68,7,65,74,11
AT3G04120,49,7,49,54,0
AT5G20290,18,19,19,20,13
AT3G15730,105,39,72,109,46
AT5G26000,64,27,66,71,27
AT2G27710,15,5,16,24,3
AT2G21660,11,15,13,16,11
AT5G11710,98,20,119,85,6
AT4G25130,5,5,6,10,36
AT4G35090,47,11,41,50,42
AT3G49910,13,11,9,11,9
AT1G55490,63,32,72,53,32
AT1G20620,49,25,32,53,31
AT3G04920,11,8,10,8,9
ATCG01060,9,5,8,8,3
AT4G39260,10,9,11,12,12
AT3G13470,60,28,65,46,28
AT4G23670,20,4,12,15,8
AT2G36460,34,10,32,32,21
AT3G09820,15,29,13,37,14
ATCG00380,29,6,28,12,7
AT2G28000,57,23,57,50,25
AT2G40660,24,25,24,30,17
AT4G33680,60,11,54,39,16
AT1G64880,49,27,55,33,16
AT5G15200,16,13,16,17,5
AT3G04840,17,14,22,19,9
AT4G10320,82,65,77,109,39
AT3G48930,13,7,13,15,5
AT3G26060,12,8,14,12,12
AT3G26650,40,7,40,55,9
AT5G35200,50,26,49,54,8
AT2G41840,17,15,23,21,8
AT5G65730,21,19,22,22,5
AT3G11630,20,7,20,24,10
AT5G26710,26,40,33,29,34
AT2G32080,18,11,19,16,13
AT4G15000,9,6,6,10,5
AT1G07890,22,9,17,25,6
AT3G23600,12,7,12,17,12
AT5G14740,26,6,30,31,11
AT2G47610,20,10,19,24,6
