Protein,AT3G33520,AT3G33520,AT3G33520,AT3G33520,WT,WT,WT,WT
AT1G01050,0,2,0,0,0,2,2,0
AT1G01080,0,2,0,2,3,3,2,4
AT1G01090,10,10,0,2,5,9,10,7
AT1G01100,3,2,17,13,9,3,2,11
AT1G01300,4,7,18,20,18,11,7,19
AT1G01320,6,9,4,5,11,6,6,6
AT1G01510,0,0,3,7,8,3,2,8
AT1G01560,2,3,0,0,0,3,3,0
AT1G01610,3,0,0,0,0,0,0,0
AT1G01620,0,3,0,0,0,0,0,0
AT1G01730,0,0,2,3,3,0,0,4
AT1G01780,3,2,0,0,0,0,0,0
AT1G01790,0,0,0,0,5,0,0,5
AT1G01800,0,0,0,0,0,0,2,0
AT1G01900,0,0,0,0,2,0,0,2
AT1G01950,3,2,0,0,0,0,3,0
AT1G01960,12,8,2,0,0,8,12,0
AT1G02050,4,5,0,0,0,2,3,0
AT1G02080,26,27,3,4,5,28,23,7
AT1G02090,2,2,0,0,0,5,0,0
AT1G02140,2,0,0,0,2,2,3,3
AT1G02150,20,14,0,0,0,8,10,0
AT1G02205,3,3,0,0,0,0,0,0
AT1G02280,2,2,0,0,0,0,0,0
AT1G02305,6,5,0,0,0,2,0,0
AT1G02370,3,2,0,0,0,0,0,0
AT1G02500,30,35,8,11,7,34,34,5
AT1G02560,5,5,0,0,2,5,3,3
AT1G02690,8,8,6,6,8,2,5,7
AT1G02780,2,4,2,3,2,4,3,3
AT1G02800,2,0,0,0,0,0,0,0
AT1G02813,2,0,4,3,5,0,0,7
AT1G02840,10,7,0,0,5,8,11,6
AT1G02870,0,0,29,30,35,0,0,42
AT1G02930,0,4,0,0,0,7,5,0
AT1G03090,15,15,44,51,42,21,16,47
AT1G03130,5,6,3,5,7,6,4,6
AT1G03160,4,7,0,0,0,2,3,0
AT1G03230,9,6,4,4,5,4,5,5
AT1G03360,0,0,2,2,10,0,0,7
AT1G03365,2,3,0,0,0,0,0,0
AT1G03400,5,4,0,0,0,0,0,0
AT1G03457,0,2,0,0,0,0,0,0
AT1G03475,10,9,2,0,0,5,4,0
AT1G03530,0,0,0,0,2,0,0,0
AT1G03600,2,0,0,0,0,4,0,0
AT1G03630,18,19,0,0,0,9,12,0
AT1G03680,0,2,0,0,3,2,2,4
AT1G03910,0,0,0,0,4,4,8,8
AT1G04080,3,6,0,0,3,5,5,0
AT1G04110,0,0,0,0,2,0,0,4
AT1G04170,9,10,12,9,10,5,5,8
AT1G04270,2,2,12,10,10,0,0,12
AT1G04410,20,20,3,4,10,16,17,9
AT1G04420,2,0,0,0,0,0,0,0
AT1G04430,0,0,2,0,0,0,0,0
AT1G04480,8,7,28,45,37,8,7,32
AT1G04510,2,5,5,6,16,8,8,21
AT1G04530,4,5,0,0,0,6,3,0
AT1G04680,0,0,7,9,10,0,0,12
AT1G04690,3,4,0,0,3,2,4,2
AT1G04710,10,8,0,0,0,8,6,0
AT1G04750,0,0,0,0,2,0,0,0
AT1G04810,36,32,3,0,0,38,32,2
AT1G04820,89,95,26,23,23,65,64,27
AT1G04860,0,0,0,0,2,0,0,0
AT1G04990,3,10,0,0,0,4,5,0
AT1G05090,0,3,0,0,2,6,4,2
AT1G05150,0,0,0,0,3,0,0,0
AT1G05190,2,2,10,9,10,0,0,12
AT1G05260,0,0,3,7,10,0,0,12
AT1G05460,24,24,0,0,0,29,29,0
AT1G05520,0,0,0,0,0,0,2,0
AT1G05680,3,3,0,0,0,4,6,0
AT1G05720,4,8,0,0,0,7,8,2
AT1G05890,0,2,0,0,0,0,0,0
AT1G05910,0,0,12,13,16,0,0,16
AT1G05960,0,0,0,0,0,2,0,0
AT1G06000,6,7,0,0,0,7,9,0
AT1G06110,0,0,0,0,0,3,0,0
AT1G06130,2,2,0,0,0,2,2,0
AT1G06190,2,0,0,0,0,0,0,0
AT1G06220,32,26,10,13,27,36,35,26
AT1G06230,0,0,0,0,2,0,0,3
AT1G06260,3,2,4,4,6,2,3,6
AT1G06290,2,4,0,0,0,3,4,0
AT1G06410,22,22,0,0,0,14,19,0
AT1G06430,7,10,0,0,0,8,5,0
AT1G06550,3,2,0,0,0,0,0,0
AT1G06640,19,19,0,0,0,0,0,0
AT1G06670,0,0,12,15,18,0,0,22
AT1G06680,4,7,3,2,3,6,5,3
AT1G06720,0,0,12,13,21,0,0,15
AT1G06760,0,0,0,0,0,0,0,2
AT1G06950,12,9,2,2,6,4,3,7
AT1G07140,0,4,0,0,0,4,3,0
AT1G07250,0,2,0,0,0,0,0,0
AT1G07320,6,6,0,3,4,8,8,5
AT1G07360,7,8,4,5,12,5,5,12
AT1G07370,0,3,0,0,2,3,2,0
AT1G07440,6,6,0,0,0,10,10,0
AT1G07450,2,2,0,0,0,5,3,0
AT1G07660,3,0,14,14,11,2,4,13
AT1G07750,7,6,0,0,0,3,0,0
AT1G07770,6,8,8,7,4,5,4,3
AT1G07780,6,7,0,0,0,6,4,0
AT1G07790,2,0,2,2,0,0,0,0
AT1G07820,3,0,14,14,11,2,4,13
AT1G07840,0,0,5,4,5,0,0,5
AT1G07890,26,25,6,9,10,23,25,10
AT1G07920,113,131,24,26,29,114,89,42
AT1G07930,113,131,24,26,29,114,89,42
AT1G07940,113,131,24,26,29,114,89,42
AT1G07990,5,2,0,0,0,0,0,0
AT1G08130,12,12,0,0,0,8,7,0
AT1G08190,6,11,0,0,0,7,6,0
AT1G08200,9,5,0,0,0,5,4,0
AT1G08260,2,5,0,0,0,0,0,0
AT1G08360,2,4,53,46,27,2,4,31
AT1G08370,0,0,0,0,2,0,0,2
AT1G08420,3,3,0,0,2,0,0,2
AT1G08520,16,21,8,7,5,18,15,6
AT1G08600,0,0,5,4,9,0,0,10
AT1G08630,6,6,0,0,0,5,4,0
AT1G08780,2,4,0,0,0,0,0,0
AT1G08830,2,2,0,0,3,0,0,0
AT1G08880,0,0,0,2,3,0,0,2
AT1G09010,2,2,0,0,0,0,0,0
AT1G09020,0,0,0,0,0,0,2,0
AT1G09070,0,3,0,0,0,2,3,0
AT1G09100,21,30,5,5,5,29,30,0
AT1G09130,5,7,0,0,0,4,0,0
AT1G09140,0,2,0,0,0,0,0,0
AT1G09200,0,0,0,0,0,0,0,2
AT1G09210,5,5,2,2,5,3,5,6
AT1G09230,0,0,0,0,0,2,2,0
AT1G09270,11,9,26,16,21,9,10,19
AT1G09290,4,2,0,0,0,0,0,0
AT1G09310,7,7,5,4,5,4,6,6
AT1G09340,9,7,7,5,11,6,6,10
AT1G09430,4,5,0,0,0,2,5,0
AT1G09490,2,0,0,0,0,0,0,0
AT1G09590,3,0,0,3,3,3,0,3
AT1G09620,6,4,0,0,0,3,4,0
AT1G09640,53,56,4,4,4,47,56,6
AT1G09690,3,0,0,3,3,3,0,3
AT1G09750,8,4,0,0,3,4,6,3
AT1G09760,3,3,5,8,9,2,2,10
