Protein,AT3G06290,AT3G06290,AT3G06290,AT3G06290,WT
AT5G52040,535,851,862,595,230
AT4G25500,375,663,623,411,184
AT3G06290,245,391,345,263,0
AT3G08590,196,292,290,188,197
AT3G44310,183,908,695,195,188
AT4G35630,175,251,208,170,192
AT4G10320,123,94,73,123,119
AT1G48120,109,116,89,114,121
ATCG00490,108,145,121,125,111
AT2G17630,104,150,129,115,135
AT1G19480,101,121,125,94,112
AT1G64880,84,74,56,101,80
AT1G79280,80,65,59,59,37
AT1G71220,76,76,60,71,75
AT3G44690,75,78,41,68,78
AT2G29550,72,121,95,78,62
AT3G15730,72,101,72,75,69
AT5G02500,70,90,76,96,59
AT5G62690,70,122,97,77,60
AT5G62700,70,122,97,77,60
AT5G11710,67,57,52,69,69
AT5G23860,67,118,91,74,57
AT1G09780,65,119,100,65,64
AT1G52570,65,71,42,67,59
AT3G09440,65,87,68,82,52
AT4G20850,64,70,51,57,53
AT3G45140,63,53,44,50,46
AT5G26000,62,59,62,53,64
AT5G44340,60,110,85,70,49
AT1G56070,59,71,60,72,51
AT5G65770,59,55,48,48,69
AT4G20890,57,106,83,65,49
AT3G09840,56,74,56,68,65
AT1G67090,54,72,72,48,41
AT5G35200,53,60,53,60,54
AT1G69830,52,67,59,64,56
AT1G70320,51,78,49,51,43
AT5G12250,51,80,62,55,46
AT5G28540,51,49,44,60,45
AT5G26710,50,46,42,68,60
AT5G38420,50,82,79,44,45
AT2G21390,48,47,43,53,42
AT1G04820,47,47,48,52,42
AT1G50010,47,47,48,52,42
AT4G14960,47,50,49,51,41
AT5G02490,47,60,39,51,36
AT5G03340,47,61,44,54,54
AT5G42020,47,49,45,59,49
AT1G20010,46,79,63,55,42
AT1G29900,46,30,22,44,35
AT2G05120,46,46,35,43,56
AT2G20580,46,45,49,55,35
AT1G55490,45,58,43,54,40
AT1G75780,45,70,57,48,39
AT1G36160,44,61,43,46,39
AT1G80070,44,65,41,47,35
AT3G52930,44,34,30,48,49
AT4G23920,44,38,36,33,43
AT1G78570,43,41,31,33,38
AT2G40660,43,34,29,53,47
AT3G03540,43,57,54,52,43
AT5G19770,43,43,39,45,38
AT5G19780,43,43,39,45,38
AT5G25980,43,30,28,40,49
AT1G62020,42,41,40,47,41
AT2G04030,42,46,36,48,29
AT3G57560,42,86,79,61,39
AT1G20960,41,43,32,38,25
AT1G53750,41,43,38,40,39
AT3G13470,41,61,45,51,42
AT5G20000,41,41,37,43,35
AT2G38040,40,38,32,43,32
AT5G09810,40,61,63,46,40
AT5G19990,40,42,38,43,35
AT5G56010,40,45,35,45,34
AT5G38430,39,66,54,33,34
AT5G56030,39,43,34,44,33
AT1G49240,38,57,60,40,34
AT1G57720,38,30,34,44,36
AT2G36880,38,38,34,49,41
AT3G18780,38,57,60,40,34
AT3G56150,38,49,37,38,35
AT4G28470,38,45,35,35,32
AT4G34450,38,40,35,31,24
AT5G63840,38,30,24,32,40
AT1G71080,37,38,35,30,37
AT2G28000,37,46,35,43,28
AT2G39730,37,43,38,51,38
AT3G12110,37,51,57,38,31
AT3G26650,37,34,36,41,31
AT4G13940,37,30,32,33,33
AT1G52400,36,33,18,30,40
AT2G37620,36,54,57,33,29
AT3G11910,36,32,24,41,31
AT3G53750,36,54,57,33,29
AT4G11420,36,50,41,37,26
AT4G24280,36,38,37,35,23
AT5G20830,36,36,29,36,41
AT1G55860,35,47,30,34,29
AT1G78900,35,35,33,42,34
AT3G12580,35,52,42,50,32
AT3G44320,35,68,65,33,32
AT4G29040,35,34,30,29,24
AT5G27640,35,36,30,28,28
AT5G36880,35,28,19,33,40
AT5G43990,35,30,24,34,38
AT5G56000,35,37,31,40,29
AT1G15750,34,26,27,33,42
AT1G80410,34,29,22,42,33
AT2G20140,34,35,30,28,25
AT2G29560,34,39,36,45,35
AT3G23990,34,36,32,40,34
AT5G09650,34,29,20,30,36
AT3G04120,33,29,25,30,30
AT3G09880,33,36,21,40,37
AT3G44300,33,46,37,28,30
AT5G58290,33,44,32,35,30
AT1G13440,32,28,24,29,29
AT1G53310,32,27,18,23,23
AT3G46520,32,48,53,35,28
AT5G17920,32,27,20,27,22
AT5G59370,32,49,53,35,27
AT5G66190,32,24,20,26,24
ATCG00480,32,33,24,30,25
AT1G07920,31,41,36,40,32
AT1G07930,31,41,36,40,32
AT1G07940,31,41,36,40,32
AT1G54270,31,35,28,28,22
AT1G65010,31,48,28,25,36
AT2G39800,31,36,28,41,34
AT3G05530,31,36,30,34,30
AT3G60750,31,22,20,25,27
AT5G60390,31,41,36,40,32
AT1G42970,30,28,27,30,22
AT1G64740,30,29,24,30,24
AT1G65440,30,28,28,23,16
AT3G13920,30,33,28,28,21
AT3G17390,30,31,29,36,31
AT3G55870,30,19,15,24,19
AT1G05460,29,31,27,31,30
AT1G09640,29,23,22,34,25
AT2G05920,29,18,18,29,31
AT2G28290,29,36,24,29,33
AT2G32730,29,37,28,36,26
AT2G36530,29,30,24,34,27
AT4G16143,29,37,30,36,19
AT4G31480,29,29,25,31,24
AT4G31490,29,29,24,34,22
AT5G25780,29,39,35,28,31
AT5G26360,29,44,33,38,32
AT5G49910,29,27,31,33,19
AT5G56290,29,25,19,28,26
AT5G56500,29,38,32,39,32
AT1G12900,28,27,26,29,23
AT2G14120,28,29,18,28,22
AT2G19560,28,42,29,32,0
AT3G14790,28,29,19,26,27
AT3G57290,28,33,25,25,29
AT3G59770,28,39,28,35,9
AT4G37800,28,28,30,25,29
AT5G20890,28,44,35,37,31
AT5G56360,28,27,22,29,30
AT1G20200,27,29,28,30,29
AT1G53500,27,30,19,22,28
AT1G78580,27,30,22,32,35
AT2G33210,27,33,29,34,28
AT2G34160,27,35,40,28,29
AT2G46020,27,40,21,32,24
AT2G46280,27,32,26,31,27
AT3G18190,27,29,26,27,26
AT3G55610,27,31,21,33,30
AT5G02790,27,19,25,30,21
AT5G43960,27,22,19,32,20
AT1G02500,26,30,25,33,27
AT1G80490,26,27,24,23,32
AT2G23390,26,19,17,27,26
AT2G36460,26,19,19,29,30
AT3G02530,26,30,21,29,26
AT4G01850,26,26,26,33,27
AT4G29270,26,38,28,32,26
AT5G04140,26,30,15,23,23
AT5G11170,26,37,29,37,25
AT5G16070,26,26,22,28,22
AT5G35360,26,27,27,32,25
AT5G48300,26,27,18,22,21
ATCG00120,26,21,18,21,22
AT1G09100,25,29,25,25,24
AT1G20620,25,30,21,27,24
AT1G24510,25,29,22,29,24
AT1G29250,25,41,45,34,28
AT1G68560,25,22,12,21,25
AT2G42600,25,25,18,24,29
AT3G03530,25,24,25,24,23
AT3G03960,25,31,27,25,22
AT3G23810,25,21,22,24,22
AT3G63460,25,27,25,29,20
AT4G37930,25,19,15,21,19
AT5G35630,25,30,16,21,22
AT5G59810,25,21,13,18,25
AT5G65730,25,26,17,30,28
AT1G06220,24,28,22,29,21
AT1G29150,24,35,35,25,22
AT1G45000,24,31,17,28,27
AT1G60900,24,23,12,17,14
AT1G79920,24,33,14,27,22
AT3G29360,24,25,20,22,22
AT4G28980,24,22,20,21,19
AT4G35090,24,23,16,23,14
AT5G06600,24,25,21,24,17
AT5G15490,24,21,20,18,18
AT5G40270,24,17,18,21,23
AT5G43010,24,30,16,29,27
AT1G64520,23,20,20,18,14
AT2G21330,23,15,14,17,19
AT3G13490,23,26,23,31,22
AT4G37910,23,30,24,32,26
AT4G38970,23,20,16,21,26
AT5G24710,23,30,25,26,12
AT1G04810,22,29,24,23,22
AT1G20020,22,20,16,28,27
AT1G30230,22,36,24,25,21
AT1G43170,22,29,25,18,21
AT1G52360,22,30,24,21,17
AT1G52410,22,19,21,24,30
AT1G79990,22,24,17,15,12
AT2G17360,22,31,23,24,21
AT3G01310,22,23,21,19,16
AT3G03780,22,19,14,16,15
AT3G09820,22,28,24,29,21
AT3G11830,22,25,20,22,18
AT3G12915,22,23,18,27,16
AT4G33010,22,23,14,32,26
AT5G03300,22,24,24,28,17
AT5G07090,22,31,0,24,21
AT5G08450,22,27,22,23,28
AT1G06410,21,23,15,23,14
AT1G18450,21,24,17,25,19
AT1G20630,21,22,15,20,17
AT1G47128,21,19,17,12,16
AT1G72370,21,18,16,16,20
AT1G75990,21,25,22,23,20
AT1G79930,21,28,13,25,23
AT2G27040,21,18,13,15,13
AT3G20050,21,24,23,27,26
AT3G58610,21,13,10,12,19
