Protein,AT3G28730,AT3G28730,AT3G28730,AT3G28730,WT,WT.1,WT.2,WT.3
AT3G28730,565,178,1110,94,0,0,2,0
AT4G10710,365,121,500,68,0,0,4,3
AT3G57660,103,119,115,153,74,109,94,189
AT1G36160,76,286,214,302,105,86,358,157
AT5G52470,64,86,47,100,50,93,88,83
AT2G19520,62,85,55,111,27,48,70,72
AT5G25980,58,80,78,58,12,47,64,87
AT1G29940,57,64,63,90,25,73,70,124
AT1G56110,57,72,40,90,31,87,68,58
AT4G25630,56,73,47,74,43,75,71,67
AT5G40340,56,51,40,98,42,64,27,59
AT1G29320,55,45,38,45,23,63,54,73
AT2G40360,55,42,33,52,17,72,44,59
AT5G02500,55,52,69,59,27,39,58,59
AT3G57150,48,49,27,132,34,93,95,54
AT3G05060,46,56,34,109,38,88,62,61
AT1G75940,43,101,66,2,0,40,72,67
AT3G09440,42,36,57,44,31,27,36,38
AT1G68560,38,65,61,28,14,24,47,27
AT3G09630,38,28,22,32,12,34,29,32
AT5G15550,37,44,18,20,4,44,40,53
AT4G01560,36,32,18,40,10,35,26,51
AT5G02870,36,24,24,26,8,33,29,27
AT4G39680,35,16,27,18,2,38,10,32
AT5G27120,35,39,32,66,24,56,45,42
AT5G42020,35,35,43,57,36,31,37,36
AT5G14520,34,27,16,43,23,33,28,35
AT5G28540,34,33,42,58,35,30,38,36
AT1G56070,33,47,52,21,6,31,43,39
AT1G43170,32,23,22,52,14,39,26,37
AT1G72440,32,22,25,36,17,48,28,40
AT2G18900,31,44,29,26,12,36,38,37
AT5G08670,31,66,43,37,19,38,50,29
AT5G08680,31,66,43,37,19,38,50,29
AT5G08690,31,66,43,37,19,38,50,29
AT1G50920,30,17,17,70,26,42,19,52
AT3G20820,30,26,25,9,4,29,20,25
AT5G35360,30,62,46,122,55,21,71,65
ATCG00490,30,45,48,79,41,41,42,33
AT3G12580,29,28,33,29,22,20,28,28
ATCG00480,29,41,42,46,19,38,44,33
AT1G52400,28,34,39,16,2,53,20,43
AT1G36180,27,69,61,88,28,24,79,50
AT1G60850,27,26,28,46,19,33,27,50
AT5G20600,27,22,17,26,6,38,19,29
AT3G11964,26,47,25,75,29,30,36,53
AT1G02870,25,14,20,29,2,23,25,35
AT3G12860,25,32,22,46,15,37,30,23
AT5G02490,25,27,36,25,22,15,22,23
AT1G23410,24,31,64,23,8,18,15,30
AT1G31340,24,31,63,23,8,17,15,31
AT1G55060,24,31,63,22,8,17,15,30
AT1G63810,24,61,34,78,29,24,49,43
AT1G65350,24,31,63,22,8,17,15,30
AT2G35635,24,31,63,23,8,17,15,31
AT2G36170,24,31,63,22,8,17,15,30
AT2G47110,24,33,64,27,8,19,15,30
AT3G52590,24,31,63,22,8,17,15,30
AT3G62250,24,33,64,27,8,19,15,30
AT4G02890,24,31,63,22,8,17,15,30
AT4G04940,24,43,35,34,10,28,44,45
AT4G05050,24,31,63,22,8,17,15,30
AT4G05320,24,31,63,22,8,17,15,30
