Protein,WT,AT1G67180,AT1G67180
AT3G59770,0,17,2
AT1G03090,0,14,0
AT1G62390,0,13,0
AT2G34970,0,13,2
AT3G05060,0,13,0
AT1G31340,0,10,7
AT2G35635,0,10,7
AT3G01780,0,10,0
AT3G54930,0,10,7
AT4G05420,0,10,5
AT5G40450,0,10,2
AT1G23410,0,9,9
AT1G67180,0,9,61
AT4G08350,0,9,0
AT5G22780,0,9,0
AT5G60640,0,9,11
AT1G55060,0,8,7
AT1G61850,0,8,12
AT1G65350,0,8,7
AT2G36170,0,8,7
AT3G52590,0,8,7
AT4G02890,0,8,7
AT4G04640,0,8,5
AT4G05050,0,8,7
AT4G05320,0,8,7
AT4G15210,0,8,6
AT4G19006,0,8,2
AT4G21710,0,8,3
AT5G03240,0,8,7
AT5G12950,0,8,4
AT5G14250,0,8,0
AT5G20620,0,8,7
AT5G22770,0,8,0
AT5G37640,0,8,7
AT1G17760,0,7,0
AT1G20950,0,7,0
AT1G48860,0,7,3
AT1G49670,0,7,0
AT2G31810,0,7,0
AT2G34480,0,7,0
AT3G06650,0,7,7
AT3G27925,0,7,0
AT3G55020,0,7,4
AT3G58140,0,7,2
AT4G09510,0,7,0
AT4G16130,0,7,0
AT4G39980,0,7,3
AT5G24710,0,7,3
AT1G09620,0,6,2
AT1G11910,0,6,3
AT1G17290,0,6,0
AT1G18210,0,6,0
AT1G25490,0,6,0
AT1G79050,0,6,3
AT2G04390,0,6,2
AT2G05220,0,6,2
AT2G06850,0,6,4
AT2G36250,0,6,0
AT2G37550,0,6,2
AT2G45300,0,6,0
AT2G47240,0,6,7
AT3G03950,0,6,3
AT3G07110,0,6,0
AT3G09790,0,6,5
AT3G10610,0,6,2
AT3G29410,0,6,2
AT3G45190,0,6,0
AT4G18060,0,6,2
AT4G18240,0,6,0
AT5G02240,0,6,0
AT5G04800,0,6,2
AT5G12960,0,6,3
AT5G13450,0,6,2
AT5G13520,0,6,3
AT5G14720,0,6,6
AT5G15650,0,6,3
AT5G26742,0,6,3
AT5G37600,0,6,0
AT5G67320,0,6,2
AT1G05090,0,5,0
AT1G12840,0,5,0
AT1G18270,0,5,0
AT1G27400,0,5,2
AT1G54340,0,5,2
AT1G62940,0,5,0
AT1G63000,0,5,0
AT1G67430,0,5,2
AT1G71840,0,5,0
AT1G76550,0,5,0
AT1G76810,0,5,0
AT1G79040,0,5,3
AT1G80270,0,5,0
AT2G03640,0,5,4
AT2G33730,0,5,5
AT2G34640,0,5,0
AT2G42270,0,5,0
AT3G02360,0,5,2
AT3G07300,0,5,2
AT3G14415,0,5,0
AT3G14420,0,5,0
AT3G17900,0,5,0
AT3G24830,0,5,2
AT3G25800,0,5,0
AT3G28710,0,5,3
AT3G28715,0,5,0
AT3G43300,0,5,0
AT3G50590,0,5,3
AT3G51160,0,5,0
AT3G52180,0,5,2
AT3G54670,0,5,0
AT3G55200,0,5,0
AT3G55220,0,5,0
AT4G03430,0,5,0
AT4G16390,0,5,0
AT4G20720,0,5,0
AT4G21100,0,5,2
AT4G29510,0,5,2
AT5G15610,0,5,0
AT5G41520,0,5,3
AT5G44320,0,5,2
AT5G65430,0,5,3
AT1G02080,0,4,2
AT1G02560,0,4,0
AT1G03630,0,4,2
AT1G04170,0,4,0
AT1G06020,0,4,2
AT1G09080,0,4,4
AT1G12920,0,4,3
AT1G13190,0,4,3
AT1G13930,0,4,2
AT1G17720,0,4,2
AT1G27650,0,4,0
AT1G29965,0,4,0
AT1G29970,0,4,0
AT1G52670,0,4,0
AT1G56110,0,4,0
AT1G63680,0,4,2
AT1G65980,0,4,0
AT1G68010,0,4,0
AT1G69250,0,4,0
AT1G74960,0,4,0
AT2G05170,0,4,0
AT2G22250,0,4,0
AT2G24210,0,4,0
AT2G28470,0,4,3
AT2G36580,0,4,0
AT2G38730,0,4,0
AT2G39770,0,4,0
AT2G40290,0,4,0
AT2G42910,0,4,2
AT2G44530,0,4,3
AT3G04230,0,4,0
AT3G06850,0,4,2
AT3G07100,0,4,0
AT3G08030,0,4,0
AT3G16060,0,4,0
AT3G16630,0,4,0
AT3G20820,0,4,2
AT3G23780,0,4,0
AT3G29075,0,4,0
AT3G44340,0,4,0
AT3G52140,0,4,3
AT3G54050,0,4,4
AT3G62310,0,4,0
AT4G00570,0,4,0
AT4G02480,0,4,0
AT4G10840,0,4,0
AT4G14716,0,4,0
AT4G14880,0,4,3
AT4G17100,0,4,2
AT4G23460,0,4,0
AT4G25590,0,4,0
AT4G26840,0,4,0
AT4G31160,0,4,2
AT4G34430,0,4,2
AT4G34555,0,4,3
AT4G36020,0,4,0
AT4G39660,0,4,0
AT5G08570,0,4,0
AT5G10540,0,4,0
AT5G12410,0,4,0
AT5G14040,0,4,5
AT5G15020,0,4,0
AT5G16270,0,4,4
AT5G16990,0,4,2
AT5G18570,0,4,2
AT5G22580,0,4,0
AT5G22650,0,4,0
AT5G26860,0,4,7
AT5G27770,0,4,3
AT5G38600,0,4,0
AT5G41950,0,4,0
AT5G42190,0,4,0
AT5G42820,0,4,0
AT5G47870,0,4,0
AT5G49810,0,4,0
AT5G53440,0,4,2
AT5G55280,0,4,0
AT5G56630,0,4,2
AT5G57460,0,4,2
AT5G61020,0,4,3
AT5G61970,0,4,0
ATCG00740,0,4,0
AT1G02305,0,3,0
AT1G04710,0,3,0
AT1G05520,0,3,0
AT1G06030,0,3,0
AT1G06950,0,3,3
AT1G07770,0,3,2
AT1G07990,0,3,0
AT1G08360,0,3,2
AT1G09795,0,3,0
AT1G10430,0,3,4
AT1G10630,0,3,3
AT1G13320,0,3,0
AT1G13450,0,3,0
AT1G20910,0,3,0
AT1G21720,0,3,0
AT1G22920,0,3,0
AT1G23490,0,3,3
AT1G31330,0,3,2
AT1G34760,0,3,2
AT1G44835,0,3,0
AT1G48850,0,3,0
AT1G50250,0,3,0
AT1G50480,0,3,3
AT1G50670,0,3,0
AT1G51690,0,3,2
AT1G54220,0,3,2
AT1G54570,0,3,0
AT1G59830,0,3,4
AT1G60780,0,3,0
