Protein,AT3G01460,AT3G01460,WT
AT3G44310,102,291,235
ATCG00490,100,228,190
AT3G01460,81,147,0
AT3G08590,65,101,88
AT4G10320,62,65,66
AT3G52930,56,53,50
AT2G36460,50,49,46
AT5G52040,41,40,115
AT3G15730,40,41,38
AT4G35630,39,55,62
AT4G29270,38,95,85
AT2G17630,34,46,50
AT4G21280,33,34,28
AT1G19480,28,42,38
AT4G25500,28,26,91
AT5G26000,28,44,33
AT5G26710,26,19,16
AT4G26530,25,11,10
AT4G35090,25,34,34
AT1G09780,24,34,30
AT3G06400,23,42,0
AT4G37800,23,30,26
AT5G38420,23,38,29
AT2G39730,22,36,27
AT4G20850,22,32,35
AT5G38410,22,37,27
AT1G67090,21,32,24
AT3G26650,21,32,28
AT5G35630,21,19,15
AT3G44300,20,23,22
AT1G42970,19,33,27
AT2G28000,19,23,18
AT4G39260,19,22,22
AT5G28540,19,23,21
AT5G42020,19,24,20
AT1G55490,18,21,20
ATCG00480,18,21,17
AT3G05900,17,28,18
AT3G12580,17,22,13
AT3G13470,17,20,19
AT5G56740,17,14,12
AT3G44320,16,26,18
AT5G02500,16,23,17
AT5G38430,16,24,18
AT5G40450,16,8,6
AT1G03090,15,15,14
AT3G09260,15,26,19
AT5G09650,15,16,16
AT5G18620,15,34,0
AT5G35200,15,17,19
AT5G65730,15,20,20
ATCG00120,15,20,18
AT1G12900,14,25,24
AT1G20260,14,14,19
AT1G76030,14,14,19
AT2G38040,14,11,7
AT3G09840,14,19,13
AT3G23990,14,13,16
AT4G28520,14,28,32
AT1G22530,13,14,8
AT1G71080,13,17,15
AT3G09440,13,19,16
AT3G57560,13,18,13
AT4G38680,13,17,15
AT5G44120,13,21,21
AT5G66190,13,17,12
AT1G72150,12,12,13
AT1G78900,12,14,21
AT4G20360,12,17,11
AT4G24280,12,17,14
AT4G38510,12,10,16
AT5G30510,12,16,15
AT5G36880,12,7,8
AT5G40420,12,0,2
AT1G09640,11,14,7
AT1G20020,11,13,18
AT1G20620,11,16,15
AT2G21660,11,11,11
AT3G14420,11,13,9
AT5G03340,11,14,11
AT5G14740,11,13,8
AT5G43960,11,6,8
AT5G56500,11,11,10
AT1G13440,10,15,9
AT1G29250,10,15,13
AT1G49240,10,13,13
AT2G20580,10,12,10
AT2G33210,10,11,11
AT2G34160,10,15,13
AT3G04120,10,15,10
AT3G15950,10,16,13
AT3G16420,10,10,12
AT3G18780,10,13,13
AT5G49910,10,14,12
AT5G61780,10,10,11
AT5G66570,10,5,8
AT1G09340,9,12,9
AT1G57720,9,10,14
AT1G76180,9,9,2
AT2G19520,9,6,7
AT2G29560,9,9,9
AT3G01500,9,14,11
AT3G53230,9,11,9
AT4G05180,9,9,11
AT4G13940,9,8,8
AT4G16180,9,8,7
AT5G02490,9,13,10
AT5G11710,9,19,20
AT5G17920,9,8,8
AT1G04410,8,8,6
AT1G07920,8,11,9
AT1G07930,8,11,9
AT1G07940,8,11,9
AT1G53850,8,6,7
AT1G56410,8,11,9
AT2G23390,8,9,11
AT2G32080,8,10,9
AT2G40660,8,12,8
AT3G14290,8,6,7
AT3G22110,8,9,11
AT3G47070,8,10,8
AT3G50820,8,5,6
AT3G54660,8,9,12
AT4G34030,8,13,12
AT5G07350,8,7,7
AT5G09810,8,7,7
AT5G19510,8,8,4
AT5G60390,8,11,9
AT5G62690,8,11,11
AT5G62700,8,11,11
AT5G64040,8,7,7
AT1G06950,7,7,4
AT1G13020,7,0,2
AT1G16030,7,9,5
AT1G18080,7,5,8
AT1G56070,7,11,5
AT1G72370,7,7,8
AT2G31810,7,7,6
AT3G02110,7,9,8
AT3G03780,7,5,6
AT3G11630,7,4,4
AT3G12780,7,13,12
AT3G14415,7,11,5
AT3G26060,7,8,7
AT3G46780,7,7,5
AT3G60750,7,12,8
AT3G63190,7,6,5
AT4G02520,7,4,6
AT4G18480,7,10,7
AT4G20260,7,7,7
AT4G20890,7,10,9
AT4G38970,7,12,13
AT5G16970,7,12,11
AT5G20290,7,7,6
AT5G23860,7,11,10
AT5G26280,7,10,12
AT5G35360,7,10,16
AT5G39570,7,4,5
AT5G44340,7,9,8
ATMG00280,7,15,11
AT1G03230,6,7,4
AT1G03600,6,6,0
AT1G07890,6,6,3
AT1G11860,6,4,8
AT1G15750,6,13,16
AT1G20010,6,11,11
AT1G20630,6,11,11
AT1G23310,6,13,12
AT1G32060,6,2,2
AT1G35580,6,10,9
AT1G47128,6,6,5
AT1G52570,6,9,9
AT1G53580,6,3,3
AT1G53750,6,10,7
AT1G70580,6,10,5
AT2G01970,6,5,5
AT2G13360,6,5,7
AT2G17360,6,7,4
AT2G20140,6,4,6
AT2G21390,6,6,4
AT2G38230,6,6,5
AT2G47730,6,6,7
AT3G10060,6,5,2
AT3G23810,6,7,6
AT3G54050,6,0,0
AT4G11150,6,2,2
