Protein,WT,AT3G06290,AT2G19560,AT3G10650,AT1G80680
AT3G06290,0,56,12,0,0
AT4G18480,15,23,32,22,22
AT3G13300,32,17,33,35,15
ATCG00490,21,12,44,18,12
AT1G13440,12,10,30,9,9
AT3G04120,11,10,32,9,9
AT3G13290,21,10,24,32,8
AT1G15470,15,9,16,16,13
AT2G39730,5,7,17,9,10
AT3G06810,11,7,20,9,0
AT4G14890,8,7,13,7,2
AT5G02500,9,7,16,10,18
AT2G27710,4,6,6,0,3
AT3G12580,10,6,12,9,12
AT4G31480,6,6,20,14,10
AT4G31490,6,6,20,13,10
AT5G62690,9,6,27,4,6
AT5G62700,9,6,27,4,6
AT1G20010,6,5,19,3,3
AT1G56410,7,5,11,5,9
AT1G66410,0,5,0,0,0
AT1G75780,7,5,16,4,3
AT2G27030,0,5,0,0,0
AT2G27720,3,5,6,0,3
AT2G29550,7,5,23,5,7
AT2G41110,0,5,0,0,0
AT3G43810,0,5,0,0,0
AT3G56800,0,5,0,0,0
AT5G02490,9,5,12,6,11
AT5G03420,11,5,18,9,9
AT5G21274,0,5,0,0,0
AT5G23860,8,5,24,4,6
AT5G37780,0,5,0,0,0
AT2G18790,10,4,4,8,0
AT2G21660,7,4,6,3,5
AT2G40060,0,4,5,0,0
AT3G09440,9,4,10,5,12
AT3G12800,4,4,8,8,5
AT4G20360,5,4,11,2,3
AT5G09810,8,4,18,7,9
AT5G12250,5,4,16,3,4
AT5G28540,7,4,12,6,5
AT5G42020,6,4,13,5,5
AT5G45930,3,4,8,4,6
AT1G04820,6,3,16,5,6
AT1G07920,2,3,5,4,2
AT1G07930,2,3,5,4,2
AT1G07940,2,3,5,4,2
AT1G09100,2,3,5,0,0
AT1G48920,4,3,7,0,4
AT1G50010,6,3,16,5,6
AT1G52730,2,3,2,2,3
AT3G05530,2,3,7,0,0
AT3G15610,2,3,0,2,3
AT3G16950,2,3,6,0,0
AT3G20630,7,3,5,5,0
AT3G21070,2,3,2,2,4
AT4G14960,6,3,16,5,6
AT4G20890,6,3,18,3,3
AT4G28750,2,3,4,0,0
AT4G39260,3,3,4,0,4
AT5G19770,5,3,15,3,6
AT5G19780,5,3,15,3,6
AT5G44340,7,3,21,3,4
AT5G52040,5,3,7,0,3
AT5G57610,10,3,17,7,2
AT5G60390,2,3,5,4,2
ATCG00120,6,3,20,4,2
AT1G12310,2,2,3,0,0
AT1G12900,4,2,8,4,3
AT1G16030,4,2,4,3,5
AT1G16300,5,2,5,3,0
AT1G20620,3,2,6,2,0
AT1G24020,2,2,3,3,3
AT1G49240,5,2,9,5,3
AT1G49760,0,2,4,0,0
AT1G54270,3,2,7,3,2
AT1G69010,5,2,8,3,0
AT1G72370,3,2,4,4,0
AT1G72730,3,2,6,3,2
AT2G07640,2,2,3,3,0
AT2G16365,4,2,5,4,0
AT2G37620,6,2,11,7,4
AT3G13920,3,2,6,3,2
AT3G13930,9,2,9,6,5
AT3G17390,2,2,5,0,2
AT3G18780,5,2,9,5,3
AT3G26650,4,2,10,4,3
AT3G27830,2,2,3,0,3
AT3G27850,2,2,3,0,3
AT3G46520,7,2,12,7,5
AT3G53750,6,2,11,7,4
AT4G25500,3,2,4,0,0
AT4G35090,0,2,2,3,0
AT4G38970,6,2,12,3,2
AT5G22040,0,2,0,0,0
AT5G38480,0,2,4,0,0
