Protein,AT1G66740,AT1G66740,AT1G66740,AT1G66740,WT,WT,WT,WT
AT3G44310,747,869,440,346,721,684,508,445
ATCG00490,308,389,258,263,253,228,384,214
AT4G10320,224,219,143,155,133,171,175,145
AT3G08590,196,221,188,187,222,240,235,220
AT5G38420,114,112,96,103,98,99,108,94
AT1G67090,102,103,91,102,67,59,104,91
AT5G52040,100,28,606,537,4,5,753,764
AT1G66740,84,97,92,84,0,0,4,0
AT5G38430,84,87,75,86,52,51,84,76
AT1G19480,80,85,83,77,45,60,97,81
AT5G26710,80,94,65,74,96,100,74,61
AT1G09780,77,79,61,75,15,51,82,81
AT3G09840,71,67,108,109,15,26,110,123
AT4G37210,71,60,33,63,0,0,0,0
AT5G02500,69,68,97,91,24,27,75,66
AT5G38410,68,69,55,59,98,99,64,48
AT3G57560,67,66,68,108,19,68,151,69
AT3G44530,62,64,153,126,0,0,0,0
AT5G56740,61,47,15,34,21,40,31,7
AT2G40660,60,68,38,46,53,63,61,47
AT3G44690,60,50,83,111,31,37,145,96
AT3G44320,59,62,42,25,125,155,51,50
AT5G40450,56,62,40,5,18,21,20,37
AT3G44300,55,64,48,28,23,43,48,55
AT3G09440,52,60,76,68,21,26,56,53
AT5G03340,52,46,91,89,14,21,90,92
AT2G39730,49,53,47,29,22,36,32,46
AT3G13470,49,35,121,88,23,30,112,120
AT4G20850,49,48,79,73,20,26,72,82
AT1G55490,47,35,119,84,22,32,107,116
AT4G37800,47,44,16,20,19,31,25,16
AT4G25500,45,17,479,418,0,3,620,630
AT3G12580,44,45,53,42,18,18,41,39
ATCG00480,42,33,24,32,11,27,31,24
AT5G65730,41,60,27,33,24,29,29,25
AT1G42970,39,37,33,34,20,27,31,37
ATCG00120,39,41,25,21,25,27,16,24
AT1G48120,38,37,31,39,7,15,38,22
AT1G71080,38,38,31,45,22,24,55,43
AT4G35630,38,35,81,58,22,32,69,81
AT5G04140,38,32,5,10,6,15,11,8
AT5G26000,38,37,42,54,10,19,59,34
AT5G35200,38,44,37,42,24,29,45,27
AT2G17630,37,30,41,36,20,30,47,52
AT5G02490,37,37,58,51,18,18,41,38
AT5G62690,37,41,76,56,5,8,59,79
AT5G62700,37,41,76,56,5,8,59,79
AT1G49240,36,31,46,29,15,14,33,55
AT3G18780,36,31,46,29,15,14,33,55
AT5G42020,36,38,55,40,23,24,51,51
AT1G07920,35,33,51,33,10,13,35,58
AT1G07930,35,33,51,33,10,13,35,58
AT1G07940,35,33,51,33,10,13,35,58
AT2G21390,35,42,74,63,10,15,83,61
AT3G05900,35,38,38,55,17,15,46,36
AT3G26650,35,28,27,33,9,16,35,31
AT5G60390,35,33,51,33,10,13,35,58
AT2G28000,34,27,76,64,24,24,62,87
AT4G21280,34,37,21,26,33,32,29,16
AT5G28540,34,36,53,41,21,22,51,49
AT3G53230,33,30,56,55,11,17,56,49
AT4G32820,33,41,127,116,0,0,0,0
AT1G56410,32,30,37,34,17,17,30,27
AT3G23990,32,31,58,58,18,29,59,58
AT3G45140,32,31,31,24,7,10,20,44
AT4G34450,32,33,62,64,9,10,70,68
AT5G09810,32,28,50,23,11,13,19,58
AT5G20290,32,25,32,27,13,14,23,28
AT2G29550,31,31,70,53,4,10,59,77
AT4G18480,31,30,27,23,8,19,26,26
AT5G23860,31,35,68,46,5,8,53,75
AT5G56500,31,26,74,50,14,22,63,71
AT4G38970,30,15,14,17,4,8,11,13
AT1G10050,29,37,0,7,10,10,8,0
AT1G12900,29,27,23,28,10,16,33,30
AT3G12780,29,16,20,14,7,8,11,17
