Protein,AT3G44530,AT2G28240,AT2G282401,WT
AT3G44530,56,0,0,0
AT4G32820,48,0,0,0
AT5G62300,10,9,9,0
AT3G01390,6,4,3,0
AT3G02720,6,0,0,0
AT1G62940,5,2,2,0
AT5G25070,5,0,2,0
AT1G67140,5,0,0,0
AT1G30620,4,0,6,0
AT3G56800,4,0,6,0
AT4G20460,4,0,5,0
AT2G45710,4,2,4,0
AT3G61110,4,2,4,0
AT5G47930,4,2,4,0
AT5G66880,4,3,3,0
AT2G20420,4,2,2,0
AT1G53280,4,0,2,0
AT4G38220,4,3,0,0
AT1G11430,4,0,0,0
AT3G27310,4,0,0,0
AT3G44600,4,0,0,0
AT5G16290,4,0,0,0
AT5G52240,4,0,0,0
AT2G47710,3,3,5,0
AT3G17760,3,0,5,0
AT5G44480,3,0,4,0
AT1G32470,3,4,3,0
AT1G27540,3,2,3,0
AT1G27580,3,2,3,0
AT1G43190,3,2,2,0
AT2G35390,3,2,2,0
AT5G23900,3,2,2,0
AT1G69510,3,0,2,0
AT2G22780,3,0,2,0
AT3G25110,3,0,2,0
AT5G15970,3,0,2,0
AT2G47240,3,4,0,0
AT4G31840,3,4,0,0
AT4G39200,3,3,0,0
AT2G03820,3,2,0,0
AT2G44310,3,2,0,0
AT3G18165,3,2,0,0
AT3G49240,3,2,0,0
AT3G62240,3,2,0,0
AT5G17990,3,2,0,0
AT1G70290,3,0,0,0
AT2G04700,3,0,0,0
AT2G25840,3,0,0,0
AT2G34560,3,0,0,0
AT2G37080,3,0,0,0
AT3G10270,3,0,0,0
AT3G26740,3,0,0,0
AT3G58560,3,0,0,0
AT4G34360,3,0,0,0
AT5G04130,3,0,0,0
AT5G05590,3,0,0,0
AT5G38050,3,0,0,0
AT5G53440,3,0,0,0
AT5G67320,2,8,11,0
AT1G09270,2,5,7,0
AT5G05920,2,0,5,0
AT1G02150,2,4,4,0
AT3G12700,2,2,4,0
AT2G46020,2,0,4,0
AT3G50000,2,3,3,0
AT1G16520,2,2,3,0
AT2G03150,2,2,3,0
AT2G27530,2,2,3,0
AT1G74850,2,0,3,0
AT5G56680,2,0,3,0
AT5G12410,2,4,2,0
AT1G32380,2,2,2,0
