Protein,AT2G34710,AT2G347101,AT1G52150,AT1G521501,AT5G60690,AT5G606901,WT,WT
ATCG00490,156,193,169,174,177,155,129,102
AT3G44310,114,318,348,548,259,98,183,59
AT4G29270,64,43,59,49,38,40,40,47
AT5G38410,46,28,31,31,21,33,19,24
AT5G38420,46,28,31,31,21,35,19,24
AT5G38430,43,26,25,27,19,33,18,24
AT3G52930,41,47,44,46,45,44,32,32
AT3G44300,35,28,47,44,27,24,26,32
AT4G35090,33,29,36,26,28,32,15,17
AT1G67090,31,27,30,26,20,34,21,22
AT2G36460,27,23,30,29,30,29,18,21
AT3G44320,24,47,58,87,46,26,29,17
AT1G42970,22,27,17,19,17,12,17,15
AT3G08590,20,24,27,26,30,28,9,12
AT3G09260,19,15,19,16,10,11,14,13
AT3G05900,18,25,29,25,22,19,15,15
AT4G20850,17,17,21,22,13,17,19,22
AT2G28000,16,9,14,12,10,12,12,8
AT5G04140,16,10,16,12,14,14,9,11
AT1G20620,15,14,12,15,15,13,12,8
AT4G21280,15,12,13,13,18,17,9,7
AT1G55490,14,13,14,11,10,13,11,12
AT4G25130,14,36,19,34,35,19,15,13
AT2G21660,13,13,13,11,14,12,8,6
AT3G13470,13,12,15,10,8,12,10,10
AT4G26530,13,8,10,10,9,9,5,7
AT3G12580,12,14,14,15,11,11,8,11
AT4G33680,12,8,6,7,9,7,3,4
AT4G37800,12,19,14,13,19,15,13,6
AT5G02500,12,18,13,15,13,11,9,11
AT3G09440,11,14,12,14,13,13,9,11
AT3G26650,11,12,11,12,9,11,5,12
AT4G38970,11,12,8,8,13,11,5,5
AT1G20020,10,6,4,2,5,5,0,2
AT4G28520,10,9,9,13,53,45,9,8
AT1G68010,9,7,13,12,11,10,8,8
AT1G78900,9,6,12,7,9,11,8,11
AT2G13360,9,4,8,6,5,8,6,5
AT1G12900,8,11,11,11,8,11,4,11
AT1G20630,8,8,14,14,10,11,9,8
AT1G53850,8,4,3,5,2,4,2,3
AT1G66270,8,5,8,4,3,5,6,6
AT1G71080,8,6,10,8,10,7,7,5
AT2G21330,8,6,7,4,8,8,2,4
AT2G42600,8,4,5,0,3,3,2,5
AT3G01500,8,8,9,11,9,7,8,3
AT3G14290,8,4,3,5,2,4,2,3
AT3G23990,8,4,10,9,7,9,5,9
AT4G33010,8,7,8,9,6,6,4,7
AT5G03690,8,8,7,9,9,12,6,9
AT5G28540,8,9,10,9,9,11,4,5
AT5G35590,8,3,7,4,2,8,4,6
AT1G11860,7,10,2,6,4,6,4,3
AT1G19480,7,6,11,11,9,7,9,6
AT1G56070,7,3,3,3,0,0,0,2
AT2G05840,7,2,5,5,2,7,5,5
AT2G26080,7,5,7,10,7,5,4,6
AT2G27020,7,5,9,8,2,6,5,6
AT2G34160,7,3,6,4,5,5,3,2
AT3G16400,7,12,11,9,4,5,6,7
AT3G26060,7,5,9,7,9,4,5,6
AT3G55800,7,2,4,3,3,4,2,4
AT3G60750,7,3,6,4,5,8,2,2
AT4G37930,7,5,5,4,5,5,6,4
