Protein,AT3G06290,AT3G06290,AT3G06290,AT3G06290,WT,WT
AT1G01080,5,6,6,2,2,0
AT1G01090,2,0,4,2,0,0
AT1G01320,0,3,2,0,0,0
AT1G01620,4,3,2,2,0,0
AT1G01940,0,2,0,0,0,0
AT1G02500,8,13,7,4,5,2
AT1G02780,3,0,2,2,0,0
AT1G02920,2,10,7,0,5,0
AT1G02930,0,11,8,0,4,0
AT1G03030,0,0,2,0,0,0
AT1G03090,9,10,7,5,5,0
AT1G03130,6,7,5,6,3,7
AT1G03220,4,7,8,4,5,5
AT1G03230,5,7,4,4,7,6
AT1G03475,2,3,0,0,0,0
AT1G03600,3,2,2,3,3,6
AT1G03630,0,2,3,0,0,0
AT1G03680,0,0,2,0,0,0
AT1G03880,2,4,0,2,5,2
AT1G03890,0,0,2,0,5,0
AT1G04410,16,15,12,10,8,5
AT1G04480,0,3,0,0,2,0
AT1G04510,0,0,2,0,0,0
AT1G04820,7,11,9,8,8,3
AT1G05190,2,0,3,2,0,2
AT1G05320,0,0,2,0,0,0
AT1G05560,0,2,0,0,0,0
AT1G06220,0,4,4,0,0,0
AT1G06290,4,4,3,0,0,0
AT1G06410,2,4,0,0,0,0
AT1G06430,0,0,3,4,0,0
AT1G06680,6,5,7,8,5,5
AT1G06950,8,12,5,4,2,0
AT1G07140,0,9,7,4,0,0
AT1G07250,0,0,2,0,0,0
AT1G07320,2,5,0,4,6,2
AT1G07440,0,0,2,0,0,0
AT1G07660,2,2,2,2,3,7
AT1G07700,0,0,3,0,0,0
AT1G07770,0,2,0,0,0,0
AT1G07820,2,2,2,2,3,7
AT1G07890,10,16,13,11,15,7
AT1G07920,14,22,16,16,15,11
AT1G07930,14,22,16,16,15,11
AT1G07940,14,22,16,16,15,11
AT1G07960,2,0,2,0,0,0
AT1G08200,3,3,3,3,0,0
AT1G08520,6,10,9,5,0,0
AT1G08550,0,0,2,0,0,0
AT1G08630,5,9,7,0,3,0
AT1G08830,0,2,4,3,3,3
AT1G09020,0,0,2,0,0,0
AT1G09070,0,0,4,0,0,0
AT1G09080,0,3,0,0,4,3
AT1G09100,7,8,6,6,0,0
AT1G09130,0,2,0,0,0,0
AT1G09140,0,0,2,0,0,0
AT1G09310,0,3,2,2,0,0
