Protein,AT1G67180,AT1G67180,AT1G67180,AT1G67180,WT,WT,WT,WT
AT3G44310,473,465,522,521,453,398,419,438
ATCG00490,71,69,73,93,74,81,86,69
AT3G08590,67,55,65,79,68,82,87,60
AT3G52930,56,56,67,67,59,67,76,63
AT4G35630,45,30,42,41,47,61,69,32
AT3G44320,44,40,69,71,50,38,35,43
AT4G10320,41,45,40,51,54,68,73,45
AT2G17630,40,32,37,37,40,51,57,29
AT2G36460,40,39,43,44,50,54,58,44
AT4G28520,39,32,24,32,35,46,54,30
AT4G29270,36,30,26,28,47,43,39,46
AT3G44300,34,32,37,39,32,28,31,25
AT1G67090,30,20,17,25,21,29,37,17
AT1G49240,29,24,14,16,52,27,58,24
AT3G18780,29,24,14,16,52,27,58,24
AT3G15730,28,26,30,35,37,24,20,40
AT5G09810,27,23,12,14,48,27,59,23
ATCG00480,27,20,25,29,29,25,21,28
AT4G26530,26,26,26,26,16,23,28,18
AT1G19480,25,20,19,25,25,15,19,30
AT2G37620,25,22,11,13,46,22,53,19
AT3G46520,25,22,11,13,46,23,55,21
AT3G53750,25,22,11,13,46,0,0,0
AT4G21280,25,24,22,30,36,32,33,31
AT5G59370,25,22,11,13,46,23,55,21
AT3G12110,24,21,10,12,45,22,55,20
AT5G26000,24,25,22,29,33,36,40,28
AT4G35090,23,32,35,43,28,42,37,28
AT4G37800,23,25,24,25,24,27,30,25
AT5G35200,23,21,22,26,28,24,25,27
AT5G42020,22,23,19,24,21,15,17,18
AT5G28540,21,20,18,23,20,17,18,19
AT5G38420,21,15,19,25,26,35,33,19
AT3G09260,20,18,16,25,31,22,23,24
AT5G38410,20,15,19,25,25,33,30,18
AT5G44120,20,14,16,25,27,27,33,24
AT5G38430,19,16,14,20,17,21,22,13
AT4G20850,18,17,16,20,16,23,21,15
AT5G26710,18,18,23,18,19,23,21,20
ATCG00120,18,11,18,22,17,16,20,18
AT1G42970,17,17,12,16,18,20,20,18
AT3G09440,17,11,10,20,18,13,19,15
AT3G12290,17,9,6,7,46,173,137,44
AT5G09650,17,14,14,18,17,30,27,17
