Protein,AT4G36290,AT4G362901,AT4G362902,AT4G362903,WT,WT
AT3G44310,354,836,756,344,431,264
AT5G52040,180,406,684,293,446,210
AT3G08590,163,289,324,180,323,188
AT4G25500,141,326,599,234,368,168
ATCG00490,125,243,241,140,209,126
AT4G10320,110,103,83,103,103,112
AT3G44690,104,82,93,110,83,105
AT1G48120,103,113,73,100,86,103
AT3G15730,97,115,118,91,120,95
AT4G35630,92,148,154,81,182,101
AT1G19480,87,121,119,88,104,86
AT5G02500,82,95,85,89,87,87
AT3G09440,79,87,78,78,67,84
AT1G56070,78,64,75,78,58,63
AT5G26710,77,67,69,65,63,81
AT3G52930,75,89,81,81,83,84
AT1G36160,74,80,73,82,66,80
AT4G20850,70,68,73,82,59,71
AT1G52570,69,63,65,55,67,67
AT5G62690,69,74,79,71,68,67
AT5G62700,69,74,79,71,68,67
AT1G67090,66,85,63,48,53,58
AT2G29550,66,66,73,65,59,64
AT5G23860,65,66,71,65,62,63
AT1G09780,64,94,102,66,112,70
AT1G70320,62,58,50,64,50,54
AT2G17630,60,87,83,58,101,69
AT3G09840,60,50,49,55,48,59
AT1G69830,59,57,50,59,52,56
AT4G36290,59,57,37,40,0,0
AT2G36880,58,43,50,55,40,57
AT3G23990,57,61,57,58,42,51
AT3G13470,55,55,62,59,62,60
AT5G28540,55,57,58,57,46,50
AT1G55490,54,54,57,57,62,57
AT5G02490,54,60,52,56,49,52
AT4G20890,53,53,53,54,50,53
AT5G35200,53,55,50,48,57,51
AT5G42020,53,59,55,56,45,52
AT5G44340,53,52,53,53,47,52
AT1G71220,52,51,49,47,49,57
AT2G33210,52,57,43,56,39,50
AT5G38420,52,72,74,47,57,46
AT5G26000,51,45,35,39,41,44
AT3G12580,50,60,51,53,47,50
AT5G56010,50,41,41,52,36,44
AT1G62020,49,42,48,51,42,49
AT5G20890,49,40,43,44,41,44
AT5G56030,49,40,41,50,35,44
AT2G20580,48,51,45,43,41,53
AT2G28000,48,53,67,52,61,51
AT1G04820,47,42,49,51,49,42
AT1G50010,47,42,49,51,49,42
AT2G21390,47,42,47,50,42,46
AT4G14960,47,41,49,51,47,42
AT5G03340,47,41,38,44,36,46
AT5G09810,47,52,59,45,42,49
AT1G20010,46,48,49,46,45,45
AT2G28290,46,35,35,43,35,32
AT3G44300,46,53,50,45,46,35
AT1G80070,45,40,40,53,28,48
AT3G17390,45,43,51,48,38,44
AT3G44320,45,175,137,45,69,38
AT1G20960,44,39,36,39,28,42
AT2G40660,44,44,45,43,49,46
AT2G39730,43,45,53,50,42,41
AT5G12250,43,45,47,46,41,45
AT1G49240,42,44,40,43,41,40
AT3G09820,42,45,46,39,39,35
AT3G12110,42,44,44,40,36,42
AT3G13490,42,39,42,40,25,34
AT3G18780,42,44,40,43,41,40
AT4G11420,42,40,41,47,40,47
AT5G56000,42,35,38,45,29,39
AT1G57720,41,37,42,40,31,37
AT5G19770,41,36,38,42,37,39
