Protein,WT,AT1G67180
AT1G67180,0,75
AT3G26618,0,6
AT5G10470,0,6
AT4G24550,0,5
AT5G40420,0,5
AT1G23860,0,4
AT1G49480,0,4
AT1G61250,0,4
AT1G64750,0,4
AT3G01570,0,4
AT3G14172,0,4
AT3G17170,0,4
AT3G25840,0,4
AT4G05410,0,4
AT4G22380,0,4
AT5G16130,0,4
AT5G20160,0,4
AT5G50320,0,4
AT5G53560,0,4
AT5G63420,0,4
AT1G01610,0,3
AT1G02050,0,3
AT1G12230,0,3
AT1G15270,0,3
AT1G16520,0,3
AT1G16720,0,3
AT1G20670,0,3
AT1G22760,0,3
AT1G29220,0,3
AT1G31070,0,3
AT1G54780,0,3
AT1G60420,0,3
AT1G69410,0,3
AT2G16360,0,3
AT2G25060,0,3
AT2G35020,0,3
AT2G42740,0,3
AT2G43460,0,3
AT2G45000,0,3
AT3G09740,0,3
AT3G16110,0,3
AT3G20250,0,3
AT3G23450,0,3
AT3G26740,0,3
AT3G28720,0,3
AT3G44620,0,3
AT3G46740,0,3
AT3G52090,0,3
AT3G56720,0,3
AT3G58700,0,3
AT3G59540,0,3
AT3G60900,0,3
AT3G63410,0,3
AT4G10790,0,3
AT4G18730,0,3
AT4G18905,0,3
AT4G32590,0,3
AT4G34555,0,3
AT4G39200,0,3
AT5G01590,0,3
AT5G09860,0,3
AT5G12410,0,3
AT5G18820,0,3
AT5G25060,0,3
AT5G26210,0,3
AT5G45775,0,3
AT5G46630,0,3
AT5G51750,0,3
ATCG00170,0,3
ATCG00180,0,3
AT1G01080,0,2
AT1G07670,0,2
AT1G07810,0,2
AT1G07990,0,2
AT1G10590,0,2
AT1G10940,0,2
AT1G11750,0,2
AT1G12380,0,2
AT1G17880,0,2
AT1G19880,0,2
AT1G20330,0,2
AT1G21880,0,2
AT1G26880,0,2
AT1G32580,0,2
AT1G35860,0,2
AT1G47710,0,2
AT1G49540,0,2
AT1G49975,0,2
AT1G54060,0,2
AT1G60940,0,2
AT1G64370,0,2
AT1G69620,0,2
AT1G72550,0,2
AT1G73110,0,2
AT1G74850,0,2
AT1G75250,0,2
AT1G76080,0,2
AT2G03150,0,2
AT2G19760,0,2
AT2G25470,0,2
AT2G30170,0,2
AT2G34860,0,2
AT2G37270,0,2
AT2G40930,0,2
AT2G45600,0,2
AT2G45960,0,2
AT3G01800,0,2
AT3G02180,0,2
AT3G06810,0,2
AT3G08780,0,2
AT3G10690,0,2
AT3G10850,0,2
AT3G11940,0,2
AT3G16520,0,2
AT3G43240,0,2
AT3G43960,0,2
AT3G44720,0,2
AT3G48860,0,2
AT3G50500,0,2
AT3G54210,0,2
AT3G54230,0,2
AT3G62330,0,2
AT4G02450,0,2
AT4G16250,0,2
AT4G16660,0,2
AT4G20910,0,2
AT4G33950,0,2
AT4G35050,0,2
AT5G03780,0,2
AT5G06970,0,2
AT5G07970,0,2
AT5G07980,0,2
AT5G08050,0,2
AT5G11340,0,2
AT5G18570,0,2
AT5G19820,0,2
AT5G47010,0,2
AT5G48310,0,2
AT5G50600,0,2
AT5G50700,0,2
AT5G52960,0,2
AT5G58030,0,2
AT5G60340,0,2
AT5G60940,0,2
AT5G62290,0,2
AT5G65460,0,2
AT5G66880,0,2
AT3G62360,2,20
AT1G15690,2,5
AT1G53280,2,4
AT5G22640,2,4
ATMG00070,2,4
AT1G10390,2,3
AT1G47200,2,3
AT1G51400,2,3
AT1G51690,2,3
AT1G54570,2,3
AT2G34640,2,3
AT2G38730,2,3
AT2G43360,2,3
AT2G43640,2,3
AT2G45470,2,3
AT3G05060,2,3
AT3G08770,2,3
AT3G49990,2,3
AT3G51800,2,3
AT3G52630,2,3
AT3G63170,2,3
AT4G12770,2,3
AT4G16500,2,3
AT4G27700,2,3
AT4G39820,2,3
AT5G23060,2,3
AT5G35790,2,3
AT5G51100,2,3
AT5G54430,2,3
AT5G57370,2,3
ATCG00790,2,3
AT1G02305,2,2
AT1G07770,2,2
AT1G32050,2,2
AT1G32550,2,2
AT1G55670,2,2
AT1G66270,2,2
AT1G66280,2,2
AT2G16440,2,2
AT2G18790,2,2
AT2G34730,2,2
AT2G40060,2,2
AT3G03380,2,2
AT3G09260,2,2
AT3G15360,2,2
AT3G18890,2,2
AT3G22220,2,2
AT3G23700,2,2
AT3G24170,2,2
AT3G24430,2,2
AT3G25220,2,2
AT3G52730,2,2
AT3G60245,2,2
AT3G60370,2,2
AT3G62590,2,2
AT4G12780,2,2
AT4G26870,2,2
AT4G30220,2,2
AT5G15960,2,2
AT5G24520,2,2
AT5G46020,2,2
AT5G50810,2,2
AT5G59850,2,2
AT1G01100,2,0
AT1G01300,2,0
AT1G02330,2,0
AT1G03330,2,0
AT1G03680,2,0
AT1G08110,2,0
AT1G09230,2,0
AT1G09830,2,0
AT1G10370,2,0
AT1G13690,2,0
AT1G15470,2,0
AT1G15730,2,0
AT1G16970,2,0
AT1G17160,2,0
AT1G20910,2,0
AT1G27970,2,0
AT1G29990,2,0
AT1G30170,2,0
AT1G31230,2,0
AT1G31440,2,0
AT1G47980,2,0
AT1G49040,2,0
AT1G49970,2,0
AT1G50500,2,0
AT1G51380,2,0
AT1G51660,2,0
AT1G51760,2,0
AT1G52730,2,0
AT1G52760,2,0
AT1G54170,2,0
AT1G56050,2,0
AT1G56330,2,0
AT1G63970,2,0
AT1G66530,2,0
AT1G66670,2,0
AT1G68060,2,0
AT1G68370,2,0
AT1G68750,2,0
AT1G70410,2,0
AT1G71310,2,0
AT1G72810,2,0
AT1G73630,2,0
AT1G74230,2,0
AT1G75240,2,0
AT1G76860,2,0
AT1G76890,2,0
AT1G77180,2,0
AT1G78630,2,0
AT1G79750,2,0
AT1G79850,2,0
AT2G05170,2,0
AT2G14880,2,0
AT2G17200,2,0
AT2G17340,2,0
AT2G17390,2,0
AT2G19110,2,0
AT2G19540,2,0
AT2G19750,2,0
AT2G19770,2,0
AT2G22795,2,0
AT2G23060,2,0
AT2G23820,2,0
AT2G25910,2,0
AT2G26990,2,0
AT2G29080,2,0
AT2G34480,2,0
AT2G35010,2,0
AT2G35605,2,0
AT2G35780,2,0
AT2G36190,2,0
AT2G36340,2,0
AT2G37500,2,0
AT2G42540,2,0
AT2G42880,2,0
AT2G46560,2,0
AT2G47410,2,0
AT2G47450,2,0
AT3G01250,2,0
AT3G01280,2,0
AT3G01560,2,0
AT3G01980,2,0
AT3G04550,2,0
AT3G04610,2,0
AT3G04870,2,0
AT3G04940,2,0
AT3G05000,2,0
AT3G05750,2,0
AT3G05930,2,0
AT3G06400,2,0
AT3G06480,2,0
AT3G07170,2,0
AT3G07880,2,0
AT3G08740,2,0
AT3G08860,2,0
AT3G08947,2,0
AT3G12370,2,0
AT3G13120,2,0
AT3G13222,2,0
AT3G13300,2,0
AT3G14930,2,0
AT3G15610,2,0
AT3G15790,2,0
AT3G17810,2,0
AT3G21220,2,0
AT3G21290,2,0
AT3G22990,2,0
AT3G23660,2,0
AT3G26560,2,0
AT3G27300,2,0
AT3G27530,2,0
AT3G42940,2,0
AT3G45010,2,0
AT3G45530,2,0
AT3G47810,2,0
AT3G49080,2,0
AT3G50360,2,0
AT3G52660,2,0
AT3G52850,2,0
AT3G53020,2,0
AT3G53520,2,0
AT3G53890,2,0
AT3G54610,2,0
AT3G54860,2,0
AT3G55605,2,0
AT3G56190,2,0
AT3G56450,2,0
AT3G57660,2,0
AT3G58750,2,0
AT3G60330,2,0
AT3G60600,2,0
AT3G62560,2,0
AT4G01400,2,0
AT4G02080,2,0
AT4G03520,2,0
AT4G04810,2,0
AT4G10750,2,0
AT4G14100,2,0
AT4G14385,2,0
AT4G15310,2,0
AT4G15560,2,0
AT4G17040,2,0
AT4G18100,2,0
AT4G22240,2,0
AT4G23100,2,0
AT4G23650,2,0
AT4G25590,2,0
AT4G26300,2,0
AT4G26630,2,0
AT4G27270,2,0
AT4G27320,2,0
AT4G27740,2,0
AT4G27980,2,0
AT4G29080,2,0
AT4G29130,2,0
AT4G29390,2,0
AT4G31120,2,0
AT4G32330,2,0
AT4G34260,2,0
AT4G34290,2,0
AT4G34350,2,0
AT4G36600,2,0
AT4G37550,2,0
AT4G37790,2,0
AT4G39520,2,0
AT4G40030,2,0
AT4G40040,2,0
AT5G02740,2,0
AT5G02890,2,0
AT5G03455,2,0
AT5G04290,2,0
AT5G04560,2,0
AT5G04710,2,0
AT5G06390,2,0
AT5G08180,2,0
AT5G08260,2,0
AT5G08540,2,0
AT5G10920,2,0
AT5G10980,2,0
AT5G13420,2,0
AT5G13560,2,0
AT5G14910,2,0
AT5G16290,2,0
AT5G16715,2,0
AT5G17020,2,0
AT5G17170,2,0
AT5G17560,2,0
AT5G18550,2,0
AT5G18660,2,0
AT5G19860,2,0
AT5G21326,2,0
AT5G22320,2,0
AT5G22650,2,0
AT5G24165,2,0
AT5G25150,2,0
AT5G26570,2,0
AT5G27240,2,0
AT5G27470,2,0
AT5G27700,2,0
AT5G28020,2,0
AT5G28740,2,0
AT5G35620,2,0
AT5G35631,2,0
AT5G38470,2,0
AT5G41770,2,0
AT5G41790,2,0
AT5G44070,2,0
AT5G44180,2,0
AT5G46280,2,0
AT5G46430,2,0
AT5G47500,2,0
AT5G48570,2,0
AT5G49190,2,0
AT5G49650,2,0
AT5G53140,2,0
AT5G53480,2,0
AT5G53850,2,0
AT5G54730,2,0
AT5G55480,2,0
AT5G55600,2,0
AT5G56280,2,0
AT5G56670,2,0
AT5G57850,2,0
AT5G59210,2,0
AT5G59580,2,0
AT5G60600,2,0
AT5G60660,2,0
AT5G60860,2,0
AT5G61150,2,0
AT5G62350,2,0
AT5G62410,2,0
AT5G63680,2,0
AT5G65410,2,0
ATCG00640,2,0
ATCG00660,2,0
ATCG00740,2,0
ATCG00830,2,0
ATCG01310,2,0
AT1G12920,3,6
AT1G23740,3,6
AT2G33690,3,6
AT2G44530,3,6
AT4G16340,3,6
AT5G59880,3,6
AT1G74970,3,5
AT2G43520,3,5
AT5G13680,3,5
AT5G56350,3,5
AT5G57460,3,5
AT1G32200,3,4
AT1G35310,3,4
AT1G77440,3,4
AT3G18740,3,4
AT3G22200,3,4
AT3G25150,3,4
AT3G29075,3,4
AT4G09020,3,4
AT4G15000,3,4
AT4G17830,3,4
AT4G19210,3,4
AT4G27520,3,4
AT4G32720,3,4
AT4G35100,3,4
AT5G07740,3,4
AT5G16270,3,4
AT5G44635,3,4
ATCG00900,3,4
ATCG01240,3,4
AT1G22270,3,3
AT1G63000,3,3
AT1G76810,3,3
AT2G33730,3,3
AT2G37220,3,3
AT2G37550,3,3
AT2G41430,3,3
AT3G01390,3,3
AT3G07220,3,3
AT3G09810,3,3
AT3G23490,3,3
AT3G55330,3,3
AT4G30330,3,3
AT5G05590,3,3
AT5G15520,3,3
AT5G22040,3,3
AT5G47880,3,3
AT5G60360,3,3
AT5G61170,3,3
AT5G63310,3,3
AT5G67590,3,3
AT1G05520,3,2
AT1G18070,3,2
AT1G26910,3,2
AT1G55570,3,2
AT1G71770,3,2
AT1G71860,3,2
AT1G78150,3,2
AT2G01690,3,2
AT2G18330,3,2
AT2G20260,3,2
AT2G29960,3,2
AT2G35490,3,2
AT2G37080,3,2
AT2G41790,3,2
AT2G42680,3,2
AT3G01310,3,2
AT3G08560,3,2
AT3G13390,3,2
AT3G16050,3,2
AT3G25810,3,2
AT3G25920,3,2
AT3G45310,3,2
AT3G46040,3,2
AT3G48500,3,2
AT3G53140,3,2
AT3G54090,3,2
AT4G01897,3,2
AT4G03430,3,2
AT4G15020,3,2
AT4G15210,3,2
AT4G30010,3,2
AT4G36250,3,2
AT5G13530,3,2
AT5G16510,3,2
AT5G54940,3,2
AT5G56680,3,2
AT5G56950,3,2
AT5G65840,3,2
ATCG00130,3,2
ATCG00750,3,2
AT1G01050,3,0
AT1G02140,3,0
AT1G03860,3,0
AT1G04710,3,0
AT1G07170,3,0
AT1G09795,3,0
AT1G12520,3,0
AT1G15140,3,0
AT1G22530,3,0
AT1G26550,3,0
AT1G27310,3,0
AT1G31120,3,0
AT1G31160,3,0
AT1G33040,3,0
