Protein,AT3G28730,AT1G16610,AT3G287301,WT,WT,WT
AT1G36160,227,83,258,72,305,161
AT4G26630,206,14,256,2,156,193
AT1G20970,154,2,88,0,77,122
AT3G57660,117,2,116,6,157,79
AT5G55660,116,8,86,2,91,112
AT1G76810,106,0,48,5,42,89
AT5G35360,105,58,301,33,295,68
AT5G02500,90,97,128,82,96,72
AT1G62390,89,8,141,8,93,88
AT4G24280,89,52,78,44,90,60
AT4G02510,87,9,57,15,47,68
AT5G49910,79,37,75,38,81,57
AT1G36180,76,26,80,28,105,56
AT3G09440,75,79,96,63,72,61
AT1G01320,73,0,39,14,45,53
AT4G31880,72,0,48,0,62,66
AT5G28540,71,61,77,53,65,52
AT5G42020,70,58,74,54,62,53
AT1G80070,70,78,36,47,78,52
AT1G29940,69,0,72,4,83,46
AT1G56110,68,18,92,11,95,42
AT5G40340,67,3,160,0,105,66
AT3G57150,64,31,143,9,65,25
AT3G05060,63,13,72,4,72,43
AT1G20960,63,87,45,48,48,49
AT1G03090,58,34,81,11,101,50
AT1G63810,57,0,82,0,82,30
AT4G17330,56,0,23,0,36,47
ATCG00490,55,398,74,235,52,45
AT1G50920,55,0,52,0,78,54
AT4G10710,53,18,137,5,4,0
AT4G16143,52,19,91,26,85,34
AT3G28730,51,19,263,0,0,0
AT5G47690,51,0,10,7,17,41
AT5G25780,48,5,24,24,31,45
AT4G20360,47,27,105,23,102,45
AT4G11420,47,3,6,29,12,38
AT1G52980,45,0,40,0,48,37
AT3G46780,45,0,27,13,31,46
AT1G59610,44,6,93,13,72,54
AT3G12580,44,55,62,42,51,39
AT5G27640,44,5,33,27,37,40
AT5G09810,44,27,32,41,32,27
AT1G67230,44,7,18,10,30,44
ATCG00480,43,36,34,45,38,50
AT2G19520,42,16,108,7,64,29
AT1G43170,42,27,55,34,55,42
AT5G52470,42,21,51,7,49,26
AT4G27500,41,11,45,0,54,30
AT5G08670,41,16,29,22,30,39
AT5G08680,41,16,29,22,30,39
AT5G08690,41,16,29,22,30,39
ATCG00120,39,21,66,35,54,35
AT4G25630,39,19,51,4,45,24
AT5G14520,39,4,32,0,47,35
AT4G16630,39,0,24,0,24,32
AT1G78900,38,24,60,41,37,40
AT3G12860,38,8,53,4,61,27
AT5G02490,38,50,50,36,42,34
AT3G06400,38,0,31,2,37,27
AT5G26742,38,12,28,25,28,24
AT1G49760,38,16,24,12,36,37
AT2G25670,38,3,10,2,13,40
AT3G25690,38,0,8,0,4,28
AT1G52670,37,0,74,2,67,33
AT5G56010,37,8,32,47,31,35
AT3G12110,37,22,28,31,29,21
AT5G44180,37,0,21,0,34,28
AT3G12780,36,21,55,29,50,30
AT1G07920,36,36,44,53,50,30
AT1G07930,36,36,44,53,50,30
AT1G07940,36,36,44,53,50,30
AT5G60390,36,36,44,53,50,30
AT5G27120,36,8,37,3,40,25
AT5G56030,36,8,29,46,29,33
AT3G23990,35,53,50,55,48,35
AT2G40360,35,4,42,0,39,31
AT3G13940,35,0,32,0,44,26
AT1G09770,35,41,12,3,25,34
AT3G06720,34,12,53,7,49,22
AT1G67680,34,7,49,9,37,24
AT4G28080,34,0,16,6,17,22
AT3G03560,34,0,12,0,18,33
AT5G25754,34,10,11,20,17,22
AT5G25757,34,10,11,20,17,22
AT3G56150,34,0,7,27,11,25
AT1G42970,33,32,38,31,44,28
AT1G60850,33,0,28,2,37,20
AT4G34110,33,14,26,12,24,30
AT3G46520,33,21,26,24,28,20
AT5G59370,33,21,26,24,28,20
AT5G56000,33,8,26,43,27,30
AT1G18450,33,13,20,9,22,28
AT4G29060,33,4,18,10,26,24
AT1G79280,33,0,5,0,35,17
AT1G29320,32,0,61,0,57,11
AT1G56190,32,16,50,25,49,28
AT5G65770,32,4,19,12,29,23
AT5G65780,32,4,19,12,29,23
AT2G46280,32,13,19,34,22,28
AT5G41790,32,0,7,0,26,28
AT2G47620,32,0,5,0,9,38
AT3G62870,31,14,41,9,49,12
AT4G37910,31,25,33,26,33,29
AT1G21750,31,15,28,15,18,25
AT1G56070,31,50,27,79,34,26
AT3G07050,31,0,21,0,22,14
AT2G37620,31,22,19,25,26,21
AT3G53750,31,22,19,25,26,21
AT2G39730,30,17,43,43,40,33
AT3G55620,30,0,31,0,57,28
AT2G16430,30,0,27,0,36,16
AT4G35090,30,11,21,24,27,23
AT5G44800,30,0,12,0,3,24
AT5G50920,29,13,48,25,54,33
AT2G36340,29,0,44,0,35,23
AT2G33210,29,42,41,54,38,29
AT1G20620,29,28,40,33,42,34
AT5G14740,29,18,27,17,28,23
AT5G55920,29,0,25,0,24,18
AT5G63420,29,4,16,6,14,24
AT1G68790,29,0,12,0,9,35
AT5G40450,29,51,9,8,20,34
AT1G73460,29,0,6,2,9,30
AT2G46020,29,0,2,0,0,34
AT1G09060,29,0,0,0,5,32
AT4G02930,28,13,51,12,67,20
AT3G26650,28,34,40,27,33,22
AT1G12310,28,12,35,7,27,31
AT5G18620,28,0,27,2,31,24
AT3G11964,28,0,24,4,25,18
AT2G23350,28,7,15,12,15,23
AT2G33340,28,35,15,13,23,15
AT1G15750,28,53,14,37,12,11
AT3G57290,28,0,7,19,14,29
AT3G60830,28,0,4,5,6,19
AT5G61970,27,9,54,3,39,20
AT3G09630,27,23,42,14,35,21
AT3G52500,27,7,34,6,41,18
AT1G69200,27,0,32,2,30,18
AT2G27530,27,7,28,5,32,26
AT4G34030,27,19,27,7,31,14
AT4G25730,27,0,15,0,12,25
AT1G10290,26,6,65,15,47,33
AT2G47610,26,17,38,8,46,12
AT3G25520,26,12,25,7,26,25
AT1G28420,26,0,22,0,27,27
AT3G01500,26,18,22,20,25,19
AT3G45780,26,0,17,0,10,15
AT5G64420,26,0,13,0,24,24
AT1G06950,26,0,9,5,14,13
AT5G39570,26,6,9,7,11,22
AT3G56130,25,9,70,7,60,15
AT5G02870,25,21,42,14,32,20
AT2G07698,25,10,30,23,30,25
ATMG01190,25,10,30,23,30,25
AT4G04640,25,9,30,36,37,22
AT3G45140,25,13,27,46,34,20
AT5G39740,25,14,23,6,28,27
AT4G38510,25,10,23,27,22,32
AT2G25170,25,0,8,0,6,28
AT3G09200,24,4,50,9,42,25
AT4G29730,24,3,43,0,18,16
AT1G09270,24,8,42,11,46,17
AT3G48870,24,7,32,22,44,26
AT2G47110,24,23,30,10,21,15
AT3G62250,24,23,30,10,21,15
AT2G37990,24,0,28,0,29,28
AT1G20260,24,11,27,27,24,30
AT1G76030,24,11,27,27,24,30
AT5G52820,24,0,23,0,33,20
AT1G08360,24,6,23,7,31,24
AT2G26570,24,5,11,0,10,17
AT3G24080,24,0,8,0,7,25
AT4G21660,24,14,3,0,6,16
AT5G28040,24,0,3,0,8,14
AT4G01560,23,0,40,0,49,5
AT1G62820,23,11,30,5,24,27
AT5G09590,23,27,30,29,33,25
AT2G35635,23,17,26,0,20,12
AT1G31340,23,17,26,7,20,12
AT4G16720,23,10,23,5,20,11
AT4G17390,23,10,23,5,20,11
AT1G06220,23,32,19,16,27,25
AT5G22440,23,3,18,3,27,21
AT5G20290,23,27,18,29,17,19
AT3G52140,23,7,16,16,27,11
AT3G59970,23,33,15,19,21,15
AT1G49240,23,23,15,36,23,18
AT3G18780,23,23,15,36,23,18
AT2G18960,23,7,10,8,12,20
AT2G13370,23,0,6,0,5,18
AT1G22530,23,0,6,0,7,17
AT3G17750,23,0,4,0,8,22
AT5G16390,22,5,34,2,29,18
AT4G13940,22,17,34,27,24,21
AT3G10380,22,0,24,0,22,29
AT4G05420,22,12,22,11,22,15
AT1G13440,22,20,21,20,21,16
AT5G66570,22,21,21,25,22,25
AT1G69070,22,0,13,0,7,22
AT3G43240,22,0,13,0,23,12
AT1G80490,22,44,11,33,8,9
AT3G57940,22,0,10,0,11,14
AT1G76850,22,0,10,0,15,26
AT4G05410,22,0,8,0,14,13
AT1G07360,22,11,6,0,12,10
AT2G41500,22,0,5,0,0,21
AT1G08600,22,0,5,0,9,19
AT1G70320,22,0,5,12,7,19
AT3G50370,22,2,4,0,9,19
AT5G43500,22,0,0,0,0,13
AT3G23620,21,0,30,0,25,22
AT4G02520,21,6,29,8,20,19
AT1G33120,21,13,23,21,20,22
AT1G33140,21,13,23,21,20,22
AT2G38040,21,13,23,29,20,12
AT3G16420,21,0,22,0,24,23
AT3G04120,21,22,22,19,21,16
AT5G66190,21,20,22,21,16,15
AT3G09840,21,127,18,86,20,16
AT3G50820,21,17,15,27,17,20
AT2G34970,21,0,14,0,21,16
AT1G01510,21,0,7,0,13,17
AT3G04930,21,0,3,0,10,18
AT1G70070,21,0,2,0,3,10
AT1G65440,21,6,2,6,5,9
AT3G17390,20,11,41,25,36,21
AT5G40200,20,0,29,0,29,10
AT5G30510,20,7,26,13,26,16
AT1G02930,20,0,22,2,13,19
AT2G27710,20,0,22,6,25,21
AT3G14210,20,17,20,16,27,18
AT1G14380,20,0,17,0,23,19
AT1G55490,20,75,16,89,22,18
AT3G13300,20,0,14,0,15,15
AT5G45650,20,0,10,0,19,16
AT1G37130,20,0,8,0,7,16
AT4G13750,20,0,8,0,9,12
AT3G63130,20,0,8,0,11,11
AT1G06720,20,0,7,0,9,20
AT1G73450,20,0,5,2,8,21
AT1G32750,20,0,2,0,0,23
AT2G38770,20,35,0,0,19,18
AT3G55200,20,25,0,6,2,26
AT3G55220,20,25,0,6,2,26
AT1G62750,19,0,41,21,39,19
AT4G39680,19,319,33,0,46,17
AT4G01850,19,8,27,17,21,15
AT1G02500,19,11,26,18,25,17
AT1G23280,19,0,22,0,20,7
AT1G71820,19,0,19,0,14,18
AT4G04940,19,0,17,0,21,8
AT4G30190,19,6,8,6,8,15
AT4G24190,19,20,8,27,7,13
AT1G10580,19,10,0,0,9,9
AT5G22330,19,0,0,5,6,16
AT5G42080,18,6,38,10,29,17
AT4G25340,18,0,30,0,32,16
AT1G12900,18,29,29,23,23,16
AT3G13860,18,21,22,26,28,16
AT1G04480,18,10,21,11,20,18
AT2G33370,18,10,21,11,20,18
AT3G04400,18,10,21,11,20,18
AT2G28000,18,62,21,97,18,22
AT5G35970,18,0,19,0,28,14
AT2G01250,18,6,19,8,20,13
AT4G09000,18,6,19,11,15,16
AT1G67090,18,65,19,55,19,18
AT2G27720,18,0,18,8,20,17
AT3G13470,18,75,17,96,19,18
AT5G62690,18,25,15,67,34,18
AT5G62700,18,25,15,67,34,18
AT4G22380,18,0,13,0,21,14
AT5G20160,18,0,13,0,21,14
AT1G30230,18,33,11,37,19,9
AT5G62190,18,0,9,0,12,16
AT2G39990,18,0,8,12,10,14
AT1G77510,18,5,7,5,7,5
AT2G39260,18,0,5,0,8,24
AT2G17410,18,0,5,0,11,19
AT2G18220,18,0,5,0,13,5
AT1G78830,18,0,5,4,16,24
AT5G65900,18,0,3,0,11,10
AT2G32240,18,19,3,10,9,6
AT4G02480,18,0,0,0,4,10
AT1G14830,17,0,29,8,34,13
AT4G37930,17,16,23,25,13,10
AT3G53430,17,4,21,6,27,20
AT4G03280,17,9,21,10,16,13
AT1G62020,17,30,21,59,14,12
AT2G31410,17,0,19,0,21,14
AT2G44120,17,6,18,3,17,15
AT4G15770,17,0,14,0,25,12
AT5G60670,17,4,14,5,19,18
AT5G03340,17,96,14,67,16,14
AT4G09650,17,0,13,6,9,9
AT5G20720,17,12,13,17,6,12
AT5G61840,17,0,11,0,12,10
