Protein,AT1G26665,AT2G03070,WT
AT5G52040,2343.2331,3544.3,2860.7542
AT4G25500,1758.1007,2807.7332,2311.5238
AT3G44310,1092.6275,1206.6178,1378.0542
ATCG00490,705.28416,797.8365,777.07074
AT3G08590,689.4513,670.96567,719.60464
AT1G19480,673.80928,647.3361,724.75267
ATMG00280,548.4272,613.0968,615.2345
AT4G35630,542.4752,739.38253,672.4656
AT2G34160,494.99064,494.07072,520.58306
AT1G67090,469.2099,553.08472,427.2462
AT1G29250,464.05373,444.66364,496.9202
AT5G62690,455.8039,442.46777,403.3204
AT5G62700,455.8039,442.46777,403.3204
AT2G29550,420.99007,407.6909,349.40934
AT5G23860,394.1184,407.6909,349.40934
AT5G38420,377.73803,496.8004,475.872
AT3G09820,374.12085,354.75427,393.4639
AT2G17630,352.6222,464.2157,459.23903
AT5G03300,338.06427,344.4174,338.8248
AT5G02500,333.60545,355.18447,340.22185
AT1G20010,322.4605,307.55629,301.4512
AT4G20890,317.0337,318.25276,284.06095
AT5G44340,317.0337,339.9518,263.27602
AT5G38430,311.07839,372.6003,373.8994
AT5G38410,302.71607,397.116,413.46406
AT4G00450,298.10937,315.01667,0.0
AT1G71080,296.08337,265.9798,320.8278
AT5G12250,295.58882,300.4038,280.89772
AT3G52930,292.08595,242.20506,317.92845
AT1G64880,288.94478,236.96206,274.76493
AT2G21060,280.1253,287.5934,260.17379
AT1G30230,278.43225,222.33182,283.95439
AT4G37800,274.52554,350.7396,377.95973
AT5G02850,273.78446,316.62278,0.0
AT5G20010,272.97281,247.03536,250.54798
AT1G55490,268.11995,235.50703,292.23638
AT5G09810,266.69756,323.70149,318.22475
AT2G46280,257.49323,205.61174,300.11437
AT5G20290,253.62696,216.9905,290.9893
AT1G26630,252.94335,242.37433,193.46997
AT5G02490,252.51724,245.90043,211.98737
ATCG01060,248.25921,317.1812,265.84207
AT5G11710,244.18065,235.12472,258.17875
AT2G27020,242.27705,128.97428,185.3116
AT1G04820,241.30794,214.09732,266.6016
AT1G50010,241.30794,214.09732,266.6016
AT5G19770,241.30794,214.09732,218.75005
AT5G19780,241.30794,214.09732,218.75005
AT4G23670,239.70988,170.14355,162.97603
AT1G09780,238.27534,259.45364,259.5693
AT4G38680,237.7418,300.57996,257.61048
AT1G55325,237.16756,269.6278,0.0
AT4G29270,235.6523,213.261,240.32597
AT1G49240,234.69385,229.99842,261.10746
AT3G18780,234.69385,229.99842,261.10746
AT1G57720,233.7123,264.38166,245.79586
