Protein,AT1G26665,AT2G03070,WT
AT4G00450,167,221,0
AT1G55325,118,168,0
AT1G79000,80,96,0
AT3G04740,76,95,0
AT3G12980,50,69,0
AT4G04920,48,65,0
AT5G20170,37,47,0
AT1G23230,36,52,0
AT5G02850,29,42,0
AT3G23590,27,41,0
AT1G15780,22,34,0
AT3G09180,22,26,0
AT1G16710,18,23,0
AT1G25540,18,26,0
AT5G63610,18,30,0
AT2G03070,16,30,0
AT2G48110,14,23,0
AT3G18380,13,41,0
AT5G48630,11,12,0
AT3G21350,9,10,0
AT1G16430,8,10,0
AT1G31340,8,0,0
AT2G35635,8,0,0
AT5G63480,8,10,0
AT1G07950,7,12,0
AT1G26665,7,11,0
AT1G55080,7,9,0
AT2G22370,7,9,0
AT5G12230,7,11,0
AT1G11760,6,7,0
AT2G28230,6,11,0
AT2G41550,6,10,0
AT3G01435,6,14,0
AT1G02840,5,3,0
AT1G20140,5,2,0
AT1G31230,5,5,0
AT4G04780,5,11,0
AT4G28080,5,3,0
AT5G19485,5,4,0
AT5G20990,5,4,0
AT1G01080,4,3,0
AT1G08620,4,0,0
AT1G14650,4,0,0
AT1G30460,4,3,0
AT1G71840,4,2,0
AT1G79050,4,0,0
AT3G06400,4,0,0
AT3G49240,4,4,0
AT3G56800,4,6,0
AT3G57610,4,0,0
AT4G06634,4,0,0
AT4G28730,4,2,0
AT4G29840,4,3,0
AT5G05920,4,0,0
AT5G13420,4,2,0
AT5G16715,4,0,0
AT5G19910,4,10,0
AT5G24350,4,3,0
AT5G53850,4,4,0
AT1G01100,3,0,0
AT1G04870,3,0,0
AT1G07370,3,2,0
AT1G14320,3,2,0
AT1G15290,3,2,0
AT1G21170,3,0,0
AT1G35220,3,0,0
AT1G52340,3,0,0
AT1G58230,3,0,0
AT1G64980,3,0,0
AT1G72390,3,0,0
AT1G80360,3,3,0
AT2G17930,3,0,0
AT2G21580,3,0,0
AT2G24490,3,0,0
AT2G34470,3,2,0
AT2G40300,3,4,0
AT3G08947,3,0,0
AT3G09200,3,0,0
AT3G17810,3,2,0
AT3G17820,3,0,0
AT3G25150,3,0,0
AT3G47340,3,2,0
AT3G54360,3,0,0
AT3G57660,3,0,0
AT4G02350,3,0,0
AT4G16550,3,0,0
AT4G17530,3,0,0
AT4G21650,3,0,0
AT4G26510,3,0,0
AT4G27060,3,3,0
AT4G27520,3,2,0
AT4G31790,3,0,0
AT4G32605,3,0,0
AT4G39520,3,0,0
AT4G39860,3,4,0
AT5G03220,3,4,0
AT5G06460,3,0,0
AT5G08590,3,3,0
AT5G19140,3,0,0
AT5G21150,3,2,0
AT5G22650,3,0,0
AT5G26570,3,2,0
AT5G47200,3,0,0
AT5G59890,3,0,0
AT5G60210,3,0,0
AT5G67290,3,0,0
AT1G01320,2,2,0
AT1G02330,2,2,0
AT1G03310,2,0,0
AT1G03475,2,0,0
AT1G04190,2,2,0
AT1G04480,2,3,0
AT1G09310,2,2,0
AT1G09795,2,0,0
AT1G10200,2,3,0
AT1G11750,2,0,0
AT1G14610,2,0,0
AT1G18490,2,0,0
AT1G18660,2,0,0
AT1G20540,2,0,0
AT1G30470,2,0,0
AT1G31730,2,0,0
AT1G35780,2,0,0
AT1G47900,2,0,0
AT1G50480,2,2,0
AT1G50620,2,10,0
AT1G52380,2,0,0
AT1G60070,2,0,0
AT1G63680,2,3,0
AT1G63940,2,3,0
AT1G65480,2,0,0
AT1G65650,2,0,0
AT1G65980,2,2,0
AT1G70290,2,0,0
AT1G73720,2,4,0
AT1G74850,2,0,0
AT1G78680,2,0,0
AT2G04390,2,0,0
AT2G05220,2,0,0
AT2G06990,2,0,0
AT2G07690,2,2,0
AT2G17340,2,0,0
AT2G17840,2,0,0
AT2G18040,2,0,0
AT2G20190,2,0,0
AT2G20610,2,0,0
AT2G20790,2,0,0
AT2G23420,2,0,0
AT2G25870,2,0,0
AT2G25970,2,0,0
AT2G26890,2,0,0
AT2G27100,2,0,0
AT2G27600,2,0,0
AT2G29570,2,2,0
AT2G31660,2,0,0
AT2G32700,2,2,0
AT2G33040,2,0,0
AT2G33370,2,3,0
AT2G37220,2,0,0
AT2G39930,2,0,0
AT2G43360,2,2,0
AT2G43520,2,0,0
AT2G44530,2,3,0
AT2G45600,2,2,0
AT2G47790,2,2,0
AT2G47850,2,0,0
AT3G04400,2,3,0
AT3G04910,2,0,0
AT3G05420,2,0,0
AT3G06670,2,2,0
AT3G06730,2,0,0
AT3G06820,2,0,0
AT3G07030,2,4,0
AT3G10610,2,0,0
AT3G12280,2,0,0
AT3G14210,2,5,0
AT3G16050,2,0,0
AT3G16110,2,2,0
AT3G18640,2,0,0
AT3G18890,2,0,0
AT3G20800,2,0,0
AT3G21200,2,0,0
AT3G23920,2,0,0
AT3G23980,2,2,0
AT3G25920,2,2,0
AT3G27300,2,0,0
AT3G29320,2,2,0
AT3G46010,2,0,0
AT3G46040,2,0,0
AT3G47120,2,0,0
AT3G48420,2,0,0
AT3G48500,2,0,0
AT3G53580,2,3,0
AT3G55400,2,0,0
AT3G56240,2,0,0
AT3G59760,2,2,0
AT3G59990,2,2,0
AT3G62120,2,6,0
AT4G05410,2,0,0
AT4G09010,2,2,0
AT4G15410,2,2,0
AT4G15545,2,0,0
AT4G17770,2,0,0
AT4G20400,2,0,0
AT4G22240,2,2,0
AT4G24580,2,2,0
AT4G26840,2,0,0
AT4G30990,2,0,0
AT4G32180,2,0,0
AT4G32551,2,0,0
AT4G34850,2,2,0
AT4G36940,2,0,0
AT5G02810,2,0,0
AT5G04430,2,5,0
AT5G04800,2,0,0
AT5G06970,2,0,0
AT5G08170,2,0,0
AT5G09880,2,0,0
AT5G13260,2,0,0
AT5G13280,2,2,0
AT5G14470,2,0,0
AT5G15770,2,0,0
AT5G19050,2,0,0
AT5G19370,2,0,0
AT5G20250,2,0,0
AT5G22800,2,0,0
AT5G24400,2,0,0
AT5G26830,2,0,0
AT5G35790,2,0,0
AT5G38880,2,0,0
AT5G39740,2,2,0
AT5G40760,2,2,0
AT5G42950,2,0,0
AT5G47880,2,2,0
AT5G48640,2,7,0
AT5G48650,2,2,0
AT5G50320,2,2,0
AT5G51070,2,0,0
AT5G54960,2,0,0
AT5G55660,2,0,0
AT5G57850,2,0,0
AT5G58450,2,0,0
AT5G58590,2,3,0
AT5G60340,2,0,0
AT5G60940,2,0,0
AT5G61410,2,0,0
AT5G62270,2,0,0
AT5G63260,2,0,0
AT5G63310,2,0,0
AT5G64050,2,0,0
AT5G65460,2,0,0
AT5G66030,2,0,0
ATCG00780,2,0,0
AT1G01300,0,2,0
AT1G07780,0,2,0
AT1G09020,0,3,0
AT1G09490,0,2,0
AT1G15415,0,2,0
AT1G17290,0,2,0
AT1G19550,0,3,0
AT1G20920,0,3,0
AT1G21600,0,2,0
AT1G23860,0,2,0
AT1G29260,0,3,0
AT1G30330,0,2,0
AT1G30530,0,2,0
AT1G30620,0,2,0
AT1G47340,0,2,0
AT1G56110,0,3,0
AT1G59760,0,3,0
AT1G63770,0,3,0
AT1G64510,0,3,0
AT1G65150,0,2,0
AT1G68010,0,3,0
AT1G68590,0,2,0
AT1G69200,0,4,0
AT1G76030,0,15,0
AT1G78380,0,2,0
AT2G04690,0,2,0
AT2G16570,0,2,0
AT2G21620,0,2,0
AT2G21630,0,2,0
AT2G23080,0,2,0
AT2G26210,0,2,0
AT2G34850,0,2,0
AT2G43030,0,2,0
AT2G43640,0,2,0
AT2G44050,0,2,0
AT2G46610,0,8,0
AT2G47960,0,2,0
AT3G01460,0,2,0
AT3G05590,0,3,0
AT3G10270,0,2,0
AT3G10940,0,2,0
AT3G17170,0,2,0
AT3G17900,0,3,0
AT3G20550,0,2,0
AT3G44850,0,2,0
AT3G52860,0,4,0
AT3G55010,0,2,0
AT4G00100,0,3,0
AT4G15560,0,2,0
AT4G16265,0,2,0
AT4G20130,0,2,0
AT4G20460,0,2,0
AT4G25550,0,2,0
AT4G26720,0,2,0
AT4G27640,0,2,0
AT4G29010,0,2,0
AT4G29590,0,2,0
AT4G31580,0,2,0
AT4G31840,0,2,0
AT4G32930,0,3,0
AT4G34620,0,2,0
AT4G34740,0,2,0
AT5G03940,0,2,0
AT5G10160,0,2,0
AT5G10860,0,2,0
AT5G11980,0,2,0
AT5G13510,0,2,0
AT5G16470,0,2,0
AT5G17070,0,2,0
AT5G19220,0,2,0
AT5G22630,0,2,0
AT5G23140,0,2,0
AT5G27120,0,2,0
AT5G27850,0,3,0
AT5G38830,0,2,0
AT5G42470,0,2,0
AT5G44480,0,2,0
AT5G45390,0,2,0
AT5G47910,0,3,0
AT5G51720,0,3,0
AT5G53000,0,2,0
AT5G56900,0,3,0
AT5G58710,0,2,0
AT5G63670,0,2,0
AT5G65690,0,2,0
ATCG00330,0,2,0
AT1G75660,6,6,2
AT3G04600,6,6,2
AT4G32640,6,4,2
AT2G16440,5,0,2
AT5G16390,5,4,2
AT5G45930,5,2,2
AT5G58330,5,6,2
AT1G44900,4,4,2
AT1G62940,4,6,2
AT1G71800,4,0,2
AT2G37020,4,0,2
AT2G47730,4,3,2
AT3G14420,4,0,2
AT4G01400,4,2,2
AT4G16155,4,2,2
AT4G18905,4,0,2
AT4G19710,4,0,2
AT4G35450,4,3,2
AT5G04280,4,2,2
AT5G22510,4,0,2
AT1G06260,3,2,2
AT1G07990,3,0,2
AT1G08830,3,3,2
AT1G21500,3,2,2
AT1G23740,3,2,2
AT1G53240,3,2,2
AT1G74260,3,0,2
AT1G79440,3,0,2
AT2G01350,3,2,2
AT2G03750,3,4,2
AT2G27900,3,0,2
AT2G38270,3,6,2
AT2G38540,3,3,2
AT2G43750,3,2,2
AT3G02780,3,3,2
AT3G08943,3,2,2
AT3G09100,3,0,2
AT3G14120,3,3,2
AT3G23840,3,2,2
AT3G29075,3,2,2
AT3G50500,3,4,2
AT3G53180,3,4,2
AT3G57520,3,0,2
AT3G62010,3,0,2
AT4G13850,3,0,2
AT4G29220,3,0,2
AT4G33580,3,2,2
AT4G33950,3,4,2
AT4G34030,3,0,2
AT4G34660,3,2,2
AT5G05730,3,3,2
AT5G14060,3,2,2
AT5G15530,3,3,2
AT5G25610,3,0,2
AT5G44070,3,3,2
AT5G54190,3,2,2
AT5G61140,3,2,2
AT5G66880,3,4,2
AT1G05720,2,2,2
AT1G07770,2,0,2
AT1G12270,2,0,2
AT1G17760,2,0,2
AT1G18270,2,0,2
AT1G20110,2,0,2
