Protein,AT3G01460,AT3G01460,AT3G01460,WT,WT
AT3G01460,355,607,571,0,0
AT2G17930,128,76,91,0,0
AT5G18620,122,190,166,3,0
AT4G36080,120,74,85,0,0
AT3G06400,118,177,177,4,0
AT3G12810,75,49,30,0,0
AT3G06810,64,5,0,3,14
ATCG00490,59,219,248,184,23
AT2G18790,58,11,17,12,25
AT3G13300,58,2,5,0,26
AT3G02260,48,0,0,0,0
AT2G29550,43,63,76,51,3
AT4G18480,43,9,10,9,37
AT5G57610,42,0,0,0,9
AT5G62690,41,62,80,58,3
AT5G62700,41,62,80,58,3
AT4G31480,41,37,32,22,10
AT5G23860,40,64,80,52,4
AT4G31490,40,37,32,21,10
AT3G13290,40,0,2,0,17
AT1G62020,39,55,59,39,4
AT5G02500,39,82,73,62,11
AT4G20890,38,50,64,44,3
AT3G08530,37,2,4,0,0
AT5G44340,37,52,64,42,5
AT2G21390,36,57,61,40,5
AT3G11130,35,3,5,0,0
AT5G22330,33,26,20,10,0
AT5G12250,33,48,59,43,0
AT1G52360,32,32,32,25,3
AT1G20010,32,47,56,40,4
AT5G09810,32,47,54,48,17
AT1G15470,32,0,0,0,21
AT1G18450,31,24,19,9,0
AT3G15980,31,28,29,19,3
AT1G13440,30,32,30,25,14
AT3G04120,30,33,31,27,14
AT5G67630,29,22,23,13,0
AT3G09440,29,66,61,53,8
AT2G39730,28,51,42,41,11
AT1G75780,27,37,49,32,2
AT3G46520,27,36,41,35,17
AT1G20620,26,32,34,28,2
AT1G52400,26,29,28,31,4
AT5G02490,26,54,50,40,8
AT3G45140,26,39,51,40,8
AT4G14960,26,55,52,45,9
AT5G03420,26,0,0,0,16
AT5G59370,26,35,40,34,17
AT3G12110,26,40,43,39,18
AT4G16143,25,31,48,26,0
AT3G18780,25,40,42,38,0
AT1G04820,25,55,54,43,9
AT1G49240,25,40,42,38,16
AT1G68750,23,4,8,3,0
AT5G56010,23,40,43,34,0
AT3G13930,23,10,7,11,2
AT5G25980,23,44,39,48,2
AT3G26650,23,40,43,35,4
AT3G12580,23,44,36,31,7
AT5G19770,23,44,43,32,7
AT5G19780,23,44,43,32,7
AT1G07920,23,67,64,49,7
AT1G07930,23,67,64,49,7
AT1G07940,23,67,64,49,7
AT5G60390,23,67,64,49,7
AT1G79990,22,22,24,15,2
AT5G35840,22,0,0,0,7
AT2G37620,22,35,34,33,17
AT5G56030,21,36,42,32,0
AT1G53140,21,0,0,0,2
AT4G24280,21,36,38,33,3
AT1G56070,21,57,59,47,3
AT5G28540,21,57,54,47,7
AT1G42970,20,40,36,29,2
AT4G18130,20,0,0,0,3
AT3G13920,20,25,29,24,3
AT5G49910,20,30,33,24,4
AT5G42020,20,60,50,46,7
AT3G12800,20,4,9,3,10
AT1G20630,19,18,21,16,0
AT3G13470,19,79,85,58,6
AT1G55490,18,89,95,60,6
ATCG00120,18,23,21,27,8
AT2G36740,17,0,2,0,0
AT3G01670,17,0,0,0,0
AT5G13990,17,0,0,0,0
AT5G26000,17,62,49,81,0
AT1G12900,17,27,32,27,2
AT1G54270,17,24,26,24,3
AT2G23350,17,19,19,14,5
AT3G33520,16,5,9,0,0
AT3G06720,16,21,33,11,0
AT1G78570,16,32,38,24,0
AT3G09840,16,104,121,86,2
AT2G16365,16,0,0,0,7
AT5G38420,16,57,66,58,8
AT3G18380,15,49,36,0,0
AT1G30630,15,11,18,8,0
AT4G37910,15,28,32,20,0
AT3G23990,15,48,60,37,0
AT5G03340,15,84,99,69,2
AT3G29360,15,20,21,19,3
AT1G64740,15,26,31,20,3
AT1G48920,15,2,7,3,4
AT3G05530,15,31,34,27,4
AT5G45930,15,8,9,8,8
AT4G10340,15,11,9,11,14
AT3G21070,14,0,0,0,0
AT4G34450,14,47,54,41,0
AT3G60980,14,0,0,0,2
AT1G72730,14,18,19,17,2
AT5G15490,14,15,19,17,3
AT4G13940,14,38,37,37,5
AT5G08670,14,19,20,23,6
AT5G08680,14,19,20,23,6
AT5G08690,14,19,20,23,6
AT5G38410,14,45,40,43,8
AT3G01680,13,0,0,0,0
AT3G52200,13,4,3,3,0
AT2G20580,13,43,38,34,0
AT1G78900,13,37,51,39,0
AT1G14710,13,0,0,0,2
ATCG00480,13,25,22,28,3
AT1G09100,13,22,23,19,4
AT5G43630,13,0,0,0,6
AT4G38970,13,21,19,18,9
AT1G67090,13,56,71,57,9
AT2G47210,12,9,6,0,0
AT1G08250,12,0,0,0,0
AT1G66120,12,0,5,0,0
AT2G34680,12,0,0,0,0
AT5G05010,12,16,20,13,0
AT1G52030,12,17,26,14,0
AT5G19990,12,30,34,29,0
AT3G52930,12,53,53,43,0
AT5G35630,12,36,27,30,3
AT5G24780,12,8,7,8,4
AT5G03300,12,26,26,25,4
AT3G16470,12,14,11,11,5
AT4G16250,12,0,3,3,8
AT2G42100,12,20,21,21,11
AT1G09270,11,11,21,9,0
AT1G75940,11,8,11,9,0
AT2G33340,11,8,10,11,0
AT2G07698,11,16,10,13,0
