Protein,WT,AT5G67580,AT1G43770
AT5G67580,0,40,0
AT1G48620,0,16,0
AT1G22950,0,12,0
AT4G25210,0,10,0
AT2G19570,0,9,0
AT4G02520,0,9,0
AT5G66000,0,9,0
AT1G02930,0,8,0
AT1G61730,0,8,0
AT3G14890,0,8,0
AT4G32620,0,8,0
AT2G06510,0,6,0
AT2G33620,0,6,0
AT3G04590,0,6,0
AT3G18990,0,6,0
AT5G16970,0,6,0
AT5G45140,0,6,0
AT3G61310,0,5,0
AT4G17950,0,5,0
AT5G10710,0,5,0
AT5G58030,0,5,0
AT1G31160,0,4,0
AT1G31280,0,4,0
AT1G43690,0,4,0
AT1G63470,0,4,0
AT2G06050,0,4,0
AT2G25080,0,4,0
AT2G31570,0,4,0
AT2G40930,0,4,0
AT3G03140,0,4,0
AT3G17340,0,4,0
AT3G20540,0,4,0
AT3G44620,0,4,0
AT3G46440,0,4,0
AT3G56240,0,4,0
AT4G25320,0,4,0
AT4G35510,0,4,0
AT5G18110,0,4,0
AT5G51100,0,4,0
AT5G64570,0,4,0
ATCG00650,0,4,0
AT1G13370,0,3,0
AT1G18250,0,3,0
AT1G21440,0,3,0
AT1G24800,0,3,0
AT1G24881,0,3,0
AT1G25055,0,3,0
AT1G25150,0,3,0
AT1G25211,0,3,0
AT1G32220,0,3,0
AT1G36730,0,3,0
AT1G45145,0,3,0
AT1G48610,0,3,0
AT1G60620,0,3,0
AT1G64510,0,3,0
AT1G75600,0,3,0
AT1G79500,0,3,0
AT2G17190,0,3,0
AT2G26590,0,3,0
AT2G30870,0,3,0
AT2G45850,0,3,0
AT3G12460,0,3,0
AT3G25840,0,3,0
AT3G53990,0,3,0
AT4G34290,0,3,0
AT4G40030,0,3,0
AT4G40040,0,3,0
AT5G02560,0,3,0
AT5G05270,0,3,0
AT5G10980,0,3,0
AT5G13050,0,3,0
AT5G16710,0,3,0
AT5G16715,0,3,0
AT5G23060,0,3,0
AT5G42740,0,3,0
AT5G60040,0,3,0
AT1G06130,0,2,0
AT1G09140,0,2,0
AT1G09490,0,2,0
AT1G10890,0,2,0
AT1G12230,0,2,0
AT1G16890,0,2,0
AT1G22940,0,2,0
AT1G24764,0,2,0
AT1G47420,0,2,0
AT1G49670,0,2,0
AT1G51160,0,2,0
AT1G54060,0,2,0
AT1G67580,0,2,0
AT1G69510,0,2,0
AT1G70620,0,2,0
AT1G71860,0,2,0
AT1G72150,0,2,0
AT1G72550,0,2,0
AT1G74260,0,2,0
AT1G76160,0,2,0
AT1G76860,0,2,0
AT1G78870,0,2,0
AT1G79750,0,2,0
AT1G79850,0,2,0
AT2G16360,0,2,0
AT2G17200,0,2,0
AT2G23420,0,2,0
AT2G31810,0,2,0
AT2G32090,0,2,0
AT2G41500,0,2,0
AT2G42810,0,2,0
AT3G04550,0,2,0
AT3G08780,0,2,0
AT3G10090,0,2,0
AT3G12410,0,2,0
AT3G12480,0,2,0
AT3G12860,0,2,0
AT3G15660,0,2,0
AT3G17460,0,2,0
AT3G18210,0,2,0
AT3G22660,0,2,0
AT3G23700,0,2,0
AT3G24430,0,2,0
AT3G25265,0,2,0
AT3G25400,0,2,0
AT3G25770,0,2,0
AT3G26420,0,2,0
AT3G27380,0,2,0
AT3G28270,0,2,0
AT3G45310,0,2,0
AT3G46940,0,2,0
AT3G49000,0,2,0
AT3G49080,0,2,0
AT3G54350,0,2,0
AT3G55330,0,2,0
AT3G59630,0,2,0
AT3G59790,0,2,0
AT3G60370,0,2,0
AT4G00200,0,2,0
AT4G00810,0,2,0
AT4G10260,0,2,0
AT4G16265,0,2,0
AT4G21620,0,2,0
AT4G27740,0,2,0
AT4G28730,0,2,0
AT4G31210,0,2,0
AT4G34555,0,2,0
AT4G39200,0,2,0
AT5G03630,0,2,0
AT5G03850,0,2,0
AT5G14910,0,2,0
AT5G16290,0,2,0
AT5G16400,0,2,0
AT5G18400,0,2,0
AT5G19440,0,2,0
AT5G20740,0,2,0
AT5G21150,0,2,0
AT5G23310,0,2,0
AT5G38830,0,2,0
AT5G39493,0,2,0
AT5G44200,0,2,0
AT5G46180,0,2,0
AT5G50580,0,2,0
AT5G50680,0,2,0
AT5G51970,0,2,0
AT5G53530,0,2,0
AT5G54180,0,2,0
AT5G59870,0,2,0
AT5G60360,0,2,0
AT5G63400,0,2,0
AT5G66530,0,2,0
AT1G32580,2,5,0
AT1G69200,2,5,0
AT1G76510,2,5,0
AT3G52220,2,5,0
AT3G05000,2,4,0
AT1G03130,2,3,0
AT1G27970,2,3,0
AT2G32700,2,3,0
AT2G32720,2,3,0
AT3G02920,2,3,0
AT3G06810,2,3,0
AT3G11770,2,3,0
AT4G02770,2,3,0
AT5G04230,2,3,0
AT1G14840,2,2,0
AT1G29910,2,2,0
AT1G29920,2,2,0
AT1G29930,2,2,0
AT1G30460,2,2,0
AT2G03820,2,2,0
AT2G16570,2,2,0
AT2G20890,2,2,0
AT2G34420,2,2,0
AT2G34860,2,2,0
AT2G41475,2,2,0
AT2G44310,2,2,0
AT3G02540,2,2,0
AT3G10410,2,2,0
AT3G15690,2,2,0
AT3G17590,2,2,0
AT3G21140,2,2,0
AT3G25150,2,2,0
AT4G18465,2,2,0
AT5G17070,2,2,0
AT5G23080,2,2,0
AT5G25070,2,2,0
AT5G44710,2,2,0
ATCG00330,2,2,0
AT1G02890,2,0,0
AT1G06760,2,0,0
AT1G09130,2,0,0
AT1G10290,2,0,0
AT1G14280,2,0,0
AT1G16610,2,0,0
AT1G16810,2,0,0
AT1G17070,2,0,0
AT1G49970,2,0,0
AT1G50670,2,0,0
AT1G53280,2,0,0
AT1G59900,2,0,0
AT1G60000,2,0,0
AT1G64040,2,0,0
AT1G70290,2,0,0
AT1G70980,2,0,0
AT2G04270,2,0,0
AT2G17280,2,0,0
AT2G27810,2,0,0
AT2G32520,2,0,0
AT2G35840,2,0,0
AT2G39810,2,0,0
AT2G45470,2,0,0
AT3G01910,2,0,0
AT3G02730,2,0,0
AT3G05580,2,0,0
AT3G09740,2,0,0
AT3G14172,2,0,0
AT3G24490,2,0,0
AT3G26720,2,0,0
AT3G27100,2,0,0
AT3G29320,2,0,0
AT3G46740,2,0,0
AT3G46960,2,0,0
AT3G47610,2,0,0
AT3G48150,2,0,0
AT3G61260,2,0,0
AT4G00238,2,0,0
AT4G00800,2,0,0
AT4G09740,2,0,0
AT4G11175,2,0,0
AT4G14890,2,0,0
AT4G17090,2,0,0
AT4G24770,2,0,0
AT4G25550,2,0,0
AT4G26430,2,0,0
AT4G28703,2,0,0
AT4G32551,2,0,0
AT4G32930,2,0,0
AT4G39520,2,0,0
AT5G05590,2,0,0
AT5G08550,2,0,0
AT5G11420,2,0,0
AT5G20950,2,0,0
AT5G25460,2,0,0
AT5G45510,2,0,0
AT5G47820,2,0,0
AT5G52360,2,0,0
AT5G62530,2,0,0
AT5G64610,2,0,0
AT5G67030,2,0,0
AT5G67510,2,0,0
ATMG00070,2,0,0
AT3G54090,3,6,0
AT3G25920,3,5,0
AT3G10270,3,4,0
AT1G76880,3,3,0
AT3G06010,3,3,0
AT3G25220,3,3,0
AT4G31770,3,3,0
AT4G37510,3,3,0
AT5G47700,3,3,0
AT5G48810,3,3,0
AT5G51110,3,3,0
AT1G27752,3,2,0
AT2G13540,3,2,0
AT2G31980,3,2,0
AT3G07660,3,2,0
AT4G15020,3,2,0
AT5G23900,3,2,0
AT5G55070,3,2,0
ATCG00770,3,2,0
AT1G08260,3,0,0
AT1G15200,3,0,0
AT1G48760,3,0,0
AT1G50030,3,0,0
AT1G50710,3,0,0
AT1G64190,3,0,0
AT1G71500,3,0,0
AT1G72390,3,0,0
AT1G76180,3,0,0
AT1G80600,3,0,0
AT2G26210,3,0,0
AT2G27210,3,0,0
AT2G37270,3,0,0
AT2G37600,3,0,0
AT2G44730,3,0,0
AT2G46820,3,0,0
AT3G01180,3,0,0
AT3G11940,3,0,0
AT3G45190,3,0,0
AT3G49601,3,0,0
AT3G53740,3,0,0
AT3G60190,3,0,0
AT4G31810,3,0,0
AT4G34660,3,0,0
AT5G18170,3,0,0
AT5G28500,3,0,0
AT5G51280,3,0,0
AT5G54260,3,0,0
AT5G63550,3,0,0
AT5G63960,3,0,0
AT5G65020,3,0,0
AT4G29060,4,6,0
AT3G17940,4,3,0
AT4G01150,4,2,0
AT2G43970,4,0,0
AT3G17170,4,0,0
AT3G47700,4,0,0
AT4G15545,4,0,0
AT4G19190,4,0,0
AT4G25890,4,0,0
AT1G69960,5,4,0
AT3G56800,5,4,0
AT1G35720,5,3,0
AT3G21810,5,3,0
AT3G16060,5,0,0
AT4G18060,6,5,0
AT4G25530,6,3,0
AT3G56640,6,0,0
AT2G31320,0,12,2
AT1G48420,0,6,2
AT3G20790,0,6,2
AT3G16400,0,5,2
AT3G52560,0,5,2
AT5G51590,0,5,2
AT5G66760,0,5,2
AT1G35680,0,4,2
AT2G01350,0,4,2
AT2G42740,0,4,2
AT3G46460,0,4,2
AT3G58700,0,4,2
AT4G18730,0,4,2
AT4G25180,0,4,2
AT4G39820,0,4,2
AT5G02050,0,4,2
AT5G45775,0,4,2
AT5G47870,0,4,2
AT5G51980,0,4,2
AT1G21880,0,3,2
AT1G49480,0,3,2
AT1G64980,0,3,2
AT1G71840,0,3,2
AT2G29960,0,3,2
AT3G23830,0,3,2
AT3G52630,0,3,2
AT4G14080,0,3,2
AT4G15570,0,3,2
AT4G25630,0,3,2
AT4G28300,0,3,2
AT4G34050,0,3,2
AT5G02280,0,3,2
AT5G22010,0,3,2
AT5G22040,0,3,2
AT5G40490,0,3,2
AT5G49650,0,3,2
AT5G52470,0,3,2
AT5G59300,0,3,2
AT5G61170,0,3,2
AT5G63860,0,3,2
