Protein,WT,AT3G52100,AT3G52100
AT3G08590,46,84,91
AT3G44310,25,60,85
AT3G44690,22,41,52
AT3G52930,16,39,41
AT1G48120,19,34,39
AT1G55490,27,34,39
AT1G55490,27,34,39
AT2G29550,10,33,39
AT1G36160,8,28,39
AT1G36160,8,28,39
AT1G09780,16,29,38
AT2G17630,20,32,37
AT2G28000,17,32,37
AT1G69830,8,21,36
AT1G19480,28,30,34
AT1G19480,28,30,34
AT1G52570,14,29,34
AT1G71220,5,25,33
AT1G71220,5,25,33
AT1G56070,17,26,31
AT3G09840,17,22,30
AT2G47620,0,25,29
AT1G20010,5,18,28
AT1G70320,0,18,28
AT1G78900,2,15,28
AT1G78900,2,15,28
AT2G46610,14,33,27
AT2G46610,14,33,27
AT2G33210,3,20,27
AT2G33210,3,20,27
AT1G64880,6,23,26
AT1G49240,14,22,26
AT3G06010,0,30,25
AT1G56410,12,24,25
AT3G12110,16,24,25
AT2G40660,10,17,25
AT1G71080,14,22,24
AT3G46520,11,22,24
AT2G21390,4,19,23
AT1G79920,3,17,23
AT1G79920,3,17,23
AT2G46280,5,15,23
AT2G46280,5,15,23
AT1G29250,6,14,23
AT2G20580,6,26,22
AT2G37620,10,21,22
AT2G37620,10,21,22
AT3G53750,10,21,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G07890,4,20,22
AT1G62020,0,19,22
AT2G38040,4,14,22
AT2G38040,4,14,22
AT2G34160,7,13,22
AT1G67090,18,27,21
AT2G28290,0,18,21
AT2G28290,0,18,21
AT2G28290,0,18,21
AT1G75780,5,14,21
AT1G07920,11,20,20
AT1G07930,11,20,20
AT1G07940,11,20,20
AT1G07940,11,20,20
AT1G79930,0,17,20
AT1G79930,0,17,20
AT1G20200,4,15,20
AT3G03540,4,15,20
AT2G05120,0,14,20
AT3G11910,5,30,19
AT2G36460,9,17,19
AT2G41740,0,17,19
AT2G32730,0,13,19
AT1G04820,15,11,19
AT1G50010,15,11,19
AT2G04030,6,20,18
AT2G33610,0,19,18
AT1G58025,0,17,18
AT1G57720,9,15,18
AT1G57720,9,15,18
AT2G36530,4,15,18
AT1G15750,3,14,18
AT1G15750,3,14,18
AT1G15750,3,14,18
AT1G15750,3,14,18
AT3G13920,6,14,18
AT1G54270,6,13,18
AT3G54760,0,13,18
AT1G04410,6,11,18
AT2G36880,6,11,18
AT2G36880,6,11,18
AT1G78570,0,23,17
AT2G04030,6,20,17
AT1G18450,4,19,17
AT1G58025,0,17,17
AT1G80490,3,12,17
AT1G80490,3,12,17
AT3G14790,0,18,16
AT1G52410,4,17,16
AT1G52410,4,17,16
AT1G53500,0,16,16
AT1G53750,3,16,16
AT1G20620,7,15,16
AT1G20620,0,14,16
AT3G63460,3,14,16
AT1G02500,0,12,16
AT1G02500,0,12,16
AT1G21750,0,11,16
AT1G72370,3,11,16
AT1G72370,3,11,16
AT2G26080,3,11,16
AT1G42970,8,22,15
AT1G80070,2,17,15
AT2G39800,2,17,15
AT2G39800,2,17,15
AT2G39800,2,17,15
AT1G35160,3,16,15
AT1G35160,2,16,15
AT1G48410,0,16,15
AT1G48410,0,16,15
AT1G48410,0,16,15
AT2G39730,15,16,15
AT3G60830,0,13,15
AT2G17360,2,12,15
AT3G13860,3,12,15
AT3G50670,8,12,15
AT2G44160,0,11,15
AT3G02520,5,10,15
AT3G05900,0,10,15
AT1G47128,4,9,15
AT3G12915,0,9,15
AT1G32730,0,17,14
AT2G39730,14,16,14
AT3G23810,3,16,14
AT3G44300,10,15,14
AT1G24510,2,12,14
AT1G24510,2,12,14
AT1G52360,5,12,14
AT2G42600,0,11,14
AT2G42600,0,11,14
AT1G09640,4,9,14
AT1G20950,3,9,14
AT1G72730,6,9,14
AT2G23350,0,9,14
AT3G05530,6,9,14
AT1G30230,5,7,14
AT1G30230,5,7,14
AT3G55870,5,7,14
AT1G52360,5,0,14
AT2G39800,2,17,13
AT1G52400,7,16,13
AT1G52400,7,16,13
AT3G03530,0,15,13
AT3G09880,6,15,13
AT3G15980,5,15,13
AT3G20050,4,14,13
AT1G23310,2,13,13
AT1G29900,0,13,13
AT3G03250,0,13,13
AT3G06650,6,13,13
AT1G13440,10,12,13
AT1G20020,5,12,13
AT1G20020,4,12,13
AT1G20020,5,12,13
AT2G05920,0,12,13
AT2G21330,4,12,13
AT3G04120,10,12,13
AT2G21330,3,11,13
AT2G27020,2,11,13
AT3G48930,0,11,13
AT3G59770,2,11,13
AT1G75990,0,10,13
AT1G80410,0,10,13
AT1G80410,0,10,13
AT2G21660,8,10,13
AT2G20140,2,9,13
AT2G29560,6,9,13
AT3G18060,0,9,13
AT1G04810,0,8,13
AT1G16030,6,8,13
AT1G22300,2,8,13
AT1G22300,2,8,13
AT1G20960,0,13,12
AT1G20960,0,13,12
AT1G52400,7,13,12
AT1G05460,0,12,12
AT1G68010,0,12,12
AT3G02760,0,12,12
AT3G18000,0,11,12
AT1G06290,0,10,12
AT3G19760,0,9,12
AT3G55800,0,9,12
AT1G22300,0,8,12
AT1G78300,4,8,12
AT2G01140,2,8,12
AT2G47510,0,8,12
AT2G47510,0,8,12
AT1G65960,3,7,12
AT1G17720,0,6,12
AT1G17720,0,6,12
AT1G80460,2,5,12
AT1G80460,2,5,12
AT1G78580,0,13,11
AT1G20630,5,12,11
AT1G45000,0,12,11
AT3G01500,3,12,11
AT1G79990,3,11,11
AT1G79990,0,11,11
AT1G79990,0,11,11
AT2G07698,0,11,11
AT3G18190,3,11,11
AT1G06220,3,10,11
AT1G06220,3,10,11
AT3G11830,5,10,11
AT1G53310,0,9,11
AT1G53310,0,9,11
AT1G53310,0,9,11
AT1G08200,3,8,11
AT1G09270,2,8,11
AT1G09270,2,8,11
AT1G65010,0,8,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT1G43170,0,7,11
AT2G27860,3,7,11
AT3G60240,2,7,11
AT1G64740,7,6,11
AT1G67230,0,6,11
AT2G21070,19,22,10
AT2G21070,19,22,10
AT1G11860,0,12,10
AT1G11860,0,12,10
AT1G11860,0,12,10
AT1G12000,0,11,10
AT1G53850,0,11,10
AT1G53850,0,11,10
AT3G14290,0,11,10
AT2G14120,0,10,10
AT2G14120,0,10,10
AT2G14120,0,10,10
AT1G12900,8,9,10
AT1G12900,8,9,10
AT1G12900,8,9,10
AT1G49760,3,8,10
AT1G49760,3,8,10
AT1G70580,2,8,10
AT1G70580,2,8,10
AT1G70580,2,8,10
AT1G70580,2,8,10
AT3G44320,6,8,10
AT1G06410,0,7,10
AT1G18080,3,7,10
AT2G42500,4,7,10
AT2G42520,0,7,10
AT3G57410,0,6,10
AT1G27090,3,5,10
AT1G51690,0,5,10
AT1G51690,0,5,10
AT2G30050,0,5,10
AT1G51690,0,4,10
AT2G38700,0,4,10
AT3G07100,0,4,10
AT3G11630,4,4,10
AT1G65440,0,14,9
AT3G60750,0,14,9
AT2G05840,0,13,9
AT1G50620,0,12,9
AT3G07770,0,12,9
AT3G29360,0,11,9
AT2G24270,2,10,9
AT2G24270,2,10,9
AT2G24270,2,10,9
AT2G24270,2,10,9
AT3G03780,0,10,9
AT1G09620,0,9,9
AT1G35580,0,9,9
AT1G35580,0,9,9
AT3G02930,0,8,9
AT3G53030,3,8,9
AT1G55860,0,7,9
AT1G79830,0,7,9
AT1G79830,0,7,9
AT1G79830,0,7,9
AT1G79830,0,7,9
AT2G05710,0,7,9
AT2G30110,0,7,9
AT2G47940,0,7,9
AT2G47940,0,7,9
AT1G09270,2,6,9
AT1G12230,0,6,9
AT1G12230,0,6,9
AT1G55090,0,6,9
AT1G65930,0,6,9
AT2G37040,0,6,9
AT2G41530,2,6,9
AT1G03630,0,5,9
AT1G03630,0,5,9
AT1G60420,2,5,9
AT2G23390,3,5,9
AT2G31610,0,5,9
AT3G15880,0,5,9
AT1G12910,0,4,9
AT1G68560,3,4,9
AT2G31390,0,4,9
AT3G55200,0,3,9
AT3G55220,0,3,9
AT1G69740,5,10,8
AT1G69740,5,10,8
AT1G79690,0,9,8
AT2G43770,0,8,8
AT3G18380,0,8,8
AT3G49680,0,8,8
AT1G17745,0,7,8
AT1G17745,0,7,8
AT1G52030,0,7,8
AT1G52030,0,7,8
AT1G60710,0,7,8
AT2G19520,0,7,8
AT2G36160,0,7,8
AT3G11510,0,7,8
AT3G16640,3,7,8
AT3G52580,0,7,8
AT3G55440,0,7,8
AT1G20260,0,6,8
AT1G23740,0,6,8
AT1G30580,0,6,8
AT1G47250,4,6,8
AT1G64520,0,6,8
AT1G70830,0,6,8
AT1G76030,0,6,8
AT2G27030,2,6,8
AT2G27030,2,6,8
AT2G41110,2,6,8
AT2G41110,2,6,8
AT3G56800,2,6,8
AT1G10840,0,5,8
AT1G11650,0,5,8
AT1G14810,0,5,8
AT1G48630,0,5,8
AT2G16780,0,5,8
AT2G24940,3,5,8
AT2G42500,4,5,8
AT3G11400,2,5,8
AT3G12145,4,5,8
AT3G13930,0,5,8
AT3G25530,2,5,8
AT3G62310,0,5,8
AT1G11650,0,4,8
AT2G45810,0,4,8
AT1G62380,0,3,8
AT2G33340,0,3,8
AT2G33340,0,3,8
AT2G22125,0,0,8
AT1G75950,3,9,7
AT2G33800,2,9,7
AT1G50200,2,8,7
AT1G50200,2,8,7
AT1G76550,0,8,7
AT2G27040,2,8,7
AT2G27040,2,8,7
AT2G42910,0,8,7
AT1G02690,0,7,7
AT1G18070,0,7,7
AT1G18070,0,7,7
AT1G18070,0,7,7
AT3G55120,0,7,7
AT1G01090,0,6,7
