Protein,WT,WT,AT1G17930,AT1G179301,AT1G179302
AT2G25010,0,0,39,42,25
AT5G10900,0,0,35,38,14
AT1G17930,0,0,33,34,20
AT1G03600,0,0,5,0,0
AT3G47070,0,0,5,0,5
AT4G27440,0,0,5,3,2
AT5G20290,0,0,5,3,3
AT1G52240,0,0,4,0,0
AT2G14880,0,0,4,0,0
AT2G41100,0,0,4,2,4
AT3G44690,0,0,4,0,2
AT1G08520,0,0,3,2,0
AT1G21500,0,0,3,0,2
AT1G26550,0,0,3,0,0
AT2G42530,0,0,3,0,0
AT2G47400,0,0,3,0,0
AT3G14415,0,0,3,2,0
AT3G14420,0,0,3,0,0
AT3G15360,0,0,3,0,0
AT3G29360,0,0,3,2,0
AT3G60820,0,0,3,3,2
AT3G63460,0,0,3,5,0
AT4G10480,0,0,3,2,0
AT4G27520,0,0,3,2,0
AT5G15490,0,0,3,2,0
AT5G19510,0,0,3,0,2
AT5G26360,0,0,3,5,2
AT5G39320,0,0,3,2,0
AT5G40450,0,0,3,0,0
AT5G59160,0,0,3,0,0
AT1G16810,0,0,2,0,0
AT1G26570,0,0,2,2,0
AT1G64790,0,0,2,0,0
AT1G66240,0,0,2,0,0
AT1G72370,0,0,2,2,0
AT2G03440,0,0,2,0,0
AT2G04390,0,0,2,0,0
AT2G05220,0,0,2,0,0
AT2G15400,0,0,2,0,0
AT2G15430,0,0,2,0,0
AT2G16600,0,0,2,0,0
AT2G24020,0,0,2,2,2
AT2G32060,0,0,2,0,0
AT2G33800,0,0,2,0,0
AT2G36530,0,0,2,0,0
AT2G42680,0,0,2,0,0
AT2G43030,0,0,2,0,2
AT3G03710,0,0,2,0,0
AT3G05060,0,0,2,0,0
AT3G10610,0,0,2,0,0
AT3G12780,0,0,2,2,3
AT3G14210,0,0,2,2,0
AT3G16400,0,0,2,0,0
AT3G16410,0,0,2,0,0
AT3G18190,0,0,2,2,0
AT3G44110,0,0,2,0,0
AT3G46780,0,0,2,0,0
AT3G49910,0,0,2,0,0
AT3G52150,0,0,2,0,0
AT3G58680,0,0,2,0,0
AT3G62530,0,0,2,0,0
AT3G63140,0,0,2,0,0
AT4G01310,0,0,2,2,4
AT4G02520,0,0,2,2,0
AT4G17100,0,0,2,0,0
AT4G18480,0,0,2,0,0
AT4G21710,0,0,2,0,0
AT4G26840,0,0,2,2,0
AT4G27500,0,0,2,0,2
AT4G38680,0,0,2,0,3
AT5G03290,0,0,2,0,0
AT5G04800,0,0,2,0,0
AT5G09900,0,0,2,0,0
AT5G14660,0,0,2,0,0
AT5G15200,0,0,2,2,3
AT5G48580,0,0,2,0,0
AT5G58290,0,0,2,0,3
AT5G61780,0,0,2,0,0
ATCG00800,0,0,2,0,0
AT1G02690,0,0,0,2,0
AT1G02920,0,0,0,2,0
AT1G02930,0,0,0,2,0
AT1G03680,0,0,0,2,0
AT1G04810,0,0,0,2,0
AT1G14320,0,0,0,2,0
AT1G16300,0,0,0,2,0
AT1G16470,0,0,0,2,0
AT1G16880,0,0,0,2,0
AT1G18080,0,0,0,2,0
AT1G18540,0,0,0,3,0
AT1G19570,0,0,0,2,0
AT1G48630,0,0,0,2,0
AT1G52360,0,0,0,3,0
AT1G62020,0,0,0,3,0
AT1G66260,0,0,0,3,0
AT1G74050,0,0,0,3,0
AT1G74060,0,0,0,3,0
AT1G78570,0,0,0,3,0
AT1G79210,0,0,0,2,0
AT1G79530,0,0,0,2,0
AT1G80410,0,0,0,2,0
AT2G02930,0,0,0,2,0
AT2G14120,0,0,0,2,0
AT2G16570,0,0,0,2,0
AT2G21150,0,0,0,0,2
AT2G21390,0,0,0,3,0
AT2G30870,0,0,0,2,0
AT2G31610,0,0,0,2,0
AT2G32730,0,0,0,2,0
AT2G34040,0,0,0,2,0
AT2G34860,0,0,0,0,2
AT2G39080,0,0,0,2,0
AT2G41530,0,0,0,2,0
AT2G47730,0,0,0,3,0
AT2G47940,0,0,0,2,0
AT3G01340,0,0,0,2,0
AT3G02860,0,0,0,2,0
AT3G06720,0,0,0,2,0
AT3G14790,0,0,0,3,0
AT3G15980,0,0,0,3,0
AT3G19170,0,0,0,2,0
AT3G25230,0,0,0,2,0
AT3G53110,0,0,0,0,2
AT3G53180,0,0,0,2,0
AT3G53870,0,0,0,2,0
AT3G55330,0,0,0,0,2
AT3G56290,0,0,0,0,2
AT3G58140,0,0,0,3,0
AT3G60370,0,0,0,2,0
AT4G02450,0,0,0,2,0
AT4G29350,0,0,0,2,0
AT4G31480,0,0,0,3,0
AT4G31490,0,0,0,3,0
AT4G33650,0,0,0,2,0
AT4G33680,0,0,0,2,0
AT4G34740,0,0,0,2,0
AT5G01600,0,0,0,2,0
AT5G14060,0,0,0,2,0
AT5G14320,0,0,0,2,0
AT5G16390,0,0,0,2,0
AT5G35530,0,0,0,2,0
AT5G51720,0,0,0,0,2
AT5G56030,0,0,0,2,0
AT5G66420,0,0,0,2,0
AT5G46290,0,2,4,2,2
AT1G04410,0,2,3,0,2
AT1G57720,0,2,3,0,0
AT2G07698,0,2,3,2,0
AT3G15190,0,2,3,3,3
AT4G24280,0,2,3,5,3
AT5G09590,0,2,3,5,0
AT5G49910,0,2,3,5,4
ATMG01190,0,2,3,2,0
AT1G07890,0,2,2,3,0
AT2G47470,0,2,2,0,0
AT3G55440,0,2,2,4,2
AT4G20260,0,2,2,0,0
AT5G20890,0,2,2,4,2
AT5G26000,0,2,2,0,2
AT5G43330,0,2,2,0,0
ATCG00900,0,2,2,0,3
ATCG01240,0,2,2,0,3
AT1G09640,0,2,0,2,0
AT1G20200,0,2,0,7,0
AT1G20260,0,2,0,0,0
AT1G23310,0,2,0,3,0
AT1G24510,0,2,0,0,0
AT1G27752,0,2,0,4,0
AT1G34760,0,2,0,0,0
AT1G49760,0,2,0,0,0
AT1G53720,0,2,0,6,0
AT1G75950,0,2,0,2,0
AT1G75990,0,2,0,5,0
AT1G76030,0,2,0,0,0
AT2G23350,0,2,0,3,0
AT2G37660,0,2,0,0,0
AT2G38270,0,2,0,3,0
AT2G40290,0,2,0,4,0
AT3G01390,0,2,0,0,0
AT3G14310,0,2,0,2,0
AT3G26420,0,2,0,2,0
AT3G51260,0,2,0,2,0
AT3G60750,0,2,0,5,3
AT4G11150,0,2,0,3,0
AT4G17190,0,2,0,0,0
AT4G23600,0,2,0,2,0
AT4G34200,0,2,0,3,0
AT4G38510,0,2,0,0,0
AT5G09880,0,2,0,4,0
AT5G15450,0,2,0,3,0
AT5G20720,0,2,0,3,5
AT5G23540,0,2,0,4,0
AT5G55220,0,2,0,2,0
AT5G66140,0,2,0,2,0
AT5G42790,0,3,5,4,3
AT1G47250,0,3,4,4,3
AT1G48600,0,3,4,4,0
AT4G31700,0,3,4,0,0
AT3G63190,0,3,3,0,4
AT4G24820,0,3,3,2,4
AT4G29270,0,3,3,6,4
AT5G10360,0,3,3,2,0
AT2G38230,0,3,2,3,0
AT5G60980,0,3,2,0,2
AT1G08200,0,3,0,0,0
AT1G32060,0,3,0,5,2
AT1G47128,0,3,0,2,0
AT1G69740,0,3,0,3,0
AT2G36880,0,3,0,2,0
AT3G27430,0,3,0,0,0
AT4G34110,0,3,0,2,0
AT5G04140,0,3,0,2,0
AT5G38480,0,3,0,2,0
AT5G40580,0,3,0,0,0
AT3G53460,0,4,8,3,3
AT3G26650,0,4,7,7,0
AT4G20850,0,4,6,5,5
AT2G36460,0,4,5,8,3
AT3G23600,0,4,4,5,5
AT2G17360,0,4,3,4,3
AT5G07090,0,4,3,4,3
AT5G58420,0,4,3,4,3
AT3G55800,0,4,2,2,3
AT4G29060,0,4,2,2,0
AT1G79920,0,4,0,5,0
AT1G79930,0,4,0,4,0
AT3G13490,0,4,0,3,0
AT3G25530,0,4,0,0,0
AT4G34490,0,4,0,4,0
AT5G01410,0,4,0,3,0
AT2G42520,0,5,5,5,2
AT4G37910,0,5,4,4,0
AT1G53850,0,5,3,5,6
AT3G14290,0,5,3,5,6
ATCG00480,0,5,3,5,3
AT3G44320,0,6,7,3,3
AT2G47110,0,6,4,6,3
AT3G62250,0,6,4,6,3
AT2G33730,0,6,2,8,0
AT4G33010,0,6,2,6,0
AT1G48410,0,6,0,2,0
AT1G20620,0,8,0,8,5
AT3G09440,0,9,13,17,9
AT3G18780,0,22,88,18,23
AT3G62410,2,0,5,0,3
AT1G17220,2,0,4,0,0
AT5G24165,2,0,4,0,0
AT1G13930,2,0,3,0,2
AT2G05520,2,0,3,0,0
AT2G33830,2,0,3,0,4
AT3G20050,2,0,3,2,0
AT3G46820,2,0,3,0,0
AT4G24190,2,0,3,0,0
AT4G38630,2,0,3,3,0
AT5G15970,2,0,3,0,2
AT5G64040,2,0,3,0,0
AT1G49975,2,0,2,0,0
AT1G75350,2,0,2,0,0
AT2G19870,2,0,2,5,0
AT2G20890,2,0,2,2,4
AT2G42590,2,0,2,0,0
AT3G13860,2,0,2,4,0
AT4G16143,2,0,2,0,0
AT5G11710,2,0,2,0,2
AT5G24490,2,0,2,0,3
ATCG00780,2,0,2,0,0
AT1G04480,2,0,0,0,0
AT1G26480,2,0,0,0,0
AT1G30230,2,0,0,0,0
AT1G36160,2,0,0,0,0
AT1G78580,2,0,0,0,0
AT2G18110,2,0,0,0,0
AT2G33370,2,0,0,0,0
AT2G34310,2,0,0,0,0
AT3G04400,2,0,0,0,0
AT3G06980,2,0,0,0,0
AT3G22630,2,0,0,5,0
AT3G26400,2,0,0,0,0
AT4G11240,2,0,0,0,2
AT4G14800,2,0,0,6,0
AT4G35090,2,0,0,5,3
AT5G19990,2,0,0,0,0
AT5G20000,2,0,0,0,0
AT2G42600,2,2,8,9,4
AT1G48350,2,2,5,2,4
AT1G53310,2,2,5,5,4
AT2G37220,2,2,5,4,6
AT3G14940,2,2,4,3,4
AT1G73600,2,2,3,3,0
AT2G20140,2,2,3,2,0
AT2G23390,2,2,3,3,0
AT4G29040,2,2,3,2,0
AT1G29150,2,2,2,2,2
AT1G51510,2,2,2,0,0
AT1G64520,2,2,2,3,0
AT3G01540,2,2,2,2,2
AT3G11830,2,2,2,3,0
AT4G08390,2,2,2,0,0
AT5G17440,2,2,2,2,0
AT1G09340,2,2,0,0,3
AT1G22300,2,2,0,0,0
AT1G35160,2,2,0,0,0
AT1G66410,2,2,0,3,3
AT2G24940,2,2,0,4,0
AT2G27030,2,2,0,3,3
AT2G41110,2,2,0,3,3
AT3G43810,2,2,0,3,3
AT3G56800,2,2,0,3,3
AT4G25630,2,2,0,0,0
AT5G21274,2,2,0,3,3
AT5G37780,2,2,0,3,3
AT5G52470,2,2,0,0,0
AT5G48300,2,3,7,5,2
AT1G26630,2,3,6,2,3
AT1G06680,2,3,5,3,3
AT5G58470,2,3,5,5,3
AT1G16210,2,3,3,3,2
AT1G78900,2,3,3,6,2
AT3G58510,2,3,3,5,0
AT3G27830,2,3,2,4,3
AT3G27850,2,3,2,4,3
AT4G21860,2,3,2,5,0
AT4G31300,2,3,2,3,2
AT1G70410,2,3,0,3,0
AT2G27020,2,4,6,6,5
AT1G67700,2,4,5,4,4
AT1G69830,2,4,4,5,4
AT1G11860,2,4,3,8,2
AT1G66200,2,4,3,3,2
AT4G28470,2,4,2,6,2
AT5G43010,2,4,2,4,3
AT4G09000,2,4,0,2,0
AT3G17390,2,5,0,4,3
AT1G56070,2,6,7,9,5
AT3G51800,2,6,6,6,5
AT1G53750,2,6,5,4,4
AT1G27090,2,7,5,10,3
AT4G38970,2,7,5,7,3
AT5G02500,2,10,14,18,10
AT5G43960,3,0,6,3,4
AT5G26742,3,0,5,4,2
AT4G16830,3,0,4,2,2
AT4G38710,3,0,4,0,3
AT2G10940,3,0,2,2,2
AT1G26110,3,0,0,0,0
AT3G11630,3,0,0,0,0
AT5G25980,3,0,0,3,2
AT5G66190,3,0,0,0,0
AT3G26560,3,2,6,8,0
AT3G11510,3,2,3,3,3
AT2G36160,3,2,2,3,2
AT2G38540,3,2,2,3,4
AT3G52580,3,2,0,2,0
AT3G01500,3,3,7,8,3
AT4G13940,3,3,7,5,5
AT3G23810,3,3,6,4,5
AT2G05840,3,3,4,0,5
AT1G09100,3,3,3,3,0
AT4G16500,3,3,3,0,2
AT5G35590,3,3,3,3,6
AT1G12900,3,4,8,5,0
AT5G14740,3,4,8,7,5
AT2G04030,3,4,7,7,2
AT3G48870,3,4,6,8,2
AT5G09650,3,4,5,4,2
AT1G15750,3,4,3,6,2
AT1G20020,3,4,3,4,4
AT1G45000,3,4,3,3,4
AT1G80490,3,4,2,5,0
AT3G03960,3,5,10,6,6
AT2G38040,3,5,4,6,2
AT4G25130,3,6,8,4,3
AT4G26530,3,6,4,8,5
AT5G03300,3,6,3,7,6
AT2G21330,3,7,3,4,2
AT5G50920,3,8,12,12,4
AT5G28540,3,8,7,7,5
AT5G42020,3,8,6,7,5
AT3G50820,4,0,7,2,5
AT5G66570,4,0,7,0,6
AT2G29400,4,0,3,0,0
AT5G52640,4,0,3,0,6
AT4G40030,4,0,2,0,0
AT4G40040,4,0,2,0,0
AT5G10980,4,0,2,0,0
AT1G13020,4,2,6,0,7
AT2G40660,4,2,4,3,5
AT3G22110,4,3,6,3,4
AT5G35680,4,3,6,4,5
AT2G04520,4,3,5,4,5
AT5G59950,4,3,4,2,3
AT3G05530,4,3,3,4,0
AT4G21280,4,4,21,8,9
AT4G05180,4,4,7,5,4
AT5G35200,4,4,7,4,5
AT3G16640,4,4,4,4,5
AT5G20010,4,5,4,8,6
AT5G20020,4,5,4,8,6
AT5G55190,4,5,4,8,6
AT2G20580,4,7,6,9,2
AT5G65730,4,9,14,10,10
AT3G52930,4,13,13,21,7
AT5G02530,4,13,6,17,3
AT3G05900,5,0,9,2,2
AT4G17520,5,0,7,0,3
AT1G50300,5,2,4,3,3
AT5G47210,5,3,8,3,6
AT1G20220,5,4,7,5,6
AT3G26060,5,4,7,3,4
AT1G54270,5,4,6,7,3
AT3G04120,5,4,5,5,5
AT1G13440,5,5,5,6,5
AT3G13920,5,6,8,9,4
AT4G20360,5,7,7,11,10
AT5G35630,5,11,10,11,7
AT1G71080,6,0,8,0,8
AT2G39800,6,4,3,7,0
AT5G30510,6,7,12,9,10
AT4G37800,7,5,19,7,10
AT4G35630,7,7,13,8,10
AT5G03340,7,9,10,10,6
AT2G34160,7,10,14,14,10
AT3G09840,7,10,12,10,8
AT5G26710,7,10,10,15,8
AT1G67090,7,13,11,11,11
AT3G44300,7,16,15,14,10
AT1G07660,8,4,8,0,6
AT1G07820,8,4,8,0,6
AT2G28740,8,4,8,0,6
AT3G45930,8,4,8,0,6
AT3G46320,8,4,8,0,6
AT3G53730,8,4,8,0,6
AT5G59690,8,4,8,0,6
AT5G59970,8,4,8,0,6
AT2G17630,8,7,13,8,9
AT1G42970,8,11,19,14,12
AT2G33210,8,11,7,12,8
AT1G76010,9,9,14,10,12
AT3G23990,9,11,10,14,11
AT5G56500,9,15,12,11,10
ATCG00120,10,7,13,8,12
AT2G21660,11,9,17,9,12
AT1G07920,11,12,13,12,9
AT1G07930,11,12,13,12,9
AT1G07940,11,12,13,12,9
AT5G60390,11,12,13,12,9
AT4G10320,12,5,10,11,11
AT2G39730,12,13,17,11,11
AT5G38410,13,18,16,16,14
AT5G38420,13,18,16,16,14
AT5G38430,13,18,16,16,14
AT1G19480,14,6,13,6,13
AT4G39260,14,9,16,10,16
AT1G29250,15,13,22,17,16
AT3G13470,15,22,18,20,13
AT3G08590,17,28,34,28,25
AT1G55490,20,30,26,27,20
AT2G28000,22,22,25,29,24
AT3G44310,23,47,59,55,36
AT2G29550,57,0,26,0,10
ATCG00490,61,79,101,87,70
AT5G23860,62,10,32,0,0
AT5G62690,62,11,34,0,10
AT5G62700,62,11,34,0,10
AT5G19770,63,38,32,17,14
AT5G19780,63,38,32,17,14
AT1G20010,88,45,41,15,13
AT4G20890,92,46,45,13,11
AT5G44340,95,46,45,0,12
AT1G64740,99,40,55,17,17
AT1G04820,113,41,53,17,17
AT1G50010,113,41,53,17,17
AT4G14960,113,41,53,17,17
AT1G49240,142,22,88,18,23
AT3G12110,150,25,87,15,26
AT5G09810,151,31,91,20,27
AT3G46520,152,27,89,16,28
