Protein,WT,AT5G22650
AT5G03740,0,36
AT2G27840,0,11
AT1G48050,0,10
AT3G44750,0,10
AT1G14410,0,9
AT5G65730,0,9
AT5G02500,0,8
AT5G02870,0,8
AT1G49240,0,7
AT1G71260,0,7
AT2G17360,0,7
AT3G09630,0,7
AT3G18780,0,7
AT4G25210,0,7
AT5G07090,0,7
AT5G58420,0,7
AT1G16970,0,6
AT1G43170,0,6
AT4G35630,0,6
AT1G52740,0,5
AT1G58380,0,5
AT1G58684,0,5
AT1G58983,0,5
AT1G59359,0,5
AT1G63680,0,5
AT2G38810,0,5
AT3G16530,0,5
AT3G46780,0,5
AT3G54560,0,5
AT5G22880,0,5
AT5G25754,0,5
AT5G25757,0,5
AT5G28540,0,5
AT5G42020,0,5
AT1G08880,0,4
AT1G11860,0,4
AT1G48920,0,4
AT1G51060,0,4
AT1G54690,0,4
AT1G62660,0,4
AT1G73260,0,4
AT2G18020,0,4
AT2G21330,0,4
AT2G24940,0,4
AT2G42680,0,4
AT3G07110,0,4
AT3G20670,0,4
AT3G24830,0,4
AT3G58680,0,4
AT4G27230,0,4
AT4G34030,0,4
AT4G40030,0,4
AT4G40040,0,4
AT5G02560,0,4
AT5G10980,0,4
AT5G54640,0,4
AT1G13020,0,3
AT1G13370,0,3
AT1G15270,0,3
AT1G18080,0,3
AT1G29910,0,3
AT1G29920,0,3
AT1G29930,0,3
AT1G60200,0,3
AT1G68560,0,3
AT1G79210,0,3
AT2G05380,0,3
AT2G27030,0,3
AT2G34420,0,3
AT2G41110,0,3
AT2G41840,0,3
AT2G47610,0,3
AT3G03960,0,3
AT3G04590,0,3
AT3G18520,0,3
AT3G22060,0,3
AT3G22630,0,3
AT3G48930,0,3
AT3G54090,0,3
AT3G56800,0,3
AT3G57150,0,3
AT3G57560,0,3
AT3G60820,0,3
AT4G16143,0,3
AT4G16720,0,3
AT4G17390,0,3
AT4G20130,0,3
AT4G20360,0,3
AT4G36130,0,3
AT5G10360,0,3
AT5G26000,0,3
AT5G27670,0,3
AT5G48760,0,3
AT5G64040,0,3
ATCG00480,0,3
ATCG00830,0,3
ATCG01310,0,3
AT1G01620,0,2
AT1G03220,0,2
AT1G04170,0,2
AT1G06680,0,2
AT1G13440,0,2
AT1G17100,0,2
AT1G20020,0,2
AT1G26910,0,2
AT1G27090,0,2
AT1G32060,0,2
AT1G52360,0,2
AT1G56070,0,2
AT1G61730,0,2
AT1G66580,0,2
AT1G69200,0,2
AT1G69740,0,2
AT1G70580,0,2
AT1G75350,0,2
AT1G75950,0,2
AT1G76010,0,2
AT1G78850,0,2
AT1G79850,0,2
AT2G01250,0,2
AT2G04520,0,2
AT2G28190,0,2
AT2G31610,0,2
AT2G38040,0,2
AT2G39730,0,2
AT2G40660,0,2
AT2G43530,0,2
AT2G44120,0,2
AT2G44510,0,2
AT2G44920,0,2
AT3G04120,0,2
AT3G10690,0,2
AT3G15980,0,2
AT3G16420,0,2
AT3G27830,0,2
AT3G27850,0,2
AT3G50820,0,2
AT3G53420,0,2
AT3G53870,0,2
AT3G55560,0,2
AT4G12050,0,2
AT4G15000,0,2
AT4G16500,0,2
AT4G20260,0,2
AT4G21860,0,2
AT4G24280,0,2
AT4G39730,0,2
