Protein,WT,AT3G44750
AT5G52040,391,489
AT4G25500,271,351
ATCG00490,209,301
AT3G08590,249,233
AT3G44310,137,189
AT4G35630,147,129
AT3G09840,104,140
AT1G36160,102,114
AT4G29270,113,106
AT5G03340,82,119
AT1G56070,77,104
AT1G09780,83,88
AT1G67090,90,112
AT5G38420,77,105
AT1G19480,107,100
AT1G07940,69,93
AT5G60390,69,93
AT1G07930,69,93
AT1G07920,69,93
AT2G27040,70,93
AT5G02500,79,84
AT5G56010,78,88
AT5G56030,79,87
AT3G09440,63,79
AT5G38430,62,82
AT2G17630,79,74
AT1G71220,65,72
AT3G09820,52,76
AT1G55490,70,76
AT5G25980,57,63
AT3G13470,64,75
AT3G23990,64,70
AT2G28000,60,73
AT1G20620,57,62
AT2G04030,47,63
AT5G56000,66,75
AT2G36530,41,72
AT5G11710,58,55
AT3G53230,59,76
AT2G42600,50,67
AT3G15730,64,69
AT2G29550,58,66
AT4G20850,54,59
AT5G62700,69,66
AT5G62690,69,66
AT5G04140,43,66
AT3G52930,48,64
AT1G70320,57,54
AT1G57720,46,66
AT2G33210,55,60
AT4G11420,50,55
AT5G03300,43,62
AT5G02490,55,67
AT5G28540,63,61
AT1G20960,46,51
AT1G53310,46,57
AT3G45140,52,55
AT1G80070,52,46
AT5G42020,63,62
AT5G23860,59,58
AT5G44340,58,57
AT5G27640,48,51
AT4G38680,25,61
AT4G14960,48,62
AT1G04820,49,63
AT1G50010,49,63
AT5G56500,40,60
AT4G33010,42,52
AT1G69830,58,61
AT2G21390,57,67
AT3G12580,48,53
AT1G79930,43,47
AT5G12250,43,50
AT1G52570,43,48
AT4G34450,44,65
AT5G26000,57,45
AT3G59970,50,56
AT2G36880,43,52
AT4G20890,53,51
AT1G48120,70,45
AT1G79920,41,49
AT5G26360,46,50
AT5G50920,31,49
AT1G78900,47,57
AT5G25780,44,47
AT1G29900,45,40
AT1G62020,51,56
AT3G17390,39,46
AT2G41740,38,46
AT2G05710,38,44
AT3G43300,33,41
AT4G33680,39,46
AT1G20010,44,45
AT5G11170,49,44
AT1G07890,44,50
AT5G17920,41,41
AT3G52140,26,31
AT5G43940,37,45
AT5G19780,41,46
AT5G19770,41,46
AT1G32060,36,49
AT4G23920,46,43
AT3G03540,40,45
AT5G20890,41,49
AT3G56150,51,44
AT5G09810,45,50
AT1G42970,42,43
AT4G13940,39,41
AT3G26650,42,42
AT4G37910,41,44
AT1G21750,41,50
AT2G20580,35,34
AT3G11910,26,35
AT3G63460,28,46
AT3G60750,33,39
AT4G16143,32,44
AT2G29560,30,44
AT2G26080,34,37
AT4G10320,41,37
AT3G18190,29,37
AT4G24280,35,33
AT2G46280,38,39
AT5G20010,27,38
AT4G01850,38,38
AT3G13490,33,42
AT1G09640,37,36
AT1G55860,40,37
AT2G21060,19,42
AT3G48870,26,42
AT5G61780,26,39
AT5G52920,34,40
AT1G29250,38,37
AT1G09620,29,40
AT2G36460,26,38
AT5G35630,31,32
AT1G02500,32,38
AT4G31480,39,43
AT1G04410,35,45
AT4G31490,38,43
AT1G30230,29,37
AT2G38040,36,40
AT1G65440,30,33
AT1G52360,35,38
AT3G14940,31,31
AT3G57290,33,41
AT1G29880,34,42
AT3G19170,24,33
AT1G78570,30,36
AT3G03960,35,38
AT1G75780,38,34
AT1G49240,32,34
AT3G18780,32,34
AT3G04120,26,35
AT1G20630,30,34
AT1G15750,26,35
AT3G15980,31,39
AT2G19520,29,37
AT3G29360,30,40
AT2G34160,34,31
AT5G24780,18,34
AT1G71080,29,35
AT4G05420,28,36
AT1G13440,26,32
AT3G12915,24,32
AT5G49460,26,33
AT5G09590,27,32
AT3G12110,31,38
