Protein,WT,AT1G43770
AT1G43770,0,270
AT4G11560,0,143
AT1G08060,0,68
AT1G54080,0,8
AT3G05060,0,7
AT1G13270,0,6
AT3G22890,0,6
AT3G11510,0,6
AT3G22220,0,5
AT3G44750,0,5
AT4G28980,0,5
AT1G33410,0,5
AT1G03130,0,5
AT4G15210,0,5
AT4G02770,0,5
AT1G04530,0,5
AT3G10690,0,5
AT1G17370,0,5
AT4G29670,0,4
AT1G17760,0,4
AT1G56110,0,4
AT5G46180,0,4
AT1G50250,0,4
AT5G63120,0,4
AT3G02090,0,4
AT5G20160,0,4
AT5G64460,0,4
AT2G36360,0,4
AT5G42270,0,4
AT5G44710,0,4
AT1G59900,0,4
AT5G41580,0,4
AT3G61760,0,4
AT4G24830,0,4
AT3G49240,0,4
AT4G11010,0,4
AT2G20450,0,4
AT3G54090,0,4
AT4G27090,0,4
AT4G22380,0,4
AT3G01910,0,4
AT2G38730,0,3
AT2G20190,0,3
AT3G24830,0,3
AT3G07480,0,3
AT3G13940,0,3
AT2G04280,0,3
AT2G26210,0,3
AT5G21326,0,3
AT3G23840,0,3
AT5G28050,0,3
AT2G27810,0,3
AT2G17410,0,3
AT3G10270,0,3
AT2G20930,0,3
AT1G74850,0,3
AT2G06210,0,3
AT4G19190,0,3
AT5G60540,0,3
AT2G04570,0,3
AT1G51690,0,3
AT4G30220,0,3
AT1G24180,0,3
AT1G16890,0,3
AT1G12270,0,3
AT3G09560,0,3
AT5G08560,0,3
AT1G47420,0,3
AT4G01897,0,3
AT5G48480,0,3
AT5G17990,0,3
AT5G23940,0,3
AT5G36700,0,3
AT3G54440,0,3
AT4G14030,0,3
AT5G05560,0,3
AT1G02813,0,3
AT1G01100,0,3
AT1G78870,0,3
AT1G41880,0,3
AT5G18170,0,3
AT2G18740,0,3
AT1G51710,0,3
AT3G16060,0,3
AT1G74910,0,3
AT2G28240,0,3
AT2G06510,0,3
AT5G59890,0,3
AT5G17560,0,3
AT3G06930,0,3
AT5G01400,0,3
AT3G23980,0,3
AT3G63190,0,3
AT5G17440,0,3
AT2G20890,0,3
AT3G01980,0,3
AT3G25150,0,3
AT4G31340,0,3
AT3G26740,0,3
AT5G41520,0,3
AT5G36790,0,3
AT5G36230,0,3
AT3G52640,0,3
AT5G47700,0,3
AT3G52200,0,3
AT3G28730,0,3
AT2G44950,0,3
AT1G03910,0,3
AT5G65020,0,3
AT5G01650,0,3
AT1G19920,0,3
AT1G35420,0,3
AT5G59880,0,3
AT2G25970,0,3
AT1G61520,0,3
AT3G46010,0,3
AT1G53280,0,2
AT4G34910,0,2
AT4G11175,0,2
ATMG00510,0,2
AT3G48680,0,2
AT2G46580,0,2
ATCG00820,0,2
AT3G46030,0,2
AT1G61870,0,2
AT1G79230,0,2
AT1G68020,0,2
AT4G00490,0,2
AT2G36810,0,2
AT4G08520,0,2
AT1G22840,0,2
AT1G33680,0,2
AT4G34660,0,2
AT3G06980,0,2
AT5G45390,0,2
AT2G47650,0,2
AT5G06120,0,2
AT4G10040,0,2
AT4G02580,0,2
AT4G02290,0,2
AT3G09480,0,2
AT5G07830,0,2
AT4G24680,0,2
AT1G49480,0,2
AT3G17590,0,2
AT5G10540,0,2
AT3G23400,0,2
AT4G25740,0,2
AT2G33040,0,2
AT2G29450,0,2
AT1G77470,0,2
AT5G47880,0,2
AT1G07370,0,2
AT1G55480,0,2
AT2G29570,0,2
AT1G48830,0,2
AT3G15180,0,2
AT5G13480,0,2
AT2G30950,0,2
AT1G15480,0,2
AT3G57150,0,2
AT1G71730,0,2
AT5G53460,0,2
AT4G16060,0,2
AT3G52100,0,2
AT1G71695,0,2
AT3G44680,0,2
AT4G22930,0,2
AT3G02540,0,2
AT1G13190,0,2
AT2G45470,0,2
AT1G53070,0,2
AT5G19485,0,2
AT5G05270,0,2
AT2G01970,0,2
AT5G64420,0,2
AT4G20940,0,2
AT1G31812,0,2
AT5G04590,0,2
AT5G62600,0,2
AT2G28720,0,2
AT5G60360,0,2
AT5G45600,0,2
AT1G74260,0,2
AT5G53530,0,2
AT2G22420,0,2
AT2G14170,0,2
AT3G42660,0,2
AT5G46210,0,2
AT3G47610,0,2
AT1G13730,0,2
AT5G59910,0,2
AT2G25060,0,2
AT4G33580,0,2
AT3G59600,0,2
AT3G48420,0,2
AT4G15570,0,2
AT2G35020,0,2
AT1G79850,0,2
AT5G37630,0,2
AT4G33090,0,2
AT1G25350,0,2
AT3G08580,0,2
AT4G38890,0,2
AT3G45980,0,2
AT3G49600,0,2
AT5G22880,0,2
AT5G10010,0,2
AT3G01120,0,2
AT1G71500,0,2
AT1G75350,0,2
AT1G24050,0,2
AT1G78060,0,2
AT5G12190,0,2
AT5G03520,0,2
AT2G04865,0,2
AT5G22510,0,2
AT2G44200,0,2
AT5G16130,0,2
AT5G63510,0,2
AT4G19710,0,2
AT1G43560,0,2
AT5G04710,0,2
AT2G35605,0,2
AT5G67030,0,2
AT3G04880,0,2
AT1G59760,0,2
AT4G35420,0,2
AT1G08260,0,2
AT1G54250,0,2
AT3G02830,0,2
AT5G51550,0,2
AT3G14010,0,2
AT4G03430,0,2
AT1G15340,0,2
AT1G07790,0,2
AT5G02570,0,2
AT3G06610,0,2
AT1G18210,0,2
AT1G14670,0,2
AT2G22230,0,2
AT1G15710,0,2
AT1G56050,0,2
AT3G02630,0,2
AT5G52650,0,2
AT3G26560,0,2
AT1G50670,0,2
AT4G39520,0,2
AT1G47900,0,2
AT4G12420,0,2
AT1G78830,0,2
AT3G50500,0,2
AT3G63410,0,2
AT1G72810,0,2
AT2G37470,0,2
AT3G62830,0,2
AT5G58710,0,2
AT5G51120,0,2
AT3G55430,0,2
AT4G20400,0,2
AT1G58080,0,2
AT1G18490,0,2
AT4G27690,0,2
AT5G03630,0,2
AT4G38200,0,2
AT4G22140,0,2
AT5G16240,0,2
AT4G23850,0,2
AT4G32910,0,2
AT1G68890,0,2
AT3G53650,0,2
AT5G63310,0,2
AT1G78820,0,2
AT4G14300,0,2
AT2G13540,0,2
AT1G09750,0,2
AT1G79750,0,2
AT4G09650,0,2
AT3G23325,0,2
AT1G66260,0,2
AT3G58680,0,2
AT1G13870,0,2
AT4G01690,0,2
AT5G64610,0,2
AT2G41430,0,2
AT5G14410,0,2
AT3G62030,0,2
AT1G31070,0,2
AT1G06430,0,2
AT4G34200,2,10
AT5G23140,2,8
AT5G52470,2,7
AT1G80270,2,7
AT1G48050,2,7
AT5G13280,2,6
AT2G39770,2,6
AT3G04790,2,6
AT3G49601,2,6
AT4G25630,2,6
AT1G74920,2,6
AT2G46140,2,5
AT5G08570,2,5
AT2G44100,2,5
AT1G09020,2,5
AT3G59920,2,5
AT5G16290,2,5
AT1G09010,2,5
AT5G59290,2,5
AT3G16170,2,5
AT2G43710,2,5
AT2G04520,2,5
AT5G07970,2,5
AT3G48560,2,5
AT1G77510,2,4
AT1G76810,2,4
AT2G34640,2,4
AT3G17020,2,4
AT5G09550,2,4
AT4G29840,2,4
