Protein,WT,AT2G25010,AT1G17930
ATCG00490,257,258,407
AT3G44310,127,112,170
AT5G38410,50,61,74
AT5G38420,50,61,74
AT5G38430,48,60,70
AT2G25010,0,57,75
AT1G67090,47,56,96
AT3G08590,67,54,70
AT1G42970,57,53,58
AT4G21280,29,47,57
AT2G39730,50,45,67
AT3G09820,44,41,37
AT3G52930,33,41,44
AT5G02500,39,41,59
AT1G56070,46,40,48
AT1G69830,47,39,47
AT3G09440,29,39,43
AT5G04140,44,38,47
AT5G10900,0,37,59
AT2G21660,34,36,28
AT5G03300,40,36,35
AT1G20620,45,35,45
AT1G55490,43,35,35
AT2G28000,37,34,35
AT4G35090,44,34,43
AT2G04030,42,33,36
AT4G20850,34,32,38
AT5G49910,27,32,34
AT4G20360,31,31,39
AT4G24280,27,31,35
AT5G35630,37,31,37
ATCG00120,34,31,31
AT1G32060,27,30,31
AT1G71220,33,30,42
AT4G39260,27,30,29
AT5G23860,31,30,32
AT5G62690,31,30,35
AT5G62700,31,30,35
AT2G17630,36,29,33
AT2G29550,31,29,34
AT3G26650,38,29,39
AT3G44300,29,29,44
AT4G35630,40,29,37
AT5G25980,36,29,49
AT5G42020,28,29,37
AT1G07890,30,28,31
AT1G08520,24,28,30
AT1G12900,38,28,37
AT1G17930,0,28,90
AT3G13470,34,28,30
AT4G38970,27,28,28
AT5G09810,28,28,41
AT5G28540,30,28,34
AT1G13440,21,27,32
AT1G49240,34,27,44
AT2G38040,24,27,24
AT3G01500,21,27,26
AT3G04120,21,27,31
AT3G15730,31,27,20
AT3G18780,34,27,44
AT4G27440,18,27,22
AT4G33010,20,27,34
AT5G56010,26,27,26
AT1G07920,29,26,40
AT1G07930,29,26,40
AT1G07940,29,26,40
AT3G05900,30,26,36
AT3G60750,32,26,26
AT5G60390,29,26,40
AT1G19480,25,25,29
AT3G13490,23,25,26
AT4G37800,22,25,31
AT5G56030,26,25,27
AT3G09840,33,24,41
AT5G02490,23,24,34
AT2G36530,20,23,19
AT3G45140,27,23,26
AT4G05180,16,23,22
AT4G10320,24,23,26
AT4G29060,27,23,23
AT5G39570,23,23,8
AT5G44340,23,23,22
AT5G50920,25,23,29
AT1G04410,21,22,27
AT1G09340,27,22,33
AT1G20010,23,22,26
AT2G37620,23,22,28
AT3G12110,24,22,36
AT3G46520,22,22,31
AT3G53750,23,22,28
AT4G13940,29,22,29
AT5G14740,17,22,20
AT5G35200,23,22,30
AT5G59370,22,22,31
AT5G61780,25,22,24
AT1G09780,23,21,22
AT1G57720,17,21,22
AT1G62750,19,21,15
AT1G78900,25,21,24
AT2G26080,16,21,26
AT3G17390,27,21,30
AT4G20890,20,21,22
AT5G17920,23,21,19
AT5G43940,33,21,42
AT5G56000,21,21,23
AT1G23310,24,20,20
AT1G69740,17,20,17
AT2G42600,26,20,44
AT3G13920,20,20,20
AT5G09590,21,20,16
AT5G11710,21,20,23
AT5G12250,20,20,24
AT5G26000,21,20,35
AT5G56500,24,20,18
AT1G54270,18,19,17
AT2G36460,19,19,21
AT2G41740,21,19,24
AT3G23990,22,19,14
AT4G00570,16,19,10
AT4G37910,24,19,24
AT5G19770,21,19,25
AT5G19780,21,19,25
AT5G26710,15,19,21
AT5G48300,21,19,20
AT1G49760,13,18,21
AT2G21390,18,18,23
AT2G39800,18,18,20
AT2G47940,19,18,21
AT3G58510,21,18,21
AT4G14960,22,18,29
AT5G55220,22,18,19
AT5G66570,18,18,17
AT1G04820,22,17,28
AT1G20630,26,17,24
AT1G29250,12,17,23
AT1G29900,16,17,16
AT1G48600,16,17,16
AT1G71080,23,17,26
AT1G79920,11,17,19
AT1G79930,10,17,18
AT2G37220,17,17,18
AT3G12780,15,17,14
AT3G23810,21,17,20
AT3G26060,11,17,20
AT3G44320,21,17,32
AT3G48870,17,17,20
AT3G50820,15,17,17
AT3G55610,14,17,18
AT4G01800,7,17,9
AT4G24190,15,17,16
AT4G28080,15,17,17
AT4G37930,16,17,13
AT5G40450,22,17,22
AT5G67030,13,17,15
AT1G02500,24,16,33
AT1G11860,13,16,14
AT1G36160,16,16,14
AT1G50200,18,16,15
AT1G53310,19,16,31
AT1G62020,18,16,22
AT2G07698,20,16,13
AT2G34160,10,16,21
AT3G18000,14,16,14
AT3G59970,19,16,22
AT4G26530,14,16,20
AT5G13630,11,16,11
AT5G19510,14,16,18
AT5G26742,17,16,23
AT5G47210,19,16,16
AT5G66190,15,16,16
ATCG00480,21,16,17
ATMG01190,20,16,13
AT1G09640,13,15,18
AT1G14810,19,15,17
AT1G52360,18,15,20
AT1G53500,20,15,16
AT1G72730,15,15,16
AT1G78570,25,15,23
AT2G21330,21,15,18
AT2G23390,18,15,19
AT2G36880,21,15,24
AT2G38230,15,15,17
AT3G03780,20,15,12
AT3G16400,11,15,12
AT5G65730,14,15,20
AT1G08200,15,14,11
AT1G09620,15,14,14
AT1G26630,14,14,16
AT1G65960,11,14,12
AT1G74470,15,14,13
AT1G75780,15,14,12
AT2G33210,19,14,15
AT3G14790,18,14,16
AT3G18060,17,14,17
AT3G53460,15,14,13
AT3G53900,13,14,12
AT3G63460,17,14,14
AT4G25130,16,14,14
AT4G34110,11,14,13
AT5G08280,13,14,11
AT5G16715,11,14,12
AT5G17380,13,14,17
AT1G01320,13,13,15
AT1G03630,12,13,19
AT1G23740,11,13,11
AT1G48120,15,13,15
AT1G56190,11,13,11
AT1G70580,14,13,14
AT1G80410,20,13,15
AT2G13360,14,13,14
AT2G20580,15,13,16
AT2G27860,13,13,12
AT2G42520,16,13,13
AT3G14940,14,13,24
AT3G16640,15,13,19
AT3G22110,12,13,12
AT3G47070,10,13,13
AT3G57410,17,13,27
AT3G62410,6,13,12
AT3G62530,15,13,14
AT4G01690,17,13,18
AT4G01850,20,13,29
AT4G18480,12,13,17
AT4G25080,11,13,11
AT5G09650,9,13,8
AT5G35790,9,13,10
