Protein,WT,WT.1,AT5G04940
AT5G52040,753,159,537
AT4G25500,398,80,322
ATCG00490,91,23,104
AT3G44690,71,25,83
AT3G44310,59,17,107
AT3G08590,82,29,91
AT3G09840,53,17,79
AT3G15730,46,9,65
AT1G36160,57,10,72
AT4G20850,38,13,51
AT1G19480,49,16,59
AT3G23990,40,20,46
AT5G02500,29,12,73
AT2G28000,33,19,47
AT5G28540,43,15,48
AT1G55490,39,17,48
AT5G03340,39,14,58
AT1G64880,40,18,51
AT5G42020,40,16,45
AT4G35630,48,15,58
AT3G09440,21,13,57
AT3G13470,35,14,45
AT5G04940,0,0,159
AT2G33210,29,18,33
AT4G10320,27,7,33
AT2G17630,38,15,39
AT1G71080,35,14,36
AT5G02490,20,8,44
AT3G12580,20,9,47
AT1G52570,26,3,34
AT5G56500,28,17,30
AT5G27640,32,6,38
AT5G26710,25,9,39
AT1G20960,27,2,31
AT2G20580,35,10,30
AT1G09780,32,9,33
AT2G46280,26,11,26
AT1G56070,18,5,34
AT2G40660,25,7,35
AT4G11420,23,9,22
AT1G78900,23,7,31
AT3G05900,22,3,21
AT2G32730,23,4,27
AT2G21390,21,3,31
AT1G67090,21,8,33
AT5G25780,26,4,39
AT5G35590,15,9,20
AT2G05840,16,12,18
AT1G62970,0,0,41
AT5G64360,0,0,50
AT1G62020,17,2,33
AT1G52400,22,3,29
AT1G20200,17,7,16
AT3G03960,17,8,18
AT2G27020,14,6,14
AT3G52930,19,7,32
AT3G56150,16,4,22
AT1G53750,16,3,17
AT3G57290,14,3,17
AT2G21660,16,6,20
AT1G53850,11,7,15
AT5G47210,15,5,22
AT1G29250,20,8,30
AT5G38420,18,8,30
AT5G38410,17,8,29
AT3G13860,15,4,22
AT3G18190,15,2,19
AT1G52360,18,4,17
AT5G25757,14,5,20
AT5G25754,14,5,20
AT2G17360,14,2,15
AT5G07090,14,2,15
AT5G58420,14,2,15
AT3G14290,10,7,15
AT5G26000,20,5,27
AT5G58290,16,3,20
AT1G48120,15,2,21
AT2G01710,0,0,44
AT4G34450,16,2,27
ATCG00480,11,4,22
AT5G26360,14,6,20
AT5G20890,11,6,19
AT3G02230,14,2,18
AT2G28790,10,4,12
AT3G11830,15,7,17
AT1G75990,13,6,11
AT1G76030,10,4,13
AT1G20260,10,4,13
AT2G36880,16,2,29
AT3G17390,15,2,25
AT1G02500,12,2,19
AT5G09590,17,9,22
AT1G57720,11,2,17
AT2G36460,15,5,17
AT3G03540,20,6,23
