Protein,WT,WT,AT3G06290,AT3G06290,AT3G01460,AT3G01460
AT5G52040,635,447,628,500,585,709
AT4G25500,399,270,352,319,337,409
AT3G44310,300,87,247,180,277,132
AT3G06290,0,0,104,104,0,4
ATCG00490,166,80,110,88,118,124
AT3G08590,148,74,74,74,92,65
AT3G09840,93,36,49,55,74,43
AT1G48120,62,36,42,50,42,20
AT3G15730,74,44,64,45,54,29
AT5G03340,72,27,39,44,57,35
AT1G71220,69,29,36,44,42,21
AT1G19480,87,26,35,43,57,22
AT3G44690,42,44,44,43,32,37
AT4G20850,57,40,48,42,48,32
AT1G36160,94,33,47,42,82,33
AT1G64880,43,35,32,42,22,37
AT5G11710,50,35,28,41,38,21
AT1G52570,56,31,42,41,41,26
AT4G35630,83,32,29,40,44,21
AT4G10320,47,21,47,40,38,27
AT1G70320,49,28,31,39,29,18
AT3G05900,40,51,33,38,35,21
AT3G44320,63,23,55,38,50,22
AT1G62020,50,21,24,37,39,16
AT2G21390,57,24,27,36,40,17
AT1G69830,50,29,31,35,41,15
AT5G26000,59,26,31,34,28,15
AT5G27640,51,28,34,33,44,21
AT3G23990,53,29,37,33,42,36
AT1G78900,41,22,28,32,35,26
AT1G09780,59,29,27,32,41,23
AT2G28000,60,23,41,32,59,42
AT3G44300,57,21,49,30,55,19
AT5G25780,45,25,28,30,41,17
AT1G55490,50,28,41,30,54,40
AT1G71080,42,29,33,29,30,33
AT5G28540,49,29,31,29,43,17
AT3G52930,29,34,30,29,32,29
AT1G52400,43,13,22,29,25,13
AT5G42020,46,27,30,29,42,17
AT2G33210,42,25,34,28,37,25
AT1G56070,54,19,27,28,51,13
AT3G13470,47,23,39,28,50,36
AT2G17630,51,23,28,28,36,24
AT5G26710,28,24,33,27,25,20
AT2G20580,40,22,28,27,29,19
AT1G15750,37,23,32,26,28,15
AT4G11420,59,18,28,26,36,15
AT2G29560,33,18,24,25,25,12
AT5G02500,51,19,27,25,46,21
AT4G34450,55,22,22,25,33,12
AT3G63460,35,16,19,24,27,14
AT3G56150,58,15,29,24,42,10
AT5G35200,32,20,25,24,25,10
AT1G67090,48,16,30,24,37,16
AT2G46280,42,17,31,24,33,13
AT1G55860,40,17,26,23,17,13
