Protein,WT,WT,AT1G17770,AT1G177701
AT1G17770,0,0,140,62
AT2G25170,0,0,16,5
AT1G76290,0,0,14,0
AT2G25560,0,0,12,0
AT5G22060,0,3,8,3
AT3G18490,0,3,6,3
AT1G62740,0,0,6,0
AT5G06600,0,0,5,3
AT5G30510,0,0,5,2
AT1G08600,0,0,5,0
AT1G60900,0,3,5,0
AT1G74470,0,3,5,0
AT3G48560,0,0,5,0
AT4G36690,0,3,5,0
AT5G42080,0,0,5,0
AT5G62790,0,2,5,0
AT5G65010,0,0,5,0
AT2G27040,0,0,4,5
AT3G57410,0,0,4,4
AT1G65960,0,2,4,3
AT1G71500,0,3,4,3
AT4G33010,0,2,4,3
AT5G51110,0,0,4,3
AT2G47400,0,0,4,2
AT3G61140,0,0,4,2
AT5G48300,0,0,4,2
AT1G43170,0,0,4,0
AT1G68010,0,0,4,0
AT2G04842,0,0,4,0
AT2G24270,0,2,4,0
AT3G29320,0,0,4,0
AT5G39280,0,4,3,6
AT5G39300,0,4,3,6
AT1G65480,0,3,3,4
AT4G24130,0,3,3,4
AT1G65440,0,4,3,4
AT5G51950,0,0,3,3
AT2G26080,0,2,3,2
AT2G38580,0,0,3,2
AT2G42170,0,3,3,2
AT3G49430,0,0,3,2
AT4G37930,0,2,3,2
AT5G02240,0,0,3,2
AT5G65430,0,2,3,2
AT1G06000,0,0,3,0
AT1G07440,0,3,3,0
AT1G27752,0,0,3,0
AT1G72970,0,0,3,0
AT2G09990,0,0,3,0
AT2G19570,0,0,3,0
AT2G21130,0,2,3,0
AT2G24060,0,0,3,0
AT2G35370,0,0,3,0
AT2G37190,0,2,3,0
AT2G47940,0,0,3,0
AT3G07770,0,2,3,0
AT3G08530,0,0,3,0
AT3G10850,0,2,3,0
AT3G11130,0,0,3,0
AT3G29075,0,0,3,0
AT3G53430,0,2,3,0
AT3G54890,0,0,3,0
AT4G27440,0,0,3,0
AT4G29060,0,0,3,0
AT4G34670,0,0,3,0
AT4G38130,0,0,3,0
AT4G38740,0,2,3,0
AT4G39980,0,0,3,0
AT5G14250,0,0,3,0
AT5G16570,0,0,3,0
AT5G20720,0,2,3,0
AT5G22300,0,2,3,0
AT5G37600,0,0,3,0
AT5G54770,0,0,3,0
AT5G67630,0,0,3,0
ATCG00770,0,0,3,0
AT5G40580,0,2,2,5
AT3G27430,0,0,2,4
AT5G03690,0,2,2,4
AT1G07750,0,2,2,3
AT1G17745,0,0,2,3
AT1G30580,0,0,2,3
AT1G75280,0,0,2,3
AT2G41740,0,0,2,3
AT2G44050,0,2,2,3
AT5G16780,0,3,2,3
AT1G02840,0,2,2,2
AT1G15730,0,0,2,2
AT1G26550,0,0,2,2
AT1G67230,0,0,2,2
AT1G79530,0,2,2,2
AT2G06850,0,0,2,2
AT2G27710,0,3,2,2
AT2G46140,0,0,2,2
AT3G20790,0,0,2,2
AT4G10960,0,2,2,2
AT4G34870,0,0,2,2
AT5G05780,0,2,2,2
AT1G02930,0,0,2,0
AT1G05190,0,0,2,0
AT1G06220,0,0,2,0
AT1G07660,0,0,2,0
AT1G07820,0,0,2,0
AT1G09210,0,0,2,0
AT1G09620,0,0,2,0
AT1G10290,0,0,2,0
AT1G15820,0,0,2,0
AT1G16300,0,2,2,0
AT1G20950,0,0,2,0
AT1G21630,0,2,2,0
AT1G26230,0,0,2,0
AT1G27400,0,0,2,0
AT1G27650,0,0,2,0
AT1G56330,0,0,2,0
AT1G59610,0,0,2,0
AT1G60780,0,2,2,0
AT1G60830,0,0,2,0
AT1G65980,0,0,2,0
AT1G67430,0,0,2,0
AT1G72550,0,0,2,0
AT1G76550,0,0,2,0
AT2G05070,0,0,2,0
AT2G05100,0,0,2,0
AT2G18040,0,0,2,0
AT2G27100,0,0,2,0
AT2G27600,0,0,2,0
AT2G28740,0,0,2,0
AT2G34810,0,0,2,0
AT2G34970,0,0,2,0
AT2G37660,0,0,2,0
AT2G39770,0,0,2,0
AT2G42810,0,0,2,0
AT2G43530,0,0,2,0
AT2G44350,0,0,2,0
AT3G01340,0,2,2,0
AT3G03540,0,2,2,0
AT3G04230,0,0,2,0
AT3G17760,0,0,2,0
AT3G22320,0,0,2,0
AT3G27690,0,0,2,0
AT3G45930,0,0,2,0
AT3G46320,0,0,2,0
AT3G53730,0,0,2,0
AT3G53990,0,0,2,0
AT3G54930,0,0,2,0
AT3G55020,0,0,2,0
AT3G59480,0,2,2,0
AT3G60300,0,0,2,0
AT3G62560,0,0,2,0
AT4G02080,0,0,2,0
AT4G04910,0,0,2,0
AT4G10450,0,0,2,0
AT4G14030,0,0,2,0
AT4G14710,0,0,2,0
AT4G14716,0,0,2,0
AT4G19410,0,2,2,0
AT4G24580,0,0,2,0
AT4G26110,0,0,2,0
AT4G29285,0,2,2,0
AT4G31900,0,0,2,0
AT4G33650,0,3,2,0
AT4G35100,0,2,2,0
AT5G03920,0,0,2,0
AT5G10360,0,2,2,0
AT5G25230,0,0,2,0
AT5G25270,0,0,2,0
AT5G25460,0,0,2,0
AT5G25610,0,0,2,0
AT5G28840,0,0,2,0
AT5G36230,0,0,2,0
AT5G42190,0,0,2,0
AT5G42220,0,0,2,0
AT5G42820,0,0,2,0
AT5G42890,0,0,2,0
AT5G44480,0,0,2,0
AT5G48650,0,0,2,0
AT5G52840,0,0,2,0
AT5G59690,0,0,2,0
AT5G59970,0,0,2,0
AT5G60540,0,0,2,0
AT5G60670,0,2,2,0
AT5G61780,0,0,2,0
AT5G65720,0,0,2,0
ATCG00750,0,0,2,0
ATCG00780,0,0,2,0
ATCG00800,0,0,2,0
AT3G25230,0,0,0,4
AT5G40370,0,0,0,4
AT1G73600,0,0,0,3
AT2G28190,0,0,0,3
AT3G18000,0,0,0,3
AT3G43300,0,0,0,3
AT5G10920,0,2,0,3
AT1G05720,0,0,0,2
AT1G18270,0,0,0,2
AT1G19880,0,0,0,2
AT1G22920,0,0,0,2
AT1G26480,0,0,0,2
AT1G29670,0,3,0,2
AT1G34760,0,0,0,2
AT1G50500,0,0,0,2
AT1G65450,0,0,0,2
AT2G05990,0,2,0,2
AT2G19760,0,2,0,2
AT2G22240,0,2,0,2
AT2G43460,0,0,0,2
AT2G47710,0,2,0,2
AT3G11770,0,0,0,2
AT3G19480,0,0,0,2
AT3G25220,0,2,0,2
AT3G27740,0,0,0,2
AT3G45030,0,2,0,2
AT3G48420,0,2,0,2
AT3G54860,0,0,0,2
AT3G55120,0,0,0,2
AT3G59540,0,0,0,2
AT3G62870,0,2,0,2
AT3G63140,0,0,0,2
AT4G13850,0,0,0,2
AT4G39800,0,2,0,2
AT5G10470,0,2,0,2
AT5G13680,0,2,0,2
AT5G18570,0,0,0,2
AT5G19370,0,0,0,2
AT5G48580,0,0,0,2
AT5G48810,0,0,0,2
AT5G62300,0,2,0,2
AT1G04510,0,2,0,0
AT1G04710,0,2,0,0
AT1G08360,0,2,0,0
AT1G12910,0,2,0,0
AT1G22840,0,2,0,0
AT1G73230,0,2,0,0
AT2G27530,0,2,0,0
AT2G28760,0,2,0,0
AT2G36620,0,2,0,0
AT3G06730,0,2,0,0
AT3G16520,0,2,0,0
AT4G36740,0,4,0,0
AT3G46440,0,2,0,0
AT3G47650,0,2,0,0
AT3G50820,0,3,0,0
AT3G53020,0,2,0,0
AT3G58750,0,2,0,0
AT4G09010,0,2,0,0
AT4G10040,0,2,0,0
AT4G28980,0,2,0,0
AT4G29730,0,3,0,0
