Protein,WT,AT3G52100,AT3G52100
AT5G52040,394,201,288
ATCG00490,271,126,155
AT3G52100,0,104,105
AT3G08590,112,72,88
AT3G44690,61,69,70
AT3G44310,148,58,76
AT1G52410,38,42,42
AT3G52930,47,42,52
AT5G02500,63,42,57
AT5G26710,49,41,46
AT5G28540,50,41,43
AT5G42020,49,39,44
AT3G15730,62,39,56
AT3G05900,40,34,32
AT3G09440,46,34,41
AT1G29250,33,33,37
AT5G26000,35,30,34
AT5G59950,19,29,25
AT2G34160,30,29,33
AT1G52570,38,29,42
AT1G69830,63,29,45
AT1G71080,31,28,34
AT5G02490,36,28,34
AT2G40660,38,28,30
AT1G09780,42,28,33
AT2G17630,57,28,34
AT2G28000,33,27,29
AT1G67090,44,25,29
AT3G12580,34,24,33
AT1G55490,37,24,27
AT4G20850,40,24,28
AT5G38410,42,24,33
AT5G38420,44,24,33
AT3G09840,40,23,38
AT1G19480,45,23,37
AT2G05920,19,22,25
AT2G36460,26,22,35
AT3G13470,36,22,24
AT5G11710,35,21,33
AT5G47210,16,20,22
AT3G23990,25,20,21
AT2G33210,29,20,23
AT5G38430,33,20,30
AT4G24280,24,19,20
AT4G35630,57,19,24
AT1G42970,22,18,17
AT4G10320,53,18,30
AT5G43960,14,17,16
AT5G56500,25,17,21
AT2G29560,28,17,25
AT1G18450,6,16,23
AT2G21660,19,16,19
AT5G09590,19,16,19
AT5G49910,22,16,19
AT5G02530,13,15,11
AT3G22110,15,15,7
AT4G39260,13,14,15
AT5G57655,13,14,15
AT4G21280,13,14,14
AT5G19510,16,14,18
AT1G53850,17,14,16
AT3G14290,17,14,15
AT5G63840,18,14,16
AT1G12900,18,14,10
AT1G56070,37,14,21
AT1G32730,0,13,12
AT3G60830,3,13,16
AT1G26110,10,13,6
AT2G21060,13,13,15
AT5G65770,13,13,14
AT5G65780,13,13,14
AT2G27020,14,13,13
AT2G28290,18,13,15
AT3G26650,18,13,10
AT5G03300,19,13,17
AT5G25980,22,13,14
AT1G07920,23,13,21
AT1G07930,23,13,21
AT1G07940,23,13,21
AT5G60390,23,13,21
AT4G37800,26,13,19
AT1G16030,13,12,11
AT4G26530,15,12,13
