Protein,WT,AT3G18380,AT3G18380,AT4G06634,AT4G06634
AT4G06634,0,3,0,75,69
AT1G09060,0,0,0,41,38
AT3G57300,0,0,0,43,34
AT3G45830,0,0,0,28,30
AT5G22330,0,4,4,33,26
AT5G13950,0,0,0,30,25
AT2G47350,0,0,0,11,24
AT5G43500,0,0,0,20,18
AT1G51450,0,0,0,10,13
AT3G49660,0,2,1,11,13
AT5G16310,0,0,0,17,11
AT3G21060,0,0,0,10,10
AT3G12380,0,0,0,10,9
AT4G27910,0,0,0,10,7
AT1G69740,0,4,4,3,6
AT5G15490,0,7,8,6,6
AT1G65650,0,0,0,5,5
AT2G28790,0,1,4,1,5
AT3G11910,0,1,1,3,5
AT5G53430,0,0,0,5,5
AT2G15430,0,1,0,2,4
AT2G17420,0,4,4,4,4
AT2G34040,0,3,1,2,4
AT3G58570,0,2,0,0,4
AT4G24580,0,2,2,1,4
AT4G30630,0,0,0,3,4
AT4G35460,0,2,2,3,4
AT5G06600,0,1,2,3,4
AT5G14250,0,2,1,1,4
AT5G52920,0,2,1,5,4
AT5G58290,0,4,4,3,4
AT5G64250,0,1,1,0,4
AT1G09270,0,0,0,2,3
AT1G17720,0,2,1,2,3
AT1G35160,0,4,3,0,3
AT1G35780,0,0,0,2,3
AT2G17410,0,1,1,2,3
AT2G24490,0,1,1,2,3
AT3G06400,0,12,9,1,3
AT3G06660,0,0,0,5,3
AT3G06720,0,3,2,3,3
AT3G07110,0,2,1,1,3
AT3G14100,0,1,1,0,3
AT3G24830,0,2,1,1,3
AT4G14570,0,1,0,1,3
AT4G15950,0,0,0,0,3
AT4G18400,0,0,0,3,3
AT4G27150,0,0,0,0,3
AT4G27160,0,0,0,0,3
AT5G16440,0,1,2,2,3
AT5G18620,0,9,5,1,3
AT5G35680,0,3,1,1,3
AT5G48180,0,3,1,1,3
AT5G48760,0,2,1,1,3
AT1G09590,0,0,1,0,2
AT1G09690,0,0,1,0,2
AT1G12270,0,2,0,0,2
AT1G12570,0,1,1,0,2
AT1G15250,0,0,0,1,2
AT1G17100,0,3,0,1,2
AT1G19870,0,2,1,1,2
AT1G20440,0,0,2,0,2
AT1G23290,0,1,1,1,2
AT1G25350,0,1,0,0,2
AT1G32580,0,1,2,1,2
AT1G35680,0,0,1,1,2
AT1G48860,0,1,0,1,2
AT1G49600,0,2,1,1,2
AT1G50620,0,82,62,0,2
AT1G52300,0,0,0,1,2
AT1G54080,0,1,1,0,2
AT1G56460,0,0,0,2,2
AT1G57660,0,0,1,0,2
AT1G57860,0,0,1,0,2
AT1G62640,0,2,0,0,2
AT1G70180,0,1,0,2,2
AT1G70600,0,1,1,1,2
AT1G72550,0,1,1,1,2
AT1G78580,0,2,1,1,2
AT1G80070,0,1,0,0,2
AT2G22795,0,2,2,1,2
AT2G31890,0,0,0,1,2
AT2G35240,0,1,2,1,2
AT2G39460,0,2,1,0,2
AT2G44730,0,0,0,2,2
AT2G45600,0,2,2,1,2
AT2G47650,0,0,0,0,2
AT3G02770,0,0,0,1,2
AT3G03710,0,1,1,2,2
AT3G09630,0,0,1,2,2
AT3G16080,0,0,0,1,2
AT3G22890,0,1,1,1,2
AT3G44620,0,1,0,0,2
AT3G46440,0,0,0,0,2
AT3G49680,0,1,2,1,2
AT3G52150,0,1,1,2,2
AT3G55280,0,2,1,0,2
AT3G60245,0,0,0,1,2
AT3G62830,0,0,0,0,2
AT4G00490,0,1,1,1,2
AT4G04910,0,1,0,0,2
AT4G10300,0,1,0,0,2
AT4G11010,0,1,1,1,2
AT4G13010,0,0,0,0,2
AT4G13170,0,2,1,1,2
AT4G22140,0,0,0,1,2
AT4G27740,0,0,0,1,2
AT4G31840,0,2,1,1,2
AT4G35800,0,0,0,1,2
AT4G38495,0,0,0,3,2
AT4G38780,0,1,0,0,2
AT5G02870,0,0,1,2,2
AT5G02960,0,3,2,2,2
AT5G03040,0,0,0,0,2
AT5G04140,0,5,2,3,2
AT5G04290,0,0,0,2,2
AT5G05730,0,2,2,1,2
AT5G05990,0,0,0,0,2
AT5G08530,0,1,0,0,2
AT5G09900,0,4,1,2,2
AT5G11670,0,0,1,1,2
AT5G13420,0,2,1,1,2
AT5G17510,0,1,0,0,2
AT5G23740,0,0,0,1,2
AT5G25610,0,1,2,0,2
AT5G38470,0,1,0,1,2
AT5G40270,0,0,0,0,2
AT5G40370,0,3,1,1,2
AT5G42970,0,3,3,2,2
AT5G44180,0,0,0,0,2
AT5G51660,0,3,3,2,2
AT5G59290,0,0,0,0,2
AT5G64760,0,3,0,1,2
AT5G66420,0,6,5,2,2
AT1G02300,0,0,0,0,1
AT1G02305,0,0,0,0,1
AT1G02840,0,0,0,1,1
AT1G03310,0,0,0,0,1
AT1G04750,0,0,0,0,1
AT1G05090,0,0,1,0,1
AT1G05520,0,0,0,0,1
AT1G06410,0,0,0,0,1
AT1G07320,0,2,1,1,1
AT1G07360,0,2,1,1,1
AT1G07700,0,0,0,0,1
AT1G07880,0,0,0,1,1
AT1G08520,0,2,0,0,1
AT1G08820,0,0,0,1,1
AT1G08980,0,0,0,1,1
AT1G10210,0,0,0,1,1
AT1G10390,0,0,0,0,1
AT1G10500,0,0,2,0,1
AT1G10940,0,1,1,1,1
AT1G12780,0,3,2,2,1
AT1G12840,0,0,0,0,1
AT1G13320,0,0,0,0,1
AT1G14610,0,0,0,0,1
AT1G14650,0,0,0,1,1
AT1G14780,0,0,1,0,1
AT1G14980,0,0,1,1,1
AT1G15690,0,0,0,0,1
AT1G17290,0,1,0,0,1
AT1G17370,0,1,1,0,1
AT1G17860,0,0,0,0,1
AT1G18070,0,0,1,0,1
