Protein,WT,WT,AT4G24970,AT4G24970
AT4G24970,0,0,116,321
AT5G50780,6,0,11,54
AT2G05120,9,0,5,6
ATCG01240,2,0,5,5
ATCG00900,2,0,5,5
AT5G15680,0,0,3,5
AT4G03190,2,0,1,5
ATCG00190,0,0,0,5
AT5G62670,0,0,0,5
AT1G12910,0,0,0,5
AT4G02350,1,0,0,5
AT1G71695,0,0,1,4
AT3G54090,0,0,0,4
AT1G48480,0,0,0,4
AT1G03060,0,0,0,4
AT3G06670,2,0,2,3
AT5G35790,0,0,1,3
AT4G15802,0,0,1,3
AT3G61430,0,0,1,3
AT3G55220,0,0,1,3
AT3G55200,0,0,1,3
AT5G05590,1,0,1,3
AT1G09770,1,0,1,3
AT1G07780,1,0,1,3
AT5G48880,0,0,0,3
AT4G29350,0,0,0,3
AT3G48500,0,0,0,3
AT1G48620,0,0,0,3
AT1G31730,2,0,4,2
AT5G08690,0,0,3,2
AT5G08680,0,0,3,2
AT5G06160,1,0,3,2
AT1G59610,1,0,3,2
AT1G10290,1,0,3,2
AT5G64070,3,0,3,2
AT5G13650,0,0,2,2
AT3G06580,0,0,2,2
AT1G75950,0,0,2,2
AT5G24770,1,0,2,2
AT2G40290,1,0,2,2
AT5G52360,0,0,1,2
AT5G40870,0,0,1,2
AT4G25590,0,0,1,2
AT1G16300,0,0,1,2
AT4G32551,1,0,1,2
AT2G34970,1,0,1,2
AT2G32700,1,0,1,2
AT1G74960,1,0,1,2
AT1G63660,1,0,1,2
AT1G11650,1,0,1,2
AT2G05990,2,0,1,2
ATCG01310,0,0,0,2
ATCG00830,0,0,0,2
ATCG00790,0,0,0,2
ATCG00180,0,0,0,2
AT5G59890,0,0,0,2
AT5G49830,0,0,0,2
AT5G18190,0,0,0,2
AT5G14320,0,0,0,2
AT5G10920,0,0,0,2
AT4G31580,0,0,0,2
AT4G29410,0,0,0,2
AT4G21270,0,0,0,2
AT4G20130,0,0,0,2
AT4G05190,0,0,0,2
AT3G52180,0,0,0,2
AT3G46010,0,0,0,2
AT3G13670,0,0,0,2
AT3G04260,0,0,0,2
AT3G02880,0,0,0,2
AT2G04842,0,0,0,2
AT1G77470,0,0,0,2
AT1G68790,0,0,0,2
AT1G50500,0,0,0,2
AT1G34760,0,0,0,2
AT1G30360,0,0,0,2
AT1G26170,0,0,0,2
AT1G17760,0,0,0,2
AT4G27180,1,0,0,2
AT4G26110,1,0,0,2
AT4G15020,1,0,0,2
AT2G17930,1,0,0,2
AT1G59890,1,0,0,2
AT1G62940,2,0,0,2
AT3G11270,3,0,0,2
AT2G01140,3,0,5,1
AT5G25060,1,0,4,1
AT1G30620,2,0,4,1
AT5G04140,3,0,4,1
AT5G63840,6,0,4,1
AT5G51660,2,0,3,1
AT5G22510,0,0,2,1
AT5G10800,0,0,2,1
AT5G08640,0,0,2,1
AT2G36810,0,0,2,1
AT2G34850,0,0,2,1
AT2G18230,0,0,2,1
AT5G60160,1,0,2,1
AT5G51110,1,0,2,1
AT5G49810,1,0,2,1
AT3G42660,1,0,2,1
AT3G11250,1,0,2,1
AT3G09200,1,0,2,1
AT2G37080,1,0,2,1
AT1G09340,1,0,2,1
AT5G42220,2,0,2,1
AT4G31840,2,0,2,1
AT3G49240,2,0,2,1
AT3G28780,2,0,2,1
AT1G61010,2,0,2,1
AT1G30470,2,0,2,1
ATCG00720,0,0,1,1
ATCG00470,0,0,1,1
AT5G14610,0,0,1,1
AT5G11880,0,0,1,1
AT4G22010,0,0,1,1
AT3G53260,0,0,1,1
AT3G51800,0,0,1,1
AT3G28790,0,0,1,1
AT3G23400,0,0,1,1
AT3G22170,0,0,1,1
AT3G18890,0,0,1,1
AT3G14390,0,0,1,1
AT3G10340,0,0,1,1
AT3G07100,0,0,1,1
AT3G01540,0,0,1,1
AT2G44730,0,0,1,1
AT2G44530,0,0,1,1
AT2G43710,0,0,1,1
AT2G40840,0,0,1,1
AT2G37040,0,0,1,1
AT2G06210,0,0,1,1
AT2G04865,0,0,1,1
AT1G76850,0,0,1,1
AT1G64040,0,0,1,1
AT1G19835,0,0,1,1
AT5G48600,1,0,1,1
AT5G43060,1,0,1,1
AT5G19370,1,0,1,1
AT5G16390,1,0,1,1
AT4G36080,1,0,1,1
AT4G33400,1,0,1,1
AT4G32640,1,0,1,1
AT4G16390,1,0,1,1
AT4G13520,1,0,1,1
AT4G03430,1,0,1,1
AT3G25800,1,0,1,1
AT2G40010,1,0,1,1
AT5G16210,2,0,1,1
ATCG00330,0,0,0,1
ATCG00160,0,0,0,1
AT5G66900,0,0,0,1
AT5G66720,0,0,0,1
AT5G66570,0,0,0,1
AT5G64200,0,0,0,1
AT5G62740,0,0,0,1
AT5G62190,0,0,0,1
AT5G60930,0,0,0,1
AT5G60450,0,0,0,1
AT5G59840,0,0,0,1
AT5G59300,0,0,0,1
AT5G56670,0,0,0,1
AT5G56600,0,0,0,1
AT5G56350,0,0,0,1
AT5G55670,0,0,0,1
AT5G55280,0,0,0,1
AT5G53560,0,0,0,1
AT5G51830,0,0,0,1
AT5G51750,0,0,0,1
AT5G48810,0,0,0,1
AT5G48520,0,0,0,1
AT5G47820,0,0,0,1
AT5G47500,0,0,0,1
AT5G47190,0,0,0,1
AT5G45950,0,0,0,1
AT5G43830,0,0,0,1
AT5G42470,0,0,0,1
AT5G42270,0,0,0,1
AT5G41600,0,0,0,1
AT5G39440,0,0,0,1
AT5G38640,0,0,0,1
AT5G37020,0,0,0,1
AT5G28350,0,0,0,1
AT5G23140,0,0,0,1
AT5G22630,0,0,0,1
