Protein,WT,WT,WT,AT5G38110,AT5G38110,AT5G38110
AT4G32820,0,0,0,50,107,68
AT3G44530,0,0,0,49,212,199
AT2G35635,0,0,0,31,36,19
AT1G31340,0,22,0,31,36,19
AT1G55060,0,0,0,29,35,19
AT5G20930,0,0,0,16,59,51
AT1G14830,17,13,0,13,12,4
AT5G56010,3,7,0,12,4,5
AT3G11130,4,3,0,12,4,3
AT5G44180,17,12,0,10,9,1
AT1G28420,15,17,0,9,11,4
AT1G77310,0,0,0,8,12,10
AT5G19780,6,9,0,8,6,7
AT3G08530,4,3,0,8,4,3
AT1G79280,3,2,0,7,4,1
AT5G60640,3,1,0,7,2,0
AT5G55300,15,23,0,6,18,2
AT5G55310,14,20,0,6,16,2
AT5G17310,0,0,0,6,0,2
AT3G17240,2,2,0,6,0,1
AT1G48030,1,2,0,6,1,1
AT3G04930,0,12,0,5,14,4
AT5G62190,1,6,0,5,8,3
AT3G27690,1,2,0,5,4,3
AT2G05100,1,2,0,5,4,3
AT1G18080,1,0,0,5,0,3
AT3G48870,5,2,0,5,3,1
AT2G45810,3,2,0,5,9,1
AT2G04030,3,3,0,5,1,1
AT1G33680,1,2,0,5,0,0
AT5G04140,0,0,0,5,0,0
AT4G31490,0,1,0,5,1,0
AT4G31480,0,1,0,5,1,0
AT1G59359,0,6,0,4,6,7
AT1G58983,0,6,0,4,6,7
AT1G58684,0,6,0,4,6,7
AT5G08380,0,0,0,4,0,6
AT5G28040,0,6,0,4,13,3
AT3G43240,7,11,0,4,4,2
AT1G79340,1,1,0,4,0,2
AT3G03250,0,0,0,4,0,2
AT1G80410,5,3,0,4,2,1
AT3G44110,4,3,0,4,4,1
AT3G17820,1,0,0,4,0,1
AT4G21150,0,1,0,4,0,1
AT3G14415,0,0,0,4,0,1
AT3G06650,0,2,0,4,0,1
AT4G20850,5,5,0,4,1,0
AT3G45190,3,1,0,4,0,0
AT5G48650,2,1,0,4,1,0
AT5G23540,2,2,0,4,1,0
AT2G01140,2,2,0,4,1,0
AT3G61240,0,3,0,4,9,0
AT3G14940,0,0,0,4,0,0
AT3G14420,0,0,0,4,0,0
AT3G03960,0,1,0,4,0,0
AT2G42600,0,0,0,4,0,0
AT1G63770,0,1,0,4,0,0
AT1G53310,0,0,0,4,0,0
AT1G30360,0,0,0,4,0,0
AT5G15650,1,0,0,3,0,4
AT5G28060,0,3,0,3,6,4
AT3G11630,0,0,0,3,4,3
AT5G67360,3,2,0,3,3,2
AT1G08830,2,3,0,3,2,2
AT3G53020,1,1,0,3,3,2
AT3G44300,1,3,0,3,2,2
AT1G08520,1,7,0,3,2,2
AT5G33370,0,0,0,3,0,2
AT1G35720,0,0,0,3,0,2
AT5G22060,3,3,0,3,3,1
AT5G23060,1,2,0,3,2,1
AT5G22330,1,3,0,3,3,1
AT4G11420,1,2,0,3,3,1
AT5G63570,0,0,0,3,0,1
AT5G49460,0,2,0,3,0,1
AT5G06290,0,1,0,3,4,1
AT3G48730,0,0,0,3,0,1
AT3G11940,0,0,0,3,1,1
AT3G02360,0,1,0,3,1,1
AT2G37270,0,0,0,3,1,1
AT2G04780,0,0,0,3,1,1
AT1G75750,0,0,0,3,0,1
AT5G16750,7,9,0,3,11,0
AT1G48120,5,0,0,3,1,0
AT1G70830,4,4,0,3,2,0
AT3G55800,2,1,0,3,0,0
AT3G28980,2,5,0,3,1,0
AT3G11250,2,3,0,3,0,0
AT1G52360,2,0,0,3,1,0
AT5G52280,1,0,0,3,0,0
AT4G35800,1,0,0,3,1,0
AT3G20390,1,1,0,3,0,0
AT3G18890,1,0,0,3,0,0
AT3G18130,1,0,0,3,0,0
AT2G31570,1,1,0,3,1,0
AT1G64520,1,0,0,3,1,0
AT1G33240,1,2,0,3,4,0
ATCG00340,0,0,0,3,0,0
AT5G55220,0,0,0,3,0,0
AT5G18960,0,0,0,3,3,0
AT4G31430,0,1,0,3,1,0
AT4G30920,0,1,0,3,0,0
AT4G28820,0,0,0,3,1,0
AT4G22010,0,0,0,3,0,0
AT4G00430,0,0,0,3,0,0
AT3G58610,0,0,0,3,1,0
AT3G52990,0,0,0,3,0,0
AT3G11830,0,0,0,3,0,0
AT3G06250,0,0,0,3,2,0
AT2G36580,0,0,0,3,0,0
AT2G35410,0,0,0,3,0,0
AT2G21170,0,0,0,3,1,0
AT2G05710,0,0,0,3,0,0
AT1G80930,0,2,0,3,4,0
AT3G44750,1,1,0,2,4,5
AT1G62750,4,3,0,2,5,4
AT3G62310,1,0,0,2,4,4
AT5G66140,0,1,0,2,1,4
AT3G51260,0,1,0,2,2,4
AT5G02610,2,3,0,2,3,3
AT3G44310,1,3,0,2,2,3
AT2G36880,1,3,0,2,2,3
AT1G47128,1,3,0,2,4,3
AT1G61520,0,1,0,2,2,3
AT5G12370,5,3,0,2,1,2
AT1G26630,3,3,0,2,6,2
AT5G10770,2,4,0,2,4,2
AT5G50850,1,0,0,2,2,2
AT5G42100,0,0,0,2,1,2
AT2G36620,0,0,0,2,2,2
AT2G02470,3,2,0,2,3,1
AT1G18610,3,3,0,2,7,1
AT5G58130,2,2,0,2,2,1
AT5G13020,2,1,0,2,3,1
AT3G60190,2,2,0,2,2,1
AT3G55410,2,0,0,2,0,1
AT3G54610,2,1,0,2,1,1
AT3G19420,2,1,0,2,2,1
AT2G45470,2,1,0,2,1,1
AT1G66580,2,1,0,2,1,1
AT1G14510,2,3,0,2,3,1
AT5G65750,1,0,0,2,0,1
