Protein,WT,AT4G24970
AT4G24970,0,19
AT5G08450,0,7
AT5G27030,0,6
AT4G17330,0,5
AT1G79930,0,5
AT1G79920,0,5
AT5G19820,0,4
AT3G17390,0,4
AT3G09100,0,4
AT3G06720,0,4
AT2G17630,0,4
AT1G43850,0,4
AT5G67630,0,3
AT5G62700,0,3
AT5G62690,0,3
AT5G47690,0,3
AT5G44340,0,3
AT5G44180,0,3
AT5G23860,0,3
AT5G19780,0,3
AT5G19770,0,3
AT5G15810,0,3
AT5G12250,0,3
AT5G06460,0,3
AT5G03340,0,3
AT5G03300,0,3
AT4G20890,0,3
AT4G14960,0,3
AT3G56860,0,3
AT3G49600,0,3
AT3G28730,0,3
AT3G13750,0,3
AT3G12280,0,3
AT3G09840,0,3
AT2G29550,0,3
AT2G26460,0,3
AT2G17930,0,3
AT2G06990,0,3
AT1G75780,0,3
AT1G67580,0,3
AT1G50010,0,3
AT1G20010,0,3
AT1G19880,0,3
AT1G18450,0,3
AT1G04820,0,3
AT1G04080,0,3
AT5G66190,0,2
AT5G59910,0,2
AT5G59160,0,2
AT5G56900,0,2
AT5G55670,0,2
AT5G46210,0,2
AT5G40340,0,2
AT5G37780,0,2
AT5G37640,0,2
AT5G23680,0,2
AT5G22880,0,2
AT5G21274,0,2
AT5G20620,0,2
AT5G18620,0,2
AT5G16780,0,2
AT5G15020,0,2
AT5G03240,0,2
AT5G02570,0,2
AT4G39100,0,2
AT4G36080,0,2
AT4G32720,0,2
AT4G32551,0,2
AT4G22360,0,2
AT4G15020,0,2
AT4G05320,0,2
AT4G05050,0,2
AT4G02890,0,2
AT4G00450,0,2
AT3G58570,0,2
AT3G56800,0,2
AT3G52590,0,2
AT3G46030,0,2
AT3G45980,0,2
AT3G43810,0,2
AT3G22380,0,2
AT3G22170,0,2
AT3G13670,0,2
AT3G10330,0,2
AT3G09480,0,2
AT3G06400,0,2
AT2G46520,0,2
AT2G42520,0,2
AT2G41110,0,2
AT2G39840,0,2
AT2G37470,0,2
AT2G36480,0,2
AT2G36170,0,2
AT2G35635,0,2
AT2G34160,0,2
AT2G32700,0,2
AT2G27030,0,2
AT2G25170,0,2
AT2G17410,0,2
AT2G16950,0,2
AT2G06210,0,2
AT2G02560,0,2
AT2G02070,0,2
AT1G66410,0,2
AT1G65350,0,2
AT1G62740,0,2
AT1G55060,0,2
AT1G54060,0,2
AT1G51710,0,2
AT1G50300,0,2
AT1G43190,0,2
AT1G33520,0,2
AT1G33240,0,2
AT1G31870,0,2
AT1G31812,0,2
AT1G29250,0,2
AT1G17370,0,2
AT1G17070,0,2
AT1G03280,0,2
AT5G66040,0,1
AT5G64730,0,1
AT5G64040,0,1
AT5G63680,0,1
AT5G59180,0,1
AT5G58490,0,1
AT5G58020,0,1
AT5G57580,0,1
AT5G56670,0,1
AT5G56350,0,1
AT5G56000,0,1
AT5G55660,0,1
AT5G53800,0,1
AT5G51660,0,1
AT5G51120,0,1
AT5G49980,0,1
AT5G48570,0,1
AT5G47880,0,1
AT5G47430,0,1
AT5G45300,0,1
AT5G44800,0,1
AT5G44635,0,1
AT5G43990,0,1
AT5G43940,0,1
AT5G43830,0,1
AT5G43630,0,1
AT5G43330,0,1
AT5G42520,0,1
AT5G38840,0,1
AT5G35910,0,1
AT5G35530,0,1
AT5G27850,0,1
AT5G26780,0,1
AT5G26210,0,1
AT5G23900,0,1
AT5G23740,0,1
AT5G23580,0,1
AT5G23150,0,1
AT5G22320,0,1
AT5G22080,0,1
AT5G20720,0,1
AT5G19900,0,1
AT5G19180,0,1
AT5G17020,0,1
AT5G16310,0,1
AT5G15540,0,1
AT5G15210,0,1
AT5G14170,0,1
AT5G13690,0,1
AT5G13590,0,1
AT5G13340,0,1
AT5G13020,0,1
AT5G12410,0,1
AT5G09390,0,1
AT5G08570,0,1
AT5G08550,0,1
AT5G06770,0,1
AT4G39330,0,1
AT4G38630,0,1
AT4G37980,0,1
AT4G37930,0,1
AT4G36960,0,1
AT4G33060,0,1
AT4G32040,0,1
AT4G30720,0,1
AT4G30530,0,1
AT4G30100,0,1
AT4G29390,0,1
AT4G28910,0,1
AT4G28470,0,1
AT4G28440,0,1
AT4G27450,0,1
AT4G27090,0,1
AT4G27000,0,1
AT4G26450,0,1
AT4G26390,0,1
AT4G26000,0,1
AT4G25800,0,1
AT4G25550,0,1
AT4G24200,0,1
AT4G22670,0,1
AT4G21750,0,1
AT4G21110,0,1
AT4G20300,0,1
AT4G19190,0,1
AT4G18130,0,1
AT4G17620,0,1
AT4G17390,0,1
AT4G16990,0,1
AT4G16720,0,1
AT4G16430,0,1
AT4G16250,0,1
AT4G13520,0,1
AT4G12610,0,1
AT4G09570,0,1
AT4G09180,0,1
AT4G06634,0,1
AT4G05420,0,1
AT4G04840,0,1
AT3G61310,0,1
AT3G61220,0,1
AT3G61140,0,1
AT3G56450,0,1
AT3G56190,0,1
AT3G55650,0,1
AT3G54610,0,1
AT3G54470,0,1
AT3G53870,0,1
AT3G52220,0,1
AT3G48990,0,1
AT3G48710,0,1
AT3G48690,0,1
AT3G48090,0,1
AT3G43240,0,1
AT3G42170,0,1
AT3G26618,0,1
AT3G26060,0,1
AT3G25960,0,1
AT3G25230,0,1
AT3G23780,0,1
AT3G22520,0,1
AT3G22230,0,1
AT3G20740,0,1
AT3G20630,0,1
AT3G19670,0,1
AT3G19450,0,1
AT3G18640,0,1
AT3G18130,0,1
AT3G18090,0,1
AT3G18000,0,1
AT3G17590,0,1
AT3G16650,0,1
AT3G15095,0,1
AT3G13200,0,1
AT3G11910,0,1
AT3G07260,0,1
AT3G07220,0,1
AT3G06670,0,1
AT3G06010,0,1
AT3G05590,0,1
AT3G05070,0,1
AT3G04050,0,1
AT3G02710,0,1
AT2G46020,0,1
AT2G45850,0,1
AT2G43810,0,1
AT2G43140,0,1
AT2G42280,0,1
AT2G40930,0,1
AT2G40030,0,1
AT2G39940,0,1
AT2G38710,0,1
AT2G38560,0,1
AT2G33255,0,1
AT2G32060,0,1
AT2G31660,0,1
AT2G31610,0,1
AT2G30260,0,1
AT2G30110,0,1
AT2G29180,0,1
AT2G28290,0,1
AT2G27860,0,1
AT2G24190,0,1
AT2G21230,0,1
AT2G20580,0,1
AT2G20450,0,1
AT2G19750,0,1
AT2G19560,0,1
AT2G18790,0,1
AT2G18750,0,1
AT2G17560,0,1
AT2G16485,0,1
AT2G15270,0,1
AT2G07690,0,1
AT2G05250,0,1
AT2G05230,0,1
AT2G04880,0,1
AT2G04865,0,1
AT2G03750,0,1
AT2G02470,0,1
AT1G79730,0,1
AT1G79530,0,1
AT1G79350,0,1
AT1G78380,0,1
AT1G78060,0,1
AT1G77470,0,1
AT1G76940,0,1
AT1G76890,0,1
AT1G76880,0,1
AT1G76860,0,1
AT1G76510,0,1
AT1G75560,0,1
AT1G74560,0,1
AT1G72010,0,1
AT1G67430,0,1
AT1G63160,0,1
AT1G62830,0,1
AT1G61730,0,1
AT1G61620,0,1
AT1G59760,0,1
AT1G59600,0,1
AT1G58025,0,1
AT1G51580,0,1
AT1G49950,0,1
AT1G49660,0,1
AT1G49600,0,1
AT1G48630,0,1
AT1G48620,0,1
AT1G44900,0,1
AT1G42970,0,1
AT1G36370,0,1
AT1G35670,0,1
AT1G35460,0,1
AT1G35160,0,1
AT1G33590,0,1
AT1G33140,0,1
AT1G33120,0,1
AT1G32730,0,1
AT1G32130,0,1
AT1G27970,0,1
AT1G27900,0,1
AT1G27400,0,1
AT1G24190,0,1
AT1G22020,0,1
AT1G21190,0,1
AT1G21130,0,1
AT1G21100,0,1
AT1G20693,0,1
AT1G20370,0,1
AT1G18800,0,1
AT1G18080,0,1
AT1G17980,0,1
AT1G16300,0,1
AT1G15950,0,1
AT1G14900,0,1
AT1G14510,0,1
AT1G12920,0,1
AT1G12775,0,1
AT1G09640,0,1
AT1G09060,0,1
AT1G08200,0,1
AT1G08130,0,1
AT1G06960,0,1
AT1G04690,0,1
AT1G04410,0,1
AT1G03140,0,1
AT1G02930,0,1
AT1G02920,0,1
AT1G01940,0,1
AT1G01800,0,1
AT3G16830,1,10
AT5G65780,1,7
AT5G65770,1,7
AT5G46070,1,5
AT3G54230,1,5
AT3G04610,1,5
AT4G21670,1,4
AT2G36880,1,4
AT1G17210,1,4
AT5G56130,1,3
AT5G53480,1,3
AT5G37370,1,3
AT4G23670,1,3
AT4G11600,1,3
AT4G10710,1,3
AT4G02430,1,3
AT3G55460,1,3
AT3G52660,1,3
AT3G44750,1,3
AT3G26420,1,3
AT3G21810,1,3
AT2G43770,1,3
AT2G41530,1,3
AT2G32910,1,3
ATCG00480,1,2
AT5G63550,1,2
AT5G48680,1,2
AT5G28390,1,2
AT5G26280,1,2
AT5G15200,1,2
AT5G09860,1,2
AT5G09660,1,2
AT4G30220,1,2
AT4G26840,1,2
AT4G22350,1,2
AT4G22285,1,2
AT4G21660,1,2
AT4G10320,1,2
AT3G62840,1,2
AT3G56720,1,2
AT3G44600,1,2
AT3G12915,1,2
AT3G12680,1,2
AT2G47640,1,2
AT2G40650,1,2
AT2G29210,1,2
AT2G28720,1,2
AT2G22170,1,2
AT2G16860,1,2
AT2G16600,1,2
AT1G79200,1,2
AT1G75950,1,2
AT1G65660,1,2
AT1G61040,1,2
AT1G53720,1,2
AT1G30480,1,2
AT1G19480,1,2
AT1G01350,1,2
AT5G65260,1,1
AT5G62440,1,1
AT5G55210,1,1
AT5G54640,1,1
AT5G53060,1,1
AT5G52640,1,1
AT5G44200,1,1
AT5G42980,1,1
AT5G42190,1,1
AT5G19350,1,1
AT5G10360,1,1
AT4G37120,1,1
AT4G36980,1,1
AT4G34870,1,1
AT4G32660,1,1
AT4G31700,1,1
AT4G30800,1,1
AT4G29270,1,1
AT4G27230,1,1
AT4G22140,1,1
AT4G20360,1,1
AT4G18100,1,1
AT4G17190,1,1
AT4G15165,1,1
AT4G13570,1,1
AT4G10970,1,1
AT4G04640,1,1
AT4G02520,1,1
AT3G63400,1,1
AT3G60245,1,1
AT3G59970,1,1
AT3G56340,1,1
AT3G54560,1,1
AT3G53650,1,1
AT3G48960,1,1
AT3G48930,1,1
AT3G47120,1,1
AT3G27850,1,1
AT3G27830,1,1
AT3G26650,1,1
AT3G22590,1,1
AT3G22110,1,1
AT3G20670,1,1
AT3G18165,1,1
AT3G16450,1,1
AT3G16410,1,1
AT3G16400,1,1
AT3G16390,1,1
AT3G13470,1,1
AT3G13224,1,1
AT3G12130,1,1
AT3G10950,1,1
AT3G07590,1,1
AT3G04120,1,1
AT2G47730,1,1
AT2G47580,1,1
AT2G44160,1,1
AT2G43410,1,1
