Protein,WT,WT,AT3G44750,AT3G44750,AT5G22650,AT5G22650
AT1G50010,0,0,44,0,0,39
AT2G27840,0,0,28,25,23,25
AT1G78650,0,0,10,7,5,6
AT5G21274,0,0,8,0,4,3
AT3G43810,0,0,8,0,4,3
AT2G44510,0,0,5,5,9,7
AT3G10740,2,0,5,2,1,0
AT3G10380,1,0,4,1,1,2
AT3G52580,1,0,3,2,5,6
AT5G66590,0,0,3,0,15,5
AT1G73430,0,0,3,4,2,1
AT2G36390,2,0,3,3,0,0
AT1G56110,0,0,3,2,2,0
AT5G48600,2,0,3,2,2,0
AT3G04400,0,0,2,2,2,3
AT2G33370,0,0,2,2,2,3
AT1G04480,0,0,2,2,2,3
AT1G20970,2,0,2,1,1,3
AT1G75910,1,0,2,1,2,2
AT1G08600,2,0,2,0,3,2
AT4G23540,0,0,2,2,3,1
AT2G06210,0,0,2,2,1,1
AT5G49190,1,0,2,2,2,1
AT5G45390,3,0,2,2,2,1
AT5G27120,0,0,2,0,1,1
AT4G31120,2,0,2,2,0,0
AT5G51280,0,0,2,1,0,0
AT3G61820,0,0,2,1,2,0
AT2G46370,0,0,2,1,1,0
AT1G50710,0,0,2,1,1,0
AT5G55040,0,0,2,0,0,0
AT4G00040,0,0,2,0,0,0
AT4G00810,1,0,2,0,1,0
AT1G72610,0,0,1,1,21,8
AT4G31390,0,0,1,1,4,4
AT3G59600,0,0,1,1,1,4
AT1G76630,1,0,1,0,1,4
AT4G02230,2,0,1,0,1,4
AT4G03120,0,0,1,0,1,2
AT3G16080,0,0,1,0,4,2
AT1G52300,0,0,1,0,4,2
AT1G15250,0,0,1,0,4,2
AT4G01480,1,0,1,0,0,2
AT1G52670,1,0,1,0,2,2
AT4G09800,2,0,1,0,4,2
AT1G34030,2,0,1,0,4,2
AT1G22780,2,0,1,0,4,2
AT1G70600,3,0,1,0,4,2
AT1G23290,3,0,1,0,4,2
AT4G16265,1,0,1,2,0,1
AT3G05040,1,0,1,2,1,1
AT1G51990,1,0,1,2,0,1
AT1G10590,1,0,1,2,2,1
AT5G53350,0,0,1,1,0,1
AT4G39090,0,0,1,1,0,1
AT3G05060,0,0,1,1,3,1
AT1G75130,0,0,1,1,0,1
AT1G74470,0,0,1,1,1,1
AT1G33360,0,0,1,1,0,1
AT1G27752,0,0,1,1,1,1
AT2G40380,1,0,1,1,0,1
AT5G35680,2,0,1,1,1,1
AT5G04280,2,0,1,1,0,1
AT4G01400,2,0,1,1,2,1
AT5G53780,0,0,1,0,0,1
AT5G49530,0,0,1,0,0,1
AT5G45510,0,0,1,0,0,1
AT5G02310,0,0,1,0,1,1
AT3G11940,0,0,1,0,0,1
AT3G09690,0,0,1,0,0,1
AT2G37270,0,0,1,0,0,1
AT2G26570,0,0,1,0,1,1
AT1G79850,0,0,1,0,1,1
AT1G30900,0,0,1,0,1,1
AT1G10450,0,0,1,0,1,1
AT4G01150,1,0,1,0,0,1
AT3G52220,1,0,1,0,0,1
AT3G48860,1,0,1,0,1,1
AT2G47400,1,0,1,0,2,1
AT1G47830,1,0,1,0,0,1
AT1G06030,0,0,1,4,1,0
AT3G16980,1,0,1,3,1,0
AT3G50270,0,0,1,2,1,0
AT3G03910,0,0,1,2,1,0
AT1G63680,1,0,1,2,0,0
AT4G26870,2,0,1,2,0,0
AT5G63650,0,0,1,1,0,0
AT5G08590,0,0,1,1,0,0
AT5G04590,0,0,1,1,0,0
AT4G38092,0,0,1,1,0,0
AT4G10480,0,0,1,1,0,0
AT3G49660,0,0,1,1,0,0
AT3G49390,0,0,1,1,1,0
AT3G45530,0,0,1,1,0,0
AT3G18890,0,0,1,1,1,0
AT3G17590,0,0,1,1,0,0
AT3G06350,0,0,1,1,0,0
AT2G33610,0,0,1,1,0,0
AT2G30440,0,0,1,1,1,0
AT1G79730,0,0,1,1,0,0
AT1G74690,0,0,1,1,1,0
AT1G60940,0,0,1,1,0,0
AT1G48470,0,0,1,1,2,0
AT1G12240,0,0,1,1,1,0
AT1G10940,0,0,1,1,0,0
AT5G42820,1,0,1,1,1,0
AT5G19485,1,0,1,1,3,0
AT3G55750,1,0,1,1,4,0
AT2G34680,1,0,1,1,0,0
AT2G20790,1,0,1,1,0,0
AT1G74270,1,0,1,1,4,0
AT1G41880,1,0,1,1,4,0
AT1G07070,1,0,1,1,3,0
AT5G66980,0,0,1,0,0,0
AT5G65930,0,0,1,0,1,0
AT5G64570,0,0,1,0,0,0
AT5G63320,0,0,1,0,0,0
AT5G62680,0,0,1,0,0,0
AT5G60860,0,0,1,0,0,0
AT5G56760,0,0,1,0,0,0
AT5G48485,0,0,1,0,1,0
AT5G45730,0,0,1,0,0,0
AT5G45150,0,0,1,0,0,0
AT5G25060,0,0,1,0,0,0
AT5G18500,0,0,1,0,0,0
AT5G15280,0,0,1,0,0,0
AT5G12960,0,0,1,0,0,0
AT5G07980,0,0,1,0,0,0
AT5G07970,0,0,1,0,0,0
AT5G02970,0,0,1,0,0,0
AT5G02450,0,0,1,0,1,0
AT5G02280,0,0,1,0,0,0
AT4G39820,0,0,1,0,0,0
AT4G38190,0,0,1,0,1,0
AT4G37650,0,0,1,0,0,0
AT4G32820,0,0,1,0,0,0
AT4G30990,0,0,1,0,0,0
AT4G29450,0,0,1,0,1,0
AT4G25340,0,0,1,0,0,0
AT4G17070,0,0,1,0,1,0
AT4G16590,0,0,1,0,0,0
AT4G15890,0,0,1,0,0,0
AT4G10300,0,0,1,0,0,0
AT3G62330,0,0,1,0,1,0
AT3G57150,0,0,1,0,3,0
AT3G55605,0,0,1,0,0,0
AT3G49601,0,0,1,0,1,0
AT3G30320,0,0,1,0,0,0
AT3G29320,0,0,1,0,0,0
AT3G15180,0,0,1,0,0,0
AT3G14490,0,0,1,0,0,0
AT3G02400,0,0,1,0,0,0
AT2G47210,0,0,1,0,0,0
AT2G44310,0,0,1,0,0,0
AT2G42200,0,0,1,0,2,0
AT2G41475,0,0,1,0,1,0
AT2G38840,0,0,1,0,0,0
AT2G35390,0,0,1,0,0,0
AT2G30950,0,0,1,0,0,0
AT2G30880,0,0,1,0,0,0
AT2G20190,0,0,1,0,0,0
AT2G19670,0,0,1,0,0,0
AT2G06990,0,0,1,0,0,0
AT2G01210,0,0,1,0,0,0
AT1G80600,0,0,1,0,0,0
AT1G78820,0,0,1,0,0,0
AT1G76890,0,0,1,0,0,0
AT1G75930,0,0,1,0,2,0
AT1G74850,0,0,1,0,0,0
AT1G74560,0,0,1,0,0,0
AT1G65580,0,0,1,0,0,0
AT1G53070,0,0,1,0,0,0
AT1G47220,0,0,1,0,0,0
AT1G43710,0,0,1,0,0,0
AT1G35420,0,0,1,0,0,0
AT1G26620,0,0,1,0,0,0
AT1G25250,0,0,1,0,0,0
AT1G24270,0,0,1,0,0,0
AT1G18800,0,0,1,0,0,0
AT1G15510,0,0,1,0,0,0
AT1G09760,0,0,1,0,2,0
AT1G09170,0,0,1,0,0,0
AT1G06760,0,0,1,0,0,0
AT1G06430,0,0,1,0,0,0
AT5G36230,1,0,1,0,0,0
AT3G53740,1,0,1,0,2,0
AT3G33530,1,0,1,0,2,0
AT3G04550,1,0,1,0,0,0
AT2G04495,1,0,1,0,0,0
AT1G78060,1,0,1,0,0,0
AT1G65220,1,0,1,0,0,0
AT1G56700,1,0,1,0,0,0
AT5G55190,0,0,0,0,0,8
AT3G09630,2,0,0,2,7,5
AT5G59920,0,0,0,0,6,5
AT5G23900,0,0,0,0,3,4
AT3G18520,0,0,0,0,3,4
AT5G16280,0,0,0,2,1,3
AT5G41520,0,0,0,1,0,3
AT5G59850,1,0,0,1,0,3
AT3G46040,1,0,0,1,5,3
AT1G07770,1,0,0,1,4,3
ATCG01230,0,0,0,0,1,3
ATCG00905,0,0,0,0,1,3
ATCG00065,0,0,0,0,1,3
AT5G37780,0,0,0,0,4,3
AT3G60190,0,0,0,0,1,3
AT3G49910,0,0,0,0,7,3
AT3G28780,0,0,0,0,2,3
AT5G51750,1,0,0,0,2,3
AT3G12050,1,0,0,2,1,2
AT5G53560,0,0,0,1,0,2
AT1G54250,0,0,0,1,2,2
AT1G17760,0,0,0,1,1,2
AT4G00100,1,0,0,1,4,2
AT3G60770,1,0,0,1,4,2
AT1G15270,1,0,0,1,1,2
AT3G62010,2,0,0,1,1,2
ATCG01020,0,0,0,0,2,2
ATCG00330,0,0,0,0,1,2
ATCG00180,0,0,0,0,1,2
AT5G17770,0,0,0,0,0,2
AT4G18360,0,0,0,0,5,2
AT3G56910,0,0,0,0,3,2
AT3G53020,0,0,0,0,3,2
AT3G51560,0,0,0,0,1,2
AT3G02310,0,0,0,0,0,2
AT2G47710,0,0,0,0,1,2
AT2G46820,0,0,0,0,0,2
AT2G03850,0,0,0,0,0,2
AT1G66580,0,0,0,0,3,2
AT1G59610,0,0,0,0,0,2
AT1G02813,0,0,0,0,0,2
AT4G28300,1,0,0,0,2,2
AT3G08960,1,0,0,0,0,2
AT1G14320,1,0,0,0,3,2
AT5G48810,0,0,0,2,4,1
AT5G36790,0,0,0,2,0,1
AT5G36700,0,0,0,2,0,1
AT2G41620,0,0,0,2,1,1
AT1G44910,0,0,0,2,1,1
AT5G53530,1,0,0,2,0,1
AT4G27690,1,0,0,2,0,1
AT1G76180,1,0,0,2,1,1
AT5G65720,2,0,0,2,2,1
AT5G47760,0,0,0,1,0,1
AT5G43070,0,0,0,1,0,1
AT5G24350,0,0,0,1,0,1
AT5G16270,0,0,0,1,0,1
AT5G14540,0,0,0,1,1,1
AT4G37210,0,0,0,1,1,1
AT4G04810,0,0,0,1,0,1
AT3G57350,0,0,0,1,1,1
AT3G56340,0,0,0,1,0,1
AT2G44920,0,0,0,1,1,1
AT2G40590,0,0,0,1,0,1
AT2G40510,0,0,0,1,0,1
AT1G80270,0,0,0,1,0,1
AT1G47200,0,0,0,1,0,1
AT1G22860,0,0,0,1,1,1
AT1G20440,0,0,0,1,0,1
AT1G15130,0,0,0,1,0,1
AT1G14280,0,0,0,1,1,1
AT1G10290,0,0,0,1,0,1
AT5G02890,1,0,0,1,0,1
AT3G21140,1,0,0,1,0,1
AT2G27600,1,0,0,1,1,1
AT1G71270,1,0,0,1,1,1
AT4G15545,2,0,0,1,1,1
AT4G01900,2,0,0,1,0,1
AT3G18490,2,0,0,1,2,1
ATCG00770,0,0,0,0,1,1
AT5G64140,0,0,0,0,0,1
AT5G59180,0,0,0,0,2,1
AT5G48520,0,0,0,0,0,1
AT5G47380,0,0,0,0,0,1
AT5G37850,0,0,0,0,0,1
AT5G37550,0,0,0,0,0,1
AT5G37460,0,0,0,0,0,1
AT5G37140,0,0,0,0,0,1
AT5G35620,0,0,0,0,0,1
AT5G18620,0,0,0,0,0,1
AT5G17440,0,0,0,0,0,1
AT5G16130,0,0,0,0,2,1
AT5G15540,0,0,0,0,1,1
AT5G14410,0,0,0,0,0,1
AT5G13780,0,0,0,0,0,1
AT5G08180,0,0,0,0,2,1
AT5G07530,0,0,0,0,0,1
