Protein,WT,AT4G24970
AT4G24970,0,54
AT5G62700,0,37
AT5G62690,0,37
AT5G23860,0,32
AT2G29550,0,30
ATCG00490,0,28
AT5G02500,0,23
AT5G25980,0,21
AT4G13940,0,20
AT1G11860,0,19
AT5G44020,0,17
AT5G12250,0,17
AT1G75780,0,17
AT5G38420,0,16
AT5G02490,0,16
AT3G23810,0,16
AT3G12580,0,16
AT1G67090,0,16
AT5G33370,0,15
AT5G08690,0,15
AT5G08680,0,15
AT5G08670,0,15
AT3G60750,0,15
AT3G53750,0,15
AT3G09440,0,15
AT2G37620,0,15
AT1G56110,0,15
AT3G20820,0,14
AT5G56030,0,13
AT5G56010,0,13
AT5G50780,0,13
AT5G42020,0,13
AT3G12780,0,13
AT2G39730,0,13
AT5G35630,0,12
AT5G11200,0,12
AT5G11170,0,12
AT1G32900,0,12
ATCG00120,0,11
AT5G26742,0,11
AT4G25630,0,11
AT2G36880,0,11
AT2G28790,0,11
AT3G26650,0,10
AT3G12145,0,10
AT3G01500,0,10
AT1G56190,0,10
AT1G30230,0,10
AT5G58420,0,9
AT5G50920,0,9
AT5G38430,0,9
AT5G07090,0,9
AT4G39330,0,9
AT3G57150,0,9
AT3G52930,0,9
AT3G15730,0,9
AT3G05060,0,9
AT2G18020,0,9
AT2G17360,0,9
AT1G52030,0,9
AT1G20620,0,9
AT5G20630,0,8
AT5G17920,0,8
AT4G35090,0,8
AT4G10320,0,8
AT4G02930,0,8
AT3G17390,0,8
AT2G21660,0,8
AT1G75880,0,8
AT1G26630,0,8
AT1G12900,0,8
AT5G22650,0,7
AT5G19510,0,7
AT4G35630,0,7
AT4G17390,0,7
AT4G16720,0,7
AT3G12490,0,7
AT3G04290,0,7
AT2G33150,0,7
AT1G71695,0,7
AT1G43170,0,7
AT1G42970,0,7
AT1G20630,0,7
AT1G18080,0,7
AT5G61780,0,6
AT5G27120,0,6
AT5G11710,0,6
AT5G07350,0,6
AT4G38740,0,6
AT4G37930,0,6
AT4G21280,0,6
AT4G20360,0,6
AT3G52580,0,6
AT3G23780,0,6
AT3G11510,0,6
AT2G41840,0,6
AT2G36160,0,6
AT2G04030,0,6
AT1G72370,0,6
AT1G33140,0,6
AT1G33120,0,6
AT1G20960,0,6
AT5G42100,0,5
AT5G26000,0,5
AT5G10450,0,5
AT5G03740,0,5
AT5G02870,0,5
AT5G01600,0,5
AT4G36130,0,5
AT4G11420,0,5
AT4G01850,0,5
AT3G45140,0,5
AT3G09840,0,5
AT3G09630,0,5
AT3G04920,0,5
AT3G04120,0,5
AT2G31610,0,5
AT2G10940,0,5
AT2G06850,0,5
AT1G78570,0,5
AT1G59359,0,5
AT1G58983,0,5
AT1G58684,0,5
AT1G58380,0,5
AT1G28290,0,5
AT1G20130,0,5
AT1G13440,0,5
AT1G09340,0,5
AT1G07890,0,5
AT1G04410,0,5
AT1G01300,0,5
AT5G54160,0,4
AT5G51750,0,4
AT5G48880,0,4
AT5G43330,0,4
AT5G38480,0,4
AT5G30510,0,4
AT5G15200,0,4
AT5G13850,0,4
AT5G10360,0,4
AT5G01410,0,4
AT4G34450,0,4
AT4G31700,0,4
AT4G26840,0,4
AT4G22010,0,4
AT4G09000,0,4
AT3G62870,0,4
AT3G56340,0,4
AT3G49430,0,4
AT3G44110,0,4
AT3G16370,0,4
AT3G15880,0,4
AT3G11770,0,4
AT3G04840,0,4
AT3G03920,0,4
AT2G47610,0,4
AT2G33340,0,4
AT2G28000,0,4
AT1G80490,0,4
AT1G80070,0,4
AT1G79850,0,4
AT1G78300,0,4
AT1G70600,0,4
AT1G47980,0,4
AT1G23860,0,4
AT1G23290,0,4
AT1G15750,0,4
AT1G02500,0,4
AT5G66190,0,3
AT5G62300,0,3
AT5G62190,0,3
AT5G55230,0,3
AT5G55160,0,3
AT5G53620,0,3
AT5G48900,0,3
AT5G47770,0,3
AT5G43940,0,3
AT5G35360,0,3
AT5G28060,0,3
AT5G27850,0,3
AT5G11520,0,3
AT5G04280,0,3
AT4G34670,0,3
AT4G31490,0,3
AT4G31480,0,3
AT4G16130,0,3
AT4G15000,0,3
AT4G10480,0,3
AT4G00100,0,3
AT3G63095,0,3
AT3G62530,0,3
AT3G60770,0,3
AT3G58510,0,3
AT3G56490,0,3
AT3G53430,0,3
AT3G45030,0,3
AT3G28830,0,3
AT3G28790,0,3
AT3G15980,0,3
AT3G05530,0,3
AT3G04400,0,3
AT2G47730,0,3
AT2G47470,0,3
AT2G43030,0,3
AT2G37220,0,3
AT2G37190,0,3
AT2G33410,0,3
AT2G33370,0,3
AT1G79930,0,3
AT1G79920,0,3
AT1G72970,0,3
AT1G65440,0,3
AT1G52360,0,3
AT1G52040,0,3
AT1G26910,0,3
AT1G22300,0,3
AT1G14320,0,3
AT1G04480,0,3
AT1G04040,0,3
ATMG01190,0,2
ATCG00790,0,2
ATCG00380,0,2
AT5G64200,0,2
AT5G59870,0,2
AT5G51950,0,2
AT5G45960,0,2
AT5G45775,0,2
AT5G40950,0,2
AT5G36230,0,2
AT5G28500,0,2
AT5G27640,0,2
AT5G25230,0,2
AT5G20160,0,2
AT5G18380,0,2
AT5G16050,0,2
AT5G15490,0,2
AT5G12940,0,2
AT5G08180,0,2
AT5G07530,0,2
AT5G03850,0,2
AT5G02960,0,2
AT4G37800,0,2
AT4G33010,0,2
AT4G27090,0,2
AT4G24510,0,2
AT4G22380,0,2
AT4G19210,0,2
AT4G18730,0,2
AT4G17190,0,2
AT4G13430,0,2
AT4G05180,0,2
AT4G02580,0,2
AT4G02480,0,2
AT3G58700,0,2
AT3G55760,0,2
AT3G55610,0,2
AT3G55280,0,2
AT3G55220,0,2
AT3G55200,0,2
AT3G53460,0,2
AT3G49250,0,2
AT3G29360,0,2
AT3G28980,0,2
AT3G28220,0,2
AT3G26060,0,2
AT3G25230,0,2
AT3G22890,0,2
AT3G19760,0,2
AT3G18490,0,2
AT3G18130,0,2
AT3G16640,0,2
AT3G16470,0,2
AT3G16080,0,2
AT3G15020,0,2
AT3G14100,0,2
AT3G13470,0,2
AT3G11130,0,2
AT3G10090,0,2
AT3G09820,0,2
AT3G09680,0,2
AT3G09200,0,2
AT3G08580,0,2
AT3G07010,0,2
AT3G04230,0,2
AT3G02230,0,2
AT2G44530,0,2
AT2G42740,0,2
AT2G42520,0,2
AT2G39800,0,2
AT2G39460,0,2
AT2G37340,0,2
AT2G34480,0,2
AT2G32700,0,2
AT2G32060,0,2
AT2G30050,0,2
AT2G27710,0,2
AT2G21390,0,2
AT2G20450,0,2
AT2G19480,0,2
AT2G07698,0,2
AT2G03440,0,2
AT1G78900,0,2
AT1G76010,0,2
AT1G75930,0,2
AT1G75910,0,2
AT1G74060,0,2
AT1G74050,0,2
AT1G68560,0,2
AT1G67430,0,2
AT1G64880,0,2
AT1G62020,0,2
AT1G55490,0,2
AT1G53240,0,2
AT1G52300,0,2
AT1G50920,0,2
AT1G49750,0,2
AT1G48630,0,2
AT1G36180,0,2
AT1G36160,0,2
AT1G29970,0,2
AT1G29965,0,2
AT1G27400,0,2
AT1G24020,0,2
AT1G20920,0,2
AT1G19570,0,2
AT1G06680,0,2
AT1G06220,0,2
AT1G02890,0,2
AT1G56070,2,27
AT1G52400,2,17
AT5G60390,2,16
AT1G07940,2,16
AT1G07930,2,16
AT1G07920,2,16
ATCG00480,2,11
AT3G62250,2,8
AT2G47110,2,8
AT1G09640,2,7
AT2G17630,2,4
AT5G21274,2,3
AT4G34870,2,3
AT3G49910,2,3
AT2G16600,2,3
AT5G20720,2,2
AT5G09650,2,2
AT1G66410,2,2
AT5G47210,2,0
AT5G37780,2,0
AT4G29060,2,0
AT3G56800,2,0
AT3G43810,2,0
AT2G41110,2,0
AT2G27030,2,0
AT5G52040,3,27
AT4G25500,3,19
AT5G20290,3,11
AT5G24780,3,10
AT3G13920,3,9
AT1G54270,3,9
AT1G72730,3,8
AT1G48920,3,6
AT5G52640,3,2
AT1G74560,3,0
AT1G65010,3,0
AT1G71080,4,10
AT3G14040,4,2
AT3G07850,4,2
AT1G29250,4,2
AT2G34160,4,0
AT3G08590,5,36
AT1G57720,5,8
AT1G16030,5,5
AT4G13560,5,3
AT4G20890,6,30
AT5G44340,6,27
AT1G20010,6,22
AT5G09810,6,21
AT5G59370,6,16
AT3G46520,6,16
AT3G12110,6,14
AT5G59970,6,6
AT5G59690,6,6
AT3G53730,6,6
AT3G46320,6,6
AT3G45930,6,6
AT2G28740,6,6
AT1G07820,6,6
AT1G07660,6,6
AT5G14670,6,3
AT3G62290,6,3
AT2G47170,6,3
AT1G70490,6,3
AT1G23490,6,3
AT1G10630,6,3
AT3G44310,7,66
AT4G13230,8,3
AT4G14960,9,23
AT1G50010,9,23
AT1G04820,9,23
AT1G64740,10,12
AT5G19780,12,18
