Protein,WT,AT4G26630,AT5G55660,AT3G48710,WT,WT,AT1G67180,AT1G67180,AT1G67180,AT1G67180
AT5G52040,1227,1026,1374,1330,1478,22,1064,5,1459,2
AT4G25500,991,913,1041,1061,1186,14,898,4,1071,2
AT3G44310,151,217,717,670,856,19,501,10,373,9
AT4G26630,3,0,566,25,30,0,0,0,0,0
ATCG00490,313,155,490,596,691,43,326,51,288,36
AT3G08590,180,218,177,168,173,3,400,0,182,0
AT1G19480,80,61,121,101,110,0,165,0,91,0
AT3G09840,49,42,100,88,102,3,142,3,70,3
AT1G36160,32,35,83,90,86,0,100,0,67,0
AT3G44320,43,35,81,102,105,0,79,0,48,0
AT5G02500,54,49,79,69,86,36,98,37,80,26
AT5G03340,36,30,79,69,72,3,106,3,53,3
AT1G09780,88,144,75,86,85,0,135,0,81,0
AT1G55490,32,39,71,78,69,8,129,10,59,8
AT3G13470,31,31,71,70,65,7,124,10,54,8
AT4G35630,66,80,68,67,60,2,230,0,104,0
AT2G28000,30,36,66,69,70,6,85,3,59,0
AT3G15730,65,53,65,75,70,15,95,7,66,3
AT1G67090,47,29,64,60,80,24,90,22,35,21
AT5G38420,45,27,63,66,66,27,87,25,36,25
AT3G05900,52,38,62,55,59,0,53,0,58,0
AT5G38410,45,27,62,65,65,21,63,20,33,19
AT1G64880,93,88,61,62,61,0,63,0,57,0
AT5G11710,52,67,61,56,53,0,190,0,127,0
AT1G56070,32,29,61,62,55,11,97,16,52,9
AT3G09440,38,43,60,55,65,27,71,31,52,20
AT2G17630,54,84,57,61,51,2,123,0,78,0
AT4G10320,38,46,57,50,58,0,57,0,49,0
AT5G62700,32,26,55,47,46,40,106,42,57,27
AT5G62690,32,26,55,47,46,40,106,42,57,27
AT1G71220,35,39,54,65,60,0,80,0,65,0
AT2G29550,27,29,54,40,44,32,99,39,48,24
AT3G44300,24,24,54,51,57,0,64,0,33,0
AT3G44690,59,73,53,50,56,0,63,0,59,0
AT5G02490,32,40,53,44,54,26,56,28,46,20
AT5G28540,42,37,53,47,57,22,66,27,51,16
AT4G20850,51,30,53,54,62,0,65,0,48,0
AT1G57720,28,24,53,38,45,0,86,2,21,0
AT5G42020,43,35,52,46,58,25,65,29,49,16
AT3G12580,28,34,52,46,53,27,42,24,43,21
AT3G53230,24,22,52,43,51,3,65,3,42,0
AT3G52930,34,50,51,50,53,6,56,4,35,2
AT1G69830,28,34,50,53,59,0,78,0,45,0
AT5G23860,25,26,50,39,39,35,94,40,51,25
AT3G09820,33,25,50,47,42,6,83,7,39,3
AT2G21390,18,21,48,50,53,20,63,22,36,16
AT1G48120,23,44,47,47,50,0,62,0,52,0
AT1G78900,41,25,47,44,45,10,48,6,37,2
AT5G60390,32,22,46,43,42,21,106,23,42,25
AT1G07940,32,22,46,43,42,21,106,23,42,25
AT1G07930,32,22,46,43,42,21,106,23,42,25
AT1G07920,32,22,46,43,42,21,106,23,42,25
AT3G23990,30,30,45,40,48,5,62,8,43,4
AT5G26000,30,28,43,41,45,27,64,15,41,8
AT5G56500,24,26,42,48,47,4,80,4,38,2
AT1G09640,26,24,42,31,35,0,62,0,20,0
AT4G14960,28,20,42,42,38,23,69,26,31,14
AT2G42600,23,13,42,44,46,0,53,0,23,0
AT1G52570,41,39,41,41,49,2,59,0,45,0
AT2G33210,32,28,41,42,45,5,55,5,40,3
AT5G38430,36,26,41,48,45,17,70,13,29,16
AT1G04820,27,20,41,40,37,23,68,26,31,14
AT1G53310,23,13,41,45,50,0,55,0,26,0
AT5G26710,27,51,40,35,46,0,29,0,33,0
AT5G35200,36,45,40,38,42,0,40,0,48,0
AT1G30230,26,20,39,38,38,0,75,0,31,0
AT5G44340,20,17,38,31,30,25,89,40,41,31
AT3G63460,14,22,37,24,36,0,55,0,41,0
AT5G19780,23,18,37,32,36,21,45,22,26,14
AT5G19770,23,18,37,32,36,21,45,22,26,14
AT1G62020,13,17,37,37,50,14,52,21,33,15
