Protein,WT,WT.1,AT4G24970,AT4G24970
AT4G24970,0,6,114,95
AT1G79350,0,0,28,28
AT5G50780,0,0,31,26
AT5G04290,0,0,32,24
AT3G23780,0,0,30,23
AT2G17930,0,0,38,20
AT1G31340,0,10,22,20
AT4G36080,0,0,26,18
AT2G16485,0,0,21,18
AT5G47690,0,3,24,18
AT5G15020,0,0,23,17
AT5G18960,0,0,16,17
AT3G42170,0,0,23,16
AT1G08600,0,0,15,16
AT2G32700,0,0,14,16
AT4G14960,0,12,19,16
AT1G50010,0,12,19,16
AT5G44800,0,0,25,15
AT4G31160,0,0,19,15
AT1G44900,0,3,19,15
AT1G12380,0,0,18,14
AT4G02480,0,0,16,14
AT2G27170,0,2,23,14
AT4G37800,0,10,15,14
AT1G43850,0,0,23,13
AT3G12280,0,0,19,13
AT4G00450,0,0,18,13
AT5G14170,0,0,16,13
AT5G67100,0,0,15,13
AT1G55325,0,0,15,13
AT3G56860,0,0,13,13
AT3G22170,0,0,12,13
AT3G48050,0,2,14,13
AT4G32551,0,0,19,12
AT5G43990,0,0,18,12
AT5G07980,0,0,15,12
AT3G63500,0,0,12,12
AT3G22380,0,0,9,12
AT3G48670,0,0,19,11
AT1G09060,0,0,18,11
AT5G44180,0,0,15,11
AT2G17410,0,0,14,11
AT1G59890,0,0,14,11
AT4G15020,0,0,13,11
AT5G46210,0,0,12,11
AT5G67320,0,0,11,11
AT5G22060,0,2,13,11
AT5G67530,0,2,11,11
AT3G53750,0,7,9,11
AT3G22520,0,0,13,10
AT3G03940,0,0,13,10
AT3G06250,0,0,12,10
AT1G30330,0,0,12,10
AT3G14180,0,0,11,10
AT3G13670,0,0,11,10
AT4G38600,0,0,10,10
AT3G22220,0,0,10,10
AT4G25520,0,0,9,10
AT1G28420,0,0,9,10
AT3G48060,0,2,9,10
AT3G17390,0,3,13,10
AT3G46520,0,7,10,10
AT5G46280,0,0,19,9
AT4G36290,0,0,15,9
AT5G60410,0,0,13,9
AT5G35840,0,0,11,9
AT1G62870,0,0,11,9
AT3G07780,0,0,9,9
AT1G06230,0,0,7,9
AT1G76320,0,0,6,9
AT4G15900,0,2,12,9
AT2G06210,0,2,12,9
AT5G62300,0,6,5,9
AT3G45030,0,6,5,9
AT2G02090,0,0,12,8
AT4G34430,0,0,11,8
AT4G02020,0,0,11,8
AT2G40930,0,0,11,8
AT1G67630,0,0,11,8
AT5G18190,0,0,10,8
AT5G37020,0,0,8,8
AT4G21670,0,0,8,8
AT4G02570,0,0,8,8
AT3G07220,0,0,8,8
AT4G24270,0,0,7,8
AT5G64960,0,0,6,8
AT1G15910,0,0,6,8
AT4G16420,0,0,5,8
AT4G38130,0,4,9,8
AT3G05060,0,7,13,8
AT1G67120,0,0,19,7
AT1G79000,0,0,17,7
AT1G19100,0,0,14,7
AT4G20400,0,0,13,7
AT5G07940,0,0,12,7
AT2G38770,0,0,12,7
AT3G49250,0,0,11,7
AT1G21700,0,0,11,7
AT1G08060,0,0,11,7
AT2G42200,0,0,10,7
AT3G48430,0,0,9,7
AT1G07670,0,0,9,7
AT5G25150,0,0,8,7
AT4G21750,0,0,8,7
AT3G21060,0,0,8,7
AT1G66580,0,0,6,7
AT5G55040,0,0,4,7
AT2G18750,0,0,3,7
AT1G05910,0,0,3,7
AT2G39800,0,2,10,7
AT4G29730,0,2,9,7
AT5G27640,0,3,9,7
AT3G24830,0,4,7,7
AT3G47370,0,4,5,7
AT1G52040,0,6,7,7
AT5G62090,0,0,15,6
AT2G23740,0,0,14,6
AT1G17210,0,0,14,6
AT2G27110,0,0,11,6
AT5G65540,0,0,10,6
AT3G01460,0,0,10,6
AT2G48160,0,0,10,6
AT2G13370,0,0,10,6
AT1G05950,0,0,10,6
AT3G06670,0,0,9,6
AT3G03380,0,0,9,6
AT2G39810,0,0,9,6
AT4G06634,0,0,8,6
AT3G54610,0,0,8,6
AT3G49600,0,0,8,6
AT3G43240,0,0,8,6
AT2G25760,0,0,8,6
AT2G22300,0,0,8,6
AT5G35210,0,0,7,6
AT5G17510,0,0,7,6
AT5G15540,0,0,7,6
AT3G07050,0,0,7,6
AT1G73100,0,0,7,6
AT1G14740,0,0,7,6
AT5G42970,0,0,6,6
AT5G13480,0,0,6,6
AT3G61150,0,0,6,6
AT5G66730,0,0,5,6
AT5G11060,0,0,5,6
AT3G52100,0,0,5,6
AT3G51120,0,0,5,6
AT3G19820,0,0,5,6
AT5G27740,0,0,4,6
AT4G15802,0,0,4,6
AT3G57080,0,0,4,6
AT1G21690,0,0,4,6
AT1G10450,0,0,4,6
AT5G65360,0,0,3,6
AT5G65350,0,0,3,6
AT5G10400,0,0,3,6
AT5G10390,0,0,3,6
AT3G27360,0,0,3,6
AT1G13370,0,0,3,6
AT1G09200,0,0,3,6
AT1G79730,0,2,13,6
AT1G20920,0,2,12,6
AT2G34480,0,2,9,6
AT5G10270,0,2,7,6
AT4G21660,0,2,3,6
AT1G56110,0,3,8,6
AT5G25780,0,3,7,6
AT4G18100,0,4,4,6
AT3G54280,0,0,14,5
AT3G45830,0,0,12,5
AT5G48160,0,0,11,5
AT3G18790,0,0,11,5
AT3G52250,0,0,10,5
AT3G06010,0,0,10,5
AT2G02560,0,0,10,5
AT5G62190,0,0,9,5
AT5G13590,0,0,9,5
AT5G07970,0,0,9,5
AT3G02310,0,0,9,5
AT2G05250,0,0,9,5
AT2G05230,0,0,9,5
AT1G51710,0,0,9,5
AT4G04890,0,0,8,5
AT3G42660,0,0,8,5
AT3G12680,0,0,8,5
AT3G09670,0,0,8,5
AT2G36480,0,0,8,5
AT2G33150,0,0,8,5
AT2G31970,0,0,8,5
AT1G70320,0,0,8,5
AT1G60170,0,0,8,5
AT5G51660,0,0,7,5
AT4G22285,0,0,7,5
AT2G20330,0,0,7,5
AT2G16390,0,0,7,5
AT5G57580,0,0,6,5
AT5G24280,0,0,6,5
AT4G03090,0,0,6,5
AT3G60850,0,0,6,5
AT5G65010,0,0,5,5
AT5G41880,0,0,5,5
AT5G25220,0,0,5,5
AT4G38890,0,0,5,5
AT4G00730,0,0,5,5
AT3G56190,0,0,5,5
AT3G12380,0,0,5,5
AT2G02070,0,0,5,5
AT1G36370,0,0,5,5
AT1G14580,0,0,5,5
AT5G46430,0,0,4,5
AT5G27650,0,0,4,5
AT5G15210,0,0,4,5
AT3G18380,0,0,4,5
AT3G12130,0,0,4,5
AT5G10980,0,0,3,5
AT4G40040,0,0,3,5
AT4G40030,0,0,3,5
AT3G24340,0,0,3,5
AT2G21470,0,0,2,5
AT4G38680,0,0,0,5
AT4G21100,0,2,7,5
AT2G44120,0,2,7,5
AT1G24260,0,2,6,5
AT2G01250,0,2,5,5
AT3G26420,0,2,4,5
AT1G76010,0,2,4,5
AT4G10760,0,3,8,5
AT1G48410,0,3,5,5
AT1G01090,0,4,7,5
AT1G19480,0,4,2,5
ATCG00380,0,5,6,5
AT5G61150,0,5,6,5
AT5G62270,0,6,10,5
AT4G21280,0,6,7,5
AT4G05420,0,7,9,5
AT1G69740,0,8,4,5
AT4G18130,0,0,14,4
AT1G08260,0,0,12,4
AT3G22590,0,0,11,4
AT4G27980,0,0,10,4
AT5G15800,0,0,9,4
AT4G14920,0,0,9,4
AT2G47620,0,0,9,4
AT2G04865,0,0,9,4
AT1G77470,0,0,9,4
