Protein,WT,AT4G24970
AT5G52040,21,28
AT4G24970,0,19
ATCG00490,28,18
AT3G49430,14,18
AT1G02840,14,17
AT5G04280,12,14
AT3G50670,16,13
AT5G25980,16,10
AT2G21660,9,10
AT3G19760,10,9
AT1G20960,9,9
AT3G16420,8,9
AT1G80070,8,9
AT5G49360,6,9
AT1G13930,6,9
AT4G39680,9,8
AT4G29270,5,8
AT5G02500,4,8
AT3G15950,3,8
AT4G31580,9,7
AT2G24590,8,7
AT4G13940,6,7
AT3G09440,4,7
AT1G48920,3,7
AT5G38430,9,6
AT5G38420,9,6
AT1G44910,9,6
AT5G38410,7,6
AT2G25970,7,6
AT2G03150,7,6
AT5G60390,6,6
AT3G23810,6,6
AT1G07940,6,6
AT1G07930,6,6
AT1G07920,6,6
AT5G59970,5,6
AT5G59690,5,6
AT4G39260,5,6
AT3G53730,5,6
AT3G46320,5,6
AT3G45930,5,6
AT2G44710,5,6
AT2G28740,5,6
AT1G07820,5,6
AT1G07660,5,6
AT1G56410,4,6
AT5G37640,3,6
AT5G20620,3,6
AT5G03240,3,6
AT4G05320,3,6
AT4G05050,3,6
AT4G02890,3,6
AT3G62250,3,6
AT3G52590,3,6
AT2G47110,3,6
AT2G36170,3,6
AT2G35635,3,6
AT1G65350,3,6
AT1G55060,3,6
AT1G31340,3,6
AT1G23410,3,6
AT5G15270,6,5
AT3G49601,6,5
AT3G13920,6,5
AT1G72730,6,5
AT1G54270,6,5
AT5G47210,5,5
AT5G24780,5,5
AT5G24770,5,5
AT3G55460,5,5
AT1G16610,5,5
AT5G58470,4,5
AT3G44310,4,5
AT1G15340,3,5
AT3G13570,2,5
AT2G37340,0,5
AT2G13540,9,4
ATCG00480,5,4
AT3G26560,5,4
AT3G09260,5,4
AT3G61860,4,4
AT3G52580,4,4
AT3G11510,4,4
AT2G36160,4,4
AT2G34040,4,4
AT5G59950,3,4
AT2G37220,3,4
AT5G20720,2,4
AT5G15970,2,4
AT3G63400,2,4
AT2G27730,2,4
AT5G56010,0,4
AT5G56000,0,4
AT4G26840,0,4
AT1G71080,0,4
AT1G15750,0,4
AT2G27100,15,3
AT5G59370,6,3
AT3G53750,6,3
AT3G46520,6,3
AT3G01540,6,3
AT2G37620,6,3
AT1G15200,6,3
AT3G53420,5,3
AT5G02530,4,3
AT3G16460,4,3
AT2G39730,4,3
AT2G21330,4,3
AT1G20620,4,3
AT5G64200,3,3
AT5G22040,3,3
AT5G16780,3,3
AT2G16940,3,3
AT5G19780,2,3
AT5G19770,2,3
AT4G14960,2,3
AT1G56070,2,3
AT1G50010,2,3
AT1G04820,2,3
AT5G64040,0,3
AT5G62700,0,3
AT5G62690,0,3
AT5G37720,0,3
AT5G26000,0,3
AT5G18620,0,3
AT5G03300,0,3
AT3G06400,0,3
AT1G76180,0,3
AT1G33680,0,3
AT1G24706,0,3
AT1G18540,0,3
AT1G16030,0,3
AT1G04510,0,3
AT5G64270,5,2
AT5G17920,5,2
AT1G77180,5,2
AT5G60660,4,2
AT4G38970,3,2
AT4G21710,3,2
AT3G60750,3,2
AT3G52930,2,2
AT2G38540,2,2
AT1G72150,2,2
AT5G58040,0,2
AT5G28740,0,2
AT4G32720,0,2
AT3G14310,0,2
AT3G04610,0,2
AT3G03340,0,2
AT2G25170,0,2
AT1G75780,0,2
AT1G66260,0,2
AT1G55310,0,2
AT1G20010,0,2
AT1G17220,0,2
AT3G12800,10,0
AT1G67090,8,0
AT5G14740,7,0
AT4G28520,7,0
AT2G34420,7,0
AT1G29930,7,0
AT1G29920,7,0
AT1G29910,7,0
AT5G11200,6,0
AT5G11170,6,0
AT5G09810,5,0
AT4G35090,5,0
AT3G18780,5,0
AT3G17520,5,0
AT3G01500,5,0
AT1G49240,5,0
AT1G13440,5,0
AT5G09880,4,0
AT5G02490,4,0
AT4G37930,4,0
AT4G31700,4,0
AT4G20360,4,0
AT4G08350,4,0
AT3G16410,4,0
AT3G16400,4,0
AT3G15010,4,0
AT3G12580,4,0
AT2G46610,4,0
AT1G75560,4,0
AT1G65930,4,0
ATCG00120,3,0
AT5G20290,3,0
AT4G28750,3,0
AT4G21020,3,0
AT4G10340,3,0
AT3G62330,3,0
AT3G20550,3,0
AT2G45640,3,0
AT2G22170,3,0
AT2G05990,3,0
AT1G75750,3,0
AT1G42970,3,0
AT1G23860,3,0
AT1G07360,3,0
ATCG00280,2,0
AT5G64960,2,0
AT5G64100,2,0
AT5G55190,2,0
AT5G44120,2,0
AT5G40490,2,0
AT5G38600,2,0
AT5G22880,2,0
AT5G20020,2,0
AT5G20010,2,0
AT5G19350,2,0
AT5G11710,2,0
AT5G10270,2,0
AT4G35800,2,0
AT4G35785,2,0
AT4G35630,2,0
AT4G30190,2,0
AT3G26400,2,0
AT3G20820,2,0
AT3G19650,2,0
AT3G18640,2,0
AT3G14420,2,0
AT3G14415,2,0
AT3G12780,2,0
AT3G05900,2,0
AT2G33730,2,0
AT2G28000,2,0
AT2G18960,2,0
AT2G06990,2,0
AT1G75660,2,0
AT1G70180,2,0
AT1G52400,2,0
AT1G22530,2,0
