Protein,WT,AT3G49850,AT5G41580,AT5G67580,AT1G49950
AT5G41580,0,0,46,0,0
AT2G35635,0,15,17,16,21
AT1G31340,0,15,17,16,21
AT1G14610,0,4,12,7,4
AT1G67680,0,7,11,8,6
AT1G74030,0,5,10,5,7
AT1G01960,0,5,9,3,6
AT1G50200,0,0,8,3,8
AT2G04690,0,0,8,3,5
AT3G51000,0,4,8,7,4
AT1G75270,0,7,8,5,3
AT2G39080,0,7,7,3,10
AT5G54750,0,5,7,2,5
AT5G10300,0,2,7,4,0
AT3G44340,0,9,6,7,8
AT1G69410,0,7,6,7,7
AT2G40490,0,2,6,0,7
AT4G35460,0,5,6,8,5
AT5G13930,0,0,6,4,5
AT3G02720,0,4,6,0,5
AT2G47980,0,4,6,8,4
AT2G47790,0,2,6,4,3
AT5G04420,0,0,6,3,2
AT4G23100,0,0,6,3,2
AT5G65950,0,0,6,5,0
AT5G16280,0,2,6,4,0
AT1G77510,0,2,5,4,8
AT2G30860,0,5,5,6,7
AT1G48050,0,5,5,10,5
AT2G31390,0,0,5,5,5
AT3G14420,0,3,5,4,5
AT2G46140,0,3,5,4,5
AT5G45930,0,5,5,2,5
AT4G11010,0,5,5,8,4
AT5G56950,0,0,5,6,4
AT3G06350,0,2,5,3,4
AT4G14930,0,0,5,4,3
AT5G59890,0,0,5,3,3
AT2G47010,0,3,5,4,2
AT4G32640,0,4,5,3,2
AT1G45150,0,0,5,4,0
AT3G14930,0,2,5,3,0
AT1G59830,0,0,4,2,6
AT5G49980,0,0,4,5,5
AT1G12270,0,3,4,3,5
AT1G72550,0,2,4,5,4
AT2G21270,0,4,4,4,4
AT5G09660,0,0,4,4,4
AT5G20920,0,2,4,3,4
AT5G11670,0,2,4,3,4
AT3G48500,0,0,4,3,4
AT2G43710,0,0,4,2,4
AT1G04170,0,0,4,2,4
AT2G13540,0,0,4,0,4
AT3G14310,0,0,4,6,3
AT5G59160,0,0,4,5,3
AT2G32060,0,3,4,3,3
AT4G28730,0,0,4,3,3
AT5G47870,0,4,4,0,3
AT3G48420,0,2,4,0,3
AT2G46520,0,2,4,0,3
AT4G23460,0,0,4,0,3
AT4G11380,0,0,4,0,3
AT1G18490,0,0,4,0,3
AT1G03110,0,0,4,0,3
AT4G14030,0,0,4,4,2
AT1G64980,0,5,4,3,2
AT2G28680,0,4,4,3,2
AT2G16940,0,0,4,3,2
ATCG00750,0,2,4,2,2
AT5G17510,0,2,4,2,2
AT2G37080,0,0,4,2,2
AT1G66850,0,0,4,2,2
AT5G36790,0,3,4,0,2
AT5G36700,0,3,4,0,2
AT1G74260,0,3,4,0,2
AT2G45240,0,0,4,0,2
AT3G57890,0,2,4,5,0
ATCG00470,0,0,4,3,0
AT5G35430,0,0,4,3,0
AT4G01070,0,0,4,3,0
AT2G43360,0,0,4,3,0
AT1G01100,0,0,4,3,0
AT5G15020,0,3,4,2,0
AT2G35450,0,0,4,2,0
AT1G54250,0,0,4,2,0
AT4G17100,0,2,4,0,0
AT3G53580,0,2,4,0,0
AT5G49830,0,0,4,0,0
AT3G15180,0,0,4,0,0
AT2G25280,0,0,4,0,0
AT2G14260,0,0,4,0,0
AT1G47550,0,0,4,0,0
AT1G08520,0,0,4,0,0
AT5G07350,0,2,3,3,11
AT1G30580,0,5,3,3,6
AT1G12000,0,4,3,3,5
AT3G04610,0,3,3,3,5
AT1G13270,0,3,3,2,5
AT1G31160,0,0,3,0,5
AT1G54080,0,4,3,5,4
AT3G13330,0,3,3,5,4
AT4G32330,0,2,3,4,4
AT3G07720,0,2,3,4,4
AT4G39860,0,4,3,3,4
AT2G18040,0,4,3,3,4
AT3G03710,0,2,3,3,4
AT2G33740,0,2,3,3,4
AT2G04570,0,2,3,3,4
AT3G24170,0,5,3,2,4
