Protein,WT,WT,AT4G24970,AT4G24970
AT4G24970,0,0,15,36
AT5G65780,17,0,13,21
AT5G65770,17,0,13,21
AT4G38970,9,0,11,10
AT2G40030,5,0,10,23
AT1G14410,11,0,10,10
AT3G29360,7,0,9,14
ATCG00120,9,0,9,12
AT1G68560,4,0,9,10
AT4G13930,10,0,8,15
AT1G80490,12,0,8,15
AT3G27690,9,0,8,12
AT2G05100,9,0,8,12
AT3G26060,7,0,8,9
AT3G52880,6,0,8,8
AT5G65730,11,0,7,15
AT3G02230,5,0,7,12
AT5G15650,4,0,7,10
AT4G15900,9,0,7,10
AT1G49670,9,0,7,10
AT5G23940,3,0,7,8
AT3G02090,6,0,7,8
AT5G46430,7,0,7,8
AT1G48120,13,0,6,17
AT3G02530,10,0,6,15
AT5G14740,9,0,6,14
AT1G09620,9,0,6,14
AT4G33400,5,0,6,11
AT4G38600,8,0,6,11
AT3G60830,9,0,6,11
AT5G39320,4,0,6,10
AT5G23900,7,0,6,9
AT5G13680,2,0,6,8
AT1G26570,5,0,6,8
AT2G21330,6,0,6,8
AT5G67320,7,0,6,8
AT3G44300,8,0,6,8
AT1G26630,4,0,6,7
AT1G59359,5,0,6,7
AT1G58983,5,0,6,7
AT1G58684,5,0,6,7
AT1G58380,5,0,6,7
AT2G27020,6,0,6,7
AT1G31330,7,0,6,7
AT2G16600,3,0,6,6
AT2G45000,3,0,6,5
ATCG00270,4,0,6,5
AT2G34730,17,0,5,19
AT2G17930,6,0,5,16
AT1G14650,7,0,5,16
AT3G20050,13,0,5,16
AT2G41620,5,0,5,13
AT2G40660,7,0,5,13
AT1G74850,10,0,5,13
AT3G63460,10,0,5,12
AT3G54760,6,0,5,11
AT1G75940,11,0,5,11
AT5G13490,4,0,5,10
AT1G51570,4,0,5,10
AT1G04410,4,0,5,10
AT2G30490,3,0,5,9
AT5G27030,6,0,5,9
AT3G54090,7,0,5,9
AT5G15020,4,0,5,8
AT4G34870,4,0,5,8
AT5G25757,7,0,5,8
AT5G25754,7,0,5,8
AT1G72150,4,0,5,7
AT5G54160,5,0,5,7
AT5G35590,6,0,5,7
AT1G68790,6,0,5,7
AT5G07030,5,0,5,5
AT3G59770,3,0,5,4
AT1G68060,4,0,5,4
AT5G18960,0,0,5,7
AT3G55410,5,0,4,14
AT5G47010,7,0,4,14
AT2G47240,5,0,4,12
AT1G64790,6,0,4,12
AT3G52990,7,0,4,12
AT3G26618,5,0,4,11
AT5G09860,8,0,4,11
AT1G70710,4,0,4,10
AT1G23310,4,0,4,10
AT4G01850,6,0,4,10
AT1G12920,6,0,4,10
AT1G12380,9,0,4,10
AT2G28790,3,0,4,9
AT1G48090,5,0,4,9
AT1G29880,5,0,4,9
AT3G22310,6,0,4,9
AT5G64740,0,0,4,8
AT5G43940,3,0,4,8
AT1G64520,3,0,4,8
AT3G43300,5,0,4,8
AT4G38740,6,0,4,8
AT3G22170,6,0,4,8
AT2G18790,0,0,4,8
AT1G69840,2,0,4,7
AT1G32730,8,0,4,7
AT1G59900,9,0,4,7
AT4G24780,2,0,4,6
AT2G01970,2,0,4,6
AT1G14670,2,0,4,6
AT5G11770,3,0,4,6
AT3G23300,3,0,4,6
AT3G13200,3,0,4,6
AT3G44600,4,0,4,6
AT1G54490,4,0,4,6
AT5G47770,5,0,4,6
AT4G17190,5,0,4,6
AT2G21580,5,0,4,6
AT1G76400,5,0,4,6
AT5G11520,6,0,4,6
AT5G08570,2,0,4,5
AT2G34680,2,0,4,5
AT4G16760,3,0,4,5
AT1G32380,3,0,4,5
AT3G16640,4,0,4,5
AT1G24360,4,0,4,5
AT5G27740,5,0,4,5
AT1G49760,5,0,4,5
AT3G01280,2,0,4,4
AT3G21190,3,0,4,4
AT1G60070,3,0,4,4
AT4G29270,4,0,4,4
AT3G46440,4,0,4,4
AT2G28760,4,0,4,4
AT1G69200,4,0,4,4
AT5G57800,0,0,4,7
AT1G73230,2,0,4,3
AT1G70830,2,0,4,3
AT1G17880,2,0,4,3
ATCG00770,3,0,4,3
AT5G66190,3,0,4,3
AT5G59290,3,0,4,3
AT4G08520,3,0,4,3
AT4G01050,3,0,4,3
AT3G54820,3,0,4,3
