Protein,WT,WT.1,AT1G43770,AT1G43770,AT4G11560,AT4G11560
AT1G43770,0,0,189,238,76,77
AT1G08060,0,0,137,156,134,132
AT4G11560,0,0,128,220,1747,1524
AT5G59370,21,0,25,19,0,19
AT1G32470,0,0,20,3,0,0
AT5G41580,0,0,14,18,13,15
AT1G21750,0,0,12,0,0,2
AT1G53240,0,0,11,0,0,2
AT1G13930,0,0,10,0,0,0
AT1G56340,0,0,9,0,3,3
AT3G14415,2,0,9,0,0,0
AT4G24190,0,0,9,0,0,0
AT3G15020,0,0,9,0,0,2
ATMG01190,0,0,8,0,3,0
AT2G07698,0,0,8,0,3,0
AT2G41110,7,0,8,6,0,0
AT1G57860,5,0,8,4,0,5
AT4G02480,0,0,8,5,0,0
AT1G49430,0,0,8,0,0,0
AT5G07030,0,0,7,0,0,2
AT3G08030,0,0,7,0,0,2
AT2G42600,0,0,7,0,0,2
AT2G20420,0,0,7,0,0,0
AT2G05070,2,0,6,0,3,0
AT2G45290,0,0,6,2,3,3
AT1G09210,0,0,6,0,3,3
AT1G69410,7,0,6,4,0,0
AT1G78680,2,0,6,2,0,0
AT1G15690,2,0,6,0,0,0
ATCG00350,0,0,6,0,0,0
AT5G11520,0,0,6,0,0,0
AT5G08280,0,0,6,0,0,0
AT3G27690,0,0,6,0,0,0
AT2G05100,0,0,6,0,0,0
AT1G62750,0,0,6,0,0,0
AT1G23190,0,0,6,0,0,0
AT5G64350,5,0,5,2,4,3
AT2G15430,0,0,5,2,3,3
AT5G39570,3,0,5,0,2,3
AT1G09310,3,0,5,2,2,2
AT5G02050,2,0,5,0,2,4
AT4G39330,0,0,5,0,2,3
AT1G10840,0,0,5,0,2,3
AT1G22410,5,0,5,3,0,0
AT5G54160,2,0,5,0,0,3
AT4G04950,2,0,5,0,0,0
AT2G37660,2,0,5,0,0,0
ATCG00540,0,0,5,0,0,0
AT5G19550,0,0,5,2,0,0
AT5G15090,0,0,5,0,0,0
AT4G21650,0,0,5,0,0,0
AT4G17530,0,0,5,2,0,0
AT4G11150,0,0,5,0,0,0
AT3G14040,0,0,5,0,0,0
AT3G07850,0,0,5,0,0,0
AT2G25080,0,0,5,0,0,0
AT2G18960,0,0,5,0,0,0
AT2G04690,0,0,5,0,0,0
AT1G74920,0,0,5,0,0,0
AT1G62480,0,0,5,0,0,0
AT1G20950,0,0,5,0,0,0
AT1G06260,0,0,5,0,0,0
AT3G03920,0,0,4,2,6,4
AT2G28240,0,0,4,8,6,4
AT2G20450,0,0,4,3,5,8
AT3G02200,0,0,4,0,4,4
AT4G30920,0,0,4,0,2,3
AT2G27020,0,0,4,0,2,0
AT2G10940,0,0,4,0,2,2
AT1G15930,0,0,4,0,2,2
AT1G11840,0,0,4,0,2,3
AT4G04910,2,0,4,0,0,0
AT2G06850,2,0,4,0,0,2
ATCG00680,0,0,4,0,0,0
ATCG00340,0,0,4,0,0,0
AT5G53480,0,0,4,0,0,0
AT5G52650,0,0,4,0,0,0
AT5G47200,0,0,4,2,0,0
AT5G34850,0,0,4,0,0,0
AT5G26830,0,0,4,0,0,0
AT5G19820,0,0,4,0,0,0
AT5G07440,0,0,4,0,0,0
AT4G35450,0,0,4,0,0,0
AT4G25740,0,0,4,0,0,0
AT4G15210,0,0,4,0,0,0
AT4G15020,0,0,4,0,0,0
AT4G12800,0,0,4,0,0,0
AT3G56460,0,0,4,0,0,0
AT3G52880,0,0,4,0,0,0
AT3G47470,0,0,4,0,0,0
AT3G25230,0,0,4,0,0,0
AT3G08580,0,0,4,0,0,0
AT2G47470,0,0,4,0,0,0
AT1G70830,0,0,4,2,0,3
AT1G70730,0,0,4,0,0,0
AT1G64190,0,0,4,0,0,0
AT1G53850,0,0,4,0,0,0
AT1G48030,0,0,4,0,0,0
AT1G33590,0,0,4,0,0,0
AT1G28290,0,0,4,0,0,2
AT1G20450,0,0,4,0,0,0
AT1G20440,0,0,4,0,0,0
AT1G20340,0,0,4,0,0,0
AT1G03230,0,0,4,0,0,0
AT5G11240,0,0,3,0,5,5
AT1G08830,5,0,3,3,4,6
AT5G20160,0,0,3,3,4,3
AT4G34555,0,0,3,0,4,3
AT4G22380,0,0,3,3,4,3
AT1G34760,0,0,3,0,4,4
AT5G47930,0,0,3,3,3,4
AT5G42080,0,0,3,0,3,2
AT2G38730,0,0,3,0,3,4
AT4G17520,2,0,3,2,2,2
AT2G45440,0,0,3,0,2,0
AT2G30200,0,0,3,0,2,0
AT1G35720,0,0,3,0,2,0
AT4G14160,4,0,3,3,0,0
AT5G58330,2,0,3,0,0,0
AT4G02730,2,0,3,0,0,0
AT3G19820,2,0,3,0,0,0
AT2G24490,2,0,3,0,0,0
AT1G20130,2,0,3,0,0,0
ATCG01230,0,0,3,2,0,0
ATCG01060,0,0,3,0,0,2
ATCG00905,0,0,3,2,0,0
ATCG00280,0,0,3,0,0,0
ATCG00270,0,0,3,0,0,0
ATCG00065,0,0,3,2,0,0
AT5G61020,0,0,3,0,0,0
AT5G59290,0,0,3,0,0,0
AT5G58030,0,0,3,0,0,0
AT5G57655,0,0,3,0,0,0
AT5G55280,0,0,3,0,0,0
AT5G41670,0,0,3,0,0,0
AT5G40760,0,0,3,0,0,2
AT5G36790,0,0,3,0,0,0
AT5G36700,0,0,3,0,0,0
AT5G21326,0,0,3,0,0,0
AT5G17870,0,0,3,2,0,0
AT5G15230,0,0,3,0,0,0
AT5G01930,0,0,3,0,0,0
AT4G28750,0,0,3,0,0,0
AT4G27520,0,0,3,0,0,0
AT4G24770,0,0,3,0,0,0
AT4G21150,0,0,3,0,0,0
AT4G11600,0,0,3,2,0,0
AT4G10840,0,0,3,0,0,0
AT4G09650,0,0,3,0,0,0
AT4G09320,0,0,3,0,0,0
AT4G02080,0,0,3,0,0,0
AT3G63190,0,0,3,0,0,0
AT3G62560,0,0,3,0,0,0
AT3G62030,0,0,3,0,0,0
AT3G56940,0,0,3,0,0,0
AT3G48890,0,0,3,0,0,0
AT3G47340,0,0,3,0,0,0
AT3G46440,0,0,3,0,0,0
AT3G29320,0,0,3,0,0,0
AT3G23400,0,0,3,0,0,0
AT3G22460,0,0,3,2,0,0
AT3G22200,0,0,3,0,0,0
AT3G18490,0,0,3,0,0,0
AT3G17810,0,0,3,0,0,0
AT3G16410,0,0,3,0,0,0
AT3G16400,0,0,3,2,0,0
AT3G12290,0,0,3,0,0,0
AT3G10920,0,0,3,0,0,0
AT3G07480,0,0,3,0,0,0
AT3G07300,0,0,3,0,0,0
AT3G04290,0,0,3,0,0,0
AT3G02360,0,0,3,0,0,0
AT3G01280,0,0,3,0,0,0
AT2G41220,0,0,3,0,0,2
AT2G40300,0,0,3,0,0,0
AT2G39330,0,0,3,0,0,0
AT2G32060,0,0,3,0,0,0
AT2G20890,0,0,3,0,0,0
AT2G17870,0,0,3,0,0,0
AT1G79440,0,0,3,0,0,0
AT1G79280,0,0,3,0,0,0
AT1G79230,0,0,3,0,0,0
AT1G75280,0,0,3,0,0,0
AT1G66200,0,0,3,0,0,0
AT1G63680,0,0,3,0,0,3
AT1G56330,0,0,3,0,0,0
AT1G49600,0,0,3,0,0,0
AT1G43670,0,0,3,0,0,0
AT1G27450,0,0,3,0,0,0
AT1G24360,0,0,3,0,0,0
AT1G23740,0,0,3,0,0,2
AT1G15340,0,0,3,0,0,0
AT1G12080,0,0,3,0,0,0
AT1G03630,0,0,3,0,0,3
AT5G43640,0,0,2,0,8,8
AT4G13710,0,0,2,2,5,2
AT1G08910,0,0,2,3,5,5
AT4G10710,0,0,2,0,3,3
AT3G57150,0,0,2,0,3,0
AT2G21580,0,0,2,0,3,6
AT3G18060,5,0,2,3,2,0
AT4G16390,0,0,2,0,2,3
AT3G60880,0,0,2,0,2,0
AT3G25800,0,0,2,2,2,2
AT2G18510,0,0,2,2,2,0
AT1G35420,0,0,2,0,2,0
AT1G32990,0,0,2,0,2,0
AT4G17720,2,0,2,2,0,0
AT3G01540,2,0,2,0,0,0
AT1G79470,2,0,2,0,0,0
AT1G48860,2,0,2,0,0,0
AT1G47980,2,0,2,0,0,0
AT1G01050,2,0,2,0,0,0
ATCG00820,0,0,2,0,0,0
ATCG00720,0,0,2,0,0,0
ATCG00650,0,0,2,0,0,0
ATCG00180,0,0,2,0,0,2
ATCG00020,0,0,2,0,0,0
AT5G65760,0,0,2,0,0,0
AT5G65620,0,0,2,0,0,0
AT5G64040,0,0,2,2,0,0
AT5G60640,0,0,2,0,0,0
AT5G60160,0,0,2,0,0,0
AT5G59300,0,0,2,0,0,0
AT5G58230,0,0,2,0,0,0
AT5G54440,0,0,2,3,0,0
AT5G52240,0,0,2,0,0,0
AT5G46180,0,0,2,0,0,0
AT5G42790,0,0,2,0,0,0
AT5G41520,0,0,2,0,0,0
AT5G37600,0,0,2,0,0,0
AT5G36230,0,0,2,0,0,0
AT5G35590,0,0,2,0,0,0
AT5G26667,0,0,2,0,0,0
AT5G25460,0,0,2,0,0,0
AT5G19940,0,0,2,0,0,0
AT5G17770,0,0,2,0,0,0
AT5G13980,0,0,2,0,0,0
AT5G03520,0,0,2,0,0,0
AT5G02850,0,0,2,0,0,0
AT4G35420,0,0,2,0,0,0
AT4G34620,0,0,2,0,0,0
AT4G34490,0,0,2,0,0,0
AT4G33090,0,0,2,0,0,0
AT4G31300,0,0,2,0,0,0
AT4G29060,0,0,2,0,0,0
AT4G28080,0,0,2,0,0,0
AT4G26510,0,0,2,0,0,0
AT4G25080,0,0,2,0,0,0
AT4G24830,0,0,2,0,0,0
AT4G24550,0,0,2,0,0,0
AT4G23670,0,0,2,0,0,0
AT4G23100,0,0,2,0,0,0
AT4G22670,0,0,2,0,0,0
AT4G15790,0,0,2,0,0,0
AT4G14800,0,0,2,0,0,0
AT4G13780,0,0,2,0,0,0
AT4G11240,0,0,2,0,0,0
AT4G08520,0,0,2,0,0,0
AT4G04460,0,0,2,0,0,0
AT4G03280,0,0,2,0,0,0
AT3G63410,0,0,2,0,0,0
AT3G60245,0,0,2,0,0,0
AT3G58730,0,0,2,0,0,0
AT3G58660,0,0,2,2,0,0
AT3G56190,0,0,2,0,0,0
AT3G53580,0,0,2,0,0,0
AT3G52750,0,0,2,0,0,0
AT3G49470,0,0,2,0,0,0
AT3G46460,0,0,2,0,0,0
AT3G28220,0,0,2,0,0,0
AT3G21090,0,0,2,0,0,0
AT3G15610,0,0,2,0,0,0
AT3G13860,0,0,2,0,0,0
AT3G13670,0,0,2,2,0,0
AT3G10950,0,0,2,0,0,0
AT3G07590,0,0,2,0,0,0
AT3G07390,0,0,2,0,0,0
AT3G05560,0,0,2,0,0,0
AT3G03940,0,0,2,2,0,0
AT2G45470,0,0,2,0,0,0
AT2G45300,0,0,2,0,0,0
AT2G36250,0,0,2,0,0,0
AT2G27680,0,0,2,0,0,0
AT2G27210,0,0,2,0,0,0
AT2G25280,0,0,2,0,0,0
AT2G25060,0,0,2,0,0,0
AT2G22780,0,0,2,0,0,0
AT2G21870,0,0,2,0,0,0
AT2G21170,0,0,2,0,0,0
AT2G20260,0,0,2,0,0,0
AT2G19570,0,0,2,0,0,0
AT2G19540,0,0,2,0,0,0
AT2G17280,0,0,2,0,0,0
AT2G02470,0,0,2,0,0,0
AT1G79850,0,0,2,0,0,3
AT1G79210,0,0,2,0,0,0
AT1G78820,0,0,2,0,0,0
AT1G78380,0,0,2,0,0,0
AT1G76180,0,0,2,0,0,2
AT1G75660,0,0,2,0,0,0
AT1G70710,0,0,2,0,0,0
AT1G66430,0,0,2,0,0,0
AT1G63770,0,0,2,0,0,0
AT1G61520,0,0,2,0,0,0
AT1G59830,0,0,2,0,0,0
AT1G56450,0,0,2,0,0,0
AT1G55860,0,0,2,2,0,2
AT1G55480,0,0,2,0,0,0
AT1G52760,0,0,2,0,0,0
AT1G52730,0,0,2,0,0,0
AT1G49480,0,0,2,0,0,0
AT1G48850,0,0,2,0,0,0
AT1G47710,0,0,2,0,0,0
AT1G47250,0,0,2,0,0,0
AT1G44575,0,0,2,0,0,0
AT1G32500,0,0,2,0,0,0
AT1G31330,0,0,2,0,0,2
AT1G26550,0,0,2,0,0,0
AT1G21440,0,0,2,0,0,0
AT1G16470,0,0,2,0,0,0
AT1G15820,0,0,2,0,0,0
AT1G15420,0,0,2,0,0,0
AT1G10760,0,0,2,0,0,0
AT1G10370,0,0,2,0,0,0
AT1G09750,0,0,2,0,0,0
AT1G09630,0,0,2,0,0,0
AT1G08420,0,0,2,0,0,0
AT1G07750,0,0,2,0,0,0
AT1G06290,0,0,2,0,0,0
AT1G04710,0,0,2,0,0,0
AT1G02560,0,0,2,0,0,0
AT5G16680,0,0,0,0,281,289
AT3G02890,0,0,0,0,172,207
AT5G61110,0,0,0,0,38,50
AT5G61100,0,0,0,0,23,19
AT5G01270,0,0,0,0,16,17
AT5G03740,0,0,0,0,15,10
AT2G01810,0,0,0,0,14,12
AT5G61120,0,0,0,0,10,7
AT5G02570,0,0,0,0,8,0
AT3G53650,0,0,0,0,8,0
AT3G17880,0,0,0,0,8,8
ATCG00160,0,0,0,4,6,8
AT3G54560,0,0,0,0,6,6
AT2G38810,0,0,0,0,6,6
AT1G52740,0,0,0,0,6,6
AT1G48610,0,0,0,0,6,7
AT5G54640,0,0,0,0,5,10
AT4G27230,0,0,0,0,5,10
AT3G20670,0,0,0,0,5,4
AT1G54690,0,0,0,0,5,6
AT1G51060,0,0,0,0,5,10
AT1G08880,0,0,0,0,5,6
AT5G67240,0,0,0,0,4,2
AT5G63140,0,0,0,0,4,6
AT5G27670,0,0,0,0,4,5
AT4G25890,0,0,0,0,4,7
AT1G71040,0,0,0,2,4,0
AT1G61093,0,0,0,0,4,0
AT1G48620,0,0,0,0,4,5
AT1G26480,0,0,0,0,4,0
AT1G09050,0,0,0,0,4,6
AT1G09040,0,0,0,0,4,5
AT1G04000,0,0,0,0,4,4
AT3G09500,2,0,0,0,3,4
AT5G45140,0,0,0,0,3,2
AT4G10750,0,0,0,0,3,0
AT4G02990,0,0,0,0,3,2
AT3G54900,0,0,0,0,3,2
AT3G27010,0,0,0,0,3,0
AT1G80750,0,0,0,0,3,4
AT1G67750,0,0,0,0,3,0
AT1G13320,0,0,0,0,3,4
AT5G04800,3,0,0,2,2,2
AT3G10610,3,0,0,2,2,2
AT2G05220,3,0,0,2,2,2
AT2G04390,3,0,0,2,2,2
AT2G07715,2,0,0,0,2,2
AT5G56710,0,0,0,0,2,0
AT5G48810,0,0,0,0,2,0
AT5G11580,0,0,0,0,2,0
AT5G11470,0,0,0,0,2,4
AT5G04130,0,0,0,0,2,0
AT4G37210,0,0,0,0,2,0
AT4G26230,0,0,0,0,2,0
AT4G17560,0,0,0,0,2,3
AT4G05410,0,0,0,0,2,0
AT4G03120,0,0,0,0,2,0
AT3G60820,0,0,0,0,2,0
AT3G55350,0,0,0,0,2,4
AT3G10270,0,0,0,0,2,0
AT3G07030,0,0,0,0,2,2
AT3G02080,0,0,0,0,2,3
AT2G40360,0,0,0,0,2,0
AT2G39700,0,0,0,0,2,3
AT2G30260,0,0,0,0,2,2
AT2G19740,0,0,0,0,2,0
AT2G18220,0,0,0,0,2,0
AT1G77470,0,0,0,0,2,0
AT1G18850,0,0,0,0,2,0
AT1G17580,0,0,0,0,2,0
AT5G37640,4,0,0,0,0,0
AT5G20620,4,0,0,0,0,0
AT5G03240,4,0,0,0,0,0
AT4G05320,4,0,0,0,0,0
AT4G05050,4,0,0,0,0,0
AT4G02890,4,0,0,0,0,0
AT3G52590,4,0,0,0,0,0
AT2G36170,4,0,0,0,0,0
AT2G35635,4,0,0,0,0,0
AT1G65350,4,0,0,0,0,0
AT1G55060,4,0,0,0,0,0
AT5G07530,3,0,0,2,0,0
AT4G30220,3,0,0,0,0,2
AT4G26870,3,0,0,2,0,0
AT3G11400,3,0,0,0,0,2
AT2G37990,3,0,0,0,0,0
AT1G19880,3,0,0,0,0,0
AT5G67030,2,0,0,0,0,0
AT5G65260,2,0,0,0,0,0
AT5G60360,2,0,0,0,0,0
AT5G60340,2,0,0,2,0,0
AT5G24400,2,0,0,2,0,0
AT5G16450,2,0,0,0,0,0
AT5G08610,2,0,0,0,0,0
AT4G21460,2,0,0,0,0,0
AT4G01480,2,0,0,0,0,0
AT3G29075,2,0,0,0,0,0
AT3G18240,2,0,0,0,0,0
AT3G06480,2,0,0,0,0,0
AT2G34040,2,0,0,0,0,0
AT2G31980,2,0,0,0,0,0
AT2G30000,2,0,0,0,0,0
AT2G24020,2,0,0,0,0,0
AT1G21065,2,0,0,0,0,0
AT1G16610,2,0,0,0,0,0
AT1G14000,2,0,0,0,0,0
AT1G10200,2,0,0,0,0,0
AT1G07170,2,0,0,0,0,0
AT5G66420,0,0,0,3,0,0
AT5G52840,0,0,0,3,0,0
AT5G45990,0,0,0,2,0,2
AT5G40200,0,0,0,0,0,2
AT5G23535,0,0,0,0,0,2
AT5G18190,0,0,0,2,0,0
AT5G16130,0,0,0,3,0,0
AT5G06910,0,0,0,0,0,2
AT5G03290,0,0,0,0,0,3
AT5G02560,0,0,0,0,0,3
AT4G35800,0,0,0,0,0,3
AT4G34740,0,0,0,2,0,0
AT4G26630,0,0,0,0,0,3
AT4G26390,0,0,0,2,0,0
AT4G14455,0,0,0,0,0,3
AT4G03430,0,0,0,0,0,3
AT4G01897,0,0,0,2,0,0
AT3G62820,0,0,0,0,0,2
AT3G61860,0,0,0,22,0,0
AT3G56130,0,0,0,0,0,2
AT3G54340,0,0,0,0,0,2
AT3G52500,0,0,0,0,0,3
AT3G49601,0,0,0,2,0,0
AT3G23450,0,0,0,2,0,0
AT3G23390,0,0,0,0,0,2
AT3G12050,0,0,0,3,0,0
AT3G11940,0,0,0,0,0,3
AT3G10220,0,0,0,0,0,2
AT3G05070,0,0,0,0,0,2
AT3G02560,0,0,0,0,0,2
AT3G01980,0,0,0,0,0,2
AT2G38270,0,0,0,0,0,2
AT2G37270,0,0,0,0,0,3
AT2G37020,0,0,0,0,0,2
AT2G34640,0,0,0,2,0,0
AT2G29570,0,0,0,0,0,2
AT2G29540,0,0,0,0,0,2
AT2G16950,0,0,0,0,0,2
AT2G16570,0,0,0,2,0,0
AT2G14170,0,0,0,3,0,0
AT2G02010,0,0,0,0,0,2
AT2G01520,0,0,0,2,0,0
AT1G69120,0,0,0,2,0,0
AT1G62380,0,0,0,0,0,2
AT1G61870,0,0,0,0,0,2
AT1G54100,0,0,0,0,0,2
AT1G51560,0,0,0,2,0,0
AT1G32490,0,0,0,0,0,2
AT1G31812,0,0,0,2,0,0
AT1G31730,0,0,0,0,0,2
AT1G17220,0,0,0,2,0,0
AT1G16740,0,0,0,0,0,2
AT1G09140,0,0,0,0,0,2
AT1G05720,0,0,0,0,0,3
AT1G05190,0,0,0,0,0,3
AT1G01080,0,0,0,0,0,2
AT3G14420,0,2,11,0,0,3
AT1G09340,2,2,9,4,2,4
AT5G55220,2,2,9,2,0,0
AT2G24200,0,2,8,0,5,5
AT3G03250,0,2,8,2,2,0
AT3G50820,0,2,8,2,0,0
AT1G79550,0,2,8,0,0,0
AT1G53310,0,2,8,0,0,2
AT2G47730,2,2,7,6,6,4
AT5G62300,0,2,7,2,5,4
AT3G45030,0,2,7,2,5,4
AT2G34420,4,2,7,0,4,2
AT1G29930,4,2,7,0,4,2
AT1G29920,4,2,7,0,4,2
AT1G29910,4,2,7,0,4,2
AT2G24940,3,2,7,5,2,0
AT2G29320,3,2,7,5,0,0
AT4G27090,4,2,6,6,7,12
AT5G27640,0,2,6,2,6,5
AT3G47370,0,2,6,0,4,3
AT2G16600,0,2,6,4,2,0
AT1G03475,0,2,6,0,2,0
AT1G08200,5,2,6,4,0,3
AT2G45640,0,2,6,0,0,2
AT2G38540,0,2,6,2,0,2
AT1G17745,0,2,6,2,0,0
AT2G39990,0,2,5,0,3,0
AT3G54470,2,2,5,4,2,4
AT5G48480,4,2,5,2,0,0
AT3G60240,2,2,5,2,0,0
AT5G55730,0,2,5,0,0,3
AT5G20950,0,2,5,0,0,0
AT4G04640,0,2,5,0,0,0
AT3G52140,0,2,5,2,0,0
AT3G17940,0,2,5,0,0,0
AT3G07100,0,2,5,0,0,2
AT2G37040,0,2,5,0,0,3
AT2G04842,0,2,5,0,0,0
AT4G30930,0,2,4,0,4,4
AT3G49680,3,2,4,3,3,4
AT5G09660,0,2,4,2,3,3
AT4G23680,0,2,4,2,2,2
AT1G12780,2,2,4,2,0,2
AT5G28840,0,2,4,0,0,2
AT4G36250,0,2,4,0,0,0
AT4G02290,0,2,4,2,0,0
AT3G63140,0,2,4,2,0,0
AT3G60830,0,2,4,4,0,2
AT3G19170,0,2,4,2,0,0
AT3G16830,0,2,4,3,0,0
AT2G41740,0,2,4,0,0,3
AT3G21110,0,2,3,0,6,6
AT4G35100,2,2,3,2,4,4
AT3G61110,2,2,3,3,4,4
AT2G45710,2,2,3,3,4,4
AT5G42100,0,2,3,0,4,0
AT5G27120,2,2,3,3,3,0
AT3G16650,2,2,3,4,3,2
AT1G68560,2,2,3,2,3,3
