Protein,WT,AT1G49950,AT5G67580,AT3G49850
AT3G49850,0,0,0,74
AT5G66000,0,0,45,61
AT4G32620,0,139,40,59
AT1G22950,0,38,31,54
AT2G17410,0,100,43,49
AT3G03140,0,60,29,35
AT5G10710,0,61,20,32
AT5G11530,0,0,26,31
AT3G18210,0,2,10,30
AT1G76510,0,45,23,28
AT3G10490,0,59,16,22
AT4G35510,0,2,18,20
AT3G54350,0,2,8,19
AT5G04670,0,61,11,16
AT2G40930,0,34,8,16
AT3G10480,0,30,6,16
AT1G20910,0,27,4,13
AT5G21274,0,9,11,12
AT3G43810,0,9,11,12
AT4G02020,0,0,8,12
AT3G20740,0,0,12,11
AT4G37440,0,0,5,11
AT2G34900,0,0,4,11
AT3G17460,0,15,7,10
AT5G07530,0,11,5,10
AT5G01410,0,9,5,10
AT3G10740,0,2,4,10
AT1G80490,0,6,3,10
AT1G15750,0,5,3,10
AT2G17540,0,3,19,9
AT5G64610,0,44,8,9
AT5G39570,0,8,6,9
AT5G17690,0,0,5,9
AT1G49760,0,7,9,8
AT2G23380,0,0,8,8
AT3G46000,0,3,6,8
AT5G40270,0,2,5,8
AT3G48500,0,6,4,8
AT2G41790,0,2,3,8
AT3G49660,0,3,0,8
AT1G05860,0,0,0,8
AT1G59830,0,4,8,7
AT3G07100,0,4,7,7
AT4G00490,0,6,5,7
AT1G52730,0,3,5,7
AT3G54090,0,5,4,7
AT3G14210,0,5,4,7
AT1G79230,0,0,3,7
AT5G09740,0,31,2,7
AT5G34850,0,6,4,6
AT1G06290,0,4,4,6
AT4G26530,0,6,3,6
AT3G27740,0,4,3,6
AT5G63890,0,3,3,6
AT3G07720,0,3,3,6
AT1G62380,0,3,3,6
AT3G16170,0,2,3,6
AT1G65450,0,0,3,6
AT5G44020,0,0,2,6
AT4G36020,0,0,2,6
AT4G29060,0,3,0,6
AT5G67580,0,0,84,5
AT5G49980,0,4,7,5
AT2G26060,0,3,6,5
AT5G61640,0,3,4,5
AT1G10580,0,3,4,5
AT1G09770,0,3,4,5
AT1G80810,0,19,3,5
AT4G20130,0,7,3,5
AT2G34970,0,3,3,5
AT5G42740,0,0,3,5
AT4G39330,0,4,2,5
AT1G35310,0,4,2,5
AT4G36740,0,2,2,5
AT2G41220,0,2,2,5
AT5G64040,0,0,2,5
AT4G03190,0,0,2,5
AT1G78380,0,0,2,5
AT1G32470,0,6,0,5
AT3G48420,0,4,0,5
AT5G58590,0,0,0,5
AT5G03630,0,0,0,5
AT4G09670,0,0,0,5
AT3G55290,0,0,0,5
AT3G09970,0,0,0,5
AT2G40490,0,0,0,5
AT1G73230,0,0,0,5
AT1G58220,0,0,0,5
AT1G13870,0,0,0,5
ATCG00180,0,8,7,4
AT1G21600,0,7,5,4
AT2G34640,0,8,4,4
AT5G28840,0,5,4,4
AT4G39200,0,3,4,4
AT5G14600,0,2,4,4
AT3G56190,0,2,4,4
AT5G51230,0,0,4,4
AT2G39795,0,0,4,4
AT3G58140,0,5,3,4
AT2G36390,0,3,3,4
AT1G79340,0,3,3,4
AT1G20340,0,3,3,4
AT4G37000,0,2,3,4
AT5G62530,0,0,3,4
AT5G17560,0,0,3,4
AT1G64980,0,0,3,4
AT1G45145,0,6,2,4
AT4G33250,0,4,2,4
AT4G09320,0,4,2,4
AT3G54760,0,4,2,4
AT4G03280,0,3,2,4
AT3G18000,0,3,2,4
AT3G23660,0,2,2,4
AT1G47200,0,2,2,4
AT5G55220,0,0,2,4
AT3G59430,0,0,2,4
AT2G26590,0,0,2,4
AT1G10370,0,0,2,4
AT4G34740,0,3,0,4
AT3G61140,0,3,0,4
AT5G53480,0,2,0,4
AT3G26420,0,2,0,4
AT3G04600,0,2,0,4
AT5G56900,0,0,0,4
AT5G16400,0,0,0,4
AT5G15870,0,0,0,4
AT5G14170,0,0,0,4
AT5G07740,0,0,0,4
AT4G34050,0,0,0,4
AT4G24550,0,0,0,4
AT4G21580,0,0,0,4
AT4G15210,0,0,0,4
AT4G03020,0,0,0,4
AT3G61540,0,0,0,4
AT3G54440,0,0,0,4
AT3G06350,0,0,0,4
AT3G01980,0,0,0,4
AT1G63180,0,0,0,4
AT5G42540,0,3,6,3
AT3G42790,0,4,4,3
ATMG00080,0,3,3,3
AT5G61020,0,3,3,3
AT4G31580,0,3,3,3
AT4G09510,0,3,3,3
AT1G67280,0,3,3,3
AT1G49670,0,2,3,3
AT4G39040,0,0,3,3
AT4G16060,0,0,3,3
AT3G57890,0,0,3,3
AT3G14120,0,0,3,3
AT3G02360,0,0,3,3
AT1G79050,0,0,3,3
AT1G68540,0,0,3,3
AT1G10230,0,0,3,3
AT3G52090,0,5,2,3
AT4G24190,0,4,2,3
AT5G16450,0,3,2,3
AT2G38540,0,3,2,3
AT1G29260,0,3,2,3
AT5G64670,0,2,2,3
AT5G37850,0,2,2,3
AT1G69120,0,2,2,3
AT5G64570,0,0,2,3
AT5G54430,0,0,2,3
AT5G35980,0,0,2,3
AT4G13780,0,0,2,3
AT3G24503,0,0,2,3
