Protein,WT,AT1G49950,AT5G67580,AT3G49850
AT4G32620,0,149,28,38
AT2G17410,0,98,26,42
AT2G40930,0,70,13,28
AT3G03140,0,67,14,25
AT1G49950,0,56,3,0
AT5G04670,0,53,2,5
AT1G76510,0,42,11,14
AT5G10710,0,36,6,5
AT5G64610,0,30,0,0
AT5G09740,0,27,0,0
AT1G20910,0,25,0,2
AT4G11260,0,19,0,0
AT3G10490,0,19,12,3
AT3G57150,0,17,18,9
AT2G35635,0,17,13,0
AT1G62740,0,17,0,0
AT3G10480,0,12,7,0
AT3G17460,0,11,8,6
AT1G45145,0,10,3,0
AT4G27740,0,9,0,0
AT2G16940,0,9,0,0
AT1G22950,0,9,22,19
AT5G46430,0,8,4,7
AT3G13570,0,8,0,2
AT3G05060,0,8,4,6
AT5G20950,0,7,6,0
AT3G05560,0,7,4,4
AT1G80810,0,7,0,2
AT1G48410,0,7,4,3
AT1G05190,0,7,5,0
AT5G27770,0,6,4,3
AT4G36690,0,6,0,5
AT4G11175,0,6,5,0
AT3G27690,0,6,4,0
AT2G40590,0,6,4,0
AT2G38750,0,6,10,5
AT2G24590,0,6,0,0
AT2G05100,0,6,4,0
AT1G72610,0,6,4,3
AT1G56110,0,6,6,4
AT1G52400,0,6,6,0
AT4G29410,0,5,0,0
AT4G23670,0,5,2,0
AT3G61260,0,5,5,5
AT3G20370,0,5,5,0
AT2G24060,0,5,7,0
AT1G75350,0,5,3,0
AT1G43670,0,5,2,0
AT1G19730,0,5,0,0
AT1G07320,0,5,3,3
AT5G47190,0,4,2,2
AT5G42820,0,4,0,0
AT5G22880,0,4,4,3
AT4G30690,0,4,0,0
AT4G28750,0,4,3,0
AT4G22010,0,4,3,0
AT3G42170,0,4,0,0
AT3G03920,0,4,5,4
AT2G44730,0,4,4,0
AT2G38760,0,4,7,0
AT1G17220,0,4,4,0
AT1G09560,0,4,0,0
AT1G06190,0,4,4,6
ATCG01120,0,3,0,0
ATCG00810,0,3,0,2
ATCG00330,0,3,0,4
AT5G65260,0,3,0,0
AT5G63810,0,3,3,0
AT5G62390,0,3,2,0
AT5G61790,0,3,2,0
AT5G55660,0,3,2,0
AT5G47910,0,3,4,3
