Protein,WT,WT,AT4G24970,AT4G24970
AT4G24970,0,0,561,514
AT5G50780,0,0,108,95
AT1G50010,0,62,65,55
AT1G70490,0,27,28,30
AT3G62290,0,26,26,29
AT1G19100,0,0,31,27
AT4G32551,0,0,20,22
AT5G13300,0,4,15,18
AT2G32700,0,0,13,11
AT3G57290,0,5,5,10
AT1G43850,0,0,4,9
AT4G25740,0,4,7,9
AT1G22060,0,5,4,9
AT1G11660,0,0,4,8
AT5G52650,0,4,6,8
AT2G42570,0,5,4,8
AT1G31440,0,0,13,6
AT1G17580,0,0,5,6
AT1G65580,0,0,4,6
AT5G16300,0,2,5,6
AT1G60070,0,2,5,6
AT2G38580,0,2,4,6
AT2G05830,0,2,0,6
AT1G44835,0,3,4,6
AT4G15020,0,3,2,6
AT2G44060,0,4,4,6
AT3G43300,0,4,2,6
AT3G55170,0,0,4,5
AT1G55860,0,0,4,5
AT5G15020,0,0,3,5
AT5G13680,0,0,3,5
AT4G34430,0,0,3,5
AT3G22170,0,0,3,5
AT1G68020,0,0,3,5
AT1G30470,0,0,3,5
AT5G51110,0,0,2,5
AT3G29410,0,0,2,5
AT1G73430,0,0,2,5
AT2G30470,0,0,0,5
AT3G45190,0,2,7,5
AT1G70320,0,2,6,5
AT3G13570,0,2,5,5
AT4G14040,0,2,3,5
AT3G12050,0,2,2,5
AT4G33250,0,3,6,5
AT2G27170,0,3,2,5
AT3G29160,0,4,9,5
AT1G71950,0,4,3,5
AT3G11400,0,5,5,5
AT1G48860,0,5,4,5
AT5G37510,0,10,2,5
AT2G40030,0,0,6,4
AT5G49980,0,0,5,4
AT3G20740,0,0,5,4
AT1G15130,0,0,5,4
AT5G05620,0,0,4,4
AT4G26450,0,0,4,4
AT3G61650,0,0,4,4
AT3G54860,0,0,4,4
AT3G48670,0,0,4,4
AT4G16390,0,0,3,4
AT2G03550,0,0,3,4
AT4G10570,0,0,2,4
AT3G02730,0,0,2,4
AT1G67120,0,0,2,4
AT1G12270,0,0,2,4
AT5G35430,0,0,0,4
AT4G38220,0,0,0,4
AT3G48750,0,0,0,4
AT1G63640,0,0,0,4
AT1G55325,0,0,0,4
AT3G18040,0,2,5,4
AT3G04820,0,2,5,4
AT5G37020,0,2,4,4
AT1G76510,0,2,4,4
AT1G14610,0,2,4,4
AT1G63160,0,2,3,4
AT1G32050,0,2,3,4
AT5G13630,0,2,0,4
AT4G37210,0,2,0,4
AT1G58050,0,2,0,4
AT1G15470,0,3,3,4
AT1G76850,0,3,2,4
AT5G45390,0,3,0,4
AT1G58060,0,3,0,4
AT4G33510,0,4,3,4
AT1G72150,0,4,2,4
AT4G13780,0,4,0,4
AT3G42050,0,4,0,4
AT3G04290,0,4,0,4
AT4G16190,0,5,3,4
AT5G16960,0,5,0,4
AT3G01780,0,6,5,4
AT1G80600,0,6,4,4
AT3G06350,0,6,2,4
AT2G26250,0,7,3,4
AT5G58030,0,0,7,3
AT5G08560,0,0,7,3
AT5G18090,0,0,5,3
AT5G13950,0,0,5,3
AT5G18410,0,0,4,3
AT4G32330,0,0,4,3
AT4G21470,0,0,4,3
AT2G31810,0,0,4,3
AT1G09010,0,0,4,3
AT5G65950,0,0,3,3
AT5G64610,0,0,3,3
AT5G54430,0,0,3,3
AT4G32930,0,0,3,3
AT4G02020,0,0,3,3
AT3G11500,0,0,3,3
AT2G39930,0,0,3,3
AT2G31740,0,0,3,3
AT2G17930,0,0,3,3
AT2G15400,0,0,3,3
AT1G50500,0,0,3,3
AT1G18610,0,0,3,3
AT5G64960,0,0,2,3
AT5G45170,0,0,2,3
AT5G25270,0,0,2,3
AT4G24550,0,0,2,3
AT4G14890,0,0,2,3
AT4G10590,0,0,2,3
AT4G04890,0,0,2,3
AT2G20930,0,0,2,3
AT2G19770,0,0,2,3
AT2G05120,0,0,2,3
AT1G33410,0,0,2,3
AT1G25490,0,0,2,3
AT5G56290,0,0,0,3
AT5G53480,0,0,0,3
AT5G47880,0,0,0,3
AT5G44090,0,0,0,3
AT5G13310,0,0,0,3
AT4G36080,0,0,0,3
AT4G28300,0,0,0,3
AT4G27320,0,0,0,3
AT4G18820,0,0,0,3
AT4G17830,0,0,0,3
AT4G16340,0,0,0,3
AT4G00040,0,0,0,3
AT2G44050,0,0,0,3
AT2G42700,0,0,0,3
AT2G25910,0,0,0,3
AT1G67280,0,0,0,3
AT1G20110,0,0,0,3
AT1G15200,0,0,0,3
AT1G10230,0,0,0,3
AT1G09750,0,0,0,3
AT1G04860,0,0,0,3
AT3G19120,0,2,6,3
AT1G80030,0,2,5,3
AT5G11040,0,2,4,3
AT3G22220,0,2,4,3
AT3G06410,0,2,4,3
AT5G11340,0,2,3,3
AT2G29570,0,2,3,3
AT1G23900,0,2,3,3
AT1G07370,0,2,3,3
AT5G14600,0,2,2,3
AT3G56070,0,2,2,3
AT2G29310,0,2,2,3
AT4G33760,0,2,0,3
AT4G23885,0,2,0,3
AT3G01910,0,2,0,3
AT1G55670,0,2,0,3
AT3G12700,0,3,6,3
AT5G52360,0,3,3,3
AT4G29670,0,3,3,3
AT4G25590,0,3,3,3
AT3G12670,0,3,0,3
AT2G27730,0,3,0,3
AT2G17280,0,3,0,3
AT1G66680,0,4,3,3
AT5G23140,0,4,2,3
AT5G60360,0,4,0,3
AT4G04020,0,4,0,3
AT4G02450,0,4,0,3
AT1G47260,0,4,0,3
AT4G32520,0,5,2,3
AT4G09650,0,5,0,3
AT3G17970,0,6,0,3
AT2G25760,0,0,6,2
AT4G17770,0,0,4,2
AT4G15410,0,0,4,2
AT1G03310,0,0,4,2
AT5G45950,0,0,3,2
AT5G36230,0,0,3,2
AT5G04290,0,0,3,2
AT4G28730,0,0,3,2
AT3G17900,0,0,3,2
AT2G43610,0,0,3,2
AT2G43530,0,0,3,2
AT2G32765,0,0,3,2
AT2G02080,0,0,3,2
AT1G48090,0,0,3,2
AT1G22920,0,0,3,2
AT1G05540,0,0,3,2
AT5G67290,0,0,2,2
AT5G63260,0,0,2,2
AT5G49020,0,0,2,2
AT5G17990,0,0,2,2
AT5G16390,0,0,2,2
AT5G14580,0,0,2,2
AT5G10300,0,0,2,2
AT5G10270,0,0,2,2
AT4G17330,0,0,2,2
AT4G12640,0,0,2,2
AT3G16230,0,0,2,2
AT3G02830,0,0,2,2
