Protein,WT,WT,WT,AT4G24970,WT,AT4G24970,AT4G24970,AT4G24970
AT5G66120,0,0,0,0,68,75,58,50
AT5G35200,0,7,0,2,36,43,31,44
AT5G50780,0,10,0,13,0,34,18,25
AT2G35635,0,0,0,23,44,34,11,15
AT2G19070,0,0,0,0,34,30,10,16
AT2G39990,0,0,0,5,13,25,8,4
AT1G30580,0,2,0,9,33,25,15,15
AT1G62750,0,3,0,5,33,25,12,10
AT3G58610,0,0,0,6,46,25,16,16
AT5G06600,0,5,0,8,25,24,12,10
AT3G09790,0,3,0,4,31,23,4,6
AT3G25530,0,2,0,4,22,21,14,17
AT3G51240,0,5,0,5,28,20,6,11
AT3G52990,0,5,0,10,30,20,18,13
AT4G32551,0,7,0,6,2,19,2,2
AT4G14880,0,0,0,5,26,19,10,12
AT3G19170,0,0,0,4,26,19,20,11
AT2G43750,0,0,0,3,26,19,7,8
AT2G28470,0,0,0,6,28,19,10,5
AT2G36580,0,5,0,9,29,19,15,12
AT4G21280,0,0,0,9,31,19,13,17
AT2G33150,0,4,0,15,33,19,16,17
AT2G21170,0,5,0,8,33,19,11,11
AT5G03290,0,4,0,10,18,18,10,10
AT5G65730,0,4,0,6,21,18,9,13
AT1G23740,0,3,0,4,22,18,12,8
AT2G31390,0,2,0,12,30,18,11,8
AT3G02530,0,4,0,7,30,18,13,14
AT5G60160,0,3,0,9,32,18,18,12
AT2G41220,0,6,0,11,41,18,9,5
AT3G25050,0,2,0,7,50,18,6,9
AT3G04790,0,0,0,0,21,17,3,6
AT3G11710,0,2,0,4,30,17,16,6
AT1G14810,0,3,0,3,17,16,10,7
AT3G52500,0,0,0,3,17,16,9,14
AT2G16430,0,0,0,0,18,16,14,12
AT3G27740,0,3,0,6,19,16,9,14
AT4G23920,0,2,0,5,20,16,8,9
AT2G23390,0,2,0,5,20,16,6,10
AT1G74260,0,0,0,0,36,16,17,15
AT4G02480,0,9,0,17,6,15,12,9
AT1G62740,0,9,0,13,10,15,8,7
AT1G12270,0,12,0,11,14,15,11,7
AT3G25860,0,3,0,3,14,15,15,11
AT1G74920,0,3,0,4,19,15,7,2
AT4G05180,0,0,0,6,20,15,7,14
AT5G06850,0,0,0,0,20,15,18,15
AT5G16070,0,2,0,4,23,15,11,14
AT2G35390,0,2,0,4,7,14,6,0
AT5G50950,0,0,0,2,14,14,5,4
AT1G79530,0,3,0,4,16,14,6,2
AT2G30860,0,0,0,0,16,14,7,9
AT3G62030,0,4,0,2,17,14,3,4
AT4G27000,0,2,0,4,18,14,5,6
AT5G11880,0,3,0,5,20,14,13,8
AT5G24420,0,0,0,3,21,14,6,7
AT4G13430,0,3,0,6,23,14,7,8
AT4G00570,0,0,0,0,26,14,13,9
AT1G23820,0,0,0,4,11,13,8,8
AT5G50850,0,0,0,2,11,13,7,12
AT3G59480,0,0,0,12,12,13,3,5
AT1G13280,0,0,0,3,13,13,6,7
AT3G13490,0,0,0,0,13,13,6,4
AT5G06290,0,5,0,5,17,13,6,6
AT5G08380,0,6,0,6,19,13,11,6
AT5G19440,0,0,0,0,19,13,7,7
AT4G14030,0,0,0,0,19,13,5,2
AT2G32730,0,7,0,10,20,13,8,7
AT3G14790,0,6,0,7,25,13,9,8
AT1G20950,0,3,0,5,30,13,15,12
AT5G19485,0,0,0,15,3,12,12,2
AT1G31970,0,5,0,8,3,12,10,5
AT3G12390,0,3,0,6,10,12,9,4
