Protein,WT,AT2G33620,AT3G04590
AT3G04590,0,101,161
AT4G17950,0,67,65
AT5G51590,0,75,49
AT4G25320,0,75,40
AT1G63470,0,49,38
AT1G09780,0,0,38
AT1G63480,0,48,32
AT2G33620,0,199,30
ATCG00170,0,56,30
AT1G16030,0,17,28
AT1G48620,0,45,27
AT3G61310,0,33,24
AT5G38410,0,0,22
AT2G45850,0,43,20
AT1G63680,0,27,20
ATCG00180,0,34,19
AT4G22770,0,28,19
ATCG00190,0,44,18
AT4G00200,0,31,17
AT3G04260,0,33,15
AT1G74850,0,24,13
AT1G48050,0,23,13
AT5G46640,0,21,13
AT2G34640,0,24,12
AT1G67430,0,15,12
AT4G20050,0,4,12
AT4G12080,0,21,11
AT4G14716,0,9,11
AT1G56190,0,7,11
AT3G48500,0,26,10
AT1G69200,0,25,10
AT1G61730,0,16,10
AT3G01340,0,7,10
AT4G25210,0,21,9
AT1G16970,0,17,9
AT5G21274,0,0,9
AT4G20130,0,15,8
AT3G54090,0,12,8
AT4G29010,0,11,7
AT1G52740,0,10,7
AT2G45810,0,8,7
AT4G05420,0,7,7
AT1G53240,0,7,7
AT1G30120,0,5,7
AT3G14420,0,4,7
AT1G06290,0,3,7
AT4G28470,0,0,7
AT3G19980,0,0,7
AT3G18990,0,17,6
AT1G21600,0,16,6
AT5G51100,0,14,6
AT5G62260,0,11,6
AT1G65260,0,11,6
AT5G54180,0,10,6
AT5G23310,0,10,6
AT3G57150,0,6,6
AT4G39680,0,5,6
AT2G45640,0,5,6
AT5G64670,0,4,6
AT3G10740,0,4,6
AT3G10530,0,4,6
AT2G41740,0,3,6
AT1G05520,0,3,6
AT3G57290,0,2,6
AT2G39080,0,2,6
AT3G15980,0,0,6
AT3G04230,0,0,6
AT3G02780,0,0,6
AT1G35310,0,0,6
AT1G14900,0,16,5
AT1G69940,0,13,5
AT1G64520,0,12,5
AT3G48730,0,10,5
AT3G55560,0,9,5
AT2G47470,0,9,5
AT3G47520,0,5,5
AT3G17940,0,5,5
AT5G47770,0,4,5
AT5G19440,0,4,5
AT2G21580,0,4,5
AT1G79440,0,4,5
AT1G70830,0,4,5
AT4G10750,0,3,5
AT3G57410,0,3,5
AT1G31160,0,3,5
AT1G30580,0,3,5
AT4G35460,0,0,5
AT4G34555,0,0,5
AT3G22890,0,0,5
AT2G19570,0,0,5
AT1G26480,0,0,5
AT1G02690,0,0,5
AT5G62790,0,9,4
AT5G11520,0,8,4
AT5G07030,0,8,4
AT5G27670,0,7,4
AT4G29510,0,7,4
AT2G37690,0,7,4
AT1G06720,0,6,4
AT4G37510,0,5,4
AT2G20450,0,5,4
AT4G37930,0,4,4
AT4G36690,0,4,4
AT4G24620,0,4,4
AT3G62310,0,4,4
AT3G57890,0,4,4
AT3G21540,0,4,4
AT2G46140,0,4,4
AT1G66200,0,4,4
AT4G36020,0,3,4
AT4G24800,0,3,4
AT4G17830,0,3,4
AT4G14160,0,3,4
AT4G11820,0,3,4
AT4G08900,0,3,4
AT3G42170,0,3,4
AT3G04790,0,3,4
AT2G24020,0,3,4
AT1G32050,0,3,4
AT5G43830,0,2,4
AT5G11240,0,2,4
AT4G23100,0,2,4
AT2G36130,0,2,4
AT1G31812,0,2,4
AT5G64760,0,0,4
AT5G63980,0,0,4
AT5G28050,0,0,4
AT4G21580,0,0,4
AT3G51840,0,0,4
AT2G30060,0,0,4
AT1G49480,0,0,4
AT3G50000,0,13,3
AT5G67380,0,11,3
AT1G04270,0,9,3
AT5G16750,0,8,3
AT5G13510,0,8,3
AT2G16600,0,8,3
AT5G58230,0,6,3
AT4G38460,0,6,3
AT4G31490,0,6,3
AT4G31480,0,6,3
AT3G18165,0,6,3
AT3G07050,0,6,3
AT1G54690,0,6,3
AT1G08880,0,6,3
AT5G57870,0,5,3
AT5G20160,0,5,3
AT5G10980,0,5,3
AT4G40040,0,5,3
AT4G40030,0,5,3
AT4G24190,0,5,3
AT4G22380,0,5,3
AT3G51190,0,5,3
AT1G75270,0,5,3
AT1G67750,0,5,3
AT1G64980,0,5,3
AT1G12780,0,5,3
AT1G07750,0,5,3
AT1G07140,0,5,3
AT5G65720,0,4,3
AT5G21150,0,4,3
AT5G07440,0,4,3
AT5G02050,0,4,3
AT4G29060,0,4,3
AT4G14880,0,4,3
AT3G07720,0,4,3
AT2G40490,0,4,3
AT2G35530,0,4,3
AT1G66850,0,4,3
AT1G27970,0,4,3
AT5G66590,0,3,3
AT5G58330,0,3,3
AT4G34740,0,3,3
AT4G28730,0,3,3
AT4G15802,0,3,3
AT2G20420,0,3,3
AT2G06510,0,3,3
AT2G04842,0,3,3
AT1G61150,0,3,3
AT1G51560,0,3,3
AT1G50200,0,3,3
AT1G29260,0,3,3
AT1G10840,0,3,3
AT5G56290,0,2,3
AT5G47320,0,2,3
AT5G24165,0,2,3
AT5G23940,0,2,3
AT5G05010,0,2,3
AT4G31580,0,2,3
AT4G23680,0,2,3
AT4G10260,0,2,3
AT2G43710,0,2,3
AT2G41790,0,2,3
AT2G26060,0,2,3
AT1G74030,0,2,3
AT1G48030,0,2,3
AT1G31070,0,2,3
AT5G65360,0,0,3
AT5G65350,0,0,3
AT5G60340,0,0,3
AT5G27120,0,0,3
AT5G10400,0,0,3
AT5G10390,0,0,3
AT4G39860,0,0,3
AT4G39090,0,0,3
AT4G22670,0,0,3
AT4G14080,0,0,3
AT4G01480,0,0,3
AT3G52090,0,0,3
AT3G27360,0,0,3
AT3G17240,0,0,3
AT3G15680,0,0,3
AT3G14210,0,0,3
AT2G35020,0,0,3
AT2G31570,0,0,3
AT2G25080,0,0,3
AT2G23080,0,0,3
AT2G20890,0,0,3
AT1G78680,0,0,3
AT1G62750,0,0,3
AT1G62640,0,0,3
AT1G54340,0,0,3
AT1G26110,0,0,3
AT1G13370,0,0,3
AT1G12570,0,0,3
AT1G09200,0,0,3
AT1G01050,0,0,3
AT4G23800,0,9,2
AT5G45140,0,8,2
AT5G20630,0,7,2
AT5G12140,0,7,2
AT3G52880,0,7,2
AT3G12480,0,7,2
AT2G27630,0,7,2
AT5G59870,0,6,2
AT5G24314,0,6,2
AT3G09210,0,6,2
AT2G35390,0,6,2
AT4G22240,0,5,2
AT4G18905,0,5,2
AT4G17560,0,5,2
AT4G02770,0,5,2
AT3G63140,0,5,2
AT3G60830,0,5,2
AT3G13570,0,5,2
AT3G12410,0,5,2
AT3G06850,0,5,2
AT2G32650,0,5,2
AT2G32180,0,5,2
AT1G03130,0,5,2
AT5G66860,0,4,2
AT5G56350,0,4,2
AT5G55920,0,4,2
AT5G13650,0,4,2
AT5G05780,0,4,2
AT4G35450,0,4,2
AT4G08350,0,4,2
AT3G61820,0,4,2
AT3G44850,0,4,2
AT3G27740,0,4,2
AT3G23390,0,4,2
AT2G37340,0,4,2
AT2G20060,0,4,2
AT1G27310,0,4,2
AT1G15440,0,4,2
AT5G63650,0,3,2
AT5G53850,0,3,2
AT5G51110,0,3,2
AT5G49980,0,3,2
AT5G49530,0,3,2
AT5G14910,0,3,2
AT5G08590,0,3,2
AT4G13340,0,3,2
AT4G11600,0,3,2
AT3G21750,0,3,2
AT3G16410,0,3,2
AT3G16400,0,3,2
AT1G62940,0,3,2
AT1G17220,0,3,2
AT1G12920,0,3,2
AT5G66420,0,2,2
AT5G51720,0,2,2
AT5G42970,0,2,2
AT5G16510,0,2,2
AT5G08450,0,2,2
AT5G04740,0,2,2
AT4G16060,0,2,2
AT3G58140,0,2,2
AT3G52990,0,2,2
AT3G47810,0,2,2
AT3G08030,0,2,2
AT3G05420,0,2,2
AT2G47710,0,2,2
AT2G36580,0,2,2
AT1G65450,0,2,2
AT1G48420,0,2,2
ATCG00540,0,0,2
AT5G63810,0,0,2
AT5G56870,0,0,2
AT5G47880,0,0,2
AT5G40490,0,0,2
AT5G40200,0,0,2
AT5G40080,0,0,2
AT5G39800,0,0,2
AT5G26830,0,0,2
AT5G14670,0,0,2
AT5G11420,0,0,2
AT5G10810,0,0,2
AT5G10160,0,0,2
AT5G06060,0,0,2
AT5G03290,0,0,2
AT4G28980,0,0,2
AT4G26900,0,0,2
AT4G26140,0,0,2
AT4G22930,0,0,2
AT4G00430,0,0,2
AT3G62290,0,0,2
AT3G53500,0,0,2
AT3G52840,0,0,2
AT3G24170,0,0,2
AT3G14940,0,0,2
AT3G14930,0,0,2
AT3G11770,0,0,2
AT3G11400,0,0,2
AT3G09970,0,0,2
AT3G07100,0,0,2
AT3G02760,0,0,2
AT3G02730,0,0,2
AT3G01390,0,0,2
AT2G47170,0,0,2
AT2G46580,0,0,2
AT2G40840,0,0,2
AT2G39990,0,0,2
AT2G39795,0,0,2
AT2G30870,0,0,2
AT2G18170,0,0,2
AT2G17390,0,0,2
AT2G06050,0,0,2
