Protein,WT,AT1G69770
AT5G65780,0,80
AT4G24970,0,74
AT1G56410,0,44
AT5G59370,0,40
AT5G20000,0,34
AT4G29040,0,31
AT1G09100,0,22
AT5G50780,0,19
AT5G05620,0,19
AT5G18750,0,17
AT5G04800,0,17
AT2G04390,0,17
AT1G07790,0,17
AT2G28720,0,15
AT3G52100,0,14
AT1G74270,0,14
AT5G13960,0,13
AT5G27700,0,12
AT1G74040,0,11
AT5G49160,0,10
AT5G40650,0,10
AT5G24280,0,10
AT3G51190,0,10
AT3G09480,0,10
AT2G31890,0,10
AT1G63020,0,10
AT1G15660,0,10
AT1G01370,0,10
AT3G54630,0,9
AT1G61000,0,9
AT1G19100,0,9
AT5G28370,0,8
AT4G00238,0,8
AT2G29140,0,8
AT1G64200,0,8
AT1G08730,0,8
AT5G57120,0,7
AT4G26270,0,7
AT3G55170,0,7
AT1G71830,0,7
AT1G48860,0,7
AT1G47500,0,7
AT5G51940,0,6
AT4G14890,0,6
AT3G61520,0,6
AT3G48210,0,6
AT3G47460,0,6
AT3G12170,0,6
AT3G05380,0,6
AT3G04960,0,6
AT2G47400,0,6
AT2G34210,0,6
AT1G34550,0,6
AT5G63630,0,5
AT5G55820,0,5
AT5G38890,0,5
AT5G11260,0,5
AT5G10200,0,5
AT5G03415,0,5
AT4G36290,0,5
AT4G17510,0,5
AT4G10590,0,5
AT3G55480,0,5
AT3G47650,0,5
AT3G20070,0,5
AT3G20010,0,5
AT3G18680,0,5
AT3G08020,0,5
AT3G06340,0,5
AT2G47410,0,5
AT2G47230,0,5
AT2G37560,0,5
AT2G36720,0,5
AT2G32840,0,5
AT2G01750,0,5
AT1G64050,0,5
AT1G56050,0,5
AT1G55810,0,5
AT1G20090,0,5
AT1G18800,0,5
AT1G18560,0,5
AT1G17210,0,5
AT1G16860,0,5
ATCG00580,0,4
AT5G63640,0,4
AT5G60140,0,4
AT5G55390,0,4
AT5G51230,0,4
AT5G41580,0,4
AT5G39550,0,4
AT5G38690,0,4
AT5G35520,0,4
AT5G28050,0,4
AT5G20740,0,4
AT5G18170,0,4
AT5G18090,0,4
AT5G14460,0,4
AT5G08020,0,4
AT5G02560,0,4
AT4G34730,0,4
AT4G33945,0,4
AT4G29910,0,4
AT4G27070,0,4
AT4G19350,0,4
AT4G16360,0,4
AT4G13340,0,4
AT4G02820,0,4
AT4G00200,0,4
AT3G61580,0,4
AT3G60330,0,4
AT3G58740,0,4
AT3G57870,0,4
