Protein,WT,WT,AT1G69770,AT1G69770
AT4G24970,0,0,53,66
AT1G50010,0,77,43,64
AT1G04820,0,77,43,64
AT5G03340,0,61,42,0
AT5G55190,0,0,15,0
AT5G20020,0,0,15,0
AT1G26540,0,6,13,13
AT5G04290,0,9,12,27
AT1G04810,0,21,12,19
AT1G02890,0,0,10,25
AT1G07790,0,9,10,11
AT1G55860,0,24,10,23
AT5G49530,0,7,9,10
AT2G05250,0,8,9,13
AT2G05230,0,8,9,13
AT3G53650,0,7,8,0
AT5G02570,0,8,8,7
AT1G54340,0,13,8,10
AT2G04235,0,0,7,9
AT3G10480,0,0,7,7
AT4G21460,0,0,7,0
AT3G54630,0,3,7,8
AT2G37470,0,8,7,7
AT2G29570,0,11,7,9
AT1G06430,0,12,7,11
AT3G11250,0,0,6,6
AT2G15400,0,3,6,9
AT3G44530,0,4,6,9
AT3G57080,0,4,6,8
AT5G04940,0,5,6,15
AT5G06460,0,5,6,7
AT1G18610,0,6,6,5
AT5G06680,0,9,6,8
AT2G24520,0,9,6,8
AT5G39850,0,9,6,6
AT3G08943,0,10,6,11
AT1G50030,0,18,6,11
AT3G13290,0,21,6,12
AT5G49160,0,0,5,11
AT1G19100,0,0,5,11
AT3G03110,0,0,5,9
AT5G15920,0,0,5,6
AT4G36290,0,0,5,6
AT3G54560,0,0,5,0
AT2G38810,0,0,5,0
AT1G63020,0,2,5,18
AT3G07610,0,2,5,6
AT5G18090,0,3,5,7
AT5G57580,0,4,5,9
AT5G25475,0,4,5,6
AT2G45770,0,4,5,6
AT4G32551,0,5,5,9
AT1G48420,0,5,5,8
AT3G63500,0,6,5,6
AT3G49870,0,6,5,4
AT5G27670,0,7,5,7
AT3G48670,0,8,5,12
AT5G21274,0,9,5,9
AT4G00450,0,9,5,9
AT3G43810,0,9,5,9
AT5G20080,0,9,5,8
AT5G41210,0,11,5,9
AT4G14680,0,12,5,11
AT5G18380,0,12,5,7
AT4G28510,0,13,5,11
AT3G19980,0,14,5,11
AT2G40730,0,14,5,6
AT5G45300,0,16,5,12
AT1G43850,0,0,4,9
AT3G22680,0,0,4,2
AT5G49500,0,0,4,0
AT5G20730,0,0,4,0
AT1G74270,0,0,4,0
AT5G12400,0,3,4,8
AT4G01900,0,3,4,3
AT3G49250,0,4,4,11
AT5G54640,0,4,4,6
AT5G02560,0,4,4,6
AT4G27230,0,4,4,6
AT1G51060,0,4,4,6
AT1G32790,0,4,4,5
AT5G47930,0,4,4,4
AT2G24440,0,4,4,4
AT5G65110,0,4,4,3
AT5G03850,0,4,4,3
AT3G10090,0,4,4,3
AT1G50500,0,5,4,6
AT1G08130,0,5,4,5
AT5G45190,0,6,4,8
AT5G16300,0,6,4,8
AT4G24840,0,6,4,4
AT5G26860,0,7,4,10
AT4G14040,0,7,4,3
AT4G26910,0,7,4,0
AT2G32910,0,7,4,0
AT3G55750,0,8,4,10
AT3G08780,0,8,4,7
AT5G59840,0,8,4,5
AT4G36630,0,8,4,4
AT1G25450,0,8,4,0
AT3G58560,0,9,4,11
AT2G30620,0,9,4,9
AT5G67610,0,9,4,8
AT5G10270,0,10,4,9
AT3G27240,0,10,4,7
AT3G06250,0,11,4,9
AT2G22240,0,11,4,7
AT5G10010,0,12,4,12
AT5G62410,0,12,4,6
AT1G55325,0,13,4,14
AT5G48600,0,13,4,13
AT5G63950,0,18,4,10
AT5G61460,0,0,3,9
AT5G24280,0,0,3,7
AT4G27570,0,0,3,6
AT5G66750,0,0,3,5
AT5G64360,0,0,3,4
AT5G35680,0,0,3,4
AT1G76440,0,0,3,4
AT1G72740,0,0,3,4
AT1G54850,0,0,3,4
AT3G48210,0,0,3,3
AT1G77270,0,0,3,2
AT1G12140,0,0,3,2
AT5G53530,0,0,3,0
AT4G20650,0,0,3,0
AT4G20630,0,0,3,0
AT4G20540,0,0,3,0
AT4G20530,0,0,3,0
AT3G10300,0,0,3,0
AT2G38840,0,0,3,0
AT1G64960,0,0,3,0
AT1G53260,0,0,3,0
AT4G22360,0,2,3,5
AT4G05160,0,2,3,4
AT1G55480,0,2,3,4
AT3G15710,0,2,3,3
AT3G63030,0,2,3,2
AT1G08040,0,2,3,2
AT2G20000,0,2,3,0
AT5G65540,0,3,3,6
AT5G42090,0,3,3,6
AT1G61000,0,3,3,6
AT4G12590,0,3,3,5
AT3G50500,0,3,3,5
AT5G51070,0,3,3,4
AT3G05190,0,3,3,4
AT1G17860,0,3,3,4
AT1G09520,0,3,3,4
AT5G04170,0,3,3,3
AT1G06500,0,3,3,3
AT2G27680,0,3,3,2
AT5G27410,0,3,3,0
AT4G35460,0,3,3,0
AT1G22950,0,4,3,6
AT1G10760,0,4,3,6
AT3G11100,0,4,3,5
AT3G14110,0,4,3,4
ATCG00580,0,4,3,3
AT5G44630,0,4,3,3
AT3G02870,0,4,3,3
AT1G47200,0,4,3,3
AT1G12640,0,4,3,3
AT1G36370,0,5,3,8
AT5G07970,0,5,3,5
AT3G51950,0,5,3,5
AT3G01390,0,5,3,5
AT4G16265,0,5,3,4
AT3G27930,0,5,3,4
AT3G12050,0,5,3,4
AT3G11540,0,5,3,4
AT4G25890,0,5,3,0
AT3G27430,0,6,3,8
AT5G42390,0,6,3,5
AT4G01370,0,6,3,5
AT1G71840,0,6,3,5
AT4G10110,0,6,3,4
AT3G21220,0,6,3,4
AT3G58630,0,6,3,3
AT3G13530,0,6,3,3
AT5G63190,0,6,3,0
AT1G18700,0,6,3,0
AT2G36480,0,7,3,8
AT1G30820,0,7,3,8
AT3G18480,0,7,3,6
AT1G04190,0,7,3,6
AT4G29520,0,7,3,5
AT1G09795,0,7,3,5
AT5G44280,0,7,3,4
AT5G60410,0,7,3,3
AT5G11900,0,7,3,3
AT3G52950,0,7,3,3
AT2G26990,0,7,3,2
AT3G12810,0,8,3,8
AT4G13750,0,8,3,7
AT5G55940,0,8,3,6
