Protein,WT,AT1G76440,AT4G22745,AT5G59800,AT1G54850
AT4G25500,0,649,655,884,756
AT5G59800,0,0,0,94,0
AT1G09780,0,0,0,91,0
AT3G14980,0,0,0,72,0
AT1G20870,0,0,0,63,0
AT4G14960,0,0,57,38,51
AT5G56500,0,0,27,28,11
AT2G36460,0,11,20,26,11
AT5G35530,0,15,16,24,15
AT4G20890,0,47,48,23,52
AT3G61860,0,17,0,21,0
AT1G54840,0,0,0,20,0
AT3G23810,0,25,20,19,21
AT1G72270,0,0,0,18,0
AT4G00100,0,9,22,16,19
AT1G61580,0,19,27,16,14
AT5G38430,0,27,22,14,24
AT5G43330,0,0,16,14,12
AT1G29970,0,0,19,13,17
AT1G29965,0,0,19,13,17
AT1G32060,0,8,15,13,14
AT3G18130,0,10,0,13,11
ATCG00500,0,6,19,13,10
AT4G31270,0,0,0,13,0
AT1G70320,0,0,3,13,0
AT5G19990,0,11,22,12,17
AT5G06290,0,9,13,12,12
AT4G30800,0,0,9,12,11
AT4G09800,0,5,9,12,9
AT1G34030,0,5,9,12,9
AT1G22780,0,5,9,12,9
AT1G10290,0,7,4,12,0
AT1G52040,0,45,14,11,21
AT5G58290,0,14,16,11,16
AT2G42100,0,8,9,11,12
AT5G20890,0,12,19,11,11
AT1G21750,0,2,7,11,3
AT1G75940,0,27,14,10,16
AT3G57490,0,0,16,10,14
AT5G42080,0,6,4,10,12
AT2G42520,0,8,13,10,10
AT1G19520,0,3,13,10,8
AT4G27090,0,11,8,10,6
AT3G27690,0,7,7,10,4
AT2G05100,0,7,7,10,4
AT2G05070,0,7,7,10,4
AT5G43010,0,0,15,10,0
AT5G15490,0,0,11,10,0
AT5G45930,0,0,7,10,0
AT3G11910,0,14,27,9,22
AT1G68560,0,14,16,9,21
AT5G03470,0,4,17,9,12
AT1G62820,0,11,9,9,11
AT4G13430,0,3,12,9,7
AT1G09340,0,8,11,9,5
AT1G11650,0,3,7,9,5
AT5G20720,0,0,10,9,4
AT5G02240,0,4,5,9,0
AT1G73460,0,2,0,9,0
AT5G06600,0,10,15,8,11
AT2G44060,0,6,11,8,10
AT4G10450,0,8,0,8,6
AT5G02530,0,0,3,8,6
AT1G07140,0,2,5,8,4
AT3G14310,0,4,6,8,2
AT1G12910,0,0,7,8,2
AT5G62390,0,0,3,8,2
AT3G58500,0,6,11,7,12
AT2G42500,0,0,11,7,12
AT2G32730,0,12,19,7,11
AT5G62270,0,8,6,7,8
AT4G34870,0,7,7,7,7
AT3G02530,0,6,14,7,6
AT1G24510,0,5,12,7,6
AT3G03920,0,4,2,7,6
AT3G47520,0,6,6,7,5
AT1G14410,0,3,6,7,5
AT4G26110,0,2,5,7,4
AT3G52500,0,2,0,7,4
AT2G33150,0,0,4,7,4
AT2G47470,0,0,3,7,3
AT5G35590,0,6,7,7,2
ATCG00780,0,3,5,7,2
AT4G38130,0,0,8,7,2
AT2G37600,0,12,10,7,0
AT2G32060,0,8,5,7,0
AT4G13670,0,0,0,7,0
AT3G55610,0,0,0,7,0
AT3G47370,0,0,0,7,0
AT1G56190,0,0,0,7,0
AT5G48230,0,12,8,6,13
AT4G09010,0,6,4,6,10
AT4G23600,0,5,6,6,9
AT5G16440,0,9,15,6,8
AT3G46000,0,7,4,6,8
AT1G15750,0,5,4,6,8
AT4G03280,0,11,7,6,7
AT5G61790,0,10,8,6,7
AT3G42170,0,18,10,6,6
AT4G01290,0,6,6,6,6
AT5G48880,0,5,11,6,6
AT2G23350,0,2,13,6,6
AT5G63570,0,0,6,6,6
AT3G48730,0,0,6,6,6
AT5G22060,0,11,7,6,5
AT4G02770,0,5,5,6,5
AT1G03130,0,5,5,6,5
AT1G12840,0,4,7,6,5
AT2G01970,0,3,4,6,5
AT1G56340,0,7,11,6,4
AT4G24190,0,6,13,6,4
AT3G13200,0,6,2,6,4
AT4G39200,0,5,0,6,4
AT4G34555,0,5,0,6,4
AT2G16360,0,5,0,6,4
AT1G73230,0,0,3,6,4
AT1G30580,0,0,2,6,4
AT5G27640,0,6,10,6,3
AT3G16520,0,3,3,6,3
AT4G34110,0,3,8,6,3
AT2G21170,0,3,6,6,3
AT4G26530,0,0,4,6,3
AT5G22650,0,0,2,6,3
AT1G50370,0,9,4,6,2
AT3G52880,0,4,3,6,2
AT3G13860,0,4,4,6,2
AT1G62380,0,3,5,6,2
AT4G23100,0,3,2,6,2
AT1G15690,0,2,3,6,2
AT2G20490,0,0,0,6,2
AT2G21580,0,3,0,6,0
AT1G75280,0,2,3,6,0
AT5G57655,0,2,2,6,0
AT3G19980,0,0,4,6,0
AT5G42790,0,0,6,6,0
AT1G47250,0,0,6,6,0
AT2G24200,0,0,5,6,0
AT3G55620,0,8,7,5,7
AT4G31810,0,7,6,5,7
AT5G13520,0,7,9,5,6
AT2G03850,0,7,5,5,6
AT1G62640,0,0,6,5,6
AT2G47940,0,5,8,5,5
AT2G42910,0,4,14,5,5
AT1G04530,0,4,2,5,5
AT1G16870,0,2,2,5,5
AT2G27860,0,2,0,5,5
AT5G61780,0,0,6,5,5
AT3G63460,0,5,8,5,4
AT1G09620,0,2,5,5,4
AT5G48810,0,2,5,5,4
AT5G04800,0,4,5,5,3
AT3G10610,0,4,5,5,3
AT2G05220,0,4,5,5,3
AT2G04390,0,4,5,5,3
AT2G30860,0,4,3,5,3
AT5G15550,0,3,0,5,3
AT1G11840,0,3,6,5,3
AT1G09070,0,3,2,5,3
AT4G02150,0,3,3,5,3
AT5G04140,0,2,9,5,3
AT5G54760,0,0,0,5,3
AT4G27130,0,0,0,5,3
AT1G54290,0,0,0,5,3
AT3G10740,0,0,5,5,3
AT1G14810,0,6,9,5,2
AT5G40040,0,5,4,5,2
AT2G06850,0,0,4,5,2
AT4G11420,0,0,8,5,2
AT5G47930,0,7,8,5,0
AT4G04950,0,6,4,5,0
AT1G74030,0,2,5,5,0
AT5G42190,0,0,6,5,0
AT2G31390,0,0,0,5,0
AT2G19540,0,0,0,5,0
AT1G06020,0,0,0,5,0
AT1G29880,0,0,7,5,0
AT4G03120,0,0,0,5,0
AT3G60830,0,0,0,5,0
AT2G37660,0,0,2,5,0
AT2G14120,0,0,2,5,0
AT1G13060,0,0,6,5,0
AT5G24490,0,0,0,5,0
AT1G01510,0,0,0,5,0
AT1G48620,0,14,0,4,26
AT2G19070,0,7,12,4,12
AT1G11910,0,6,12,4,11
AT1G11860,0,9,9,4,9
AT1G76010,0,4,6,4,9
AT1G62020,0,0,23,4,9
AT4G10340,0,7,8,4,8
AT1G30120,0,0,8,4,8
AT1G20580,0,7,8,4,7
AT5G63840,0,5,10,4,6
AT4G24130,0,4,6,4,6
AT3G46040,0,0,0,4,6
AT1G80480,0,6,7,4,5
AT5G09900,0,6,3,4,5
AT3G15000,0,5,5,4,5
AT1G13690,0,5,4,4,5
AT2G35370,0,3,7,4,5
AT3G49080,0,0,2,4,5
AT3G54050,0,4,2,4,4
AT4G37930,0,4,8,4,4
AT1G79550,0,3,6,4,4
ATCG00740,0,3,0,4,4
AT2G30260,0,2,0,4,4
AT3G55700,0,0,3,4,4
AT5G64370,0,0,4,4,4
AT2G38540,0,3,3,4,3
AT4G31300,0,0,6,4,3
AT1G09210,0,5,9,4,2
AT4G14880,0,5,3,4,2
AT3G52960,0,4,0,4,2
AT5G10920,0,4,7,4,2
AT3G18165,0,3,5,4,2
AT4G13850,0,3,0,4,2
AT3G06580,0,2,4,4,2
AT1G47200,0,0,3,4,2
AT2G39990,0,0,8,4,2
AT1G24360,0,0,4,4,2
AT2G27020,0,0,5,4,2
AT5G14910,0,4,2,4,0
AT4G15802,0,3,3,4,0
AT5G08280,0,2,2,4,0
AT4G05180,0,0,4,4,0
AT1G31330,0,0,3,4,0
AT3G26420,0,0,0,4,0
AT1G23740,0,0,2,4,0
AT4G33090,0,0,0,4,0
AT3G12290,0,0,4,4,0
AT5G56350,0,0,3,4,0
AT4G11150,0,0,2,4,0
AT2G28470,0,0,2,4,0
AT1G63940,0,0,0,4,0
AT5G66760,0,0,0,4,0
AT5G04280,0,0,0,4,0
AT1G05190,0,0,0,4,0
AT5G58590,0,0,3,4,0
AT3G14420,0,0,2,4,0
AT1G64200,0,0,2,4,0
AT5G04430,0,0,0,4,0
AT4G24580,0,0,0,4,0
AT4G11240,0,0,0,4,0
AT3G52560,0,0,0,4,0
AT3G26125,0,0,0,4,0
AT2G43550,0,0,0,4,0
AT1G71860,0,0,0,4,0
AT1G63810,0,0,0,4,0
AT1G53645,0,0,0,4,0
AT1G16470,0,0,0,4,0
AT1G29250,0,10,11,3,12
AT1G36160,0,9,21,3,11
AT5G43940,0,12,8,3,9
AT1G30630,0,3,7,3,9
AT5G20630,0,7,8,3,7
AT5G54640,0,6,0,3,7
AT4G27230,0,6,0,3,7
AT1G51060,0,6,0,3,7
AT3G62030,0,5,0,3,7
AT5G48480,0,4,3,3,7
AT1G62750,0,0,0,3,7
AT3G14100,0,11,7,3,6
AT1G75910,0,5,4,3,6
AT4G29410,0,4,4,3,6
AT1G65930,0,7,11,3,5
AT5G55230,0,5,13,3,5
AT4G13930,0,5,10,3,5
AT1G16350,0,5,4,3,5
AT2G47710,0,4,3,3,5
AT5G59890,0,5,4,3,4
AT5G05010,0,4,9,3,4
AT1G27090,0,3,9,3,4
ATCG00160,0,3,2,3,4
AT1G67280,0,3,0,3,4
AT4G29510,0,0,11,3,4
AT5G39570,0,0,7,3,4
AT4G01480,0,0,5,3,4
AT1G01050,0,0,5,3,4
AT1G74970,0,0,0,3,4
AT3G23620,0,5,0,3,3
AT3G58140,0,3,5,3,3
AT4G11820,0,3,3,3,3
AT5G08180,0,3,0,3,3
AT3G60370,0,2,7,3,3
AT3G44590,0,0,6,3,3
AT5G45620,0,0,3,3,3
AT4G16500,0,0,4,3,3
AT3G07590,0,0,0,3,3
AT1G66200,0,0,5,3,3
AT5G28840,0,0,0,3,3
AT3G06610,0,0,0,3,3
AT3G10850,0,6,7,3,2
AT5G47210,0,3,2,3,2
AT1G17290,0,0,2,3,2
AT1G14830,0,0,0,3,2
AT4G21110,0,5,3,3,0
AT1G49760,0,4,3,3,0
AT2G29570,0,4,0,3,0
AT1G07370,0,4,0,3,0
AT5G19440,0,4,2,3,0
AT5G55730,0,3,5,3,0
AT2G19480,0,3,5,3,0
AT3G13460,0,3,0,3,0
ATCG00680,0,3,7,3,0
AT1G56450,0,3,6,3,0
AT1G29370,0,3,0,3,0
AT1G29350,0,3,0,3,0
AT1G18500,0,2,3,3,0
AT3G23450,0,2,4,3,0
AT5G18400,0,0,3,3,0
AT1G24706,0,0,2,3,0
AT1G27970,0,0,3,3,0
AT1G24050,0,0,3,3,0
AT5G60660,0,0,0,3,0
AT5G57870,0,0,0,3,0
AT5G47320,0,0,0,3,0
AT5G20920,0,0,0,3,0
AT5G07530,0,0,0,3,0
AT4G31180,0,0,0,3,0
AT3G16810,0,0,0,3,0
AT1G53850,0,0,6,3,0
AT1G75270,0,0,4,3,0
AT2G25080,0,0,3,3,0
AT3G19820,0,0,2,3,0
AT4G25340,0,0,0,3,0
AT3G59510,0,0,0,3,0
AT3G53420,0,0,0,3,0
AT3G14290,0,0,0,3,0
AT1G21440,0,0,0,3,0
AT3G60820,0,0,7,3,0
AT1G59830,0,0,5,3,0
AT1G10430,0,0,5,3,0
AT5G49650,0,0,4,3,0
AT5G09660,0,0,4,3,0
AT2G42600,0,0,4,3,0
AT1G53310,0,0,4,3,0
ATCG01120,0,0,3,3,0
AT3G63410,0,0,3,3,0
AT3G60245,0,0,3,3,0
AT3G10950,0,0,3,3,0
AT2G30870,0,0,3,3,0
AT3G49470,0,0,2,3,0
AT3G12390,0,0,2,3,0
AT2G30200,0,0,2,3,0
AT5G58040,0,0,0,3,0
AT5G56670,0,0,0,3,0
AT5G53440,0,0,0,3,0
AT5G01930,0,0,0,3,0
AT4G29390,0,0,0,3,0
AT4G17330,0,0,0,3,0
AT4G10840,0,0,0,3,0
AT3G53580,0,0,0,3,0
AT3G53500,0,0,0,3,0
AT3G18240,0,0,0,3,0
AT3G14790,0,0,0,3,0
AT3G14415,0,0,0,3,0
AT3G13940,0,0,0,3,0
AT3G13570,0,0,0,3,0
AT3G13290,0,0,0,3,0
AT3G11940,0,0,0,3,0
AT2G47250,0,0,0,3,0
AT2G43710,0,0,0,3,0
AT2G37270,0,0,0,3,0
AT2G20420,0,0,0,3,0
AT2G19750,0,0,0,3,0
AT2G19570,0,0,0,3,0
AT1G66850,0,0,0,3,0
AT1G53500,0,0,0,3,0
AT1G52980,0,0,0,3,0
AT1G33040,0,0,0,3,0
AT1G32200,0,0,0,3,0
AT1G03910,0,0,0,3,0
AT3G12490,0,8,4,2,11
AT1G04270,0,5,4,2,8
AT3G20670,0,5,0,2,7
AT5G46290,0,2,6,2,7
AT1G56580,0,4,6,2,6
AT5G20830,0,3,12,2,6
AT5G47190,0,3,3,2,6
AT2G38270,0,10,0,2,5
AT4G05420,0,9,6,2,5
AT3G58660,0,8,0,2,5
AT4G31480,0,2,10,2,5
AT4G27440,0,2,4,2,5
AT4G31490,0,2,10,2,5
AT2G40290,0,5,6,2,4
AT1G65980,0,4,4,2,4
AT1G48600,0,3,10,2,4
AT1G03475,0,3,3,2,4
AT4G30220,0,3,0,2,4
AT2G15430,0,2,3,2,4
AT2G38400,0,0,6,2,4
AT3G55760,0,0,11,2,4
AT5G67510,0,0,0,2,4
AT2G38730,0,0,4,2,4
AT2G29310,0,0,3,2,4
AT2G17870,0,0,3,2,4
AT5G46180,0,0,0,2,4
AT1G72150,0,7,3,2,3
AT4G30330,0,6,0,2,3
AT2G30050,0,5,3,2,3
AT5G09440,0,4,8,2,3
AT5G51110,0,4,3,2,3
AT1G04170,0,3,7,2,3
AT4G03520,0,3,7,2,3
AT3G21140,0,3,4,2,3
AT2G28950,0,2,5,2,3
AT5G62790,0,2,4,2,3
AT4G36690,0,0,5,2,3
AT2G18740,0,0,0,2,3
AT4G34450,0,0,8,2,3
AT2G41500,0,0,0,2,3
AT2G36580,0,0,3,2,3
ATMG00290,0,0,2,2,3
AT2G07734,0,0,2,2,3
AT3G52990,0,0,0,2,3
AT3G62120,0,4,8,2,2
AT2G19730,0,3,5,2,2
AT4G14716,0,3,5,2,2
AT4G14710,0,3,5,2,2
AT3G08580,0,3,5,2,2
AT5G25460,0,3,0,2,2
AT4G29010,0,0,8,2,2
AT4G26900,0,0,5,2,2
AT3G02650,0,0,2,2,2
AT3G01540,0,0,2,2,2
AT3G60190,0,0,0,2,2
AT1G14650,0,0,2,2,2
AT5G44710,0,0,0,2,2
AT4G17870,0,0,0,2,2
AT1G17370,0,6,0,2,0
AT3G19170,0,4,3,2,0
AT3G53990,0,4,0,2,0
AT5G16390,0,3,2,2,0
AT5G54770,0,3,3,2,0
AT1G80750,0,2,0,2,0
AT3G24480,0,2,3,2,0
AT5G45390,0,2,2,2,0
AT2G30110,0,0,6,2,0
AT2G42690,0,0,2,2,0
AT1G79530,0,0,0,2,0
AT1G13460,0,0,0,2,0
AT4G00490,0,0,5,2,0
AT5G08450,0,0,4,2,0
AT3G48000,0,0,4,2,0
AT2G44040,0,0,4,2,0
AT3G06860,0,0,0,2,0
AT3G02360,0,0,0,2,0
AT4G17190,0,0,4,2,0
AT2G20060,0,0,3,2,0
AT1G15820,0,0,3,2,0
AT1G15340,0,0,3,2,0
AT5G20250,0,0,0,2,0
AT5G06060,0,0,0,2,0
AT4G30160,0,0,0,2,0
AT2G04842,0,0,0,2,0
AT1G15440,0,0,0,2,0
AT1G79440,0,0,13,2,0
AT3G51260,0,0,8,2,0
AT3G48560,0,0,3,2,0
AT3G18490,0,0,3,2,0
AT1G20440,0,0,3,2,0
ATCG00280,0,0,0,2,0
AT5G66680,0,0,0,2,0
AT5G66140,0,0,0,2,0
AT5G64570,0,0,0,2,0
AT5G63890,0,0,0,2,0
AT5G59950,0,0,0,2,0
AT5G54190,0,0,0,2,0
AT5G13490,0,0,0,2,0
AT4G28390,0,0,0,2,0
AT4G24830,0,0,0,2,0
AT4G23980,0,0,0,2,0
AT4G21100,0,0,0,2,0
AT4G09510,0,0,0,2,0
AT4G02520,0,0,0,2,0
AT3G52180,0,0,0,2,0
AT3G50270,0,0,0,2,0
AT3G48500,0,0,0,2,0
AT3G26520,0,0,0,2,0
AT3G25230,0,0,0,2,0
AT3G25220,0,0,0,2,0
AT3G24170,0,0,0,2,0
AT3G16410,0,0,0,2,0
AT3G16400,0,0,0,2,0
AT3G15610,0,0,0,2,0
AT3G08030,0,0,0,2,0
AT3G06480,0,0,0,2,0
AT3G01280,0,0,0,2,0
AT2G47400,0,0,0,2,0
AT2G37340,0,0,0,2,0
AT1G80940,0,0,0,2,0
AT1G79870,0,0,0,2,0
AT1G79850,0,0,0,2,0
AT1G77750,0,0,0,2,0
AT1G64510,0,0,0,2,0
AT1G55210,0,0,0,2,0
AT1G52730,0,0,0,2,0
AT1G48850,0,0,0,2,0
AT1G35580,0,0,0,2,0
AT1G32050,0,0,0,2,0
AT1G26550,0,0,0,2,0
AT1G20330,0,0,0,2,0
