Protein,WT,AT5G50780,AT1G19100,AT4G24970
AT4G24970,0,98,3,122
AT1G31340,0,44,0,58
AT1G74060,0,33,0,31
AT5G50780,0,64,0,27
AT5G52640,0,0,0,26
AT1G67430,0,0,37,26
AT3G09790,0,25,0,24
AT3G48050,0,7,0,23
AT1G43850,0,16,4,23
AT1G19100,0,13,0,23
AT5G62090,0,8,0,17
AT1G02890,0,13,2,16
AT3G42640,0,12,12,15
AT2G34160,0,0,8,15
AT1G50250,0,0,0,15
AT1G45000,0,0,0,15
AT1G16030,0,0,0,15
AT1G07790,0,5,14,15
AT5G59910,0,5,0,14
AT5G05620,0,11,11,14
AT1G29970,0,0,0,14
AT1G29965,0,0,0,14
AT4G36290,0,5,0,13
AT4G18130,0,4,3,13
AT1G29370,0,0,8,13
AT1G03130,0,0,0,13
AT5G24280,0,9,0,12
AT5G21274,0,0,12,12
AT5G07940,0,4,0,12
AT4G21750,0,4,2,12
AT3G43810,0,0,12,12
AT3G06250,0,6,0,12
AT2G38560,0,5,2,12
AT1G80660,0,0,9,12
AT5G58410,0,0,8,11
AT5G04940,0,11,0,11
AT2G37270,0,0,12,11
AT2G27110,0,3,0,11
AT1G79000,0,4,2,11
AT1G47250,0,12,11,11
AT1G18150,0,4,6,11
AT5G55040,0,2,0,10
AT5G52650,0,0,14,10
AT5G43500,0,3,3,10
AT2G37470,0,4,8,10
AT1G73100,0,7,2,10
AT1G72390,0,4,0,10
AT1G69060,0,0,0,10
AT1G10430,0,0,5,10
AT5G53150,0,3,0,9
AT5G13950,0,4,0,9
AT3G57490,0,0,0,9
AT3G10030,0,7,0,9
AT3G07610,0,2,3,9
AT1G35580,0,0,3,9
AT1G07810,0,0,0,9
AT5G64260,0,3,7,8
AT5G64220,0,5,6,8
AT5G53530,0,7,5,8
AT5G50950,0,0,5,8
AT5G35840,0,0,2,8
AT5G13590,0,3,0,8
AT4G34830,0,2,3,8
AT4G26270,0,0,0,8
AT4G02080,0,7,13,8
AT3G57880,0,0,0,8
AT3G21990,0,4,3,8
AT3G11170,0,4,7,8
AT3G04930,0,0,0,8
AT2G25560,0,16,0,8
AT2G24520,0,0,8,8
AT2G01750,0,0,0,8
AT1G67120,0,2,8,8
AT1G63480,0,6,5,8
AT1G54410,0,0,6,8
AT1G54220,0,0,11,8
AT1G50410,0,0,0,8
AT1G50030,0,0,5,8
AT1G49040,0,6,8,8
AT1G36370,0,5,3,8
AT1G16300,0,0,0,8
AT1G14840,0,4,3,8
AT5G63510,0,6,6,7
AT5G55310,0,0,7,7
AT5G49160,0,0,3,7
AT5G49030,0,6,8,7
AT5G41220,0,0,0,7
AT5G20170,0,2,0,7
