Protein,WT,WT,AT1G19100,AT5G50780
AT4G24970,0,0,15,433
AT5G50780,0,0,10,272
AT1G61850,0,48,6,80
AT5G35330,0,0,0,41
AT3G03540,0,49,13,41
AT5G11200,0,0,0,38
AT4G29260,0,0,0,35
AT1G31340,0,22,46,34
AT3G29410,0,43,4,31
AT1G67430,0,31,17,30
AT1G16030,0,22,59,29
AT1G19100,0,0,0,26
AT1G73380,0,17,2,22
AT1G45000,0,16,10,20
AT3G03530,0,15,9,13
AT3G57490,0,18,0,13
AT3G21110,0,7,11,12
AT1G13880,0,18,0,12
AT4G34360,0,9,0,11
AT1G74040,0,8,22,10
AT5G13130,0,0,0,9
AT3G04230,0,6,11,9
AT5G21274,0,9,4,9
AT3G43810,0,9,4,9
AT2G34160,0,10,0,9
AT4G13400,0,14,6,9
AT1G54220,0,0,0,8
AT1G10430,0,6,5,8
AT5G40370,0,8,9,8
AT5G36160,0,9,0,8
AT1G74270,0,9,0,8
AT3G52740,0,14,203,8
AT5G62930,0,0,5,7
AT2G44040,0,4,12,7
AT5G59890,0,5,7,7
AT3G10850,0,5,5,7
AT5G55600,0,7,0,7
ATCG00660,0,8,0,7
AT5G45930,0,8,0,7
AT5G24520,0,0,0,6
AT2G18170,0,3,2,6
AT5G24470,0,3,0,6
AT5G24400,0,3,0,6
AT3G03570,0,4,4,6
AT5G62600,0,4,2,6
AT1G03130,0,5,8,6
AT3G17810,0,5,0,6
AT1G19670,0,7,3,6
AT1G07440,0,7,3,6
AT5G67240,0,7,0,6
AT5G55000,0,8,0,6
AT5G15310,0,0,10,5
AT3G18090,0,0,0,5
AT3G01090,0,3,5,5
AT3G46000,0,4,6,5
AT4G08870,0,4,4,5
AT5G05620,0,4,3,5
AT5G02450,0,4,0,5
AT3G51190,0,4,0,5
AT2G19570,0,4,0,5
AT3G16520,0,5,8,5
AT1G12520,0,5,0,5
AT5G16840,0,6,8,5
AT3G53900,0,7,2,5
ATCG00330,0,0,3,4
AT5G26667,0,0,0,4
AT4G36290,0,0,0,4
AT4G14890,0,0,0,4
AT3G59890,0,0,0,4
AT3G02320,0,0,0,4
AT2G38950,0,0,0,4
AT2G17130,0,0,0,4
AT1G79210,0,0,0,4
AT1G66850,0,0,0,4
AT1G31812,0,0,0,4
AT5G02810,0,2,0,4
AT1G02300,0,2,0,4
AT5G05590,0,3,3,4
AT5G38470,0,3,0,4
AT4G27520,0,3,0,4
AT3G12930,0,3,0,4
AT1G62480,0,4,5,4
AT2G24490,0,4,4,4
AT3G46010,0,4,3,4
AT1G27310,0,4,0,4
AT1G16880,0,4,0,4
AT2G47400,0,5,0,4
AT2G34850,0,5,0,4
AT5G05920,0,6,11,4
AT1G20340,0,6,6,4
AT5G47930,0,6,0,4
AT5G35980,0,6,0,4
AT3G54930,0,6,0,4
AT2G45300,0,6,0,4
AT4G29670,0,0,8,3
AT4G37210,0,0,7,3
AT2G31200,0,0,4,3
AT3G15290,0,0,3,3
AT1G11360,0,0,3,3
AT5G40600,0,0,0,3
AT5G03850,0,0,0,3
AT4G13460,0,0,0,3
AT3G10090,0,0,0,3
AT2G39140,0,0,0,3
AT1G59580,0,0,0,3
AT1G15140,0,0,0,3
AT1G12410,0,0,0,3
AT5G64260,0,2,3,3
AT5G39210,0,2,0,3
AT3G46940,0,2,0,3
AT1G10370,0,3,4,3
AT1G31160,0,3,3,3
AT5G64350,0,3,0,3
AT4G21470,0,3,0,3
AT4G00490,0,3,0,3
AT3G08770,0,3,0,3
AT2G20270,0,3,0,3
AT2G20060,0,3,0,3
AT2G38660,0,4,4,3
AT5G47910,0,4,0,3
AT4G33640,0,4,0,3
AT2G29320,0,4,0,3
AT2G29310,0,4,0,3
AT4G16060,0,5,6,3
AT1G73600,0,5,0,3
AT1G32190,0,0,6,2
AT5G65760,0,0,2,2
AT3G18680,0,0,2,2
AT5G63890,0,0,0,2
AT5G60860,0,0,0,2
AT5G25270,0,0,0,2
AT5G24300,0,0,0,2
AT4G34215,0,0,0,2
AT4G25050,0,0,0,2
AT3G47850,0,0,0,2
AT3G46030,0,0,0,2
AT3G45310,0,0,0,2
AT3G29160,0,0,0,2
AT3G15060,0,0,0,2
AT3G11200,0,0,0,2
AT2G37470,0,0,0,2
AT2G28720,0,0,0,2
AT2G07715,0,0,0,2
AT2G01530,0,0,0,2
AT1G76820,0,0,0,2
AT1G31910,0,0,0,2
AT1G19730,0,0,0,2
AT1G07790,0,0,0,2
AT1G06670,0,0,0,2
AT3G20790,0,2,6,2
AT1G35580,0,2,4,2
AT5G24020,0,2,0,2
AT2G33450,0,2,0,2
AT1G64510,0,2,0,2
AT1G80460,0,3,3,2
AT5G03430,0,3,0,2
AT3G60300,0,3,0,2
AT2G23120,0,3,0,2
AT1G07080,0,3,0,2
AT5G52650,0,4,7,2
AT5G57330,0,4,2,2
AT5G60360,0,4,0,2
