Protein,WT,WT,AT2G33620,AT2G33620,AT3G04590,AT3G04590
AT3G04590,0,0,42,28,190,225
AT2G33620,0,0,255,258,120,71
AT4G17950,0,0,30,26,93,64
AT1G50010,0,0,99,84,86,61
AT1G04820,0,0,99,84,86,61
AT4G25320,0,0,37,36,61,47
AT1G63470,0,0,9,5,56,41
AT4G00200,0,0,14,15,38,34
AT1G63480,0,0,28,30,39,32
AT1G67430,0,0,0,9,16,25
AT3G61310,0,0,14,14,42,24
AT2G45850,0,0,8,12,23,22
AT1G72730,0,0,31,36,0,20
AT3G14040,0,0,24,26,17,19
AT5G43010,15,0,24,22,19,18
AT1G04810,17,0,16,9,0,18
AT3G16830,0,0,9,5,6,16
AT4G22770,0,0,8,9,15,15
AT1G56190,16,0,21,19,11,15
AT4G30800,0,0,0,0,0,15
AT5G46070,2,0,5,7,5,13
AT5G60670,0,0,0,0,0,13
AT1G74270,17,0,0,0,0,13
AT4G12080,0,0,5,5,11,12
AT1G70580,0,0,0,0,10,12
AT4G28520,0,0,5,5,6,12
AT1G67280,0,0,6,5,4,12
AT4G37870,5,0,2,4,4,12
AT3G15880,0,0,7,9,0,12
AT3G54960,2,0,0,0,9,11
AT4G29260,0,0,10,11,7,11
ATCG00180,0,0,2,0,5,11
AT1G60200,0,0,0,2,3,11
AT5G46640,0,0,6,7,13,10
AT1G59830,5,0,0,12,13,10
AT2G29690,0,0,8,7,9,10
AT3G15610,7,0,10,10,7,10
AT5G14170,0,0,5,5,4,10
AT1G47710,2,0,9,8,4,10
AT3G54660,0,0,0,0,0,10
AT1G69200,5,0,4,5,9,9
AT4G09570,4,0,9,10,7,9
AT5G18100,0,0,7,6,6,9
AT5G16715,0,0,5,7,5,9
AT2G43910,5,0,7,7,5,9
AT3G52560,0,0,4,4,4,9
AT3G02090,0,0,0,2,4,9
AT5G64270,2,0,2,0,4,9
AT3G54760,0,0,5,8,3,9
AT3G61440,2,0,4,4,3,9
AT5G10160,0,0,11,10,2,9
AT5G18620,2,0,2,0,2,9
AT4G34270,0,0,0,0,0,9
AT3G53260,0,0,0,9,0,9
AT2G20450,0,0,0,0,0,9
AT1G74040,0,0,10,7,0,9
AT1G67830,2,0,5,3,0,9
AT2G40590,13,0,9,11,13,8
AT2G40510,13,0,9,11,13,8
AT1G10430,0,0,8,12,10,8
AT3G18000,0,0,3,4,5,8
AT2G02160,0,0,0,3,5,8
AT2G14880,0,0,4,0,4,8
AT2G14260,2,0,7,3,4,8
AT5G20950,3,0,6,4,4,8
AT5G54430,0,0,6,3,3,8
AT1G63770,2,0,2,3,3,8
AT5G19180,3,0,4,3,3,8
AT5G59290,5,0,7,7,3,8
AT2G20280,0,0,4,4,2,8
AT2G42810,2,0,9,7,2,8
AT1G76550,5,0,10,0,2,8
AT4G11260,0,0,2,4,0,8
AT5G04590,2,0,4,2,0,8
AT5G14670,7,0,0,0,0,8
AT3G62290,7,0,0,0,0,8
AT1G70490,7,0,10,11,0,8
AT1G23490,7,0,10,11,0,8
AT1G54220,0,0,3,6,8,7
AT4G02430,0,0,0,0,6,7
AT5G62260,0,0,2,2,5,7
AT5G59850,0,0,4,5,5,7
AT1G07770,0,0,4,5,5,7
AT2G39840,5,0,5,5,5,7
AT5G02810,0,0,0,0,4,7
AT3G18860,0,0,11,7,4,7
AT1G22430,0,0,7,8,4,7
AT4G01290,2,0,2,3,4,7
AT4G28080,0,0,6,0,3,7
AT2G39795,0,0,4,0,3,7
AT1G16460,0,0,3,4,3,7
AT1G15130,0,0,8,8,3,7
AT3G25220,2,0,3,3,3,7
AT2G39930,3,0,7,0,3,7
AT1G20950,3,0,10,11,3,7
AT5G50680,0,0,3,6,2,7
AT5G50580,0,0,3,6,2,7
AT3G09100,0,0,4,4,2,7
AT1G80560,0,0,2,0,2,7
AT1G75350,6,0,0,0,2,7
AT5G64760,0,0,0,0,0,7
AT5G48375,0,0,0,0,0,7
AT4G35850,0,0,0,2,0,7
AT2G44490,0,0,0,0,0,7
AT1G31180,0,0,0,0,0,7
AT1G16300,0,0,0,0,0,7
AT1G51710,2,0,7,6,0,7
AT5G65620,3,0,6,6,0,7
AT5G62300,3,0,5,6,0,7
AT3G45030,3,0,5,6,0,7
AT1G21540,3,0,5,4,0,7
AT5G07340,0,0,7,0,8,6
AT1G23860,0,0,0,0,6,6
AT3G05190,0,0,4,2,5,6
AT2G18790,0,0,6,4,5,6
AT5G08450,4,0,9,7,5,6
AT5G48960,0,0,7,9,4,6
AT5G42820,0,0,2,3,4,6
AT5G21060,0,0,4,5,4,6
AT3G58750,0,0,8,3,4,6
AT3G09980,0,0,0,0,4,6
AT2G23070,0,0,4,5,4,6
AT1G17650,0,0,5,5,4,6
AT5G13930,5,0,3,0,4,6
AT5G40760,0,0,9,7,3,6
AT5G37850,0,0,8,5,3,6
AT5G27380,0,0,5,2,3,6
AT3G47370,0,0,3,5,3,6
AT3G16780,0,0,0,0,3,6
AT3G15290,0,0,7,7,3,6
AT3G02660,0,0,8,8,3,6
AT5G19150,2,0,0,5,3,6
AT3G50000,2,0,5,0,3,6
AT3G04940,2,0,5,4,3,6
AT2G27680,4,0,7,7,3,6
AT5G38600,0,0,5,5,2,6
AT4G29720,0,0,3,4,2,6
AT3G54230,0,0,0,0,2,6
AT3G18270,0,0,4,4,2,6
AT1G66240,2,0,0,0,2,6
AT4G02080,4,0,2,0,2,6
AT5G65690,0,0,0,0,0,6
AT5G51700,0,0,3,3,0,6
AT5G50870,0,0,6,5,0,6
AT5G37600,0,0,0,5,0,6
AT5G27030,0,0,0,3,0,6
AT5G14610,0,0,0,0,0,6
AT4G30190,0,0,0,0,0,6
