Protein,WT,AT1G49950,AT5G67580,AT3G49850
AT4G32620,0,127,48,39
AT4G28520,0,93,16,0
AT3G03140,0,80,26,25
AT4G20400,0,77,78,72
AT1G49950,0,72,10,9
AT5G44120,0,71,23,0
AT2G40930,0,63,32,25
AT5G56000,0,59,0,0
AT5G64610,0,56,21,15
AT3G10490,0,55,55,59
AT2G17410,0,50,31,13
AT5G44180,0,47,33,26
AT1G09780,0,47,37,44
AT5G04670,0,46,15,8
AT5G18620,0,44,53,55
AT5G09740,0,43,12,4
AT5G10710,0,40,23,12
AT3G10480,0,40,39,39
AT1G80810,0,38,44,24
AT1G03880,0,38,12,0
AT5G12250,0,37,25,34
AT2G46020,0,36,47,43
AT5G02490,0,33,51,31
AT1G62740,0,32,7,2
AT3G17460,0,31,17,15
AT1G28420,0,30,30,22
AT5G42020,0,28,35,34
AT3G48430,0,28,25,35
AT5G52470,0,27,22,37
AT1G22950,0,27,33,37
AT5G15020,0,25,28,21
AT3G07220,0,24,20,21
AT1G67430,0,24,0,25
AT1G20910,0,24,8,11
AT1G12380,0,24,24,29
AT1G76510,0,23,20,12
AT1G09060,0,23,24,15
AT3G43240,0,22,26,17
AT5G44800,0,21,44,40
AT5G40340,0,21,27,30
AT5G38430,0,21,22,24
AT1G54270,0,21,25,0
AT1G18450,0,21,20,22
AT4G27160,0,20,0,2
AT4G27150,0,20,8,2
AT3G62870,0,20,22,24
AT3G22640,0,20,2,0
AT5G08450,0,19,23,19
AT3G21370,0,19,0,0
AT3G54670,0,18,19,27
AT2G30470,0,18,25,12
AT1G66580,0,18,14,19
AT1G64740,0,18,13,24
AT3G19120,0,17,10,10
AT3G17340,0,17,3,0
AT4G26840,0,16,13,17
AT3G45830,0,16,24,17
AT3G22220,0,16,18,14
AT3G08530,0,16,13,24
AT1G48410,0,16,11,18
AT5G65410,0,15,10,14
AT5G55300,0,15,8,18
AT4G27170,0,15,3,0
AT3G53870,0,15,15,22
AT3G24490,0,15,13,9
AT2G44730,0,15,16,10
AT2G39460,0,15,20,16
AT1G26910,0,15,0,0
AT1G06230,0,15,13,19
AT1G03890,0,15,0,0
AT5G13020,0,14,13,13
AT4G10450,0,14,8,14
AT3G52100,0,14,7,9
AT4G31880,0,13,12,13
AT4G17060,0,13,13,8
AT3G21430,0,13,10,9
AT3G12280,0,13,9,8
AT2G44440,0,13,8,11
AT2G28490,0,13,0,0
AT5G58230,0,12,30,31
AT5G46070,0,12,25,24
AT5G35530,0,12,0,20
AT4G36130,0,12,10,15
AT3G57300,0,12,25,13
AT3G14180,0,12,13,9
AT2G27170,0,12,22,18
AT1G54060,0,12,15,9
AT1G15750,0,12,29,23
AT5G39740,0,11,9,14
AT5G22060,0,11,7,10
AT5G11530,0,11,90,104
AT4G22140,0,11,15,18
AT4G17330,0,11,24,20
AT4G11260,0,11,6,3
AT3G18210,0,11,17,12
AT3G05590,0,11,6,14
AT1G75240,0,11,16,14
AT1G67230,0,11,13,29
AT1G62870,0,11,13,12
ATCG00190,0,10,16,20
AT5G14170,0,10,22,18
AT4G34450,0,10,4,5
AT4G31430,0,10,10,14
AT4G29010,0,10,14,10
AT4G03090,0,10,13,11
AT3G53750,0,10,15,17
AT3G42170,0,10,17,11
AT2G45810,0,10,9,15
AT2G37620,0,10,15,17
AT2G18960,0,10,12,20
AT1G55490,0,10,9,13
AT1G35160,0,10,0,10
AT1G16030,0,10,0,0
AT4G38130,0,9,10,12
AT4G35830,0,9,4,6
AT4G27910,0,9,5,4
AT4G02290,0,9,15,12
AT3G60830,0,9,20,10
AT3G22380,0,9,9,17
AT3G18080,0,9,7,15
AT3G16830,0,9,19,15
AT3G11100,0,9,5,5
AT2G25170,0,9,21,14
AT2G24200,0,9,8,7
AT1G78300,0,9,0,10
AT1G53310,0,9,4,11
AT1G50480,0,9,3,6
AT1G48620,0,9,16,10
AT1G24260,0,9,14,12
AT1G15940,0,9,7,8
AT1G14440,0,9,6,7
AT1G11910,0,9,4,5
AT5G67320,0,8,10,16
AT5G22840,0,8,0,10
AT5G17770,0,8,6,3
AT5G16310,0,8,7,6
AT4G38600,0,8,10,9
AT4G33400,0,8,14,8
AT4G29730,0,8,15,11
AT4G15020,0,8,12,6
AT4G14920,0,8,9,6
AT4G14880,0,8,5,6
AT4G06634,0,8,10,9
AT3G14600,0,8,5,7
AT3G06720,0,8,6,11
AT3G02360,0,8,3,6
AT2G33070,0,8,0,0
AT2G23070,0,8,8,12
AT1G67580,0,8,0,16
AT1G48030,0,8,4,7
AT1G09620,0,8,0,2
AT1G02690,0,8,5,6
AT5G62390,0,7,10,10
AT5G50700,0,7,0,0
AT5G50600,0,7,0,0
AT5G38480,0,7,0,5
AT5G27770,0,7,6,9
AT5G25460,0,7,11,6
AT5G22010,0,7,8,12
AT5G20890,0,7,3,3
AT5G20240,0,7,11,11
AT5G18960,0,7,23,27
AT5G15650,0,7,0,6
