Protein,WT,WT,AT4G24970,AT4G24970,AT4G24970,AT5G63550,AT5G63550
AT5G63550,0,0,0,0,3,213,170
AT3G09790,0,0,0,0,69,95,63
AT4G16310,0,0,0,0,0,51,41
AT3G48870,0,21,29,26,34,41,36
AT5G03340,0,0,0,38,34,44,34
AT4G24970,0,0,521,494,285,4,29
AT1G50250,0,3,0,0,0,38,29
AT5G11200,0,16,27,18,9,16,21
AT1G72730,0,22,26,22,0,0,21
AT5G21274,0,0,12,0,10,14,18
AT3G43810,0,0,12,0,10,14,18
AT4G13970,0,0,0,0,0,12,18
AT4G35800,0,0,0,3,6,35,17
AT1G60560,0,0,0,0,0,21,17
AT2G35540,0,0,0,0,0,17,13
AT1G52740,0,0,0,0,3,57,12
AT3G54560,0,0,0,0,3,0,12
AT2G38810,0,0,0,0,3,0,12
AT2G02100,0,0,0,0,0,10,11
AT2G21410,0,0,0,3,7,12,11
AT4G22710,0,0,0,0,3,4,11
AT4G22690,0,0,0,0,3,4,11
AT4G31480,0,0,18,13,10,13,10
AT3G09680,0,6,7,7,8,9,10
AT4G10450,0,5,15,8,6,6,10
AT4G39690,0,0,0,0,4,10,10
AT2G42500,0,0,18,14,5,8,10
AT3G09580,0,0,0,3,8,19,9
AT1G68530,0,0,2,3,6,8,9
AT1G31440,0,0,0,0,4,6,9
AT1G19580,0,0,0,0,9,14,9
AT4G00630,0,0,2,3,8,15,9
AT3G45980,0,0,2,0,0,14,9
AT3G16000,0,0,0,0,6,17,9
AT5G59910,0,0,2,0,0,14,9
AT3G46030,0,0,2,0,0,14,9
AT1G35620,0,0,0,0,6,12,9
AT1G54690,0,0,0,0,4,10,9
AT1G08880,0,0,0,0,4,10,9
AT1G20970,0,0,0,0,9,17,9
AT1G16700,0,0,0,0,8,9,8
AT3G60900,0,4,0,3,5,5,8
AT5G46860,0,0,0,0,6,4,8
AT4G31430,0,0,0,2,3,11,8
AT5G21990,0,0,0,0,4,5,8
AT2G42220,0,0,0,0,4,11,8
AT2G18510,0,5,2,3,2,7,8
AT1G07790,0,0,0,0,0,0,8
AT1G03160,0,0,0,0,3,15,8
AT5G40930,0,0,0,0,3,7,8
AT3G16140,0,0,0,0,5,8,8
AT1G24460,0,0,0,0,8,17,8
AT1G68370,0,0,0,0,3,4,8
AT1G67750,0,0,3,0,0,2,8
AT4G21630,0,0,0,0,0,10,8
AT1G21080,0,0,0,0,3,6,8
AT4G13670,0,0,0,0,2,5,8
AT2G27880,0,3,3,2,0,12,8
AT1G53850,0,3,6,6,9,14,7
AT1G69940,0,0,9,7,3,0,7
AT5G11880,0,4,0,0,3,7,7
AT4G16450,0,0,0,0,7,10,7
AT5G11720,0,2,5,5,3,7,7
AT2G20490,0,0,2,0,7,5,7
AT4G15900,0,0,2,6,0,6,7
AT3G01390,0,0,3,0,7,10,7
AT3G43540,0,0,5,3,3,8,7
AT1G10510,0,0,0,0,5,7,7
AT5G23890,0,0,0,0,4,7,7
AT3G22520,0,0,0,2,0,5,7
AT2G28720,0,0,0,0,0,10,7
AT4G00230,0,0,0,0,0,2,7
AT2G29580,0,4,0,0,2,6,7
AT1G51630,0,0,2,0,2,12,7
AT2G04160,0,0,3,0,4,5,7
AT5G54640,0,0,0,0,3,10,7
AT4G27230,0,0,0,0,3,10,7
AT1G51060,0,0,0,0,3,10,7
AT4G21640,0,0,0,0,0,12,7
AT5G01930,0,0,2,0,0,8,7
AT3G22320,0,0,0,0,3,7,6
