Protein,WT,WT.1,AT1G19100,AT1G19100,AT1G49950,AT4G20400,AT4G20400,AT3G49850
AT1G19100,0,0,768,471,19,0,0,2
AT4G36290,0,0,264,200,3,0,0,0
AT4G36280,0,0,96,68,0,0,0,0
AT2G45540,0,0,57,13,0,0,0,0
AT5G11200,0,0,36,39,0,0,0,0
AT4G24970,0,0,28,21,0,0,0,0
AT3G08530,0,0,24,0,9,32,27,0
AT3G53230,0,0,23,0,0,0,0,0
AT4G34430,0,0,20,3,0,0,2,0
AT3G09790,0,0,16,23,0,0,0,18
AT5G50780,0,0,16,0,0,0,0,0
AT3G06850,0,2,15,8,0,8,4,0
AT5G41140,0,0,15,0,0,0,0,0
AT5G22060,0,3,14,8,0,0,0,4
AT3G61860,0,0,14,0,0,5,10,0
AT5G55070,0,0,12,5,2,5,8,3
AT4G13460,0,0,12,7,0,0,0,0
AT1G54220,0,0,11,8,0,0,0,0
AT1G75990,0,0,10,0,0,8,7,0
AT3G49250,0,2,10,4,0,3,0,0
AT1G27430,0,0,9,2,0,0,0,0
AT3G56800,0,0,8,8,9,8,6,8
AT2G41110,0,0,8,8,9,8,6,8
AT2G27030,0,0,8,8,9,8,6,8
AT1G57860,0,8,8,6,7,6,4,6
AT1G57660,0,8,8,6,7,6,4,6
AT5G25780,0,9,8,0,0,5,8,0
AT3G14040,0,0,7,10,8,5,11,14
AT2G37600,0,7,7,8,0,6,5,10
AT4G35100,0,0,7,6,7,4,5,7
AT5G12370,0,0,7,0,0,0,0,0
AT3G25520,0,8,6,5,11,9,10,10
AT1G79640,0,0,6,0,0,0,0,0
AT1G47250,0,4,6,3,0,0,0,0
AT1G24260,0,0,5,0,3,0,0,7
AT3G60830,0,2,5,5,0,7,7,5
AT3G52230,0,12,5,0,3,5,15,5
AT2G47240,0,0,5,4,0,4,4,4
AT5G47010,0,4,5,2,0,0,0,4
ATCG00180,0,0,5,0,0,2,0,3
AT1G76180,0,5,5,5,4,0,0,3
AT5G13530,0,0,5,6,0,8,11,2
AT2G20760,0,0,5,5,4,0,0,2
AT1G02690,0,5,5,0,5,38,24,0
AT1G35580,0,3,5,3,0,4,3,0
AT3G01180,0,3,5,0,0,3,4,0
AT1G69200,0,0,5,0,0,0,0,0
