Protein,AT1G69770,AT1G697701,WT
AT1G69770,284,210,0
AT4G02480,22,5,0
AT5G59910,1,3,0
AT2G25210,1,3,0
AT2G05380,2,3,0
AT5G59380,2,3,0
AT4G12770,0,3,0
AT2G22180,0,3,0
AT5G44180,3,2,0
AT4G35050,2,2,0
AT1G26880,1,2,0
AT5G09250,1,2,0
AT5G01650,1,2,0
AT4G38780,0,2,0
AT3G45980,4,2,0
AT3G22460,0,2,0
AT1G67350,1,2,0
AT1G15660,3,1,0
ATCG00760,0,1,0
AT5G60100,2,1,0
AT5G54580,0,1,0
AT5G35680,2,1,0
AT5G25610,0,1,0
AT5G23740,2,1,0
AT5G22440,2,1,0
AT5G19290,1,1,0
AT5G09390,0,1,0
AT5G08570,2,1,0
AT5G06110,0,1,0
AT5G05610,2,1,0
AT4G39350,2,1,0
AT4G32330,0,1,0
AT4G29870,2,1,0
AT4G21620,0,1,0
AT4G18430,1,1,0
AT4G13670,0,1,0
AT4G09520,0,1,0
AT4G05410,1,1,0
AT3G61760,0,1,0
AT3G53650,1,1,0
AT3G51190,0,1,0
AT3G49160,0,1,0
AT3G46940,0,1,0
AT3G24100,0,1,0
AT3G20890,0,1,0
AT3G18740,0,1,0
AT3G15290,1,1,0
AT3G14600,1,1,0
AT2G39390,5,1,0
AT2G37990,2,1,0
AT2G24440,4,1,0
AT2G20280,1,1,0
AT2G19740,1,1,0
AT2G14285,0,1,0
AT2G04880,0,1,0
AT1G80750,1,1,0
AT1G69526,0,1,0
AT1G54850,0,1,0
AT1G47490,0,1,0
AT1G44900,8,1,0
AT1G20670,0,1,0
AT1G16470,0,1,0
AT1G14510,0,1,0
AT1G10200,0,1,0
AT1G08830,2,1,0
AT1G07790,0,1,0
AT1G66580,0,1,0
AT5G09260,0,0,0
AT2G17530,0,0,0
AT1G51410,0,0,0
ATMG00980,1,0,0
ATMG00080,2,0,0
ATCG01110,0,0,0
AT5G67100,2,0,0
AT5G67030,1,0,0
AT5G65930,0,0,0
AT5G65540,0,0,0
AT5G65410,1,0,0
AT5G64360,1,0,0
AT5G64330,0,0,0
AT5G64220,1,0,0
AT5G63980,3,0,0
AT5G63950,0,0,0
AT5G63190,2,0,0
AT5G62740,1,0,0
AT5G62340,1,0,0
AT5G62090,0,0,0
AT5G61510,1,0,0
AT5G61380,0,0,0
AT5G60960,0,0,0
AT5G60410,1,0,0
AT5G59370,3,0,0
AT5G59010,3,0,0
AT5G57850,0,0,0
AT5G57580,0,0,0
AT5G57410,1,0,0
AT5G56740,2,0,0
AT5G55910,1,0,0
AT5G53330,0,0,0
AT5G53170,0,0,0
AT5G52950,0,0,0
AT5G50780,0,0,0
AT5G49880,0,0,0
AT5G49160,9,0,0
AT5G49020,0,0,0
AT5G48580,0,0,0
AT5G48160,0,0,0
AT5G47960,0,0,0
AT5G47500,1,0,0
AT5G46570,0,0,0
AT5G44800,0,0,0
AT5G44110,1,0,0
AT5G43530,1,0,0
AT5G43500,0,0,0
AT5G43040,0,0,0
AT5G42540,1,0,0
AT5G42470,0,0,0
AT5G41880,4,0,0
AT5G41190,1,0,0
AT5G40870,2,0,0
AT5G40810,1,0,0
AT5G39550,2,0,0
AT5G38640,0,0,0
AT5G36890,1,0,0
AT5G35910,1,0,0
AT5G35520,0,0,0
AT5G27606,0,0,0
AT5G26670,1,0,0
AT5G25150,2,0,0
AT5G24420,0,0,0
AT5G21160,0,0,0
AT5G19570,0,0,0
AT5G18960,4,0,0
AT5G18750,1,0,0
AT5G18280,0,0,0
AT5G18190,0,0,0
AT5G18090,0,0,0
AT5G17000,0,0,0
AT5G16910,0,0,0
AT5G16880,0,0,0
AT5G16760,0,0,0
AT5G16370,0,0,0
AT5G16310,0,0,0
AT5G14800,1,0,0
AT5G14260,2,0,0
AT5G12210,0,0,0
AT5G12140,2,0,0
AT5G10730,1,0,0
AT5G10560,1,0,0
AT5G10350,0,0,0
AT5G08100,1,0,0
AT5G07340,1,0,0
AT5G06460,0,0,0
AT5G06360,2,0,0
AT5G05370,2,0,0
AT5G04940,2,0,0
AT5G04885,0,0,0
AT5G04810,0,0,0
AT5G04600,2,0,0
AT5G02890,0,0,0
AT5G01390,0,0,0
AT4G39990,0,0,0
AT4G38920,0,0,0
AT4G38580,4,0,0
AT4G37880,0,0,0
AT4G37640,4,0,0
AT4G36800,1,0,0
AT4G36290,0,0,0
AT4G35890,1,0,0
AT4G35470,0,0,0
AT4G35420,0,0,0
AT4G34490,1,0,0
AT4G34090,2,0,0
AT4G34030,3,0,0
AT4G32551,0,0,0
AT4G31690,0,0,0
AT4G31160,0,0,0
AT4G30890,0,0,0
AT4G30200,0,0,0
AT4G29730,2,0,0
AT4G29680,0,0,0
AT4G29120,0,0,0
AT4G28470,0,0,0
AT4G27700,0,0,0
AT4G27650,0,0,0
AT4G27640,1,0,0
AT4G26000,0,0,0
AT4G25970,0,0,0
AT4G24970,0,0,0
AT4G24750,4,0,0
AT4G22890,1,0,0
AT4G21800,0,0,0
AT4G21750,0,0,0
AT4G21100,0,0,0
AT4G20080,0,0,0
AT4G19660,1,0,0
AT4G17730,2,0,0
AT4G17560,0,0,0
AT4G17050,0,0,0
AT4G16420,0,0,0
AT4G16265,0,0,0
AT4G16150,0,0,0
AT4G15950,0,0,0
AT4G15930,0,0,0
AT4G15880,1,0,0
AT4G15090,0,0,0
AT4G15020,3,0,0
AT4G14660,0,0,0
AT4G14430,1,0,0
AT4G14360,0,0,0
AT4G14040,1,0,0
AT4G13460,0,0,0
AT4G10610,2,0,0
AT4G09720,0,0,0
AT4G04890,0,0,0
AT4G03080,1,0,0
AT4G02060,3,0,0
AT4G02020,0,0,0
AT4G01610,0,0,0
AT4G00900,0,0,0
AT4G00850,0,0,0
AT4G00400,2,0,0
AT4G00090,0,0,0
AT3G63500,1,0,0
AT3G62140,0,0,0
AT3G62010,3,0,0
AT3G61540,0,0,0
AT3G61480,0,0,0
AT3G61310,3,0,0
AT3G60450,0,0,0
AT3G60210,2,0,0
AT3G60030,0,0,0
AT3G59990,2,0,0
AT3G59840,1,0,0
AT3G59650,0,0,0
AT3G59020,1,0,0
AT3G58560,0,0,0
AT3G57330,0,0,0
AT3G57300,0,0,0
AT3G57080,2,0,0
AT3G56900,1,0,0
AT3G55750,0,0,0
AT3G54840,0,0,0
AT3G54340,0,0,0
AT3G52850,1,0,0
AT3G49600,0,0,0
AT3G49250,0,0,0
AT3G48670,2,0,0
AT3G48430,2,0,0
AT3G47810,0,0,0
AT3G47450,0,0,0
AT3G43870,0,0,0
AT3G42960,0,0,0
