Protein,AT2G28240,AT2G28240,AT2G28240,AT5G41580,AT5G41580,AT5G41580,WT,WT
AT2G28240,53,529,912,62,38,48,0,0
AT1G08060,51,317,204,244,204,225,0,0
AT5G41580,21,137,102,241,263,328,0,0
AT4G11560,10,105,43,95,52,75,0,0
AT1G08910,3,29,13,10,4,2,0,0
AT1G43770,0,44,22,34,31,29,0,0
AT2G38950,0,3,0,0,0,0,0,0
AT2G38760,0,0,0,41,46,41,0,0
AT2G38750,2,4,1,29,27,28,1,1
AT5G11040,1,14,17,11,12,18,0,3
AT3G07320,11,12,0,0,0,4,19,0
AT3G28220,8,20,10,0,3,29,25,0
AT3G52920,10,4,4,0,0,2,16,0
AT2G34810,8,16,3,2,0,6,13,0
AT2G21870,8,22,5,0,0,12,10,0
AT1G52000,8,19,12,0,0,16,10,0
AT1G05260,8,1,0,1,0,1,15,0
AT3G08940,7,12,2,3,2,15,4,0
ATCG00680,7,33,8,1,1,24,10,0
AT5G44180,7,3,0,0,0,1,31,0
AT5G03660,7,9,3,0,0,1,19,0
AT4G15210,6,13,11,4,8,5,2,0
AT2G39330,6,15,10,0,7,19,9,0
AT2G20490,6,5,3,4,4,7,13,0
AT1G50710,6,4,3,0,4,1,4,0
AT5G57120,6,2,1,0,0,0,10,0
AT5G55300,6,9,0,0,0,0,21,0
AT5G15140,6,3,0,0,0,0,26,0
AT1G62820,5,3,5,3,4,6,7,0
AT1G15820,5,12,7,3,4,7,2,0
ATCG00540,5,16,3,2,2,22,4,0
AT3G19820,5,14,2,5,2,9,8,0
AT2G25170,5,4,6,5,2,1,5,0
AT2G17390,5,5,3,0,1,3,3,0
AT5G63400,5,9,2,0,0,4,2,0
AT1G48320,4,2,1,0,5,1,1,0
AT5G14530,4,1,1,3,2,1,1,0
AT5G12110,4,6,3,3,2,5,4,0
AT5G47890,4,2,1,0,1,2,3,0
AT5G13430,4,8,4,1,1,5,3,0
AT2G37990,4,1,0,3,1,6,4,0
AT2G02100,4,3,1,0,1,5,2,0
AT4G36960,4,2,2,3,0,3,5,0
AT4G28660,4,3,0,0,0,1,0,0
AT3G47800,4,3,0,1,0,0,21,0
AT1G60140,4,0,0,4,0,3,2,0
AT1G22450,4,6,1,0,0,5,4,0
AT3G61470,3,8,5,2,4,9,1,0
AT3G53420,3,2,5,0,4,4,11,0
AT3G10380,3,12,4,2,4,0,3,0
AT3G05970,3,6,1,3,4,2,2,0
AT2G28390,3,4,2,2,4,1,6,0
