Protein,AT5G41580,AT5G41580,WT
AT5G41580,109,83,1
AT1G08060,22,39,0
AT2G28240,13,19,0
AT4G11560,6,21,0
AT1G43770,0,3,0
AT3G46970,7,5,0
AT3G13160,6,3,0
AT2G35020,6,1,0
AT5G54750,5,4,0
AT1G18250,5,3,0
AT5G55500,5,2,0
AT1G19920,5,2,0
AT4G28730,5,1,0
AT3G49680,4,8,0
AT4G26760,4,4,0
AT1G70200,4,4,0
AT1G61580,4,4,0
AT3G48570,4,3,0
AT3G45030,4,3,0
AT5G65750,4,2,0
AT3G06930,4,2,0
AT3G01980,4,2,0
AT2G35450,4,2,0
AT1G26090,4,2,0
AT5G67510,4,1,0
AT5G15490,4,1,0
AT4G28080,4,1,0
AT3G17900,4,0,0
AT3G05000,4,0,0
AT1G15690,4,0,0
AT4G26900,3,6,0
AT3G06810,3,5,0
AT3G52200,3,4,0
ATCG00740,3,3,0
AT4G31490,3,3,0
AT4G20980,3,3,0
ATCG00170,3,2,0
AT5G42600,3,2,0
AT5G13510,3,2,0
AT5G08570,3,2,0
AT4G25890,3,2,0
AT4G21710,3,2,0
AT4G05350,3,2,0
AT3G23450,3,2,0
AT3G06980,3,2,0
AT2G36390,3,2,0
AT1G19520,3,2,0
AT4G25590,3,1,0
AT2G41790,3,1,0
AT1G71040,3,1,0
AT1G62640,3,1,0
AT1G49430,3,1,0
AT1G08980,3,1,0
AT5G60360,3,0,0
AT4G17830,3,0,0
AT3G63490,3,0,0
AT3G63140,3,0,0
AT3G55140,3,0,0
AT3G49160,3,0,0
AT3G08780,3,0,0
AT2G40490,3,0,0
AT2G32700,3,0,0
AT1G60000,3,0,0
AT3G11964,2,9,0
AT4G11420,2,5,0
AT1G14650,2,5,0
AT5G57890,2,4,0
AT4G35830,2,4,0
AT4G29830,2,4,0
AT5G60600,2,3,0
AT5G56600,2,3,0
AT5G35590,2,3,0
AT5G16240,2,3,0
AT3G57870,2,3,0
AT3G55290,2,3,0
AT3G06850,2,3,0
AT3G01280,2,3,0
AT2G46140,2,3,0
AT2G26590,2,3,0
AT1G63660,2,3,0
AT1G41880,2,3,0
AT5G65760,2,2,0
AT5G07510,2,2,0
AT3G12080,2,2,0
AT2G46580,2,2,0
AT2G40060,2,2,0
AT2G38230,2,2,0
AT2G31425,2,2,0
AT1G60420,2,2,0
AT1G29260,2,2,0
AT1G13440,2,2,0
ATMG00560,2,1,0
ATCG00020,2,1,0
AT5G56710,2,1,0
AT5G54810,2,1,0
AT5G48870,2,1,0
AT5G23940,2,1,0
AT5G13050,2,1,0
AT5G10010,2,1,0
AT4G28250,2,1,0
AT4G15790,2,1,0
AT4G03210,2,1,0
AT3G52990,2,1,0
AT3G51840,2,1,0
AT3G51010,2,1,0
AT3G48690,2,1,0
AT3G46460,2,1,0
AT3G17465,2,1,0
AT3G15190,2,1,0
AT1G56450,2,1,0
AT1G14510,2,1,0
AT5G63980,2,0,0
AT5G63890,2,0,0
AT5G60040,2,0,0
AT5G49020,2,0,0
AT5G42740,2,0,0
AT5G16715,2,0,0
AT5G16280,2,0,0
AT4G35800,2,0,0
AT4G27740,2,0,0
AT4G24800,2,0,0
AT4G17560,2,0,0
AT3G58140,2,0,0
AT3G48560,2,0,0
AT3G47810,2,0,0
AT3G29075,2,0,0
AT3G19390,2,0,0
AT3G18090,2,0,0
AT3G18000,2,0,0
AT3G09640,2,0,0
AT3G07100,2,0,0
AT3G06820,2,0,0
AT2G33740,2,0,0
AT2G14170,2,0,0
AT1G68540,2,0,0
AT1G59900,2,0,0
AT1G54710,2,0,0
AT1G31230,2,0,0
AT1G13060,2,0,0
AT1G12570,2,0,0
AT5G47010,1,6,0
AT3G18790,1,6,0
AT3G08580,1,6,0
AT5G03290,1,4,0
AT4G30160,1,4,0
AT4G11150,1,4,0
AT1G61150,1,4,0
AT5G67240,1,3,0
AT4G29060,1,3,0
AT4G27520,1,3,0
AT4G26630,1,3,0
AT4G21620,1,3,0
AT3G60240,1,3,0
AT5G64670,1,2,0
AT5G64270,1,2,0
AT5G59870,1,2,0
AT5G55920,1,2,0
AT5G55660,1,2,0
AT5G49510,1,2,0
AT5G39210,1,2,0
AT5G28237,1,2,0
AT4G34620,1,2,0
AT4G33090,1,2,0
AT4G31300,1,2,0
AT4G30190,1,2,0
AT4G29840,1,2,0
AT4G08520,1,2,0
AT4G04640,1,2,0
AT3G62820,1,2,0
AT3G58610,1,2,0
AT3G25800,1,2,0
AT2G19730,1,2,0
AT2G19540,1,2,0
AT2G09990,1,2,0
AT1G74000,1,2,0
AT1G64510,1,2,0
AT1G55260,1,2,0
AT1G54410,1,2,0
AT1G53210,1,2,0
AT1G47250,1,2,0
AT1G10050,1,2,0
AT1G05190,1,2,0
ATCG00580,1,1,0
ATCG00180,1,1,0
AT5G63550,1,1,0
AT5G61970,1,1,0
AT5G61170,1,1,0
AT5G55560,1,1,0
AT5G53780,1,1,0
AT5G53530,1,1,0
AT5G40200,1,1,0
AT5G39510,1,1,0
AT5G39320,1,1,0
AT5G25757,1,1,0
AT5G25270,1,1,0
AT5G20070,1,1,0
AT5G17560,1,1,0
AT5G17070,1,1,0
AT5G13650,1,1,0
AT5G11330,1,1,0
AT5G08590,1,1,0
AT5G03630,1,1,0
AT4G39860,1,1,0
AT4G35460,1,1,0
AT4G32551,1,1,0
AT4G26300,1,1,0
AT4G21650,1,1,0
AT4G20260,1,1,0
AT4G14890,1,1,0
AT4G10750,1,1,0
AT4G08350,1,1,0
AT3G61820,1,1,0
AT3G60040,1,1,0
AT3G57290,1,1,0
AT3G56190,1,1,0
AT3G56150,1,1,0
AT3G49240,1,1,0
AT3G46940,1,1,0
AT3G46010,1,1,0
AT3G29030,1,1,0
AT3G24170,1,1,0
AT3G16400,1,1,0
AT3G14930,1,1,0
AT3G07770,1,1,0
AT3G05560,1,1,0
AT3G04260,1,1,0
AT2G45440,1,1,0
AT2G44100,1,1,0
AT2G35010,1,1,0
AT2G34470,1,1,0
AT2G17340,1,1,0
AT1G80500,1,1,0
AT1G76300,1,1,0
AT1G71730,1,1,0
AT1G54630,1,1,0
AT1G42960,1,1,0
AT1G24360,1,1,0
AT1G18500,1,1,0
AT1G18490,1,1,0
AT1G10200,1,1,0
AT1G04750,1,1,0
AT5G60670,1,0,0
AT5G52960,1,0,0
AT5G45390,1,0,0
AT5G28030,1,0,0
AT5G20080,1,0,0
AT5G09510,1,0,0
AT5G08170,1,0,0
AT4G37870,1,0,0
AT4G30800,1,0,0
AT4G30330,1,0,0
AT4G30210,1,0,0
AT4G18260,1,0,0
AT4G14342,1,0,0
AT4G13170,1,0,0
AT4G09960,1,0,0
AT4G09040,1,0,0
AT4G00660,1,0,0
AT4G00300,1,0,0
AT3G61540,1,0,0
AT3G58860,1,0,0
AT3G54340,1,0,0
AT3G47070,1,0,0
AT3G25810,1,0,0
AT3G25220,1,0,0
AT3G22890,1,0,0
AT3G11250,1,0,0
AT3G10410,1,0,0
AT2G45300,1,0,0
AT2G44310,1,0,0
AT2G42690,1,0,0
AT2G41060,1,0,0
AT2G39770,1,0,0
AT2G37600,1,0,0
AT2G35830,1,0,0
AT2G27120,1,0,0
AT2G23120,1,0,0
AT2G18230,1,0,0
AT1G72260,1,0,0
AT1G62940,1,0,0
AT1G61040,1,0,0
AT1G27130,1,0,0
AT1G22410,1,0,0
AT1G16820,1,0,0
AT1G06550,1,0,0
AT2G38760,0,57,0
AT2G38750,0,47,0
AT3G57150,0,12,0
AT3G05060,0,8,0
AT5G15090,0,6,0
AT5G02810,0,6,0
AT4G22380,0,5,0
AT2G43790,0,5,0
ATCG00280,0,4,0
AT5G08180,0,4,0
AT5G03740,0,4,0
AT4G34050,0,4,0
AT4G29670,0,4,0
AT3G58660,0,4,0
AT3G52500,0,4,0
AT3G23620,0,4,0
AT1G80460,0,4,0
AT1G67750,0,4,0
AT5G27120,0,3,0
AT5G19580,0,3,0
AT5G02530,0,3,0
AT4G24190,0,3,0
AT4G13340,0,3,0
AT3G46740,0,3,0
AT3G18130,0,3,0
AT3G16810,0,3,0
AT3G07050,0,3,0
AT2G26080,0,3,0
AT2G05120,0,3,0
AT1G69410,0,3,0
AT1G28290,0,3,0
AT1G21350,0,3,0
AT1G15120,0,3,0
AT1G02930,0,3,0
AT1G01940,0,3,0
ATCG00270,0,2,0
AT5G65910,0,2,0
AT5G65840,0,2,0
AT5G65560,0,2,0
AT5G58710,0,2,0
AT5G58240,0,2,0
AT5G55220,0,2,0
AT5G53850,0,2,0
AT5G49980,0,2,0
AT5G47890,0,2,0
AT5G47200,0,2,0
AT5G20570,0,2,0
AT5G19350,0,2,0
AT5G15110,0,2,0
AT4G33640,0,2,0
AT4G28980,0,2,0
AT4G22850,0,2,0
AT4G15410,0,2,0
AT4G10840,0,2,0
AT3G08530,0,2,0
AT3G03710,0,2,0
AT3G02720,0,2,0
AT3G02650,0,2,0
AT2G47990,0,2,0
AT2G40360,0,2,0
AT2G38740,0,2,0
AT2G30260,0,2,0
AT2G30000,0,2,0
AT2G27020,0,2,0
AT1G70810,0,2,0
AT1G60770,0,2,0
AT1G56700,0,2,0
