Protein,WT,WT,AT1G69770
AT1G15940,0,0,3
AT3G18035,0,1,12
AT1G79350,0,0,6
AT1G48610,0,0,10
AT5G40340,0,1,9
AT2G28290,0,0,7
AT3G23780,0,0,13
AT3G06010,0,0,7
AT1G06760,0,0,6
AT2G40030,0,0,8
AT5G44800,0,0,3
AT4G36080,0,0,4
AT5G55300,0,0,4
AT2G47980,0,0,3
AT2G47620,0,0,11
AT3G44530,0,0,0
AT3G10490,0,0,6
AT5G59180,0,1,2
AT3G48430,0,0,6
AT2G20490,0,2,11
AT3G12170,0,0,1
AT5G02560,0,1,3
AT2G17930,0,0,0
AT1G12380,0,2,13
AT3G22320,0,3,10
AT4G15020,0,0,10
AT2G16440,0,0,8
AT1G44900,0,0,14
AT4G29730,0,0,8
AT5G22010,0,0,3
AT1G75240,0,0,3
AT1G28420,0,0,1
AT3G22990,0,0,1
AT5G17690,0,0,0
AT1G05910,0,0,0
AT5G28040,0,0,4
AT5G12400,0,0,0
AT3G03140,0,0,5
AT3G07610,0,0,5
AT4G32970,0,0,0
AT1G22950,0,0,0
AT2G05250,0,0,8
AT5G22880,0,0,1
AT4G20400,0,0,4
AT1G18950,0,0,2
AT1G49950,0,0,3
AT3G19120,0,0,2
AT3G52100,0,0,1
AT5G65410,0,0,1
AT1G78630,0,3,8
AT1G68790,0,0,11
AT2G01710,0,0,2
AT1G54060,0,0,1
AT1G76880,0,0,3
AT1G32730,0,0,2
AT1G08600,0,0,1
AT1G69770,0,0,153
AT5G07530,0,5,8
AT3G11200,0,0,3
AT2G44730,0,0,2
AT3G45830,0,0,3
AT2G44440,0,0,1
AT2G33610,0,0,1
AT4G22745,0,0,2
AT1G18610,0,0,2
AT1G80810,0,0,1
AT1G09060,0,0,2
AT1G13220,0,0,3
AT4G32820,0,0,0
AT1G79340,0,3,9
AT3G24860,0,0,1
AT5G11530,0,0,0
AT1G73100,0,0,1
AT1G69200,0,0,4
AT4G38600,0,0,9
AT5G60040,0,0,1
AT2G31320,0,0,0
AT5G06910,0,0,0
AT4G25340,0,0,6
AT2G23740,0,0,0
AT2G16485,0,0,5
AT1G63470,0,0,0
AT4G02480,0,0,20
AT3G22590,0,0,9
AT1G58025,0,0,2
ATCG00810,0,0,0
AT1G79730,0,2,6
AT3G23890,0,0,2
AT3G09480,0,0,0
AT1G21700,0,1,2
AT3G57300,0,0,3
AT1G12910,0,0,0
AT5G17510,0,0,0
AT3G10030,0,0,0
AT3G49660,0,0,3
AT5G23680,0,0,2
AT1G21610,0,0,0
AT5G27120,0,0,9
AT1G14440,0,0,2
AT1G24260,0,1,10
AT4G16180,0,0,1
AT4G03090,0,0,1
AT1G07790,0,0,0
AT5G48600,0,0,0
AT2G30580,0,0,0
AT1G17790,0,0,0
AT3G21060,0,0,0
AT2G36720,0,0,0
AT5G65220,0,0,2
AT1G62830,0,0,0
AT3G42790,0,0,0
AT5G47190,0,1,4
AT5G05370,0,1,3
AT5G04290,0,0,2
AT3G14180,0,0,1
AT4G32200,0,0,0
AT4G32551,0,0,0
AT5G49430,0,0,0
AT5G60410,0,0,1
AT2G25560,0,0,1
AT3G13350,0,0,1
AT1G06500,0,0,1
AT3G20740,0,0,0
AT4G34620,0,3,2
AT3G21430,0,0,0
AT4G32420,0,3,8
AT4G15950,0,0,4
AT1G60620,0,0,1
AT5G65360,0,0,0
AT2G17560,0,2,0
AT4G08310,0,0,3
AT1G20693,0,1,2
AT5G46430,0,0,5
AT3G58660,0,0,1
AT1G79050,0,0,0
AT1G41880,0,1,2
AT5G27740,0,0,4
AT1G77300,0,0,2
AT3G17590,0,0,2
AT3G55560,0,0,1
AT4G02720,0,2,11
AT5G14520,0,2,4
AT2G45850,0,0,1
AT2G04520,0,0,0
AT3G48190,0,0,0
AT5G05230,0,0,0
AT3G12810,0,0,0
AT5G09920,0,1,1
AT3G59600,0,0,4
AT5G07970,0,0,2
AT1G50410,0,0,0
AT1G52670,0,0,0
AT5G62740,0,0,5
AT5G63420,0,0,11
AT1G63160,0,0,2
AT3G54090,0,0,2
AT2G24440,0,0,0
AT2G21150,0,0,2
AT3G10730,0,0,2
AT5G25150,0,0,2
AT2G07560,0,0,0
AT1G05830,0,0,0
AT3G13670,0,0,2
AT5G35210,0,0,2
AT2G30410,0,0,0
AT3G58680,0,0,0
AT1G64190,0,0,3
AT5G06780,0,0,1
AT3G12380,0,0,1
AT4G02230,0,0,1
AT1G21200,0,0,0
AT1G32750,0,0,0
AT3G24870,0,0,0
AT5G21326,0,0,5
AT5G15920,0,0,2
AT5G43500,0,0,1
AT3G54340,0,0,1
AT5G19310,0,0,0
AT3G05380,0,0,0
AT2G03850,0,0,0
AT3G17460,0,0,0
AT1G31310,0,0,0
AT4G30200,0,0,0
AT2G39390,0,3,2
AT3G23450,0,0,6
AT1G26540,0,0,5
AT3G51550,0,0,3
AT3G60245,0,0,3
ATCG01230,0,0,2
AT5G10060,0,0,1
AT1G02065,0,0,0
AT1G30600,0,0,0
AT5G40040,0,0,0
AT1G54250,0,0,0
AT2G35540,0,0,0
AT4G14660,0,0,0
AT5G57860,0,0,0
AT1G79020,0,0,0
AT5G44280,0,0,0
AT5G15800,0,1,2
AT2G41040,0,3,9
AT1G18630,0,3,3
AT4G00450,0,0,3
AT5G62200,0,0,3
AT1G52300,0,0,1
AT4G14385,0,0,1
AT2G40630,0,0,1
AT2G24090,0,0,0
AT4G04890,0,0,0
AT4G14920,0,0,0
AT5G54580,0,0,0
AT2G42790,0,0,0
AT3G63030,0,0,0
AT4G21430,0,0,0
AT5G20240,0,0,0
AT5G27650,0,0,0
AT1G04880,0,0,0
AT1G70600,0,0,0
AT3G61400,0,1,0
AT5G39410,0,1,4
AT1G21600,0,0,6
AT2G18790,0,0,6
AT1G54020,0,0,2
AT1G52980,0,0,6
AT5G55210,0,0,3
AT1G48350,0,0,3
AT1G61150,0,0,1
AT5G05610,0,0,0
AT1G13260,0,1,5
AT1G06190,0,0,5
AT3G07050,0,0,4
AT3G19240,0,0,3
AT1G04950,0,0,0
AT1G20696,0,3,4
AT5G56940,0,4,1
AT2G44710,0,8,12
AT4G19190,0,0,5
AT4G14070,0,0,2
AT4G16340,0,0,2
AT3G14110,0,0,2
AT5G08630,0,0,2
AT4G14420,0,0,1
AT5G24650,0,0,1
AT5G42520,0,0,1
AT1G29940,0,0,0
AT2G32720,0,0,0
AT5G04990,0,0,0
AT2G40770,0,0,0
AT5G45140,0,0,0
AT4G00238,0,0,0
AT4G15233,0,0,0
AT3G47650,0,1,4
AT5G54600,0,1,4
AT3G25140,0,1,2
AT2G05840,0,2,4
AT1G60650,0,5,15
AT1G24190,0,0,5
AT1G48900,0,0,4
AT4G03110,0,0,4
AT2G29140,0,0,3
AT2G02510,0,0,2
AT1G06960,0,0,2
AT2G29540,0,0,2
AT3G03630,0,0,2
AT2G37690,0,0,2
AT3G26618,0,0,1
AT2G31970,0,0,1
AT4G24270,0,0,1
AT1G01370,0,0,1
AT1G52150,0,0,0
AT3G01320,0,0,0
AT3G08947,0,0,0
AT4G01290,0,0,0
AT4G04920,0,0,0
AT4G23515,0,0,0
AT1G14510,0,0,0
AT1G31150,0,0,0
AT3G10850,0,0,0
AT3G14890,0,0,0
AT5G35330,0,0,0
AT1G61790,0,1,5
AT5G50460,0,1,2
AT2G37990,0,2,6
AT2G46610,0,3,10
AT4G28480,0,0,4
AT5G64160,0,0,4
AT4G26650,0,0,3
AT1G67270,0,0,2
AT4G25180,0,0,2
AT5G63110,0,0,2
AT1G76890,0,0,2
AT3G63500,0,0,2
AT1G10890,0,0,1
AT1G74540,0,0,1
AT5G13960,0,0,1
AT2G02090,0,0,1
AT4G30210,0,0,1
AT5G63950,0,0,1
AT5G64610,0,0,1
AT1G73150,0,0,0
AT1G77490,0,0,0
AT2G25210,0,0,0
AT3G21290,0,0,0
AT3G49250,0,0,0
AT3G56850,0,0,0
AT4G23800,0,0,0
AT4G32330,0,0,0
AT5G03415,0,0,0
AT5G04670,0,0,0
AT5G08130,0,0,0
AT5G13710,0,0,0
AT1G05380,0,0,0
AT1G72630,0,0,0
AT3G49850,0,0,0
AT3G59820,0,0,0
AT4G12610,0,0,0
AT5G04240,0,0,0
AT1G33240,0,0,0
AT3G10480,0,0,0
AT5G38600,0,3,9
AT5G49880,0,0,6
AT1G67580,0,0,4
AT1G09900,0,0,3
AT1G51560,0,0,2
AT4G36980,0,0,2
AT4G00270,0,0,2
AT4G35570,0,0,2
AT5G01160,0,0,2
AT1G21690,0,0,2
AT3G22170,0,0,2
AT1G80940,0,0,1
AT3G21920,0,0,1
AT4G24470,0,0,1
AT2G27110,0,0,1
AT4G22320,0,0,1
AT1G06770,0,0,0
AT1G15280,0,0,0
AT1G48380,0,0,0
AT1G50620,0,0,0
AT1G77270,0,0,0
AT2G35605,0,0,0
AT2G43650,0,0,0
AT3G15120,0,0,0
AT3G19510,0,0,0
AT4G18960,0,0,0
AT5G61140,0,0,0
AT1G16970,0,0,0
AT1G27595,0,0,0
AT3G53650,0,0,0
AT1G77470,0,0,2
AT5G04940,0,0,1
AT2G06990,0,2,7
AT1G70320,0,0,6
AT3G18520,0,0,4
AT2G42490,0,0,1
AT2G13370,0,0,0
AT3G59040,0,0,3
AT5G63960,0,0,3
AT2G31810,0,0,2
AT5G41210,0,0,2
AT4G17890,0,0,0
AT3G48890,0,0,0
AT1G75660,0,1,5
AT5G23860,0,2,4
AT4G30930,0,0,8
AT3G06810,0,0,6
AT1G44835,0,0,6
AT3G03940,0,0,4
AT5G66470,0,0,4
AT4G15640,0,0,3
AT3G22660,0,0,3
AT1G75510,0,0,2
AT1G51450,0,0,2
AT3G24490,0,0,2
AT2G15400,0,0,1
AT5G61000,0,0,1
ATCG00710,0,0,1
AT4G09960,0,0,1
AT1G53000,0,0,0
AT1G72750,0,0,0
AT2G30470,0,0,0
AT3G08770,0,0,0
AT5G64910,0,0,0
AT4G01120,0,0,0
AT5G38110,0,0,0
AT1G14900,0,0,0
AT4G02350,0,1,10
AT3G46580,0,1,8
AT1G54570,0,1,6
AT3G06980,0,1,1
AT5G02740,0,2,5
AT5G53440,0,0,7
AT1G02190,0,0,5
AT1G50920,0,0,5
AT5G64670,0,0,4
AT5G51550,0,0,4
AT5G03540,0,0,4
AT3G11964,0,0,3
AT4G37130,0,0,3
AT1G47830,0,0,2
AT2G15690,0,0,2
AT2G37190,0,0,2
AT3G04830,0,0,2
AT3G61870,0,0,2
AT5G23535,0,0,2
AT5G44620,0,0,2
AT5G53800,0,0,2
AT3G15460,0,0,2
AT3G06340,0,0,2
AT4G01037,0,0,2
AT4G00990,0,0,2
AT5G61460,0,0,2
AT1G49140,0,0,1
AT1G72660,0,0,1
AT1G80750,0,0,1
AT2G16570,0,0,1
AT2G29580,0,0,1
AT3G02880,0,0,1
AT3G49000,0,0,1
AT5G16310,0,0,1
AT5G63860,0,0,1
AT1G50140,0,0,1
AT1G55160,0,0,1
AT1G69120,0,0,1
AT2G33845,0,0,1
AT5G24314,0,0,1
AT3G55620,0,0,1
AT1G02740,0,0,0
AT1G16340,0,0,0
AT1G19110,0,0,0
AT1G48950,0,0,0
AT1G79210,0,0,0
AT2G27730,0,0,0
AT5G03040,0,0,0
AT5G15320,0,0,0
AT1G19990,0,0,0
AT2G37470,0,0,0
AT3G48060,0,0,0
AT4G39640,0,0,0
AT5G06950,0,0,0
AT4G00710,0,0,0
AT4G28660,0,0,0
AT4G15790,0,1,0
AT4G02070,0,1,0
AT5G23080,0,0,6
AT3G18600,0,0,5
AT1G43190,0,0,4
AT2G32910,0,0,4
AT2G35110,0,0,4
AT1G02890,0,0,4
AT5G23900,0,0,4
AT3G02320,0,0,3
AT3G51140,0,0,3
AT3G19450,0,0,3
AT1G03140,0,0,2
AT1G20880,0,0,2
AT1G29320,0,0,2
AT1G52600,0,0,2
AT2G24490,0,0,2
AT2G32650,0,0,2
AT4G04970,0,0,2
AT4G22360,0,0,2
AT4G37510,0,0,2
AT5G35180,0,0,2
AT5G41790,0,0,2
AT2G47250,0,0,2
AT5G45620,0,0,2
AT4G26450,0,0,2
AT1G55480,0,0,1
AT1G73030,0,0,1
AT2G16365,0,0,1
AT5G56710,0,0,1
AT2G38560,0,0,1
AT2G45620,0,0,1
AT3G04960,0,0,1
AT3G28790,0,0,1
AT3G47620,0,0,1
AT4G31210,0,0,1
AT4G31460,0,0,1
AT5G18420,0,0,1
AT5G41010,0,0,1
AT4G17060,0,0,1
AT5G15540,0,0,1
AT5G41410,0,0,1
AT5G54260,0,0,1
AT5G60990,0,0,1
AT1G04710,0,0,1
AT1G56290,0,0,1
AT3G15290,0,0,1
AT1G02870,0,0,0
AT1G10450,0,0,0
AT1G16030,0,0,0
AT1G17450,0,0,0
AT1G29220,0,0,0
AT1G60420,0,0,0
AT1G72740,0,0,0
